gen:0{ accuracy:[50.8, 65.79, 67.98, 39.86, 43.53, 48.29, 39.85, 59.3, 53.5, 59.1, 56.1, 57.12, 49.49, 61.51, 57.88, 32.76, 40.21, 42.53, 58.02, 44.17, 62.89, 49.26, 55.94, 48.13, 70.39, 46.82, 59.49, 60.78, 52.54, 56.2, 36.8, 40.71, 49.87, 60.37, 53.54, 60.17, 43.57, 58.01, 23.49, 70.62, 61.13, 52.78, 65.52, 23.75, 50.61, 61.38, 62.78, 70.03, 67.23, 55.91, 38.56, 49.05, 54.56, 52.28, 48.2, 42.03, 60.39, 40.53, 69.21, 56.03, 42.27, 58.16, 46.98, 38.2, 44.4, 42.82, 55.22, 28.7, 36.55, 46.57, 63.51, 68.95, 56.12, 49.95, 48.81]}
gen:1{ accuracy:[61.11, 36.35, 40.16, 10.0, 33.37, 32.18, 10.0, 37.92, 47.24, 62.87, 33.44, 68.13, 35.29, 56.71, 10.0, 17.09, 46.7, 10.0, 67.45, 24.83, 34.55, 55.68, 10.0, 59.04, 41.68, 39.72, 20.48, 48.1, 46.03, 47.71, 39.87, 30.98, 24.72, 52.26, 49.36, 41.2, 69.6, 64.14, 17.99, 51.44, 67.91, 10.0, 10.0, 49.49, 64.72, 10.0, 36.88, 55.02, 59.08, 46.88, 33.77, 57.59, 34.33, 57.36, 30.69, 39.2, 49.79, 26.97, 10.0, 49.1, 59.26, 66.21, 67.43, 68.55, 68.27, 54.09, 33.17, 57.21, 67.56, 64.67, 50.56, 45.11, 65.28, 52.03, 18.19]}
gen:2{ accuracy:[51.63, 10.0, 59.31, 10.0, 50.5, 66.5, 55.32, 52.59, 44.66, 65.11, 59.7, 56.25, 38.87, 59.0, 52.41, 55.26, 32.83, 26.59, 66.74, 63.44, 66.57, 32.15, 61.5, 45.26, 66.26, 58.79, 66.85, 60.83, 53.61, 52.28, 36.42, 10.0, 66.9, 34.51, 66.28, 63.97, 63.0, 60.47, 58.97, 53.75, 68.19, 67.37, 48.51, 66.77, 67.9, 17.08, 30.21, 53.54, 51.46, 22.73, 45.44, 50.85, 66.34, 44.31, 65.39, 69.84, 60.15, 10.0, 10.0, 22.46, 64.25, 68.21, 25.72, 64.9, 72.57, 66.14, 71.06, 61.34, 17.78, 66.35, 67.4, 66.15, 49.67, 63.51, 51.43]}
gen:3{ accuracy:[55.49, 51.94, 30.79, 67.06, 62.38, 66.94, 39.15, 45.71, 64.84, 71.54, 65.3, 32.73, 63.45, 71.99, 72.08, 63.59, 73.2, 72.75, 22.14, 46.66, 67.04, 65.98, 67.21, 69.88, 37.27, 66.84, 39.85, 67.32, 27.78, 65.15, 52.62, 64.45, 37.35, 57.87, 10.0, 71.67, 72.97, 62.95, 60.67, 72.1, 47.47, 14.96, 66.45, 66.59, 51.13, 66.52, 61.77, 65.46, 71.14, 67.17, 50.49, 53.8, 57.5, 62.58, 25.48, 62.55, 60.97, 71.12, 72.66, 45.31, 57.45, 72.26, 66.27, 55.41, 10.0, 66.87, 57.66, 24.47, 64.9, 63.91, 70.17, 71.74, 57.87, 48.13, 56.45]}
gen:4{ accuracy:[70.78, 72.03, 63.8, 71.1, 71.35, 71.69, 37.31, 62.42, 70.09, 65.81, 71.34, 64.26, 31.52, 71.8, 70.64, 71.72, 69.25, 71.62, 31.68, 70.49, 70.55, 67.17, 72.18, 51.3, 31.74, 72.91, 71.94, 71.4, 71.79, 55.42, 58.19, 60.18, 70.86, 61.18, 72.33, 72.01, 71.46, 72.5, 71.68, 72.13, 31.7, 72.29, 72.06, 72.53, 71.19, 27.64, 71.74, 32.59, 72.38, 72.43, 65.79, 27.88, 70.49, 64.92, 71.57, 72.52, 71.31, 71.02, 34.21, 71.14, 10.0, 72.29, 72.46, 72.04, 71.59, 72.19, 71.41, 70.05, 61.56, 65.11, 29.65, 71.25, 70.86, 43.61, 60.81]}
gen:5{ accuracy:[71.06, 71.49, 70.32, 71.38, 57.3, 54.52, 71.87, 70.29, 71.8, 71.74, 71.71, 71.2, 42.47, 71.45, 71.33, 71.57, 63.89, 72.33, 71.97, 72.71, 39.44, 71.87, 67.39, 72.07, 71.51, 10.0, 72.08, 70.17, 71.33, 41.45, 65.97, 71.66, 71.76, 71.6, 71.66, 25.56, 72.48, 72.19, 69.52, 72.26, 70.84, 71.26, 71.63, 72.53, 70.85, 71.67, 71.0, 72.15, 71.99, 68.2, 71.3, 47.08, 71.42, 71.59, 71.67, 66.7, 72.16, 73.06, 71.63, 72.02, 71.03, 72.03, 72.12, 72.56, 49.49, 71.82, 71.56, 71.3, 69.8, 72.01, 61.39, 71.23, 70.86, 72.09, 71.06]}
gen:6{ accuracy:[29.21, 10.0, 71.35, 71.36, 66.11, 43.9, 72.02, 72.46, 67.77, 44.42, 65.42, 65.74, 65.56, 66.39, 72.78, 10.0, 51.15, 71.86, 10.0, 73.16, 10.0, 72.04, 10.0, 72.45, 29.17, 71.12, 65.32, 10.0, 66.59, 10.0, 67.4, 64.41, 67.17, 64.02, 52.11, 41.93, 64.43, 67.1, 10.0, 69.26, 71.82, 72.51, 72.04, 66.94, 10.0, 65.85, 68.43, 72.1, 72.86, 10.0, 72.87, 71.6, 65.32, 71.45, 72.3, 65.46, 64.69, 55.35, 71.04, 72.83, 10.0, 58.78, 10.0, 65.17, 71.59, 10.0, 10.0, 71.35, 71.28, 65.87, 10.0, 72.92, 73.75, 71.98, 59.85]}
gen:7{ accuracy:[52.23, 52.68, 72.3, 71.88, 66.43, 71.68, 73.31, 67.86, 41.92, 72.66, 72.43, 71.42, 62.98, 62.8, 71.52, 68.77, 72.65, 72.77, 71.77, 72.72, 52.13, 69.39, 63.07, 72.59, 71.14, 72.11, 69.18, 71.25, 53.65, 72.62, 73.24, 65.36, 72.1, 72.12, 45.99, 72.58, 58.45, 71.62, 52.43, 72.02, 72.09, 70.91, 72.5, 53.08, 71.47, 62.6, 72.86, 73.97, 71.61, 70.74, 51.39, 72.29, 72.84, 73.07, 72.23, 71.39, 54.5, 61.64, 38.84, 67.93, 63.09, 71.81, 71.41, 52.37, 72.11, 72.27, 49.84, 57.33, 71.73, 72.4, 72.81, 71.4, 65.6, 57.22, 73.08]}
gen:8{ accuracy:[71.82, 72.52, 46.66, 72.52, 22.83, 72.3, 63.09, 73.22, 32.36, 73.5, 71.73, 72.94, 72.48, 20.76, 71.95, 72.69, 23.48, 71.91, 72.59, 72.01, 70.99, 72.58, 70.6, 72.38, 65.73, 72.38, 34.19, 71.64, 72.7, 33.9, 24.22, 72.6, 73.27, 32.38, 72.96, 69.6, 72.63, 23.61, 28.65, 71.68, 21.63, 25.6, 73.53, 72.52, 30.35, 71.56, 71.81, 72.69, 72.68, 72.62, 71.98, 28.51, 31.54, 72.91, 71.6, 73.39, 10.0, 71.32, 73.0, 71.89, 33.04, 19.9, 72.31, 23.85, 72.18, 73.03, 16.93, 70.85, 71.01, 71.24, 72.14, 19.39, 72.24, 71.84, 23.96]}
gen:9{ accuracy:[55.45, 72.22, 71.95, 65.18, 72.95, 56.83, 56.52, 72.45, 72.63, 52.27, 73.56, 72.07, 56.87, 56.15, 58.61, 57.24, 56.8, 59.3, 72.0, 60.24, 72.86, 47.12, 73.42, 46.78, 44.16, 57.59, 50.34, 70.28, 44.4, 72.34, 73.16, 74.1, 58.59, 72.43, 55.86, 73.22, 67.68, 58.41, 72.67, 59.56, 73.7, 58.5, 55.6, 72.51, 72.51, 72.61, 54.79, 72.91, 70.54, 72.3, 57.31, 72.32, 46.37, 58.23, 57.14, 49.53, 50.03, 53.4, 72.58, 72.51, 57.85, 58.07, 58.07, 72.21, 55.87, 72.61, 43.72, 72.39, 56.92, 72.99, 71.98, 53.21, 57.71, 72.7, 72.52]}
gen:10{ accuracy:[72.76, 71.0, 74.39, 60.16, 34.05, 72.43, 68.1, 73.72, 55.99, 31.73, 74.04, 72.82, 49.22, 72.48, 72.6, 73.58, 70.69, 62.23, 72.14, 72.39, 50.59, 49.72, 72.28, 34.65, 65.91, 69.86, 73.32, 73.72, 73.13, 72.37, 66.09, 71.23, 38.96, 72.24, 71.97, 71.1, 72.88, 44.95, 42.38, 73.96, 72.69, 72.26, 44.93, 56.47, 33.43, 67.87, 52.39, 71.14, 66.26, 72.17, 72.82, 71.96, 73.22, 54.92, 73.6, 73.77, 47.44, 46.78, 73.07, 56.1, 57.88, 73.95, 73.2, 54.08, 73.08, 73.61, 31.86, 10.0, 70.26, 72.01, 26.09, 71.71, 71.62, 73.68, 49.68]}
