gen:0{ accuracy:[37.52, 43.3, 69.23, 48.86, 41.92, 33.49, 68.42, 40.38, 10.0, 52.34, 37.85, 51.66, 55.54, 38.71, 63.76, 41.1, 57.41, 56.5, 56.41, 48.87, 70.0, 56.55, 70.83, 58.92, 47.65, 51.25, 65.34, 45.18, 47.74, 59.58, 46.75, 58.5, 58.08, 51.89, 36.12, 10.0, 42.47, 45.89, 53.35, 47.95, 62.52, 55.91, 42.54, 59.43, 47.25, 59.79, 45.83, 39.84, 16.13, 39.77, 65.74, 45.55, 59.28, 45.79, 45.7, 61.69, 51.69, 57.29, 48.03, 49.16, 52.38, 66.51, 51.97, 45.73, 39.91, 43.15, 52.04, 59.91, 56.11, 42.38, 51.32, 52.87, 17.56, 42.6, 70.49]}
gen:1{ accuracy:[62.71, 10.0, 10.0, 64.51, 42.04, 57.96, 10.0, 63.4, 40.6, 31.11, 42.69, 17.79, 16.15, 63.99, 47.63, 55.17, 63.08, 57.48, 45.68, 58.9, 66.89, 43.69, 67.1, 58.46, 10.0, 40.38, 10.0, 43.29, 30.16, 64.49, 39.93, 23.67, 32.63, 55.26, 29.51, 17.34, 39.58, 10.0, 18.44, 18.11, 63.62, 18.3, 57.41, 48.27, 60.77, 58.56, 54.14, 65.55, 52.71, 67.16, 64.66, 10.0, 46.1, 51.33, 38.82, 10.0, 62.81, 63.11, 60.14, 10.0, 40.68, 37.62, 61.83, 67.13, 31.58, 48.82, 61.41, 10.0, 47.57, 45.75, 28.42, 60.94, 53.31, 38.99, 32.76]}
gen:2{ accuracy:[51.41, 62.85, 64.82, 51.74, 66.53, 48.88, 63.23, 56.7, 10.0, 60.54, 51.6, 55.2, 67.49, 68.18, 63.73, 64.83, 46.79, 65.85, 63.98, 66.71, 37.58, 41.55, 61.0, 68.47, 65.95, 67.39, 62.22, 60.27, 42.06, 55.3, 39.66, 67.0, 38.77, 65.76, 59.64, 54.77, 28.2, 65.45, 67.0, 67.12, 67.06, 57.73, 60.67, 67.22, 66.19, 60.72, 64.94, 63.41, 67.08, 64.17, 22.25, 55.35, 67.77, 66.64, 66.91, 37.02, 59.69, 63.68, 67.67, 64.29, 63.39, 67.1, 56.74, 63.93, 62.66, 62.52, 66.45, 55.34, 33.91, 66.06, 67.45, 63.91, 21.85, 49.88, 58.95]}
gen:3{ accuracy:[51.47, 63.82, 55.1, 18.13, 72.55, 66.08, 57.31, 66.86, 59.08, 66.9, 63.59, 46.98, 67.73, 10.0, 64.53, 61.27, 58.84, 68.15, 62.15, 68.21, 59.51, 67.96, 52.42, 31.12, 67.57, 47.15, 10.0, 59.07, 10.0, 63.64, 61.76, 45.48, 65.83, 44.3, 24.51, 10.0, 66.91, 61.03, 58.69, 40.04, 57.63, 68.04, 67.1, 67.28, 52.04, 33.56, 72.9, 52.52, 60.89, 72.4, 23.69, 10.0, 10.0, 47.93, 53.74, 16.56, 59.01, 10.0, 48.2, 65.48, 47.54, 50.75, 66.08, 64.71, 48.03, 67.0, 31.76, 51.37, 67.15, 58.27, 67.98, 67.22, 10.0, 58.32, 66.86]}
gen:4{ accuracy:[66.95, 57.99, 55.28, 72.13, 72.98, 10.0, 56.86, 69.81, 72.28, 63.69, 30.71, 10.0, 18.67, 32.37, 67.38, 65.58, 46.65, 53.77, 46.14, 72.96, 64.24, 42.02, 61.89, 45.44, 71.47, 55.37, 67.35, 49.7, 10.0, 50.12, 28.96, 49.55, 68.91, 71.22, 10.0, 60.12, 17.82, 28.45, 72.6, 70.5, 72.01, 48.46, 69.9, 58.6, 44.09, 68.4, 72.75, 54.91, 73.34, 72.45, 69.0, 60.16, 47.49, 64.83, 34.22, 60.99, 50.35, 64.63, 10.0, 60.44, 69.01, 53.64, 72.47, 44.71, 65.54, 71.16, 72.71, 65.48, 73.36, 71.47, 10.0, 69.21, 43.37, 62.65, 59.67]}
gen:5{ accuracy:[72.82, 72.77, 10.0, 72.63, 38.97, 71.79, 71.71, 46.97, 71.57, 68.86, 15.67, 50.46, 53.82, 62.34, 48.22, 72.24, 61.79, 68.86, 42.09, 58.35, 59.19, 59.21, 10.0, 28.12, 72.39, 72.74, 65.98, 73.59, 10.0, 40.03, 26.38, 46.91, 24.23, 46.13, 73.15, 65.33, 51.17, 66.0, 73.06, 72.57, 72.7, 72.54, 70.65, 54.04, 63.0, 48.02, 72.47, 59.71, 41.27, 64.39, 68.26, 10.0, 69.58, 45.34, 54.85, 60.54, 64.04, 58.3, 48.82, 57.59, 71.04, 73.56, 47.57, 72.56, 10.0, 68.49, 54.06, 54.74, 71.69, 67.21, 72.02, 71.2, 23.69, 53.41, 25.73]}
gen:6{ accuracy:[73.09, 70.11, 72.66, 72.97, 61.25, 51.7, 70.19, 66.09, 73.01, 64.18, 50.68, 44.71, 74.32, 73.37, 72.27, 10.0, 57.6, 37.89, 73.05, 73.43, 54.47, 72.24, 72.44, 72.32, 73.18, 73.01, 46.29, 72.01, 64.57, 71.45, 64.65, 55.84, 72.54, 62.88, 60.24, 72.93, 60.62, 66.99, 72.46, 73.12, 69.1, 73.15, 60.91, 33.03, 62.11, 73.23, 73.29, 52.88, 15.64, 67.82, 72.95, 66.15, 73.18, 42.63, 71.42, 30.84, 68.28, 73.04, 67.52, 71.97, 72.73, 73.06, 64.77, 69.88, 73.68, 10.0, 69.49, 73.24, 65.85, 60.2, 50.1, 66.6, 72.7, 67.36, 72.02]}
gen:7{ accuracy:[10.0, 68.75, 65.23, 45.65, 72.81, 60.87, 35.44, 60.78, 10.0, 67.05, 17.34, 72.71, 31.99, 70.83, 71.08, 60.92, 38.2, 24.65, 62.74, 58.53, 46.43, 38.61, 18.23, 73.34, 73.82, 28.34, 71.39, 73.23, 65.32, 72.4, 72.26, 48.96, 71.82, 71.59, 72.29, 42.03, 66.07, 17.34, 67.74, 72.59, 25.81, 61.5, 74.05, 70.07, 10.0, 54.21, 59.99, 42.35, 69.1, 71.3, 72.72, 65.6, 71.36, 46.69, 72.23, 72.56, 70.03, 65.54, 71.86, 62.76, 61.03, 67.1, 50.18, 72.43, 71.82, 10.0, 34.39, 58.83, 70.16, 47.67, 72.49, 69.61, 71.2, 59.38, 72.75]}
gen:8{ accuracy:[49.49, 72.99, 66.07, 73.79, 73.4, 47.23, 73.29, 59.88, 73.59, 74.09, 73.94, 18.28, 67.89, 23.42, 73.6, 74.02, 72.47, 68.83, 73.24, 26.16, 64.21, 73.29, 73.55, 39.7, 54.48, 70.45, 72.69, 73.74, 70.85, 10.0, 45.36, 73.35, 10.0, 70.88, 73.26, 74.21, 73.53, 33.57, 10.0, 55.25, 72.26, 67.44, 50.07, 58.67, 72.33, 66.95, 63.14, 74.18, 56.81, 66.82, 10.0, 73.97, 72.39, 74.18, 43.63, 72.22, 48.68, 74.49, 73.82, 74.08, 72.93, 41.4, 72.0, 73.03, 74.39, 54.97, 73.09, 45.42, 49.66, 73.13, 50.38, 72.85, 73.01, 31.11, 71.86]}
gen:9{ accuracy:[70.4, 73.89, 74.13, 61.93, 49.28, 75.28, 68.97, 70.58, 70.37, 73.31, 65.92, 50.43, 59.71, 72.0, 62.04, 74.26, 64.77, 64.13, 74.14, 74.68, 50.37, 74.44, 65.54, 16.4, 49.97, 72.65, 63.75, 47.94, 71.63, 65.59, 49.79, 73.48, 65.57, 66.57, 42.5, 73.33, 73.16, 72.95, 44.21, 66.09, 66.58, 73.56, 50.05, 73.85, 67.17, 49.74, 72.67, 72.34, 10.0, 73.55, 56.5, 73.02, 73.3, 74.21, 74.28, 66.07, 57.29, 72.83, 49.99, 50.93, 73.31, 57.55, 63.64, 72.43, 10.0, 74.41, 74.7, 70.31, 73.11, 73.4, 64.61, 72.73, 63.05, 24.45, 73.25]}
