gen:39{ accuracy:[66.1, 66.98, 67.46, 10.0, 69.55, 83.26, 83.43, 82.02, 76.15, 83.17, 83.64, 66.54, 77.46, 77.09, 81.84, 82.05, 82.21, 82.0, 81.62, 79.31, 83.04, 82.38, 70.89, 68.37, 65.92, 82.41, 10.0, 80.45, 83.05, 79.61, 58.78, 75.2, 65.28, 10.0, 82.9, 82.56, 83.04, 81.86, 35.51, 82.62, 66.43, 81.92, 80.92, 81.85, 71.84, 80.8, 76.83, 68.17, 65.55, 80.81, 82.56, 79.3, 76.04, 81.56, 81.74, 51.38, 82.83, 74.49, 82.83, 80.42, 82.01, 81.8, 38.32, 80.18, 75.28, 82.49, 57.19, 81.99, 81.67, 43.61, 82.96, 83.09, 80.24, 42.0, 79.1]}
gen:40{ accuracy:[60.08, 83.12, 62.77, 59.06, 45.66, 53.39, 10.0, 79.57, 47.14, 70.91, 46.9, 82.56, 78.63, 69.29, 73.36, 82.47, 50.87, 82.99, 81.8, 83.53, 82.14, 72.84, 43.95, 10.0, 71.97, 61.49, 62.83, 10.0, 73.84, 54.46, 40.06, 43.6, 43.79, 54.3, 82.37, 82.72, 54.3, 28.62, 65.01, 50.95, 79.36, 82.91, 33.62, 80.25, 82.14, 19.27, 70.83, 67.98, 82.19, 10.0, 78.86, 74.19, 78.66, 18.52, 74.47, 81.78, 82.75, 61.45, 82.06, 82.45, 82.24, 67.3, 82.09, 64.57, 69.19, 68.35, 10.0, 21.98, 56.69, 53.36, 10.0, 61.55, 78.55, 66.75, 58.77]}
gen:41{ accuracy:[64.59, 10.0, 79.58, 27.35, 49.57, 27.32, 81.41, 27.15, 10.0, 79.96, 45.15, 81.76, 36.35, 16.11, 35.54, 37.83, 81.86, 81.96, 82.91, 58.65, 34.4, 19.21, 44.24, 82.5, 59.1, 70.27, 82.56, 80.59, 27.61, 80.06, 24.76, 79.18, 60.77, 75.97, 10.0, 10.0, 10.0, 58.44, 58.53, 73.03, 82.58, 25.59, 57.17, 10.0, 82.44, 82.48, 10.0, 34.81, 80.98, 10.0, 55.64, 81.57, 18.7, 43.53, 10.0, 82.53, 10.0, 80.42, 27.04, 61.08, 68.77, 10.0, 81.24, 66.16, 82.21, 82.32, 82.86, 80.11, 82.07, 77.0, 35.64, 60.55, 27.46, 55.28, 44.62]}
gen:42{ accuracy:[78.5, 82.82, 52.96, 38.93, 81.64, 82.92, 82.05, 71.88, 73.21, 82.4, 82.46, 83.2, 75.07, 82.09, 80.67, 80.56, 82.14, 68.23, 78.31, 81.97, 82.59, 82.28, 82.93, 77.82, 28.35, 82.29, 79.68, 71.45, 82.68, 81.89, 80.04, 82.7, 82.43, 72.65, 56.48, 18.36, 75.98, 72.15, 81.85, 68.29, 81.07, 81.66, 80.71, 82.97, 17.15, 79.39, 10.0, 68.34, 71.85, 81.81, 66.26, 26.57, 79.88, 82.62, 52.67, 41.18, 79.07, 49.31, 83.31, 67.8, 36.54, 75.9, 80.07, 81.44, 81.67, 81.27, 68.43, 81.48, 71.43, 49.06, 77.46, 82.17, 82.13, 80.07, 10.0]}
gen:43{ accuracy:[65.46, 81.89, 72.98, 79.67, 82.18, 81.83, 70.17, 79.38, 18.55, 78.94, 44.76, 74.42, 10.0, 57.41, 81.69, 79.68, 82.45, 43.29, 60.82, 31.68, 80.36, 65.64, 77.63, 82.03, 82.93, 82.71, 81.57, 79.93, 82.59, 83.32, 53.51, 17.34, 36.04, 55.96, 70.14, 82.5, 33.76, 73.57, 82.22, 68.3, 82.17, 73.54, 73.18, 73.19, 81.64, 82.2, 82.08, 81.3, 69.96, 82.28, 63.47, 79.57, 10.0, 50.48, 82.47, 78.16, 10.0, 10.0, 33.35, 53.28, 76.93, 58.12, 82.01, 74.58, 35.85, 71.1, 69.38, 57.36, 82.92, 82.69, 74.45, 71.56, 81.53, 80.99, 42.21]}
gen:44{ accuracy:[75.98, 68.88, 61.87, 63.31, 76.53, 76.64, 47.22, 73.47, 10.0, 80.87, 78.82, 63.19, 81.33, 72.33, 69.7, 10.0, 82.01, 82.97, 71.04, 81.31, 81.15, 43.41, 80.64, 79.82, 19.08, 67.36, 53.49, 78.62, 44.55, 77.65, 35.92, 80.92, 34.35, 80.76, 73.42, 53.64, 82.64, 65.02, 82.76, 82.31, 82.13, 81.44, 81.69, 38.28, 81.73, 76.73, 80.3, 81.88, 77.85, 77.36, 78.3, 10.0, 10.0, 77.69, 41.22, 72.7, 50.98, 72.1, 75.26, 72.12, 71.01, 82.52, 82.17, 59.06, 77.54, 77.5, 75.74, 61.75, 69.8, 82.82, 35.02, 63.88, 76.28, 16.96, 51.94]}
gen:45{ accuracy:[78.05, 81.42, 81.47, 42.57, 76.3, 81.13, 82.71, 81.82, 77.19, 77.71, 18.76, 51.2, 79.44, 77.01, 79.9, 81.2, 82.79, 80.71, 78.94, 79.49, 77.92, 83.01, 80.45, 83.5, 82.72, 80.12, 79.96, 82.28, 79.68, 82.01, 82.15, 66.85, 54.03, 50.07, 82.22, 82.75, 53.67, 68.38, 65.13, 55.18, 82.8, 84.02, 79.98, 83.24, 73.86, 82.02, 56.09, 79.11, 78.28, 81.92, 82.49, 82.78, 79.6, 68.85, 82.8, 71.18, 80.06, 82.32, 70.12, 79.46, 27.99, 81.64, 10.0, 53.51, 82.12, 81.33, 82.5, 78.41, 82.06, 82.72, 54.78, 82.48, 82.45, 54.15, 82.95]}
gen:46{ accuracy:[29.39, 68.27, 82.39, 10.0, 26.74, 18.91, 38.25, 65.15, 82.54, 82.17, 66.11, 54.52, 42.3, 51.57, 39.33, 82.25, 66.84, 81.61, 81.0, 83.43, 74.16, 82.9, 83.19, 83.18, 26.95, 17.52, 74.17, 35.85, 83.25, 66.63, 43.17, 17.53, 82.73, 77.17, 42.6, 35.46, 22.74, 74.5, 10.0, 83.59, 43.39, 84.16, 79.7, 51.38, 19.68, 82.65, 30.73, 51.69, 67.72, 10.0, 64.68, 10.0, 83.0, 81.8, 64.09, 83.35, 80.17, 60.45, 60.09, 83.43, 10.0, 64.84, 77.16, 54.47, 81.29, 73.01, 10.0, 40.75, 52.34, 35.95, 67.36, 81.32, 63.22, 81.8, 69.78]}
gen:47{ accuracy:[74.37, 75.57, 26.29, 81.94, 50.77, 83.39, 83.34, 83.65, 68.5, 82.67, 82.91, 84.8, 61.1, 10.0, 19.0, 67.46, 75.96, 82.08, 81.67, 83.55, 83.13, 84.13, 76.36, 83.17, 79.23, 26.58, 10.0, 50.02, 70.73, 81.23, 83.28, 77.89, 83.42, 83.95, 81.92, 82.61, 10.0, 82.16, 20.27, 63.78, 81.6, 81.32, 53.47, 81.91, 78.51, 83.31, 78.19, 80.3, 18.63, 25.47, 70.29, 83.21, 83.31, 82.87, 63.82, 83.92, 80.81, 81.67, 27.15, 17.03, 83.97, 27.13, 78.29, 75.45, 83.18, 83.98, 79.2, 82.76, 83.19, 83.77, 80.76, 19.97, 70.61, 82.45, 83.6]}
gen:48{ accuracy:[10.0, 76.15, 79.07, 73.05, 82.83, 10.0, 81.99, 82.51, 83.7, 10.0, 78.08, 10.0, 83.96, 83.64, 69.92, 81.32, 74.88, 10.0, 76.64, 84.78, 84.14, 74.53, 76.56, 80.22, 63.14, 83.41, 78.64, 43.83, 83.69, 10.0, 83.07, 10.0, 83.26, 10.0, 83.18, 78.72, 82.59, 68.37, 17.85, 18.71, 80.51, 66.38, 83.98, 39.68, 50.67, 10.0, 10.0, 83.66, 64.49, 83.12, 43.21, 10.0, 82.39, 82.19, 36.42, 19.03, 81.42, 71.44, 66.88, 84.3, 60.33, 82.85, 73.18, 84.65, 84.13, 10.0, 64.76, 76.69, 10.0, 59.62, 84.13, 82.84, 52.01, 59.91, 55.27]}
