gen:23{ accuracy:[45.39, 43.19, 10.0, 46.39, 50.18, 20.06, 10.0, 51.56, 52.67, 52.41, 51.74, 29.14, 47.81, 50.77, 43.97, 66.68, 61.45, 48.86, 56.95, 31.78, 50.52, 56.32, 41.55, 50.5, 40.58, 69.97, 52.64, 40.58, 45.94, 43.31, 32.72, 39.2, 50.11, 46.56, 9.98, 19.23, 42.9, 72.56, 40.77, 51.32, 49.4, 47.92, 58.43, 48.41, 10.0, 52.19, 38.15, 38.55, 53.23, 45.83, 20.18, 48.24, 48.37, 27.84, 9.99, 10.0, 39.68, 68.68, 37.03, 49.71, 42.52, 54.19, 41.74, 50.3, 46.83, 10.0, 48.34, 35.72, 9.99, 49.17, 44.02, 53.81, 49.11, 52.1, 48.57]}
gen:24{ accuracy:[10.0, 62.29, 50.48, 43.05, 54.95, 47.03, 44.76, 69.08, 63.1, 38.94, 52.51, 67.88, 63.29, 36.6, 50.22, 14.64, 61.47, 68.32, 69.37, 69.75, 47.01, 48.82, 47.32, 61.03, 53.53, 67.67, 54.28, 10.0, 67.21, 57.27, 64.28, 49.19, 50.48, 60.98, 10.0, 48.71, 67.36, 61.26, 60.71, 29.02, 51.54, 66.41, 64.85, 68.57, 46.5, 58.26, 27.37, 66.46, 10.0, 46.03, 64.99, 50.97, 30.53, 64.93, 50.67, 47.01, 44.32, 51.82, 10.0, 50.32, 67.8, 65.49, 47.05, 34.69, 68.82, 54.57, 59.91, 61.79, 34.62, 45.7, 62.86, 47.32, 30.25, 10.0, 32.67]}
gen:25{ accuracy:[64.89, 67.76, 69.78, 10.0, 54.57, 57.41, 50.23, 56.05, 10.0, 58.87, 46.54, 42.44, 67.8, 49.15, 58.37, 59.57, 67.4, 67.86, 70.24, 54.39, 70.16, 59.64, 69.56, 50.1, 69.07, 67.27, 10.0, 50.66, 72.95, 10.0, 64.49, 51.05, 69.45, 62.48, 73.66, 60.52, 74.92, 53.2, 66.42, 70.29, 52.94, 61.48, 69.27, 56.39, 57.64, 39.31, 71.59, 63.82, 60.15, 68.39, 48.12, 60.44, 62.14, 10.0, 67.25, 63.43, 58.44, 74.37, 10.0, 63.95, 66.3, 74.1, 73.61, 68.41, 10.0, 68.84, 69.58, 67.22, 65.45, 67.28, 10.0, 24.02, 39.84, 69.96, 25.7]}
gen:26{ accuracy:[54.62, 57.09, 71.58, 58.15, 68.31, 64.92, 71.37, 68.66, 52.01, 54.9, 63.39, 71.56, 51.77, 68.76, 59.7, 71.82, 62.52, 68.9, 64.83, 70.43, 65.37, 50.56, 10.0, 50.79, 53.45, 66.55, 53.94, 69.74, 71.12, 59.86, 71.98, 65.71, 69.29, 56.07, 68.54, 54.08, 49.73, 54.28, 57.68, 55.13, 60.18, 70.18, 69.67, 59.6, 66.14, 43.62, 68.82, 70.79, 66.3, 69.86, 67.92, 51.21, 70.64, 67.95, 68.88, 53.45, 54.07, 65.88, 64.19, 57.25, 68.43, 49.14, 69.89, 67.7, 68.64, 68.63, 64.06, 62.69, 61.97, 57.73, 70.69, 68.28, 61.73, 69.19, 71.86]}
gen:27{ accuracy:[53.03, 56.39, 72.4, 69.74, 68.3, 69.08, 64.01, 68.93, 69.84, 68.99, 69.57, 71.03, 39.88, 72.83, 70.23, 69.49, 51.35, 68.58, 62.01, 43.44, 69.29, 68.73, 67.44, 69.36, 69.09, 69.82, 73.08, 72.82, 70.69, 72.53, 72.03, 70.09, 52.81, 70.5, 42.07, 71.59, 66.83, 70.08, 57.28, 72.82, 74.16, 68.31, 65.66, 71.43, 71.94, 69.32, 69.19, 70.13, 69.19, 67.49, 66.38, 69.15, 71.1, 70.4, 72.27, 69.82, 29.89, 70.83, 60.75, 67.97, 63.4, 72.36, 72.4, 73.19, 67.93, 70.27, 70.21, 52.18, 25.38, 70.27, 15.02, 69.2, 69.31, 70.27, 58.16]}
gen:28{ accuracy:[71.33, 45.06, 71.84, 64.27, 70.35, 68.19, 70.36, 71.86, 50.37, 73.93, 73.1, 69.36, 69.62, 73.44, 66.66, 10.0, 66.75, 69.73, 67.47, 72.47, 68.07, 69.52, 72.15, 72.18, 73.96, 72.9, 69.87, 72.73, 69.78, 64.83, 54.15, 72.8, 60.1, 72.2, 70.44, 74.85, 43.14, 71.4, 66.43, 68.93, 71.45, 71.76, 73.55, 64.01, 68.56, 65.33, 70.17, 57.3, 70.64, 68.84, 71.18, 59.13, 71.75, 57.83, 10.0, 72.56, 73.87, 70.77, 70.84, 18.66, 71.35, 71.37, 66.8, 69.63, 68.03, 71.89, 31.85, 55.89, 67.0, 63.26, 64.86, 71.82, 62.15, 49.84, 54.82]}
gen:29{ accuracy:[54.41, 63.37, 68.39, 53.52, 69.0, 71.56, 73.65, 70.64, 53.64, 54.66, 72.91, 10.0, 73.02, 66.88, 52.47, 68.16, 70.94, 68.16, 73.53, 72.25, 73.41, 71.56, 66.01, 60.06, 70.86, 66.83, 47.53, 61.21, 72.95, 72.71, 61.56, 67.35, 71.04, 70.1, 25.21, 70.59, 46.19, 72.61, 72.22, 50.01, 73.74, 67.52, 70.67, 68.71, 72.13, 65.9, 63.16, 65.23, 73.53, 66.68, 72.13, 62.34, 70.79, 52.83, 49.28, 68.66, 70.53, 71.59, 68.32, 69.43, 70.68, 66.54, 59.55, 47.34, 70.05, 69.77, 69.21, 73.43, 72.34, 66.73, 61.35, 71.25, 46.87, 74.28, 54.44]}
gen:30{ accuracy:[62.74, 71.43, 69.19, 57.18, 73.05, 63.3, 71.78, 53.64, 70.66, 66.66, 24.64, 66.78, 71.9, 74.09, 73.54, 72.67, 70.71, 71.55, 53.47, 55.27, 72.49, 31.98, 53.8, 52.97, 52.63, 53.97, 23.47, 72.81, 37.7, 71.31, 67.05, 53.99, 74.48, 71.98, 63.42, 52.69, 74.04, 72.65, 53.65, 70.99, 73.03, 71.81, 53.27, 72.38, 51.57, 65.79, 66.98, 73.09, 74.82, 74.45, 54.51, 73.98, 55.28, 72.87, 70.38, 72.85, 74.92, 74.72, 52.93, 71.13, 54.45, 72.64, 73.43, 72.37, 74.74, 60.08, 45.45, 69.92, 32.51, 72.39, 65.66, 55.05, 54.9, 60.05, 72.55]}
gen:31{ accuracy:[47.83, 49.63, 60.88, 65.89, 49.55, 57.6, 27.39, 67.69, 71.27, 63.63, 44.63, 73.56, 49.14, 23.81, 49.72, 70.74, 72.27, 55.05, 72.81, 71.02, 73.67, 67.02, 52.78, 72.65, 64.21, 53.54, 56.67, 26.92, 66.64, 52.75, 57.59, 61.25, 57.81, 65.02, 62.87, 52.69, 69.04, 61.68, 73.64, 71.91, 62.09, 73.92, 70.62, 70.75, 72.26, 44.09, 46.59, 73.79, 36.71, 53.87, 10.0, 72.09, 71.82, 72.23, 71.22, 54.59, 15.23, 48.77, 25.69, 72.55, 67.72, 73.46, 74.13, 49.87, 66.56, 53.26, 71.58, 72.76, 56.16, 32.42, 52.52, 58.03, 34.65, 71.97, 72.51]}
gen:32{ accuracy:[66.31, 65.3, 75.33, 73.06, 73.31, 64.15, 52.74, 72.74, 59.37, 74.65, 74.2, 75.42, 73.73, 65.28, 69.29, 65.08, 65.39, 74.02, 10.0, 69.94, 61.28, 10.0, 74.48, 70.6, 55.51, 73.07, 51.89, 72.29, 44.01, 53.82, 73.73, 69.16, 64.43, 69.07, 74.54, 74.47, 73.92, 66.57, 39.78, 54.32, 10.0, 74.84, 68.94, 71.38, 73.73, 72.11, 47.1, 75.16, 53.98, 56.67, 53.49, 52.53, 66.38, 68.95, 70.54, 75.45, 73.54, 72.52, 73.58, 72.86, 52.81, 10.0, 72.53, 46.47, 64.32, 60.38, 67.53, 48.41, 50.93, 64.41, 33.77, 52.68, 72.9, 51.94, 72.06]}
