gen:0{ accuracy:[50.65, 35.29, 44.46, 18.51, 31.94, 39.68, 15.06, 10.0, 50.56, 10.0, 51.54, 41.41, 65.61, 40.53, 34.12, 54.37, 44.54, 31.9, 46.93, 52.28, 52.51, 31.64, 53.64, 39.02, 10.0, 46.44, 35.85, 34.26, 52.48, 40.07, 36.48, 55.67, 48.51, 42.08, 60.34, 10.0, 10.06, 23.3, 18.36, 42.81, 41.29, 15.74, 10.0, 29.84, 53.1, 46.4, 30.94, 36.28, 57.73, 35.88, 65.49, 49.43, 39.23, 36.44, 56.83, 32.0, 26.94, 10.0, 35.77, 51.01, 52.93, 51.56, 59.45, 10.0, 51.2, 43.12, 17.21, 44.84, 44.67, 46.41, 61.91, 16.49, 66.03, 37.22, 45.47]}
gen:1{ accuracy:[15.73, 60.32, 10.0, 34.06, 54.56, 40.22, 53.61, 46.51, 53.24, 44.41, 49.44, 24.02, 52.58, 46.71, 54.08, 40.33, 17.74, 39.14, 48.02, 29.98, 48.33, 63.13, 48.18, 54.17, 10.0, 16.19, 59.65, 16.68, 59.93, 56.66, 40.18, 43.75, 17.73, 37.31, 59.5, 71.74, 48.13, 56.33, 19.34, 57.26, 41.1, 47.68, 23.25, 47.39, 49.76, 27.9, 40.03, 32.13, 58.77, 50.42, 28.01, 64.5, 10.0, 69.88, 63.88, 10.0, 59.56, 20.76, 46.84, 61.09, 47.25, 54.1, 42.81, 63.86, 53.99, 54.61, 62.41, 38.65, 23.48, 52.28, 69.56, 55.29, 10.0, 37.11, 18.18]}
gen:2{ accuracy:[65.42, 10.0, 48.28, 10.0, 33.42, 38.11, 30.27, 62.88, 10.0, 57.51, 62.1, 45.16, 53.86, 55.36, 56.34, 62.26, 66.23, 64.78, 54.68, 69.63, 50.47, 45.29, 45.28, 48.04, 22.85, 10.0, 59.96, 48.29, 31.68, 57.62, 10.0, 49.18, 66.58, 10.0, 44.2, 63.68, 10.0, 71.84, 61.06, 54.65, 10.0, 70.35, 10.0, 57.63, 33.85, 55.41, 53.16, 54.24, 49.16, 45.07, 57.09, 52.57, 40.04, 61.34, 10.0, 63.67, 56.21, 56.71, 56.52, 47.31, 32.46, 62.76, 15.32, 10.0, 49.09, 64.89, 63.77, 39.48, 42.62, 66.36, 56.03, 25.22, 45.21, 31.09, 16.32]}
gen:3{ accuracy:[10.0, 18.04, 64.13, 65.69, 66.66, 10.0, 10.0, 67.17, 65.39, 62.48, 15.91, 10.0, 25.82, 34.43, 52.67, 63.25, 60.76, 28.46, 62.23, 40.38, 43.06, 66.69, 62.92, 17.54, 50.15, 71.76, 39.28, 10.0, 17.72, 56.83, 17.61, 10.0, 60.96, 46.48, 62.83, 10.0, 36.39, 44.97, 70.01, 57.4, 61.64, 10.0, 70.16, 56.13, 10.0, 69.91, 51.59, 57.53, 55.65, 59.24, 41.02, 10.0, 27.17, 59.22, 61.38, 31.78, 72.76, 44.89, 60.9, 52.2, 10.0, 56.96, 17.79, 53.51, 62.53, 70.77, 10.0, 55.22, 10.0, 62.24, 56.07, 37.2, 63.45, 10.0, 10.0]}
gen:4{ accuracy:[60.73, 43.87, 10.0, 69.17, 57.46, 42.4, 45.45, 53.05, 60.96, 47.27, 55.47, 67.21, 60.82, 50.15, 73.29, 43.48, 63.79, 63.98, 60.06, 51.31, 47.92, 10.0, 69.12, 70.54, 61.84, 10.0, 57.15, 10.0, 52.72, 26.72, 17.2, 34.9, 49.67, 54.53, 67.33, 45.43, 46.73, 51.52, 52.74, 71.66, 62.08, 35.68, 69.07, 42.7, 41.93, 10.0, 54.69, 49.79, 23.02, 61.49, 35.21, 58.61, 49.8, 51.33, 50.8, 61.01, 60.51, 53.0, 48.54, 60.7, 59.35, 59.61, 17.49, 49.82, 39.11, 24.35, 60.97, 40.57, 69.54, 60.36, 49.17, 45.73, 69.05, 64.01, 56.44]}
gen:5{ accuracy:[64.8, 55.45, 60.55, 69.59, 64.99, 44.63, 56.14, 66.33, 62.47, 43.0, 63.11, 29.79, 32.49, 26.48, 60.33, 72.49, 38.72, 50.92, 64.66, 69.41, 64.79, 52.31, 48.89, 70.16, 69.31, 48.79, 44.01, 61.1, 56.33, 32.17, 71.78, 10.0, 62.0, 65.41, 66.4, 66.34, 56.35, 65.0, 34.33, 63.63, 65.02, 36.7, 10.0, 65.37, 35.62, 70.5, 53.77, 49.2, 45.28, 49.63, 10.04, 65.57, 67.0, 41.99, 66.61, 46.23, 44.54, 68.97, 67.01, 62.99, 63.78, 29.83, 42.97, 70.42, 26.72, 63.99, 69.96, 53.1, 61.96, 43.05, 28.27, 10.0, 62.56, 54.57, 64.95]}
gen:6{ accuracy:[47.72, 10.0, 62.59, 49.51, 43.68, 49.15, 17.78, 59.59, 44.21, 64.26, 30.1, 67.54, 66.95, 68.18, 63.55, 55.38, 61.94, 50.99, 57.44, 49.44, 62.04, 65.21, 67.59, 69.59, 69.12, 23.82, 59.68, 59.01, 15.83, 61.29, 10.0, 69.18, 43.94, 70.39, 50.04, 10.0, 69.26, 62.83, 19.28, 62.91, 35.88, 65.19, 65.65, 49.39, 70.99, 69.69, 17.2, 61.46, 33.6, 49.83, 67.67, 41.09, 62.4, 17.81, 33.36, 50.61, 67.57, 68.4, 49.24, 23.7, 62.76, 36.8, 68.37, 48.28, 65.33, 39.78, 66.21, 69.45, 45.12, 48.72, 58.53, 30.06, 60.37, 69.18, 61.03]}
gen:7{ accuracy:[47.94, 65.58, 66.95, 51.26, 67.6, 68.82, 68.1, 44.66, 44.49, 43.46, 54.7, 55.81, 60.07, 71.18, 52.42, 49.74, 71.76, 66.98, 17.62, 61.59, 54.6, 62.88, 70.1, 50.96, 10.03, 67.02, 69.22, 49.29, 49.29, 59.09, 71.92, 50.05, 34.02, 51.41, 53.46, 69.69, 54.73, 69.31, 71.96, 16.67, 65.37, 70.94, 26.06, 61.13, 59.81, 49.0, 29.81, 60.76, 66.55, 69.68, 63.44, 67.17, 57.05, 61.75, 54.42, 52.41, 17.39, 68.7, 46.44, 70.08, 48.83, 17.34, 71.62, 69.08, 67.41, 55.51, 56.53, 52.65, 59.89, 68.85, 71.29, 65.01, 71.32, 62.62, 68.46]}
gen:8{ accuracy:[25.06, 51.29, 62.04, 10.0, 19.18, 48.25, 70.28, 48.79, 30.33, 61.05, 60.88, 74.6, 20.69, 69.68, 63.95, 63.02, 70.84, 59.17, 49.13, 67.97, 70.1, 71.22, 67.05, 70.06, 17.52, 69.34, 69.92, 69.57, 57.99, 50.26, 70.82, 66.05, 58.9, 47.58, 70.21, 59.74, 50.16, 10.0, 63.72, 10.0, 10.0, 55.71, 69.22, 69.35, 50.25, 10.0, 49.21, 69.43, 46.37, 69.56, 72.2, 10.0, 61.94, 72.48, 69.93, 60.88, 67.18, 50.32, 67.78, 69.18, 69.66, 65.03, 30.03, 55.84, 67.13, 59.62, 46.24, 74.06, 68.11, 69.0, 67.26, 69.55, 73.74, 63.18, 71.96]}
gen:9{ accuracy:[67.14, 41.9, 39.39, 55.65, 63.71, 54.64, 24.59, 56.02, 54.82, 71.32, 61.73, 61.27, 68.34, 48.5, 62.95, 71.33, 64.51, 64.54, 43.42, 62.43, 70.77, 70.37, 67.61, 10.0, 69.37, 63.1, 40.62, 72.5, 64.64, 35.37, 44.44, 35.97, 25.44, 62.27, 64.46, 70.82, 49.29, 54.04, 62.22, 68.95, 68.75, 47.18, 69.98, 39.53, 73.51, 48.57, 54.7, 66.11, 69.87, 43.99, 22.78, 58.99, 64.92, 10.0, 47.81, 54.27, 66.79, 70.14, 48.75, 55.19, 60.36, 63.97, 54.29, 69.64, 46.42, 49.08, 72.01, 61.68, 47.26, 72.4, 64.11, 49.28, 68.24, 73.7, 59.15]}
