gen:39{ accuracy:[10.0, 66.1, 62.99, 63.59, 19.62, 63.74, 62.43, 68.47, 44.63, 21.72, 66.58, 68.42, 67.07, 53.86, 10.0, 51.06, 18.28, 31.64, 60.95, 66.95, 63.94, 63.34, 67.34, 67.21, 66.37, 30.64, 65.87, 36.09, 40.01, 65.77, 38.21, 61.03, 66.15, 63.59, 10.0, 58.77, 63.29, 53.59, 66.06, 66.73, 58.94, 63.62, 10.0, 60.5, 10.0, 61.58, 61.73, 67.81, 68.56, 65.95, 62.98, 66.23, 62.82, 58.72, 10.0, 62.94, 66.11, 42.73, 64.04, 64.94, 66.06, 50.7, 19.44, 63.93, 63.48, 64.63, 65.79, 65.53, 66.04, 64.86, 50.65, 57.67, 61.64, 67.58, 44.54]}
gen:40{ accuracy:[58.96, 62.66, 65.39, 66.92, 66.9, 67.12, 63.05, 64.17, 67.86, 65.68, 65.86, 65.88, 69.14, 63.91, 62.85, 62.95, 59.95, 63.99, 64.44, 66.77, 65.62, 62.87, 60.2, 60.24, 10.0, 68.12, 67.68, 68.43, 59.07, 44.38, 59.85, 49.67, 66.48, 36.37, 66.23, 63.83, 55.56, 66.19, 64.19, 10.0, 61.15, 66.67, 66.38, 67.47, 10.0, 65.95, 56.54, 66.13, 66.91, 67.49, 67.75, 59.85, 64.34, 61.18, 66.78, 68.13, 62.7, 60.94, 60.92, 62.85, 66.65, 68.1, 61.92, 62.69, 63.77, 68.74, 17.83, 64.0, 55.48, 64.64, 68.39, 41.66, 67.59, 59.61, 68.17]}
gen:41{ accuracy:[59.13, 65.06, 67.19, 66.71, 68.21, 68.18, 61.62, 63.48, 55.51, 51.59, 66.33, 50.11, 68.84, 29.48, 69.56, 47.8, 63.73, 67.36, 66.75, 59.45, 56.03, 64.97, 47.79, 68.52, 61.35, 67.9, 46.66, 68.55, 67.24, 41.6, 52.47, 60.26, 61.07, 70.16, 67.48, 64.63, 67.2, 30.52, 65.66, 66.51, 67.35, 54.62, 49.82, 57.98, 69.32, 50.96, 62.18, 54.26, 65.66, 48.16, 68.1, 67.19, 67.64, 32.57, 65.69, 60.85, 67.46, 68.3, 39.82, 43.97, 39.73, 69.03, 63.29, 52.97, 56.96, 63.78, 49.14, 63.28, 45.84, 50.37, 27.48, 55.44, 58.38, 49.38, 48.69]}
gen:42{ accuracy:[67.3, 69.23, 42.7, 53.07, 65.36, 67.26, 67.08, 68.77, 63.59, 44.76, 48.94, 67.7, 67.12, 28.25, 68.37, 68.84, 67.54, 60.5, 62.96, 66.54, 44.79, 32.06, 67.45, 68.59, 38.78, 63.4, 65.3, 66.43, 53.4, 32.87, 60.97, 52.12, 59.99, 64.18, 59.55, 35.46, 68.26, 67.99, 67.68, 50.45, 51.73, 50.84, 67.71, 35.09, 67.8, 67.25, 59.11, 60.04, 40.37, 68.51, 51.62, 67.52, 64.06, 38.01, 61.4, 65.97, 67.46, 68.46, 65.82, 65.98, 30.55, 67.15, 50.77, 66.49, 62.5, 51.08, 65.9, 33.42, 62.01, 67.01, 68.16, 68.67, 51.58, 64.82, 61.76]}
gen:43{ accuracy:[10.0, 50.92, 10.0, 35.07, 10.0, 56.46, 52.49, 42.05, 27.16, 31.09, 67.97, 43.58, 10.0, 41.89, 16.31, 10.0, 63.73, 41.02, 10.0, 10.0, 16.9, 10.0, 63.45, 66.37, 10.0, 10.0, 66.78, 65.18, 27.66, 49.33, 56.32, 66.3, 52.38, 49.57, 10.0, 56.08, 67.15, 57.25, 10.0, 40.75, 10.0, 64.64, 10.0, 10.0, 69.04, 10.0, 64.59, 66.84, 65.72, 49.58, 52.64, 61.65, 46.6, 37.33, 10.0, 48.98, 65.86, 61.4, 10.0, 10.0, 14.69, 63.88, 44.81, 14.48, 60.86, 64.16, 64.54, 64.49, 67.53, 54.13, 64.25, 10.0, 52.21, 10.0, 44.53]}
gen:44{ accuracy:[10.0, 66.27, 30.45, 17.18, 38.45, 49.01, 57.99, 53.86, 18.38, 60.55, 43.78, 66.67, 44.95, 64.31, 61.94, 27.87, 56.88, 17.38, 32.32, 61.39, 64.1, 35.63, 59.54, 17.4, 67.18, 64.8, 61.51, 50.81, 53.89, 65.89, 63.0, 43.58, 50.49, 63.04, 65.24, 66.02, 64.66, 10.05, 64.06, 64.17, 10.0, 51.04, 64.79, 61.63, 64.19, 66.73, 17.28, 65.55, 67.18, 48.6, 65.12, 50.99, 61.87, 62.2, 59.22, 59.69, 53.29, 66.75, 56.78, 64.88, 49.74, 65.78, 62.43, 18.0, 52.88, 62.98, 53.39, 10.0, 55.83, 17.38, 65.16, 48.89, 10.0, 59.65, 10.0]}
gen:45{ accuracy:[65.45, 31.31, 64.45, 50.94, 23.63, 61.21, 56.94, 10.0, 50.45, 65.49, 60.86, 67.27, 45.62, 62.73, 58.77, 63.39, 16.53, 65.49, 10.0, 63.38, 64.64, 38.96, 70.77, 65.87, 48.48, 64.73, 69.47, 31.09, 60.65, 56.41, 30.29, 66.05, 28.27, 48.65, 71.22, 45.2, 41.58, 69.01, 49.23, 49.71, 10.0, 66.62, 45.8, 55.44, 50.33, 69.77, 63.22, 51.01, 10.0, 64.69, 22.98, 42.19, 66.1, 48.92, 64.62, 58.51, 61.64, 32.22, 49.73, 65.86, 68.92, 64.96, 57.14, 49.58, 10.0, 10.0, 65.39, 65.84, 63.09, 52.3, 17.38, 64.24, 65.72, 61.95, 48.14]}
gen:46{ accuracy:[51.69, 54.38, 53.71, 65.65, 58.76, 40.69, 57.74, 64.67, 68.58, 18.24, 18.04, 24.93, 50.04, 61.01, 50.44, 68.28, 63.94, 60.77, 29.98, 10.0, 18.21, 23.02, 17.03, 37.26, 67.37, 60.45, 49.16, 50.02, 47.28, 36.03, 68.53, 45.28, 64.83, 50.96, 65.6, 62.15, 52.24, 67.62, 59.58, 52.85, 50.75, 16.91, 60.81, 63.86, 69.88, 68.58, 10.0, 64.71, 66.34, 65.39, 44.81, 65.8, 62.33, 70.26, 69.85, 67.73, 65.36, 52.43, 65.68, 66.83, 62.71, 46.19, 66.03, 50.08, 68.5, 16.49, 68.35, 64.7, 60.87, 69.13, 53.2, 17.65, 10.0, 69.52, 67.63]}
gen:47{ accuracy:[54.56, 61.19, 50.34, 54.14, 67.06, 66.79, 33.14, 48.94, 55.17, 28.07, 46.49, 69.62, 59.65, 67.36, 55.4, 60.06, 40.86, 44.2, 17.93, 47.56, 51.54, 66.48, 69.91, 55.27, 10.0, 33.55, 62.29, 60.38, 10.0, 66.38, 65.36, 58.66, 45.03, 47.41, 67.05, 70.06, 10.0, 48.93, 37.99, 37.58, 24.6, 68.78, 65.21, 35.92, 66.93, 30.32, 50.25, 65.72, 54.7, 61.5, 70.04, 68.72, 68.62, 46.15, 14.58, 47.76, 66.33, 56.22, 61.97, 55.42, 15.25, 39.64, 52.59, 60.75, 48.74, 45.0, 10.0, 68.69, 19.8, 69.63, 48.01, 53.12, 10.0, 10.0, 48.86]}
gen:48{ accuracy:[50.15, 69.41, 64.94, 51.56, 10.0, 64.52, 10.0, 10.0, 15.97, 48.67, 69.18, 10.0, 68.97, 28.41, 55.45, 70.11, 53.28, 63.47, 61.23, 10.0, 10.11, 51.95, 22.44, 50.02, 53.16, 55.15, 47.95, 52.42, 27.53, 10.0, 70.18, 69.7, 63.77, 69.32, 10.0, 22.12, 54.15, 53.25, 70.76, 48.32, 68.87, 62.78, 70.18, 48.91, 34.42, 16.46, 64.73, 10.0, 52.16, 29.93, 52.49, 58.15, 68.56, 13.97, 62.18, 24.76, 70.33, 53.76, 64.02, 70.0, 10.0, 10.0, 9.99, 52.75, 51.41, 60.37, 19.88, 10.0, 52.39, 10.8, 57.42, 53.24, 10.0, 10.01, 24.52]}
