gen:0{ accuracy:[57.8, 47.24, 32.83, 31.82, 51.16, 48.48, 56.14, 43.71, 24.26, 10.0, 55.77, 10.0, 39.49, 23.84, 25.27, 47.14, 47.6, 52.53, 57.24, 40.89, 34.9, 17.12, 50.82, 39.48, 39.04, 31.37, 9.99, 65.38, 31.25, 45.87, 36.59, 32.15, 54.06, 59.56, 21.86, 64.67, 43.62, 64.14, 46.26, 40.59, 63.98, 51.41, 30.85, 10.2, 39.44, 48.47, 30.22, 44.95, 41.59, 28.12, 41.38, 35.26, 46.54, 48.73, 47.58, 59.43, 10.0, 56.78, 59.18, 17.1, 55.2, 36.05, 59.58, 53.13, 10.0, 29.8, 65.05, 20.7, 65.6, 10.0, 42.85, 55.6, 48.31, 16.92, 35.62]}
gen:1{ accuracy:[45.01, 42.59, 65.22, 62.35, 65.87, 39.12, 30.23, 51.75, 38.8, 44.16, 58.97, 44.63, 59.83, 50.07, 30.3, 10.0, 28.56, 10.0, 25.95, 10.0, 65.39, 32.19, 45.56, 59.48, 60.87, 61.76, 61.73, 51.01, 65.24, 52.55, 49.0, 49.85, 51.61, 24.61, 53.95, 58.24, 40.96, 35.14, 55.19, 44.73, 53.81, 10.0, 64.06, 65.67, 46.81, 44.02, 40.47, 59.27, 48.48, 54.32, 56.32, 56.79, 62.2, 42.21, 63.6, 54.01, 59.17, 39.07, 53.13, 26.0, 57.04, 57.84, 63.15, 57.97, 65.07, 59.38, 65.15, 43.76, 62.38, 51.03, 55.63, 51.43, 58.39, 47.98, 10.0]}
gen:2{ accuracy:[32.78, 35.71, 10.0, 52.11, 45.69, 48.06, 47.92, 20.98, 28.56, 50.31, 60.96, 42.13, 10.0, 44.46, 41.92, 64.67, 54.35, 43.36, 30.77, 37.6, 60.97, 38.82, 27.96, 46.1, 26.91, 60.95, 47.02, 41.53, 39.32, 58.78, 41.7, 43.24, 16.62, 18.27, 10.0, 38.95, 44.83, 52.46, 30.63, 53.08, 62.86, 55.24, 50.44, 35.84, 10.0, 33.45, 10.0, 56.67, 10.0, 43.89, 19.54, 31.39, 55.69, 21.3, 54.66, 26.12, 20.86, 15.67, 10.0, 21.95, 53.74, 47.23, 58.79, 31.21, 10.0, 36.44, 32.53, 10.0, 40.09, 46.38, 10.0, 35.85, 38.67, 38.57, 53.29]}
gen:3{ accuracy:[51.19, 48.15, 50.91, 50.09, 65.21, 50.51, 41.56, 29.76, 51.63, 41.99, 10.0, 10.0, 51.79, 23.75, 35.03, 35.27, 34.61, 14.39, 63.25, 51.55, 48.92, 56.31, 53.8, 45.01, 54.19, 52.55, 41.34, 61.89, 34.63, 59.64, 51.98, 55.18, 10.0, 37.14, 43.13, 55.44, 41.43, 50.34, 62.98, 33.44, 48.11, 49.15, 45.11, 56.38, 45.74, 52.75, 10.0, 53.58, 56.39, 42.81, 41.95, 58.45, 47.0, 56.16, 50.58, 15.37, 33.97, 56.64, 40.39, 47.25, 53.68, 57.78, 51.22, 55.49, 42.3, 46.64, 45.26, 59.13, 48.17, 47.43, 10.0, 41.74, 55.08, 51.78, 48.25]}
gen:4{ accuracy:[52.56, 44.62, 53.51, 56.05, 61.48, 52.89, 41.82, 10.0, 54.72, 48.1, 56.15, 48.82, 50.74, 42.22, 41.13, 47.8, 60.76, 41.55, 36.74, 50.23, 31.76, 48.31, 50.61, 51.37, 65.12, 57.0, 39.22, 39.8, 61.03, 54.22, 53.9, 42.18, 51.47, 47.62, 53.1, 59.16, 53.9, 10.0, 39.54, 51.9, 22.81, 42.85, 34.96, 64.41, 58.79, 39.66, 59.23, 52.62, 57.11, 47.71, 28.33, 25.72, 49.07, 46.1, 41.34, 50.77, 55.71, 46.39, 30.91, 60.44, 48.12, 15.8, 45.61, 22.14, 51.52, 35.34, 49.78, 30.1, 50.49, 57.61, 44.81, 36.67, 20.96, 55.74, 49.22]}
gen:5{ accuracy:[46.9, 40.15, 59.72, 63.33, 20.47, 64.83, 52.28, 48.58, 50.33, 37.96, 40.74, 44.97, 13.56, 55.14, 51.77, 57.58, 62.19, 51.52, 44.76, 45.42, 46.56, 37.73, 42.39, 65.13, 50.19, 35.03, 10.0, 63.66, 52.18, 60.08, 52.22, 48.42, 52.05, 41.7, 27.25, 52.13, 64.86, 61.35, 55.66, 51.8, 47.79, 51.67, 59.36, 39.41, 54.29, 42.34, 41.88, 64.77, 10.0, 61.54, 52.81, 44.0, 59.62, 62.54, 49.17, 42.23, 10.0, 46.03, 47.41, 58.63, 37.66, 59.63, 56.17, 37.35, 53.75, 56.13, 63.95, 34.21, 64.41, 34.92, 10.0, 52.61, 66.57, 44.97, 44.06]}
gen:6{ accuracy:[48.97, 55.5, 18.2, 55.3, 58.43, 10.0, 64.93, 17.99, 30.56, 45.57, 39.0, 40.19, 43.91, 36.42, 62.4, 21.1, 64.69, 48.24, 47.22, 42.41, 34.19, 36.07, 10.0, 61.69, 49.52, 64.4, 56.83, 10.0, 57.36, 42.78, 49.52, 21.26, 55.68, 43.87, 67.72, 60.65, 61.17, 10.0, 48.15, 15.5, 10.0, 53.81, 40.13, 34.13, 52.55, 43.63, 45.27, 66.64, 47.62, 43.45, 24.73, 64.25, 55.96, 45.31, 55.11, 30.13, 27.41, 10.0, 56.49, 54.91, 60.7, 47.38, 36.97, 47.18, 42.18, 34.11, 50.07, 25.01, 50.48, 49.69, 50.02, 56.75, 62.24, 58.01, 66.54]}
gen:7{ accuracy:[10.0, 46.57, 38.62, 36.62, 49.34, 69.38, 10.0, 62.7, 43.33, 68.97, 61.61, 57.38, 61.47, 57.78, 50.63, 64.67, 10.0, 45.18, 10.0, 47.38, 63.04, 23.3, 42.53, 57.49, 10.0, 15.36, 43.32, 68.58, 39.95, 53.56, 57.85, 56.65, 57.17, 44.38, 59.85, 56.37, 34.31, 69.85, 51.06, 10.0, 53.21, 64.52, 63.61, 48.71, 50.12, 64.76, 58.28, 37.86, 61.32, 10.0, 10.0, 65.73, 51.72, 69.96, 64.58, 61.85, 61.83, 67.9, 57.1, 54.62, 42.48, 52.82, 10.0, 55.11, 49.56, 10.0, 55.4, 55.77, 68.81, 48.85, 53.7, 58.69, 44.08, 18.43, 63.43]}
gen:8{ accuracy:[63.9, 61.29, 58.18, 54.25, 64.93, 10.0, 49.06, 64.96, 60.17, 41.96, 64.59, 64.49, 23.42, 10.0, 51.6, 63.38, 44.09, 63.47, 50.03, 68.65, 62.27, 64.87, 63.15, 56.5, 63.6, 36.09, 55.95, 28.05, 10.0, 64.19, 63.69, 56.91, 64.54, 10.0, 55.0, 57.03, 41.46, 55.01, 62.28, 43.54, 37.41, 60.62, 28.81, 53.47, 58.39, 66.86, 62.63, 48.56, 58.89, 56.33, 10.0, 53.89, 55.49, 54.99, 61.87, 50.7, 60.42, 63.35, 52.29, 56.98, 57.01, 56.2, 63.31, 65.56, 60.91, 63.72, 27.24, 51.07, 60.04, 43.45, 59.41, 58.51, 60.87, 56.19, 65.16]}
gen:9{ accuracy:[63.79, 66.76, 40.33, 67.37, 10.0, 54.65, 46.72, 51.56, 53.19, 58.48, 65.57, 49.61, 54.76, 60.56, 57.26, 67.43, 57.93, 44.14, 58.53, 32.49, 60.97, 68.48, 68.26, 61.28, 50.26, 28.94, 41.85, 58.04, 67.16, 60.15, 48.44, 22.29, 51.67, 68.66, 61.69, 63.71, 49.59, 62.2, 56.39, 45.35, 62.43, 68.48, 24.76, 36.85, 67.52, 67.25, 44.82, 65.16, 43.37, 67.86, 52.83, 30.3, 38.4, 64.54, 37.69, 61.51, 52.85, 49.33, 28.96, 64.76, 34.57, 57.26, 48.77, 67.71, 34.55, 45.73, 67.37, 64.95, 46.81, 66.77, 15.9, 33.48, 67.93, 49.32, 10.0]}
