gen:0{ accuracy:[54.76, 60.83, 68.98, 50.07, 60.7, 46.46, 66.22, 60.74, 48.93, 43.56, 45.78, 51.73, 42.91, 50.14, 32.22, 42.94, 44.91, 61.48, 52.67, 23.97, 54.76, 24.35, 36.78, 66.38, 57.72, 39.38, 41.89, 45.98, 36.39, 49.56, 64.83, 55.81, 43.57, 54.41, 55.9, 46.44, 44.98, 10.0, 65.72, 66.1, 46.04, 55.0, 57.03, 47.83, 45.96, 43.05, 60.88, 48.47, 47.52, 51.17, 30.24, 44.85, 68.32, 46.95, 43.91, 67.56, 53.72, 28.92, 51.24, 43.43, 43.25, 50.15, 63.66, 67.06, 33.69, 53.92, 41.68, 55.61, 42.73, 67.35, 46.73, 62.45, 46.21, 61.95, 51.36]}
gen:1{ accuracy:[38.13, 68.51, 65.77, 59.72, 66.27, 60.76, 51.23, 46.38, 42.18, 60.96, 67.05, 71.85, 56.62, 68.58, 68.38, 46.55, 68.85, 34.57, 47.78, 66.99, 27.6, 72.47, 38.77, 62.14, 27.53, 63.87, 65.66, 71.23, 44.63, 61.06, 62.81, 46.27, 63.37, 31.08, 47.43, 54.21, 10.0, 65.44, 51.88, 69.02, 51.45, 66.25, 51.93, 39.61, 38.99, 38.64, 52.66, 35.4, 53.15, 16.4, 61.08, 64.94, 53.73, 10.0, 43.86, 48.07, 53.01, 66.57, 67.92, 66.55, 45.83, 33.78, 52.79, 51.43, 48.57, 69.35, 57.68, 65.71, 10.0, 63.14, 70.13, 20.75, 40.82, 61.24, 43.09]}
gen:2{ accuracy:[63.54, 56.24, 64.38, 31.07, 25.4, 46.32, 63.0, 47.01, 51.3, 60.9, 54.16, 70.77, 33.37, 59.28, 40.53, 42.05, 54.01, 55.84, 65.03, 68.94, 64.47, 27.39, 16.6, 41.04, 64.28, 37.19, 10.0, 17.69, 65.69, 39.08, 66.17, 32.87, 68.08, 10.0, 47.3, 64.4, 59.16, 57.89, 38.07, 52.45, 39.65, 12.99, 60.42, 61.7, 26.05, 64.37, 64.03, 59.36, 62.92, 25.08, 54.22, 51.0, 57.13, 68.54, 51.83, 70.62, 57.19, 39.98, 48.24, 10.0, 62.68, 62.37, 29.98, 43.09, 56.57, 56.14, 17.59, 60.28, 65.78, 36.83, 63.55, 45.15, 10.0, 63.16, 56.99]}
gen:3{ accuracy:[58.71, 62.85, 71.59, 54.86, 53.83, 52.12, 35.76, 55.65, 69.07, 63.19, 53.52, 56.8, 62.49, 47.87, 66.48, 42.38, 60.86, 56.92, 58.91, 64.82, 64.32, 55.92, 58.26, 69.09, 63.02, 36.07, 60.7, 67.79, 47.04, 59.75, 70.35, 10.0, 48.19, 51.99, 62.25, 60.47, 54.12, 48.84, 59.66, 32.47, 73.26, 36.68, 33.41, 65.53, 64.95, 56.42, 63.51, 55.6, 58.16, 66.15, 61.87, 67.62, 63.42, 61.31, 58.67, 67.69, 42.53, 56.46, 39.21, 47.66, 74.06, 48.17, 29.63, 60.64, 65.65, 61.13, 51.06, 46.15, 69.86, 66.29, 51.75, 64.62, 65.93, 72.76, 19.78]}
gen:4{ accuracy:[73.13, 66.16, 67.91, 27.79, 67.25, 67.61, 46.29, 63.13, 54.45, 50.72, 61.0, 63.52, 62.75, 68.76, 41.44, 68.09, 62.73, 67.01, 39.11, 71.47, 53.2, 48.57, 62.79, 47.37, 63.93, 64.42, 64.14, 50.87, 53.99, 57.74, 46.19, 65.48, 60.05, 64.33, 71.07, 66.67, 63.65, 61.42, 68.69, 59.32, 53.95, 56.45, 57.49, 65.84, 63.67, 64.45, 65.79, 10.0, 70.91, 70.74, 68.19, 63.96, 66.11, 71.13, 51.93, 63.74, 63.66, 63.17, 58.4, 58.7, 45.31, 55.47, 46.69, 65.59, 53.79, 40.89, 60.81, 55.19, 46.98, 20.29, 70.77, 33.35, 63.36, 44.44, 63.33]}
gen:5{ accuracy:[54.06, 55.08, 62.14, 46.28, 58.08, 68.6, 54.96, 47.09, 54.81, 57.16, 65.68, 53.1, 10.01, 54.93, 66.87, 53.26, 65.49, 51.03, 64.17, 68.2, 69.22, 59.95, 65.4, 47.36, 51.93, 57.6, 69.19, 63.41, 54.57, 27.19, 46.14, 67.06, 62.07, 54.85, 68.88, 70.48, 10.0, 31.82, 61.17, 62.06, 67.37, 72.76, 69.32, 64.26, 54.41, 67.82, 52.98, 61.49, 67.67, 69.08, 53.79, 61.04, 30.63, 63.44, 51.24, 50.33, 63.85, 67.59, 58.29, 32.08, 72.13, 61.09, 64.66, 69.58, 10.0, 67.98, 67.65, 26.18, 62.92, 57.09, 30.44, 67.01, 43.36, 62.33, 49.57]}
gen:6{ accuracy:[10.0, 35.48, 49.11, 52.49, 61.57, 50.21, 16.43, 48.04, 52.19, 53.4, 10.0, 15.46, 67.13, 26.41, 64.88, 69.67, 38.16, 58.29, 45.11, 51.56, 52.73, 48.72, 33.23, 21.07, 68.58, 42.6, 52.0, 45.31, 26.48, 46.56, 65.09, 61.53, 48.89, 61.0, 68.16, 68.02, 10.0, 49.74, 31.57, 69.91, 68.51, 59.36, 61.44, 65.74, 49.12, 46.91, 51.85, 51.8, 69.51, 41.76, 69.32, 51.81, 49.66, 59.49, 64.29, 32.11, 49.42, 10.0, 56.25, 10.0, 58.33, 59.7, 68.85, 36.2, 49.63, 69.01, 61.05, 10.0, 47.57, 10.0, 68.72, 67.22, 65.5, 53.55, 52.63]}
gen:7{ accuracy:[50.26, 27.34, 57.64, 69.9, 37.45, 37.85, 68.71, 24.8, 50.56, 10.0, 47.33, 43.05, 23.03, 67.88, 68.96, 61.8, 57.82, 50.05, 66.41, 50.17, 10.0, 61.86, 54.09, 65.7, 50.16, 42.86, 9.98, 54.48, 46.62, 62.12, 45.6, 69.08, 42.36, 60.54, 54.51, 68.81, 67.94, 68.27, 60.66, 48.89, 67.21, 61.21, 71.02, 39.29, 65.66, 51.86, 40.35, 67.43, 45.68, 42.19, 63.45, 54.8, 50.63, 44.6, 40.26, 57.96, 37.69, 68.25, 60.38, 49.58, 65.7, 10.65, 59.98, 68.4, 65.7, 10.0, 58.42, 67.61, 47.45, 69.99, 39.53, 61.89, 69.94, 61.77, 66.56]}
gen:8{ accuracy:[52.18, 69.53, 48.01, 44.63, 59.67, 59.73, 68.13, 36.17, 68.95, 72.16, 58.72, 45.77, 45.44, 51.74, 66.69, 66.27, 66.3, 33.17, 59.67, 66.83, 53.16, 67.9, 67.98, 46.76, 58.0, 52.68, 51.76, 52.18, 70.21, 69.12, 67.77, 48.18, 63.32, 67.39, 70.35, 50.21, 64.24, 72.36, 62.08, 64.49, 67.71, 64.91, 69.15, 58.77, 29.71, 62.52, 50.82, 52.98, 59.68, 70.45, 67.63, 70.93, 69.72, 66.79, 42.51, 69.12, 67.8, 32.75, 68.9, 68.08, 42.64, 63.49, 58.25, 63.12, 67.99, 65.44, 67.25, 66.79, 46.74, 51.09, 67.87, 68.89, 68.18, 66.58, 66.99]}
gen:9{ accuracy:[70.19, 67.01, 65.17, 69.04, 69.34, 69.67, 62.52, 62.49, 69.47, 68.09, 70.51, 52.96, 50.99, 70.07, 67.29, 57.93, 57.37, 69.0, 48.45, 66.99, 58.17, 10.0, 72.43, 70.88, 52.1, 71.15, 50.85, 10.0, 10.0, 10.0, 62.74, 66.59, 10.0, 70.0, 68.09, 45.5, 69.3, 62.53, 65.79, 67.63, 60.74, 10.0, 69.5, 10.0, 66.41, 61.07, 64.91, 67.65, 67.61, 73.67, 59.58, 63.13, 67.95, 65.14, 65.0, 67.77, 51.17, 69.21, 68.22, 69.18, 55.58, 68.08, 35.82, 67.42, 70.71, 67.59, 60.87, 69.82, 10.0, 70.15, 49.81, 67.83, 64.71, 70.4, 68.82]}
