gen:0{ accuracy:[66.81, 32.96, 50.28, 53.27, 67.7, 43.26, 58.97, 35.45, 52.77, 46.74, 41.82, 10.0, 47.66, 49.52, 66.44, 42.48, 56.29, 36.27, 29.08, 50.4, 49.8, 44.03, 32.95, 42.57, 65.95, 49.67, 71.59, 46.63, 56.08, 47.48, 59.95, 52.43, 64.97, 44.69, 62.86, 49.79, 54.7, 45.09, 51.33, 60.44, 53.4, 49.85, 24.47, 58.66, 47.92, 66.92, 53.23, 63.05, 66.15, 64.7, 41.29, 47.65, 37.76, 48.23, 44.29, 45.95, 33.14, 38.35, 57.33, 44.16, 62.86, 31.57, 47.48, 46.52, 36.35, 40.3, 36.29, 36.84, 56.1, 30.67, 58.57, 69.16, 55.54, 52.26, 46.1]}
gen:1{ accuracy:[52.64, 70.22, 72.72, 51.44, 65.27, 51.96, 66.08, 26.16, 60.51, 48.69, 56.1, 62.87, 71.72, 48.93, 71.48, 58.95, 66.46, 53.18, 47.72, 55.98, 65.99, 40.46, 67.98, 48.1, 68.64, 70.69, 54.42, 57.24, 54.56, 60.84, 68.98, 51.6, 65.92, 74.67, 53.18, 63.81, 67.42, 54.27, 26.23, 67.53, 67.52, 57.46, 65.55, 41.83, 23.7, 66.83, 69.46, 71.08, 67.96, 10.0, 28.78, 10.0, 71.03, 60.47, 64.39, 67.28, 54.16, 63.56, 37.16, 58.55, 63.47, 64.51, 22.14, 44.44, 51.96, 68.32, 65.0, 59.53, 55.93, 54.85, 61.13, 57.14, 34.66, 70.08, 70.1]}
gen:2{ accuracy:[10.0, 68.08, 67.3, 61.84, 67.98, 66.28, 61.41, 57.72, 63.47, 67.89, 60.57, 67.7, 67.19, 67.97, 67.3, 10.0, 67.9, 71.23, 37.37, 50.95, 71.44, 64.6, 54.24, 66.69, 67.52, 67.09, 67.55, 68.15, 66.61, 60.53, 67.95, 66.95, 68.17, 67.95, 61.2, 64.78, 38.3, 57.1, 61.24, 71.26, 61.68, 60.05, 47.62, 61.05, 10.0, 66.78, 67.78, 67.46, 67.62, 50.16, 67.21, 33.89, 23.71, 66.93, 68.82, 67.17, 61.68, 50.17, 51.59, 65.37, 50.64, 71.26, 61.04, 47.11, 71.17, 34.87, 67.31, 67.53, 67.61, 68.07, 57.52, 61.44, 67.11, 60.43, 10.0]}
gen:3{ accuracy:[69.94, 69.87, 60.76, 10.0, 55.4, 61.35, 69.28, 10.0, 62.26, 68.76, 68.76, 70.46, 61.09, 56.79, 59.79, 72.98, 73.4, 10.0, 49.78, 65.3, 59.33, 65.7, 48.36, 70.35, 51.69, 10.0, 70.08, 71.77, 65.91, 45.04, 10.0, 67.62, 60.35, 66.72, 61.5, 65.81, 63.09, 22.16, 14.32, 25.63, 24.34, 53.65, 52.23, 38.27, 67.62, 69.2, 69.91, 10.0, 10.0, 51.08, 71.57, 10.0, 71.41, 64.64, 71.54, 63.44, 70.25, 64.47, 64.57, 21.46, 71.32, 32.65, 51.46, 56.99, 69.83, 69.45, 67.02, 56.12, 66.77, 10.0, 38.66, 66.96, 67.82, 29.8, 58.84]}
gen:4{ accuracy:[70.09, 72.35, 71.47, 73.33, 68.59, 65.61, 72.74, 44.97, 71.32, 72.27, 70.94, 34.15, 54.42, 69.59, 57.84, 71.5, 10.0, 37.67, 51.63, 53.1, 65.05, 68.74, 71.87, 70.68, 71.24, 69.27, 65.5, 71.01, 71.68, 58.54, 24.65, 71.66, 74.07, 73.57, 58.43, 69.57, 66.75, 66.94, 21.47, 10.0, 61.28, 71.24, 64.16, 70.17, 71.37, 71.11, 72.4, 70.78, 61.81, 72.0, 72.4, 62.06, 69.13, 72.41, 54.8, 71.29, 50.79, 32.93, 37.55, 60.15, 10.0, 10.0, 50.53, 64.78, 69.65, 58.16, 71.63, 65.39, 72.11, 69.74, 61.36, 71.19, 71.21, 53.49, 70.92]}
gen:5{ accuracy:[66.12, 73.19, 17.81, 73.01, 52.25, 54.47, 72.64, 73.02, 67.76, 10.0, 69.05, 56.84, 72.66, 71.17, 10.0, 47.04, 60.77, 64.98, 45.6, 60.06, 73.0, 70.85, 56.9, 73.82, 46.95, 73.69, 14.21, 68.3, 72.57, 55.52, 69.36, 48.51, 68.81, 70.07, 51.95, 61.04, 50.21, 72.63, 52.43, 72.83, 66.17, 57.28, 73.05, 56.93, 60.09, 70.63, 68.8, 68.26, 65.33, 55.51, 73.24, 66.98, 72.51, 20.75, 68.52, 48.08, 33.42, 72.0, 49.7, 71.46, 39.86, 47.06, 61.69, 74.26, 73.71, 57.15, 72.81, 73.18, 59.16, 69.09, 35.13, 60.79, 74.92, 73.34, 54.52]}
gen:6{ accuracy:[74.74, 73.35, 72.29, 66.25, 74.67, 71.88, 71.41, 70.3, 73.67, 73.64, 69.05, 74.28, 73.5, 72.84, 72.93, 31.39, 68.59, 76.47, 72.07, 73.9, 73.51, 74.42, 43.11, 73.18, 64.31, 71.21, 69.26, 75.07, 65.53, 70.17, 69.71, 26.79, 61.8, 70.26, 72.48, 73.88, 73.56, 68.29, 68.77, 68.56, 71.67, 74.68, 74.22, 70.72, 75.51, 70.38, 50.52, 70.19, 74.18, 73.82, 70.71, 49.91, 73.41, 30.68, 69.34, 70.86, 73.18, 68.95, 20.09, 64.31, 67.46, 52.84, 63.19, 71.88, 25.36, 73.72, 64.65, 25.54, 71.3, 51.09, 73.74, 73.05, 71.29, 27.3, 74.25]}
gen:7{ accuracy:[74.41, 58.03, 54.01, 10.0, 69.52, 73.81, 10.0, 74.32, 72.42, 41.71, 50.74, 74.18, 72.61, 61.24, 73.57, 73.6, 72.98, 67.66, 50.64, 72.84, 73.25, 60.17, 42.21, 72.37, 46.53, 10.0, 66.75, 44.98, 23.62, 67.08, 71.69, 51.05, 74.55, 72.93, 74.22, 71.82, 72.44, 10.0, 70.67, 69.02, 51.24, 71.85, 31.12, 25.34, 55.57, 71.21, 71.85, 10.0, 73.7, 74.75, 55.62, 54.99, 71.14, 73.22, 10.0, 71.44, 74.5, 60.82, 71.78, 53.17, 73.63, 67.38, 72.49, 51.85, 75.04, 72.72, 10.0, 50.15, 73.24, 43.3, 75.01, 17.74, 18.41, 57.93, 58.81]}
gen:8{ accuracy:[75.27, 73.39, 75.65, 73.44, 70.63, 73.16, 75.36, 74.37, 73.99, 68.16, 73.1, 41.73, 72.99, 74.42, 70.96, 75.36, 73.54, 61.36, 72.74, 73.78, 73.66, 74.66, 71.07, 74.77, 75.3, 69.87, 71.62, 71.02, 72.11, 43.18, 61.06, 67.69, 71.33, 60.25, 73.77, 75.48, 65.03, 68.64, 65.55, 70.14, 72.68, 72.47, 72.97, 61.96, 75.97, 74.51, 74.52, 75.19, 69.37, 71.98, 71.1, 71.86, 67.92, 62.3, 72.55, 65.51, 67.33, 75.7, 66.34, 74.98, 64.93, 61.6, 72.83, 73.21, 75.02, 72.11, 48.84, 74.3, 73.68, 75.32, 72.29, 70.49, 73.23, 75.41, 68.6]}
gen:9{ accuracy:[64.89, 10.0, 74.58, 66.42, 10.0, 66.17, 33.77, 75.2, 34.77, 58.57, 45.8, 72.96, 55.85, 73.56, 75.6, 23.46, 45.17, 75.24, 46.4, 76.31, 42.74, 73.45, 10.0, 65.71, 66.06, 76.61, 10.0, 74.51, 46.04, 51.54, 63.65, 67.35, 59.41, 74.15, 64.71, 70.85, 66.63, 9.98, 59.69, 75.32, 61.11, 18.91, 76.42, 42.82, 44.71, 18.61, 42.06, 10.0, 10.0, 73.12, 49.3, 42.2, 69.01, 66.5, 14.82, 68.62, 69.61, 73.49, 75.51, 69.12, 58.49, 75.84, 10.0, 75.7, 67.5, 59.56, 64.87, 51.28, 42.95, 36.91, 10.0, 64.13, 16.44, 67.2, 54.71]}
