gen:10{ accuracy:[33.46, 75.5, 47.2, 76.71, 76.26, 60.62, 76.29, 76.19, 73.25, 10.0, 76.42, 75.28, 73.14, 71.8, 77.07, 74.66, 76.84, 75.63, 74.34, 76.48, 76.25, 75.94, 72.15, 66.33, 48.05, 77.13, 75.79, 76.49, 76.57, 76.32, 62.24, 10.0, 78.0, 76.27, 74.62, 74.14, 72.09, 67.49, 75.64, 76.48, 73.52, 76.3, 74.41, 75.06, 75.84, 67.12, 52.62, 76.87, 74.79, 73.4, 66.17, 71.03, 76.34, 10.0, 77.01, 74.47, 75.03, 75.48, 74.9, 72.44, 76.29, 76.1, 76.61, 76.37, 75.69, 73.18, 75.52, 30.4, 47.9, 72.54, 66.71, 71.37, 76.62, 72.36, 68.29]}
gen:11{ accuracy:[77.77, 77.58, 66.44, 77.65, 47.44, 10.0, 77.69, 10.0, 73.52, 33.2, 77.03, 69.53, 10.0, 75.09, 71.64, 76.32, 73.72, 76.08, 63.19, 78.03, 77.3, 49.25, 73.04, 17.05, 64.49, 78.05, 70.21, 10.0, 73.98, 75.62, 72.9, 64.28, 76.06, 69.55, 67.06, 77.15, 53.14, 71.0, 74.43, 67.66, 68.25, 76.18, 77.56, 77.59, 77.11, 45.74, 74.36, 67.83, 77.59, 76.93, 64.66, 65.35, 62.04, 68.64, 76.94, 70.61, 70.0, 62.76, 73.39, 70.76, 63.95, 74.66, 70.16, 76.11, 18.16, 75.98, 75.45, 64.69, 18.42, 52.75, 78.51, 63.52, 76.44, 65.1, 65.55]}
gen:12{ accuracy:[33.53, 10.0, 72.57, 77.34, 76.2, 78.0, 77.89, 78.35, 67.56, 69.72, 55.66, 32.34, 78.1, 72.55, 78.02, 66.82, 75.49, 78.13, 78.41, 78.81, 76.21, 77.91, 25.08, 76.38, 77.37, 76.27, 68.04, 76.82, 76.22, 77.47, 67.49, 70.34, 71.48, 74.33, 77.53, 26.38, 71.82, 75.76, 77.37, 71.03, 76.88, 75.38, 79.13, 77.26, 17.44, 75.58, 71.34, 77.96, 67.26, 77.36, 75.69, 78.46, 66.45, 74.89, 66.96, 77.04, 76.96, 77.96, 75.88, 80.2, 70.55, 74.51, 69.05, 76.04, 77.86, 76.48, 33.1, 10.0, 71.57, 76.83, 77.48, 75.27, 76.36, 59.54, 67.46]}
gen:13{ accuracy:[33.1, 75.92, 75.12, 76.12, 18.04, 75.93, 75.81, 71.65, 75.31, 72.18, 75.79, 75.37, 75.29, 68.45, 73.67, 75.69, 72.93, 76.3, 72.73, 74.99, 75.87, 75.56, 65.39, 74.17, 75.68, 10.0, 74.55, 78.18, 72.29, 72.86, 67.41, 72.12, 75.41, 72.99, 72.21, 75.88, 72.47, 74.35, 65.49, 63.59, 75.76, 67.63, 54.07, 44.87, 71.55, 73.72, 74.89, 77.71, 60.25, 68.61, 75.3, 73.8, 75.78, 76.6, 70.98, 75.66, 46.33, 71.16, 70.73, 70.72, 73.34, 75.63, 71.21, 75.01, 75.05, 78.3, 55.12, 66.65, 66.13, 75.3, 17.52, 75.88, 73.52, 75.52, 74.9]}
gen:14{ accuracy:[70.44, 74.2, 70.67, 77.35, 60.93, 76.46, 63.89, 71.63, 68.11, 74.88, 66.04, 67.05, 74.83, 73.01, 69.01, 70.79, 56.87, 34.61, 70.62, 70.37, 77.14, 71.68, 75.15, 78.24, 68.75, 75.9, 69.05, 73.94, 62.68, 71.41, 59.28, 73.58, 52.76, 73.67, 74.8, 10.0, 10.0, 72.23, 75.73, 70.42, 73.72, 69.83, 32.19, 70.74, 74.4, 69.85, 71.42, 72.67, 54.37, 70.86, 64.39, 41.95, 72.73, 68.51, 72.82, 73.49, 76.31, 61.62, 10.0, 62.02, 10.0, 41.66, 61.56, 71.89, 64.96, 73.0, 55.78, 73.86, 58.78, 72.24, 75.26, 68.69, 46.58, 10.0, 75.27]}
gen:15{ accuracy:[72.08, 74.12, 74.66, 73.81, 60.6, 77.81, 62.09, 73.48, 76.94, 75.95, 74.41, 76.16, 71.86, 76.87, 75.11, 76.99, 77.85, 76.19, 76.05, 77.34, 74.24, 56.3, 77.71, 73.19, 70.59, 76.5, 77.0, 67.5, 70.15, 72.73, 77.16, 74.86, 74.74, 57.63, 72.85, 68.91, 70.87, 64.33, 77.06, 75.96, 67.16, 71.0, 74.05, 71.54, 73.44, 75.44, 72.35, 75.14, 77.36, 68.59, 70.12, 72.86, 73.97, 77.38, 70.38, 75.18, 76.02, 68.55, 70.69, 74.24, 73.17, 74.89, 74.54, 76.98, 51.68, 75.71, 10.0, 71.05, 73.58, 65.74, 75.46, 74.46, 40.24, 70.48, 74.39]}
gen:16{ accuracy:[75.93, 77.41, 78.0, 74.64, 67.78, 76.51, 77.93, 16.06, 77.22, 70.35, 77.51, 76.2, 77.03, 24.17, 71.53, 52.48, 77.73, 70.91, 78.35, 77.93, 78.99, 78.41, 77.12, 73.76, 72.61, 74.25, 75.24, 77.97, 65.1, 73.69, 72.8, 69.54, 78.35, 67.65, 51.03, 16.51, 71.85, 64.35, 76.9, 78.03, 67.23, 77.71, 50.85, 78.27, 76.62, 70.45, 75.45, 74.45, 77.23, 39.94, 10.0, 51.75, 44.19, 63.7, 69.48, 74.13, 77.37, 77.67, 17.63, 77.31, 77.31, 70.55, 62.37, 65.07, 76.07, 77.77, 77.32, 39.18, 76.2, 75.32, 77.75, 51.7, 69.15, 33.29, 77.16]}
gen:17{ accuracy:[75.69, 75.26, 75.92, 76.41, 76.72, 77.52, 76.02, 76.62, 76.03, 76.26, 74.67, 76.41, 73.27, 75.49, 76.26, 76.78, 76.19, 76.14, 76.52, 75.99, 76.4, 77.77, 10.0, 76.73, 73.21, 10.0, 76.14, 77.01, 75.03, 77.66, 75.06, 76.31, 77.62, 74.01, 74.84, 53.04, 76.37, 77.06, 76.22, 76.68, 76.09, 51.45, 77.47, 76.83, 51.47, 76.62, 74.73, 77.13, 76.59, 10.0, 24.47, 53.14, 10.0, 76.94, 10.0, 75.16, 10.0, 77.49, 75.82, 77.77, 54.18, 75.93, 75.58, 76.6, 73.82, 76.93, 68.23, 75.43, 16.86, 77.21, 76.93, 76.49, 73.93, 75.98, 52.91]}
gen:18{ accuracy:[74.5, 76.54, 75.42, 76.67, 78.36, 76.38, 71.42, 70.05, 71.98, 73.85, 74.3, 74.19, 75.54, 76.49, 46.09, 74.35, 74.42, 76.84, 78.16, 78.95, 70.78, 70.3, 75.04, 51.83, 73.74, 73.08, 77.18, 75.74, 71.68, 75.64, 76.19, 74.98, 73.65, 73.04, 74.91, 76.68, 76.93, 74.39, 75.69, 79.67, 75.14, 76.61, 75.85, 74.5, 75.3, 50.8, 74.2, 75.69, 77.02, 74.05, 71.7, 75.61, 73.47, 75.94, 74.04, 73.77, 77.06, 74.58, 50.6, 74.54, 74.61, 73.67, 70.67, 74.11, 72.62, 75.49, 78.06, 75.01, 74.16, 73.03, 76.71, 70.39, 72.27, 76.5, 77.79]}
gen:19{ accuracy:[51.09, 55.64, 78.48, 74.33, 70.14, 62.99, 75.44, 72.85, 77.53, 75.36, 75.55, 10.0, 75.63, 77.47, 74.61, 78.72, 78.81, 72.59, 77.5, 79.96, 77.71, 76.91, 77.21, 54.46, 77.17, 74.04, 64.22, 74.64, 77.69, 72.03, 78.21, 76.94, 77.61, 76.9, 57.55, 78.71, 73.49, 64.63, 77.64, 71.08, 66.58, 73.98, 74.65, 76.84, 51.11, 35.64, 76.85, 36.98, 65.97, 74.83, 51.09, 72.24, 76.35, 70.51, 77.61, 70.83, 47.99, 76.86, 77.26, 79.6, 78.31, 72.65, 79.63, 77.89, 10.0, 74.85, 62.65, 44.74, 78.3, 49.89, 75.04, 74.22, 78.07, 72.61, 76.51]}
