gen:0{ accuracy:[67.27, 64.87, 64.21, 45.56, 50.89, 54.54, 57.46, 46.36, 66.64, 66.45, 63.06, 57.07, 44.61, 60.25, 37.22, 54.18, 50.95, 68.12, 54.01, 46.28, 57.43, 68.71, 53.26, 58.96, 36.14, 67.17, 50.63, 54.08, 17.99, 55.37, 39.63, 67.28, 48.23, 65.4, 52.35, 46.26, 39.79, 30.8, 47.4, 65.91, 42.5, 70.39, 45.47, 50.04, 56.22, 66.04, 49.45, 65.98, 49.11, 18.54, 61.14, 51.87, 59.45, 68.62, 49.52, 64.32, 32.55, 24.44, 61.09, 18.44, 51.19, 68.35, 18.08, 55.07, 60.98, 55.67, 48.44, 50.42, 59.09, 32.01, 43.75, 70.19, 58.34, 45.02, 55.42]}
gen:1{ accuracy:[47.57, 47.74, 68.99, 18.3, 38.51, 63.87, 42.2, 40.27, 24.74, 68.69, 58.79, 68.93, 44.38, 65.21, 54.07, 68.62, 52.76, 57.42, 35.76, 10.0, 52.29, 56.34, 65.27, 67.32, 51.5, 67.13, 62.12, 67.67, 48.93, 43.45, 67.8, 57.91, 59.15, 38.52, 56.21, 14.53, 52.38, 52.39, 52.61, 41.1, 37.99, 66.66, 67.86, 54.43, 68.86, 53.3, 52.29, 32.07, 40.7, 65.3, 66.12, 56.3, 44.32, 62.49, 51.21, 51.55, 68.29, 68.95, 66.68, 62.06, 48.51, 51.39, 34.38, 23.48, 45.36, 53.64, 61.7, 16.96, 63.13, 10.0, 62.77, 66.98, 31.66, 39.75, 66.33]}
gen:2{ accuracy:[59.51, 73.26, 68.09, 69.64, 56.96, 71.37, 65.71, 62.57, 65.4, 55.3, 68.8, 61.26, 65.29, 63.68, 65.15, 57.13, 67.81, 69.28, 63.67, 64.59, 29.84, 72.2, 66.92, 61.52, 53.2, 58.5, 70.83, 66.36, 56.98, 69.94, 52.34, 52.5, 68.03, 64.38, 63.62, 37.87, 71.62, 53.02, 67.89, 60.98, 51.84, 70.8, 71.69, 47.87, 67.16, 65.87, 67.44, 64.72, 59.98, 71.07, 67.59, 66.53, 60.53, 48.88, 69.04, 63.62, 61.3, 63.71, 44.26, 67.07, 67.91, 66.81, 50.41, 60.98, 71.74, 66.5, 71.52, 57.98, 60.56, 48.14, 71.0, 66.08, 54.11, 67.3, 64.59]}
gen:3{ accuracy:[70.99, 58.19, 53.95, 63.34, 66.19, 56.24, 64.33, 65.09, 72.06, 54.16, 69.82, 46.38, 62.79, 70.17, 62.79, 69.53, 71.1, 68.07, 65.27, 73.57, 70.99, 66.07, 53.9, 57.75, 58.35, 60.34, 67.86, 41.38, 64.45, 68.55, 38.96, 53.3, 69.46, 72.8, 63.57, 66.36, 39.88, 53.44, 70.76, 64.29, 58.35, 61.68, 72.82, 72.67, 67.47, 72.0, 57.24, 62.94, 65.34, 63.14, 64.12, 62.86, 61.76, 63.37, 68.03, 63.58, 64.2, 72.19, 73.09, 70.32, 71.19, 61.05, 64.78, 69.02, 69.3, 56.34, 70.15, 65.27, 63.97, 64.37, 60.75, 71.86, 58.74, 51.24, 51.94]}
gen:4{ accuracy:[54.39, 66.21, 63.37, 74.1, 53.06, 69.88, 70.4, 73.55, 50.12, 70.9, 65.88, 72.01, 74.45, 51.2, 49.25, 68.04, 59.08, 67.68, 73.41, 66.73, 54.4, 69.96, 68.56, 62.72, 71.8, 44.19, 69.42, 70.13, 66.52, 61.73, 65.88, 47.82, 69.23, 62.61, 54.74, 70.09, 30.62, 48.6, 36.09, 45.38, 52.6, 69.77, 70.05, 60.33, 40.48, 55.72, 69.03, 65.14, 67.9, 72.63, 64.56, 46.7, 46.27, 64.69, 70.01, 64.67, 55.61, 71.75, 37.35, 29.78, 60.17, 57.66, 66.36, 40.39, 69.46, 57.83, 73.87, 57.39, 64.12, 51.25, 70.37, 55.52, 59.31, 51.31, 68.83]}
gen:5{ accuracy:[70.03, 70.75, 52.86, 72.25, 53.07, 21.11, 56.76, 73.79, 68.19, 66.17, 44.79, 65.65, 73.29, 49.64, 65.0, 67.43, 63.8, 69.78, 73.49, 74.53, 37.83, 72.49, 59.21, 30.16, 67.6, 43.58, 16.29, 42.79, 59.56, 73.48, 62.67, 69.76, 74.31, 43.29, 35.79, 53.95, 74.08, 69.54, 51.03, 72.98, 66.17, 68.03, 70.66, 71.01, 67.97, 42.69, 71.01, 60.77, 45.67, 16.44, 69.37, 41.15, 58.77, 49.95, 73.51, 59.73, 29.66, 32.02, 69.07, 24.84, 61.32, 50.95, 72.78, 64.53, 27.56, 72.58, 10.0, 64.73, 56.82, 30.68, 16.67, 57.55, 26.39, 67.53, 60.57]}
gen:6{ accuracy:[73.21, 75.64, 64.8, 17.33, 65.45, 61.85, 66.32, 52.46, 62.36, 74.84, 75.62, 73.43, 74.97, 70.57, 72.24, 69.69, 69.11, 75.53, 72.98, 73.43, 76.16, 76.21, 73.93, 50.08, 75.31, 70.85, 62.25, 67.11, 76.47, 73.82, 40.94, 70.82, 71.38, 53.22, 60.41, 75.34, 73.18, 52.56, 55.9, 75.11, 52.36, 54.42, 52.53, 46.64, 76.84, 52.43, 37.0, 66.66, 74.63, 72.04, 65.23, 48.64, 65.69, 69.46, 63.28, 76.78, 53.51, 24.47, 70.01, 66.39, 70.72, 73.89, 74.19, 50.7, 62.89, 69.33, 74.33, 66.04, 74.08, 62.65, 74.22, 67.7, 54.69, 24.6, 70.49]}
gen:7{ accuracy:[76.2, 62.14, 74.96, 70.55, 71.22, 75.91, 74.7, 74.23, 75.55, 75.48, 77.8, 69.54, 76.23, 55.35, 48.25, 52.07, 78.17, 55.69, 76.48, 76.26, 71.0, 74.47, 61.76, 75.85, 74.65, 70.13, 39.75, 75.48, 75.16, 73.85, 75.64, 76.43, 47.6, 74.71, 70.83, 50.53, 70.13, 63.28, 52.83, 75.62, 76.13, 78.27, 42.54, 70.04, 75.82, 53.1, 63.85, 73.31, 56.47, 75.79, 72.03, 64.02, 73.19, 62.45, 39.04, 54.8, 76.13, 60.45, 51.68, 49.88, 54.34, 43.22, 67.68, 76.29, 61.09, 73.14, 76.27, 75.21, 75.24, 48.75, 75.68, 74.24, 64.16, 67.67, 72.37]}
gen:8{ accuracy:[70.34, 75.25, 76.55, 76.06, 17.98, 77.11, 55.78, 51.31, 76.67, 75.47, 75.69, 73.2, 71.2, 73.91, 67.9, 40.95, 74.53, 76.83, 63.68, 63.75, 77.41, 77.74, 77.92, 18.38, 75.39, 76.55, 62.05, 77.11, 50.92, 68.08, 50.99, 75.27, 76.33, 58.87, 75.47, 74.61, 28.16, 63.97, 71.45, 64.04, 31.49, 76.04, 76.95, 76.33, 64.2, 65.69, 76.12, 75.31, 18.61, 76.88, 35.64, 69.25, 75.18, 48.12, 25.23, 75.62, 45.37, 74.47, 69.55, 32.02, 61.43, 72.42, 34.78, 77.17, 76.78, 77.68, 76.33, 72.96, 55.55, 64.11, 10.0, 75.72, 54.19, 69.57, 37.05]}
gen:9{ accuracy:[46.61, 64.66, 77.84, 78.33, 77.02, 73.65, 66.69, 77.59, 35.57, 74.29, 58.75, 60.55, 10.0, 53.46, 77.28, 64.77, 72.71, 77.93, 74.61, 50.83, 72.45, 76.68, 77.52, 75.47, 70.88, 57.13, 50.26, 47.94, 62.39, 51.44, 73.14, 76.31, 53.72, 77.84, 75.55, 46.55, 74.41, 62.76, 73.28, 73.69, 21.77, 51.82, 77.95, 62.69, 24.1, 73.62, 76.08, 77.11, 78.64, 69.04, 78.32, 74.88, 35.02, 69.68, 63.14, 35.81, 71.99, 79.08, 59.67, 64.81, 73.26, 75.98, 73.12, 77.36, 76.57, 77.84, 72.11, 72.2, 16.89, 57.33, 69.42, 25.75, 73.51, 10.0, 42.67]}
