gen:35{ accuracy:[79.99, 76.73, 76.9, 80.68, 78.76, 77.04, 80.75, 79.83, 60.62, 77.12, 77.96, 80.06, 48.95, 53.08, 79.02, 25.02, 79.75, 80.99, 78.21, 76.82, 80.44, 78.64, 80.04, 79.61, 74.22, 78.87, 79.44, 78.82, 80.64, 75.71, 73.18, 70.81, 77.69, 75.94, 73.58, 47.2, 77.86, 78.07, 80.13, 79.01, 80.51, 80.41, 76.65, 80.91, 76.93, 75.99, 71.43, 79.07, 79.55, 76.06, 80.15, 78.94, 79.16, 69.74, 72.12, 72.24, 57.6, 78.51, 77.48, 63.24, 79.15, 71.61, 80.8, 77.62, 68.88, 79.56, 80.33, 78.41, 78.96, 78.71, 78.97, 69.68, 75.73, 80.25, 80.36]}
gen:36{ accuracy:[78.17, 76.68, 77.41, 74.66, 80.54, 81.08, 68.93, 80.79, 75.99, 78.67, 76.27, 75.38, 76.82, 80.97, 79.41, 30.75, 80.7, 80.69, 72.34, 79.51, 77.93, 76.89, 79.23, 69.74, 76.05, 80.29, 80.93, 78.77, 74.63, 70.56, 51.89, 71.6, 77.49, 76.1, 79.92, 70.81, 80.6, 80.59, 78.88, 61.83, 78.68, 81.59, 80.73, 75.24, 50.69, 71.71, 77.38, 80.22, 79.53, 80.12, 28.22, 72.25, 26.51, 25.04, 75.93, 73.88, 77.91, 76.82, 80.5, 80.78, 81.13, 10.0, 78.56, 76.77, 76.5, 72.79, 74.61, 76.19, 68.89, 80.95, 80.52, 72.88, 52.46, 72.16, 71.67]}
gen:37{ accuracy:[71.51, 80.19, 47.71, 80.37, 77.18, 77.77, 77.7, 79.8, 79.57, 78.02, 73.9, 70.66, 79.85, 64.66, 80.45, 78.78, 79.66, 70.76, 80.9, 80.07, 80.04, 80.13, 78.85, 71.83, 60.35, 58.69, 41.18, 78.9, 43.3, 80.2, 74.65, 80.28, 78.46, 74.92, 80.3, 79.24, 81.67, 79.7, 80.32, 79.92, 53.19, 80.87, 80.26, 76.78, 80.76, 63.39, 64.93, 44.7, 80.36, 44.9, 78.59, 74.57, 80.48, 78.85, 80.42, 78.93, 80.53, 72.35, 75.36, 80.27, 79.85, 81.13, 62.83, 75.89, 80.1, 77.52, 79.57, 63.75, 64.2, 63.69, 79.74, 65.23, 79.87, 78.13, 80.16]}
gen:38{ accuracy:[63.66, 81.55, 80.61, 80.99, 81.07, 81.18, 71.77, 79.44, 77.35, 80.39, 79.53, 80.52, 80.17, 51.65, 78.19, 81.54, 80.95, 81.32, 64.96, 74.89, 74.76, 74.89, 51.04, 63.36, 72.65, 79.1, 80.86, 80.27, 79.1, 80.4, 76.43, 68.75, 79.96, 79.11, 80.42, 50.9, 52.45, 79.19, 80.82, 52.43, 70.56, 79.06, 52.24, 75.56, 50.75, 79.83, 33.94, 78.84, 52.57, 79.13, 75.54, 81.99, 77.1, 78.87, 79.95, 54.83, 76.76, 77.95, 80.53, 59.0, 79.83, 31.69, 77.45, 79.0, 79.01, 76.25, 81.25, 52.59, 24.13, 64.25, 76.81, 81.82, 80.32, 79.1, 80.03]}
gen:39{ accuracy:[60.14, 72.37, 79.14, 80.33, 70.62, 74.78, 80.67, 79.88, 72.21, 81.01, 74.05, 81.83, 80.22, 80.82, 70.67, 80.7, 79.73, 64.88, 75.41, 79.98, 81.71, 80.36, 81.81, 80.12, 60.84, 70.83, 79.39, 80.77, 80.67, 74.12, 81.29, 71.36, 76.55, 80.08, 80.18, 77.62, 76.15, 75.07, 72.25, 71.58, 76.42, 79.72, 80.0, 75.38, 79.91, 70.02, 72.09, 80.99, 73.55, 80.53, 78.41, 76.44, 71.52, 80.31, 74.96, 81.24, 77.74, 78.38, 79.33, 75.86, 79.96, 73.67, 71.1, 72.66, 80.73, 72.45, 59.86, 66.43, 80.08, 75.09, 81.07, 81.51, 60.79, 80.68, 73.58]}
gen:40{ accuracy:[52.69, 79.71, 70.8, 80.08, 78.05, 73.7, 65.07, 73.67, 80.95, 80.52, 80.04, 80.23, 65.72, 75.79, 81.56, 64.02, 76.23, 81.49, 80.68, 69.9, 81.4, 70.23, 80.3, 81.21, 76.24, 52.25, 80.47, 69.99, 52.22, 80.67, 79.06, 80.88, 79.95, 75.77, 80.42, 79.51, 74.71, 77.54, 66.09, 80.54, 79.03, 76.0, 80.58, 80.28, 80.16, 80.25, 77.58, 77.9, 75.09, 78.48, 80.72, 79.66, 78.83, 70.67, 74.55, 76.2, 77.89, 75.67, 73.01, 69.39, 50.96, 80.23, 74.72, 71.78, 79.96, 76.27, 77.37, 79.5, 79.86, 79.57, 78.93, 79.74, 78.1, 81.31, 75.88]}
gen:41{ accuracy:[76.08, 80.02, 80.26, 79.23, 39.39, 77.18, 69.29, 79.81, 80.93, 81.36, 79.39, 74.68, 80.02, 52.25, 80.29, 80.23, 80.75, 52.73, 79.02, 78.15, 80.7, 80.45, 80.58, 74.38, 72.47, 75.32, 77.57, 80.64, 77.33, 69.31, 67.9, 52.26, 78.46, 81.66, 79.15, 76.44, 78.26, 81.08, 80.77, 76.64, 53.64, 78.63, 80.65, 79.47, 80.06, 78.85, 79.77, 75.96, 75.47, 75.22, 77.44, 50.85, 75.87, 80.27, 80.82, 77.09, 79.86, 49.75, 80.18, 79.95, 80.53, 80.48, 31.82, 80.51, 79.84, 80.63, 78.25, 75.92, 80.72, 49.55, 70.41, 74.3, 78.8, 31.14, 77.35]}
gen:42{ accuracy:[79.68, 80.22, 80.73, 80.93, 79.27, 77.44, 79.67, 79.9, 52.58, 80.61, 78.97, 75.97, 79.95, 79.9, 80.92, 80.9, 80.99, 80.15, 79.96, 81.2, 80.0, 80.03, 80.01, 79.23, 81.13, 72.58, 70.48, 77.56, 71.91, 71.12, 79.38, 48.15, 78.53, 72.13, 80.25, 77.44, 71.11, 77.66, 72.13, 76.99, 79.12, 72.61, 80.06, 77.41, 79.44, 80.5, 76.37, 72.99, 79.47, 71.2, 79.96, 69.13, 78.39, 67.69, 76.1, 73.34, 71.01, 77.61, 74.64, 80.18, 80.57, 80.0, 79.27, 77.62, 64.28, 78.23, 81.85, 80.01, 74.22, 72.95, 80.24, 76.9, 80.82, 61.96, 60.39]}
gen:43{ accuracy:[40.48, 80.07, 72.32, 74.82, 79.67, 74.54, 80.08, 78.31, 51.07, 80.11, 69.37, 79.43, 80.2, 80.41, 76.1, 81.03, 72.37, 81.05, 74.59, 68.29, 80.83, 80.75, 81.38, 42.68, 80.34, 69.07, 80.46, 78.92, 61.74, 79.9, 81.06, 45.41, 77.49, 80.16, 73.17, 79.76, 75.76, 78.37, 73.02, 72.46, 79.0, 78.92, 79.68, 78.07, 80.21, 80.58, 50.14, 80.42, 79.57, 80.83, 78.25, 78.91, 38.91, 76.81, 77.57, 80.56, 69.34, 80.81, 80.96, 74.49, 78.89, 73.05, 80.18, 78.95, 76.8, 80.54, 41.87, 77.74, 81.2, 78.26, 80.69, 71.4, 80.58, 80.76, 76.81]}
gen:44{ accuracy:[64.23, 79.88, 81.02, 80.1, 72.6, 80.5, 79.44, 77.19, 80.88, 77.48, 79.59, 50.65, 80.36, 76.13, 74.19, 79.48, 80.39, 75.11, 76.41, 80.53, 66.19, 79.98, 79.53, 76.16, 79.07, 80.62, 71.9, 71.6, 74.65, 73.24, 80.33, 76.77, 73.62, 52.78, 51.43, 80.13, 34.69, 80.24, 74.56, 79.65, 76.12, 79.79, 74.99, 73.96, 79.9, 80.75, 80.92, 79.7, 80.22, 81.17, 77.59, 76.19, 79.61, 77.7, 79.18, 47.23, 79.48, 77.93, 72.55, 79.46, 76.0, 74.91, 76.1, 80.03, 75.6, 78.54, 79.09, 80.83, 79.45, 80.68, 78.32, 79.86, 78.44, 77.77, 65.16]}
gen:45{ accuracy:[80.04, 79.57, 77.83, 74.0, 77.92, 76.76, 72.61, 80.47, 72.41, 79.67, 80.52, 80.02, 80.46, 79.74, 79.7, 40.64, 79.73, 72.99, 81.05, 80.73, 73.47, 80.41, 62.65, 77.62, 79.62, 80.62, 72.39, 71.81, 79.72, 75.78, 78.7, 79.69, 79.09, 80.8, 80.3, 80.83, 76.04, 23.62, 79.65, 78.15, 79.47, 80.09, 76.51, 60.1, 79.99, 77.8, 73.51, 71.85, 79.73, 79.79, 77.87, 80.7, 78.45, 79.23, 78.34, 79.73, 77.27, 76.96, 40.02, 78.71, 80.11, 78.0, 79.63, 72.17, 81.22, 71.6, 78.6, 79.83, 72.63, 54.74, 77.57, 78.81, 78.66, 80.79, 74.02]}
gen:46{ accuracy:[78.56, 64.51, 18.09, 78.16, 46.59, 65.81, 77.81, 64.12, 62.64, 75.56, 65.75, 70.6, 72.04, 72.87, 71.44, 71.53, 35.05, 77.97, 39.86, 78.74, 66.39, 58.01, 62.27, 72.37, 42.88, 10.0, 70.64, 40.72, 71.04, 73.75, 41.99, 58.28, 50.77, 78.31, 62.98, 80.02, 80.82, 55.38, 50.31, 10.0, 68.98, 25.31, 80.14, 78.74, 43.41, 53.93, 51.52, 43.63, 75.31, 72.7, 31.72, 78.38, 61.05, 51.86, 58.22, 77.66, 40.96, 78.53, 27.09, 44.73, 10.0, 78.62, 75.56, 57.87, 67.69, 71.53, 66.81, 24.67, 10.0, 75.45, 73.08, 79.75, 63.25, 77.77, 73.46]}
gen:47{ accuracy:[53.86, 65.8, 64.82, 71.88, 50.44, 59.4, 80.21, 50.75, 35.3, 48.8, 65.22, 78.84, 50.5, 80.26, 68.97, 62.99, 69.61, 52.98, 65.24, 66.92, 34.29, 74.12, 57.62, 70.76, 50.65, 48.93, 73.23, 79.29, 70.39, 79.61, 61.97, 75.1, 69.2, 51.73, 48.02, 71.47, 69.37, 57.08, 68.81, 73.23, 71.43, 64.9, 51.22, 80.38, 78.85, 74.48, 72.77, 61.69, 72.23, 63.25, 60.66, 26.83, 49.09, 63.16, 66.45, 68.1, 79.03, 64.48, 57.85, 71.91, 62.85, 70.98, 78.27, 53.35, 58.4, 69.08, 59.2, 42.66, 59.06, 50.32, 76.52, 78.89, 61.65, 70.84, 65.47]}
gen:48{ accuracy:[77.09, 76.97, 63.91, 77.63, 77.44, 27.11, 77.23, 75.98, 64.88, 55.56, 60.61, 65.78, 77.18, 77.11, 76.39, 79.02, 62.27, 68.74, 70.53, 59.29, 70.08, 77.0, 73.18, 79.33, 77.61, 24.42, 64.99, 75.1, 80.32, 75.13, 61.59, 53.56, 58.95, 53.17, 53.91, 63.22, 74.49, 77.46, 77.45, 77.04, 53.12, 57.84, 34.38, 63.63, 79.82, 74.71, 65.09, 67.67, 66.41, 76.8, 71.34, 66.3, 53.37, 79.9, 48.32, 71.94, 67.09, 75.26, 80.91, 77.73, 40.43, 69.04, 52.12, 77.56, 60.76, 77.4, 75.86, 71.7, 70.21, 45.13, 77.41, 75.99, 47.7, 51.69, 76.77]}
gen:49{ accuracy:[78.14, 79.11, 80.94, 76.16, 78.97, 80.11, 79.88, 72.99, 69.19, 80.15, 79.79, 79.31, 79.9, 78.56, 72.28, 78.57, 78.31, 78.78, 74.12, 79.03, 79.55, 79.49, 69.6, 80.23, 78.3, 79.22, 80.28, 77.53, 78.75, 79.29, 76.35, 79.93, 80.33, 78.46, 79.26, 79.73, 77.35, 76.37, 75.74, 78.52, 80.25, 78.94, 57.31, 72.6, 75.43, 70.18, 78.7, 76.22, 78.65, 69.06, 79.36, 80.69, 71.16, 76.38, 78.83, 81.41, 76.99, 72.06, 75.93, 67.7, 77.73, 80.31, 77.58, 77.15, 78.46, 79.3, 78.44, 78.43, 78.5, 80.22, 73.33, 79.18, 78.83, 70.27, 78.95]}
