gen:0{ accuracy:[68.8, 45.51, 61.32, 49.79, 55.55, 46.96, 63.13, 51.29, 54.72, 59.29, 65.84, 64.9, 58.76, 58.71, 63.61, 67.24, 49.19, 58.56, 58.29, 48.5, 59.34, 68.74, 56.11, 55.66, 63.69, 51.86, 42.46, 56.36, 50.62, 44.78, 40.63, 61.82, 54.39, 54.44, 45.97, 67.81, 57.52, 31.94, 48.95, 69.96, 45.12, 54.69, 54.56, 70.53, 66.96, 53.72, 65.48, 44.55, 50.25, 49.07, 58.57, 24.42, 55.94, 40.81, 32.72, 55.82, 51.78, 64.02, 54.46, 55.38, 50.99, 63.63, 43.79, 52.72, 59.63, 60.73, 52.82, 39.44, 54.63, 59.16, 62.62, 56.3, 60.06, 50.06, 49.22]}
gen:1{ accuracy:[64.42, 59.49, 10.0, 46.76, 43.02, 42.81, 41.74, 26.95, 49.64, 38.45, 46.88, 66.17, 69.2, 59.52, 66.53, 50.87, 51.53, 24.43, 50.52, 55.63, 63.83, 36.55, 67.39, 61.09, 37.87, 40.94, 44.9, 10.0, 68.56, 41.71, 57.11, 25.49, 44.59, 37.7, 40.6, 44.44, 47.99, 67.94, 58.86, 65.15, 49.34, 59.09, 69.25, 49.73, 49.24, 70.12, 55.92, 31.98, 57.8, 48.7, 27.41, 55.18, 69.32, 60.47, 17.18, 71.14, 41.52, 19.89, 50.47, 65.8, 63.44, 69.16, 54.42, 46.31, 10.0, 51.21, 32.55, 47.52, 22.35, 69.89, 57.27, 10.0, 70.16, 19.15, 61.05]}
gen:2{ accuracy:[55.49, 65.09, 38.03, 36.27, 57.43, 64.25, 65.38, 51.26, 50.8, 63.9, 38.49, 66.07, 67.24, 53.59, 70.34, 54.39, 66.12, 53.48, 39.48, 56.69, 59.55, 10.0, 68.9, 56.45, 25.06, 70.03, 72.2, 57.67, 24.9, 60.5, 44.2, 38.95, 51.69, 64.6, 10.0, 58.34, 55.7, 47.05, 62.47, 62.82, 59.37, 52.14, 24.85, 62.14, 66.59, 37.79, 23.38, 69.43, 49.44, 63.33, 43.77, 37.29, 66.54, 55.15, 70.33, 65.56, 68.9, 60.12, 44.52, 58.37, 57.26, 52.71, 10.0, 33.36, 60.77, 57.71, 65.96, 68.88, 43.68, 48.27, 47.33, 51.47, 54.74, 42.48, 67.36]}
gen:3{ accuracy:[45.65, 56.55, 63.33, 58.53, 51.45, 50.15, 52.13, 67.93, 62.3, 69.62, 41.37, 72.38, 68.13, 77.62, 47.79, 43.73, 67.09, 70.95, 62.07, 32.74, 70.18, 40.15, 51.19, 23.58, 70.51, 69.49, 69.73, 47.56, 62.08, 70.17, 65.4, 62.29, 62.19, 64.52, 69.34, 54.79, 68.67, 32.95, 70.43, 50.85, 48.29, 55.63, 69.51, 54.42, 47.86, 45.87, 54.09, 69.46, 40.72, 10.0, 67.35, 55.18, 60.9, 70.05, 69.48, 30.26, 17.23, 67.48, 54.12, 10.0, 69.72, 57.2, 59.37, 62.68, 54.04, 61.09, 10.0, 42.75, 10.0, 71.29, 70.21, 49.34, 34.88, 65.55, 67.24]}
gen:4{ accuracy:[27.19, 68.63, 72.27, 34.6, 55.2, 63.24, 49.19, 38.44, 78.72, 56.35, 76.41, 61.34, 45.69, 77.4, 35.49, 13.61, 58.23, 56.25, 49.13, 77.91, 72.47, 52.63, 28.44, 60.06, 71.5, 48.46, 68.48, 76.78, 49.04, 49.37, 34.58, 10.0, 75.6, 56.28, 52.94, 76.06, 34.88, 72.37, 26.09, 42.95, 53.92, 76.95, 46.97, 49.76, 22.91, 51.76, 41.2, 49.2, 10.0, 51.23, 48.32, 29.28, 76.97, 76.35, 67.3, 61.5, 48.66, 37.57, 77.33, 36.31, 10.0, 52.82, 17.96, 70.6, 77.3, 37.49, 48.56, 68.23, 71.44, 51.28, 33.01, 48.76, 49.16, 30.27, 59.69]}
gen:5{ accuracy:[48.38, 75.61, 42.34, 77.99, 33.13, 59.78, 76.24, 68.22, 64.68, 36.34, 51.35, 79.49, 77.15, 18.04, 66.15, 59.21, 73.18, 66.6, 68.5, 78.49, 49.5, 77.52, 57.97, 70.38, 75.06, 63.38, 78.43, 61.49, 77.65, 65.71, 66.06, 71.23, 69.36, 67.06, 26.28, 17.67, 76.75, 53.58, 65.92, 66.39, 78.16, 71.01, 53.12, 49.33, 65.66, 59.69, 61.87, 78.5, 76.24, 59.2, 56.72, 78.48, 64.52, 24.73, 68.55, 78.78, 64.26, 35.5, 76.24, 59.96, 49.47, 78.2, 76.75, 79.19, 75.82, 60.62, 60.49, 76.76, 61.3, 78.42, 75.69, 68.77, 75.8, 68.24, 65.29]}
gen:6{ accuracy:[61.64, 48.04, 50.9, 21.62, 62.57, 50.82, 40.06, 63.61, 62.51, 63.16, 70.14, 63.51, 75.81, 61.29, 45.67, 59.02, 49.41, 51.49, 50.47, 62.09, 63.56, 63.46, 63.53, 53.43, 66.08, 33.13, 62.68, 51.05, 62.47, 45.77, 62.71, 62.38, 72.3, 62.48, 51.79, 49.46, 63.65, 46.17, 69.35, 51.42, 50.51, 50.51, 61.06, 63.23, 49.59, 51.24, 76.12, 63.34, 62.21, 62.17, 48.5, 50.87, 59.91, 50.76, 50.88, 63.33, 76.55, 50.76, 50.56, 41.6, 64.01, 50.87, 50.43, 61.94, 62.31, 50.42, 62.94, 72.28, 62.76, 62.75, 63.74, 63.65, 10.0, 49.77, 48.93]}
gen:7{ accuracy:[72.03, 63.27, 50.96, 71.42, 71.79, 79.3, 71.9, 72.15, 46.47, 50.67, 74.63, 72.37, 65.07, 77.96, 71.9, 22.56, 77.04, 72.94, 52.31, 56.52, 75.68, 71.88, 72.68, 73.15, 51.02, 71.32, 71.52, 78.28, 72.07, 71.62, 51.72, 75.75, 52.16, 70.74, 75.82, 72.2, 77.16, 15.41, 77.83, 72.38, 50.54, 76.57, 75.78, 72.32, 64.35, 72.52, 50.38, 71.75, 72.05, 78.24, 73.03, 50.17, 66.17, 75.18, 51.12, 69.12, 10.0, 72.81, 71.76, 23.57, 78.1, 46.61, 72.81, 51.13, 71.09, 71.0, 72.17, 50.63, 47.05, 70.65, 72.34, 77.05, 72.23, 43.87, 72.63]}
gen:8{ accuracy:[75.46, 76.59, 46.3, 78.44, 74.12, 76.01, 75.6, 43.76, 69.52, 76.29, 65.74, 10.0, 78.35, 71.24, 76.04, 78.17, 76.1, 75.22, 71.87, 78.26, 76.84, 77.34, 63.09, 66.42, 77.34, 76.12, 17.68, 73.67, 77.8, 52.14, 77.91, 76.61, 77.71, 22.69, 70.74, 76.96, 76.59, 77.65, 45.57, 76.81, 77.98, 73.35, 77.76, 65.08, 75.02, 78.11, 58.95, 77.79, 74.72, 75.87, 76.89, 73.24, 75.61, 68.48, 24.4, 51.63, 77.98, 75.28, 76.53, 71.76, 70.56, 75.73, 70.27, 77.97, 77.25, 71.74, 78.6, 45.82, 66.62, 43.87, 76.13, 73.38, 75.24, 76.45, 78.93]}
gen:9{ accuracy:[70.22, 70.37, 65.07, 72.22, 70.39, 71.72, 66.26, 75.76, 68.07, 77.13, 68.33, 76.39, 76.66, 71.45, 74.66, 72.24, 47.56, 79.12, 68.01, 76.73, 78.56, 75.66, 77.14, 75.51, 61.48, 76.51, 62.58, 62.0, 70.79, 66.87, 49.82, 76.83, 68.43, 75.56, 75.07, 76.59, 73.2, 70.55, 50.03, 79.18, 78.96, 63.59, 78.82, 74.46, 63.51, 75.83, 59.71, 71.18, 70.67, 61.97, 67.57, 74.2, 61.01, 68.22, 18.16, 74.99, 77.3, 75.21, 72.79, 79.09, 49.96, 69.24, 71.56, 68.44, 63.08, 68.02, 67.68, 68.99, 69.57, 67.57, 77.56, 72.2, 76.61, 47.88, 60.41]}
