gen:0{ accuracy:[56.97, 32.0, 56.15, 46.83, 52.53, 41.23, 53.1, 66.35, 58.24, 58.39, 59.41, 64.27, 61.2, 63.45, 69.62, 55.82, 57.18, 65.04, 52.99, 30.56, 55.23, 42.01, 47.27, 48.34, 42.74, 48.29, 59.33, 58.54, 61.52, 52.2, 62.48, 45.73, 64.5, 63.42, 49.6, 69.02, 51.15, 64.75, 70.39, 49.33, 59.32, 58.28, 40.26, 10.0, 53.03, 47.63, 70.72, 60.1, 69.4, 58.31, 60.76, 39.56, 48.98, 56.42, 54.24, 40.55, 71.01, 64.15, 57.69, 29.94, 67.31, 55.7, 61.14, 65.94, 44.05, 41.12, 49.76, 52.41, 60.57, 47.26, 33.43, 65.39, 40.91, 30.53, 52.94]}
gen:1{ accuracy:[66.73, 51.59, 68.53, 71.74, 64.0, 70.75, 72.07, 49.43, 30.35, 15.88, 71.91, 60.53, 52.24, 39.78, 57.69, 59.36, 51.03, 64.21, 68.29, 62.47, 49.68, 55.1, 56.13, 71.29, 38.87, 59.12, 64.32, 67.73, 59.54, 63.25, 57.96, 48.37, 65.26, 65.85, 46.56, 71.08, 40.97, 31.67, 61.62, 37.82, 45.69, 67.14, 40.63, 50.33, 66.32, 65.29, 46.27, 66.9, 63.09, 69.95, 61.56, 32.3, 59.96, 63.58, 49.84, 70.81, 55.3, 57.55, 56.38, 43.43, 59.22, 63.08, 67.13, 62.39, 38.78, 53.2, 64.78, 65.5, 42.28, 69.45, 64.45, 67.94, 69.67, 58.64, 69.2]}
gen:2{ accuracy:[55.82, 71.58, 45.34, 70.31, 52.07, 45.05, 37.06, 69.98, 65.55, 73.88, 24.82, 68.28, 55.51, 67.3, 75.45, 70.98, 55.96, 39.01, 53.7, 71.17, 60.35, 62.98, 69.67, 56.5, 65.56, 45.62, 65.54, 69.93, 70.27, 69.53, 74.74, 36.14, 31.88, 64.54, 58.92, 74.27, 10.0, 74.91, 10.0, 49.02, 65.46, 51.51, 71.54, 66.69, 55.91, 63.76, 62.83, 32.13, 66.94, 10.0, 65.76, 53.23, 66.72, 51.59, 68.6, 63.53, 74.41, 65.42, 58.88, 74.68, 61.01, 64.26, 68.47, 63.65, 74.99, 71.33, 71.72, 65.83, 50.86, 66.05, 62.21, 30.98, 59.47, 70.16, 44.6]}
gen:3{ accuracy:[69.45, 68.63, 10.0, 68.18, 47.07, 54.83, 64.36, 35.12, 66.67, 69.68, 53.93, 71.87, 73.37, 42.65, 65.34, 69.69, 64.23, 74.9, 69.39, 68.65, 60.58, 64.22, 61.69, 72.73, 10.0, 58.59, 73.0, 70.92, 63.88, 74.61, 63.65, 73.53, 58.96, 71.63, 56.25, 73.65, 33.28, 59.19, 30.87, 58.31, 72.04, 53.13, 65.52, 43.88, 74.6, 74.6, 56.34, 68.47, 63.59, 72.41, 59.81, 73.02, 64.45, 63.01, 62.98, 73.49, 32.49, 48.68, 69.95, 73.05, 71.53, 63.17, 67.2, 64.88, 71.38, 65.18, 46.11, 10.0, 61.66, 65.46, 66.27, 73.25, 57.28, 73.9, 30.93]}
gen:4{ accuracy:[40.19, 60.9, 44.75, 34.48, 18.53, 72.87, 74.29, 74.73, 41.31, 49.0, 52.69, 61.22, 26.48, 37.49, 68.94, 51.0, 39.34, 68.85, 66.81, 42.38, 73.29, 75.32, 29.72, 57.51, 34.64, 70.04, 57.84, 40.08, 72.61, 74.14, 52.87, 75.83, 20.1, 63.66, 44.23, 73.92, 23.95, 54.0, 18.46, 57.48, 36.92, 38.51, 73.47, 72.03, 42.33, 59.67, 47.92, 49.58, 41.15, 74.55, 57.31, 74.05, 54.36, 63.34, 42.64, 40.02, 74.5, 68.83, 20.99, 76.04, 74.4, 24.8, 56.56, 39.12, 36.44, 74.16, 64.66, 58.61, 52.25, 57.6, 27.21, 72.7, 41.7, 71.12, 25.76]}
gen:5{ accuracy:[10.0, 54.01, 70.17, 68.8, 73.93, 72.46, 73.9, 73.72, 68.06, 74.65, 63.01, 66.44, 50.34, 36.11, 70.86, 29.46, 65.97, 75.74, 51.33, 17.08, 73.71, 69.89, 10.0, 69.53, 76.14, 56.68, 74.1, 74.27, 67.39, 68.34, 28.15, 74.8, 69.71, 73.72, 51.21, 75.67, 65.84, 66.76, 67.31, 35.53, 69.6, 16.74, 75.34, 75.03, 33.93, 65.48, 51.49, 59.64, 74.06, 10.0, 40.8, 74.26, 59.44, 74.61, 57.21, 62.36, 37.48, 50.06, 74.58, 73.99, 74.21, 69.97, 65.4, 33.16, 74.35, 73.87, 49.63, 54.59, 60.32, 68.83, 64.86, 46.35, 73.91, 73.41, 66.19]}
gen:6{ accuracy:[10.0, 57.73, 75.05, 74.73, 66.36, 50.7, 31.43, 53.18, 10.0, 41.93, 70.79, 38.1, 76.51, 66.58, 66.69, 74.08, 75.91, 76.35, 59.68, 10.0, 69.24, 56.47, 76.14, 57.93, 61.14, 72.5, 48.75, 56.85, 74.33, 58.22, 33.23, 74.02, 73.66, 10.0, 68.94, 74.87, 10.0, 74.59, 54.58, 56.39, 75.96, 69.4, 67.73, 69.88, 66.66, 76.1, 63.31, 68.33, 74.68, 70.15, 67.84, 71.53, 62.15, 14.33, 72.0, 57.65, 10.0, 74.36, 59.53, 74.62, 75.43, 68.15, 52.47, 43.69, 70.17, 53.11, 75.43, 75.19, 75.03, 59.51, 10.0, 51.7, 60.52, 68.67, 41.73]}
gen:7{ accuracy:[37.01, 40.17, 41.28, 75.29, 64.29, 62.5, 51.9, 76.06, 66.23, 73.62, 76.15, 68.61, 75.22, 60.51, 73.87, 49.89, 49.91, 64.9, 76.04, 57.81, 70.17, 67.86, 67.55, 76.01, 70.68, 44.15, 65.71, 74.42, 74.84, 52.55, 50.25, 10.0, 72.42, 61.63, 68.23, 57.19, 51.78, 66.51, 75.48, 66.77, 72.2, 56.17, 46.67, 38.68, 76.49, 76.01, 24.68, 74.66, 54.31, 64.55, 75.93, 74.36, 51.25, 51.31, 56.44, 29.88, 73.93, 72.81, 74.68, 76.21, 67.8, 75.13, 65.96, 57.0, 10.0, 62.69, 67.92, 73.61, 38.55, 74.77, 75.72, 26.47, 25.47, 58.85, 76.98]}
gen:8{ accuracy:[38.83, 10.0, 51.87, 75.26, 25.17, 76.09, 41.48, 74.99, 64.65, 54.94, 76.07, 57.35, 36.24, 60.34, 47.07, 74.23, 36.76, 65.94, 75.43, 75.73, 60.36, 49.76, 74.3, 61.97, 62.84, 75.53, 75.61, 64.89, 31.18, 73.68, 62.92, 50.07, 48.75, 76.91, 35.9, 24.86, 75.25, 66.99, 69.44, 76.02, 49.06, 67.18, 50.24, 50.19, 49.54, 68.65, 44.15, 49.64, 56.27, 30.38, 75.41, 76.09, 59.75, 75.41, 66.32, 58.12, 67.55, 32.23, 33.86, 48.51, 36.5, 69.06, 74.82, 75.27, 42.36, 75.83, 75.16, 74.83, 74.49, 43.15, 62.06, 76.22, 23.63, 75.43, 23.94]}
gen:9{ accuracy:[74.08, 76.65, 74.52, 42.96, 74.7, 34.08, 49.4, 75.62, 74.17, 76.56, 10.0, 47.54, 42.61, 33.81, 75.74, 74.27, 45.65, 76.42, 25.9, 43.71, 36.81, 75.78, 75.7, 17.36, 50.14, 47.6, 43.56, 39.81, 70.5, 66.93, 61.58, 10.0, 76.11, 41.45, 43.94, 10.0, 50.09, 39.07, 47.89, 42.02, 75.05, 71.79, 76.08, 47.32, 24.53, 51.25, 74.18, 75.21, 49.82, 68.45, 56.37, 61.98, 75.39, 58.44, 63.84, 40.3, 75.61, 75.65, 36.51, 75.42, 25.83, 49.12, 76.5, 43.44, 31.53, 75.56, 48.89, 46.74, 60.13, 38.04, 75.27, 74.88, 74.92, 77.07, 74.87]}
gen:10{ accuracy:[30.63, 72.49, 38.13, 15.47, 70.0, 42.75, 63.97, 62.01, 70.98, 67.33, 65.67, 66.88, 10.0, 10.0, 41.07, 66.99, 33.54, 71.56, 25.92, 68.62, 76.43, 71.65, 74.63, 25.53, 70.26, 75.64, 55.63, 10.0, 21.44, 70.27, 35.34, 76.69, 44.81, 32.74, 75.0, 51.78, 10.0, 75.18, 71.21, 45.33, 68.87, 54.98, 76.1, 75.41, 29.21, 68.28, 49.39, 73.79, 10.0, 70.24, 75.03, 76.9, 25.85, 70.29, 70.6, 75.3, 51.01, 38.52, 75.99, 60.28, 64.19, 64.28, 73.39, 62.05, 71.31, 75.87, 75.87, 38.54, 55.78, 76.47, 37.84, 70.91, 49.73, 68.7, 62.09]}
gen:11{ accuracy:[40.5, 68.25, 67.74, 25.31, 10.0, 10.0, 77.18, 64.57, 70.07, 51.42, 77.35, 35.1, 76.18, 64.48, 72.78, 46.94, 69.56, 60.83, 71.99, 68.84, 70.08, 40.89, 76.13, 49.11, 10.0, 75.35, 72.31, 40.27, 75.23, 61.54, 64.08, 76.1, 64.35, 10.0, 76.89, 64.14, 62.03, 75.83, 76.03, 10.0, 72.34, 77.46, 37.31, 70.43, 70.47, 77.49, 44.22, 78.17, 27.35, 26.03, 65.17, 62.28, 72.99, 75.69, 69.0, 75.8, 50.3, 69.17, 69.35, 71.07, 68.05, 76.01, 53.47, 10.0, 59.99, 50.08, 42.87, 75.72, 10.0, 55.54, 71.22, 56.11, 20.51, 64.34, 57.71]}
gen:12{ accuracy:[65.07, 38.04, 61.61, 69.53, 70.46, 17.3, 60.07, 77.07, 76.09, 65.57, 26.59, 63.84, 71.03, 70.48, 46.78, 61.2, 38.02, 40.93, 55.91, 57.33, 57.63, 77.0, 69.81, 65.14, 76.12, 10.0, 27.17, 49.77, 77.54, 26.46, 75.72, 75.6, 55.22, 36.61, 76.54, 45.93, 53.37, 65.81, 41.44, 41.65, 75.19, 78.54, 73.7, 33.85, 77.18, 45.59, 69.44, 46.41, 10.0, 73.35, 78.18, 77.08, 76.29, 37.4, 52.23, 76.73, 68.78, 50.59, 77.47, 67.73, 51.94, 41.78, 39.73, 63.36, 78.4, 76.26, 24.09, 32.78, 69.03, 68.41, 72.34, 31.06, 48.36, 70.15, 56.13]}
