gen:0{ accuracy:[44.26, 47.45, 39.07, 44.85, 51.04, 49.18, 34.86, 48.41, 54.46, 66.37, 57.65, 34.09, 51.31, 50.9, 65.17, 58.87, 37.79, 35.32, 55.74, 44.69, 64.76, 53.21, 65.46, 61.92, 45.0, 48.97, 65.46, 38.06, 67.63, 51.02, 59.17, 36.37, 38.59, 53.49, 54.4, 51.47, 55.0, 54.8, 49.17, 49.71, 44.8, 40.72, 61.75, 45.92, 49.91, 56.88, 25.88, 57.79, 39.26, 35.47, 63.12, 10.0, 48.01, 56.76, 46.03, 27.96, 62.91, 41.48, 24.66, 50.97, 56.77, 47.73, 43.38, 47.25, 60.08, 64.43, 70.12, 61.53, 45.49, 60.02, 41.02, 62.55, 42.58, 69.56, 53.64]}
gen:1{ accuracy:[66.72, 32.48, 68.44, 42.04, 62.05, 71.02, 66.68, 55.14, 24.01, 43.66, 64.61, 69.0, 64.32, 69.06, 68.03, 59.03, 64.44, 62.72, 49.88, 64.9, 34.74, 64.35, 65.18, 38.92, 65.19, 35.31, 56.04, 60.96, 66.58, 20.81, 24.22, 29.11, 70.37, 22.59, 71.39, 63.27, 64.93, 58.56, 61.82, 64.95, 52.09, 68.34, 63.82, 67.44, 68.85, 29.69, 68.67, 49.0, 64.58, 64.96, 51.98, 38.09, 65.35, 31.93, 64.26, 15.43, 63.98, 63.27, 60.39, 69.2, 66.1, 66.04, 14.15, 60.05, 68.55, 66.23, 61.43, 50.89, 64.11, 16.69, 53.0, 65.26, 63.86, 65.04, 51.82]}
gen:2{ accuracy:[71.11, 71.28, 69.76, 71.63, 71.44, 70.18, 35.39, 69.68, 69.36, 69.56, 10.0, 66.69, 68.31, 69.73, 71.16, 66.75, 66.59, 43.15, 70.6, 73.32, 70.59, 69.79, 71.57, 66.97, 66.8, 72.14, 67.67, 28.87, 65.36, 67.86, 70.43, 42.98, 72.23, 72.43, 69.78, 61.11, 71.0, 67.89, 72.41, 44.51, 70.69, 71.03, 66.95, 60.68, 50.64, 71.37, 67.26, 66.76, 71.05, 70.29, 25.4, 46.05, 67.8, 59.73, 65.73, 72.15, 69.49, 71.03, 70.38, 46.82, 72.14, 24.67, 70.88, 72.64, 52.8, 70.38, 69.3, 49.84, 65.78, 71.81, 71.18, 70.31, 41.91, 57.44, 62.77]}
gen:3{ accuracy:[72.2, 72.31, 60.45, 69.99, 71.3, 69.11, 70.23, 74.37, 57.24, 71.96, 70.11, 74.2, 72.97, 72.14, 73.35, 72.21, 66.5, 66.84, 73.15, 69.29, 70.47, 72.04, 73.33, 73.25, 68.71, 70.18, 71.62, 69.11, 73.01, 74.34, 69.76, 73.84, 69.22, 72.07, 70.42, 73.39, 72.7, 72.59, 69.62, 65.57, 73.42, 72.83, 72.44, 72.37, 73.39, 68.74, 69.01, 68.23, 72.63, 10.1, 72.19, 73.19, 71.72, 73.0, 73.65, 71.84, 72.43, 73.47, 72.03, 72.04, 67.71, 64.83, 50.79, 72.64, 72.36, 72.42, 73.65, 72.85, 71.89, 66.13, 71.81, 69.32, 73.27, 73.03, 70.47]}
gen:4{ accuracy:[61.84, 64.94, 72.76, 69.41, 73.91, 72.06, 30.36, 73.33, 65.65, 70.38, 74.24, 49.7, 69.89, 69.16, 73.69, 71.82, 67.73, 72.04, 69.31, 72.71, 73.9, 74.08, 73.33, 42.55, 73.14, 71.95, 10.0, 71.99, 65.62, 73.09, 65.92, 70.24, 74.27, 52.26, 71.4, 67.07, 72.64, 9.78, 70.46, 71.29, 72.78, 72.77, 73.14, 70.56, 67.65, 64.9, 72.3, 10.1, 70.47, 73.17, 44.17, 58.13, 65.59, 71.6, 73.38, 37.79, 70.42, 49.28, 73.34, 71.73, 61.2, 73.37, 71.84, 64.11, 71.99, 71.38, 73.24, 65.62, 73.05, 72.56, 73.06, 71.88, 45.53, 10.0, 66.55]}
gen:5{ accuracy:[65.07, 72.86, 70.17, 52.56, 70.62, 70.92, 72.48, 69.77, 70.69, 71.51, 73.76, 63.85, 72.4, 63.15, 71.11, 73.03, 71.46, 74.31, 74.54, 72.36, 71.85, 73.59, 63.73, 73.25, 69.34, 60.45, 70.27, 71.58, 51.74, 69.48, 71.95, 69.96, 51.7, 63.04, 68.5, 72.22, 54.88, 60.93, 62.42, 74.21, 72.38, 74.4, 72.43, 73.44, 70.93, 63.47, 75.62, 56.88, 69.91, 71.06, 74.0, 71.34, 71.22, 70.9, 73.52, 72.09, 72.99, 64.91, 34.52, 69.27, 70.28, 68.96, 71.61, 74.38, 71.47, 71.18, 72.66, 65.37, 73.85, 63.56, 61.98, 71.15, 73.7, 75.34, 69.67]}
gen:6{ accuracy:[47.9, 76.09, 17.44, 74.25, 73.82, 75.54, 73.59, 74.5, 74.06, 74.61, 72.43, 68.66, 19.26, 72.39, 68.99, 74.01, 66.28, 72.83, 72.18, 72.74, 73.98, 73.41, 67.29, 59.88, 24.36, 75.25, 60.43, 73.56, 56.11, 49.28, 71.04, 50.29, 73.63, 67.47, 69.8, 70.64, 69.12, 51.12, 70.45, 70.59, 73.41, 74.22, 73.81, 74.94, 74.02, 37.53, 10.0, 73.56, 75.44, 74.56, 72.21, 66.7, 72.64, 73.62, 46.71, 74.1, 69.78, 73.59, 70.39, 73.6, 71.02, 73.38, 54.69, 63.46, 74.34, 75.17, 74.17, 10.0, 74.49, 10.0, 73.71, 75.1, 61.95, 72.63, 61.93]}
gen:7{ accuracy:[58.17, 70.85, 70.51, 47.38, 70.67, 73.05, 73.71, 59.46, 67.33, 75.36, 45.44, 57.4, 72.68, 74.61, 33.2, 73.48, 34.31, 72.69, 74.14, 66.93, 68.11, 71.19, 74.95, 67.5, 66.83, 74.92, 75.09, 71.73, 74.32, 72.74, 53.59, 64.39, 69.6, 59.53, 74.43, 73.63, 74.2, 71.53, 70.07, 63.76, 71.31, 73.95, 74.61, 71.95, 67.41, 57.47, 59.99, 74.73, 60.23, 74.38, 73.89, 73.86, 74.6, 72.89, 48.52, 72.62, 58.81, 74.78, 72.72, 76.26, 71.29, 55.58, 75.06, 47.76, 72.84, 71.97, 69.05, 66.11, 55.87, 67.49, 74.33, 67.58, 73.71, 74.9, 74.39]}
gen:8{ accuracy:[70.92, 75.62, 59.81, 53.01, 73.52, 67.73, 58.24, 70.22, 68.49, 76.82, 59.13, 72.72, 77.21, 60.53, 76.43, 75.14, 66.96, 50.43, 61.14, 75.77, 74.49, 74.01, 67.12, 71.66, 67.65, 76.52, 76.39, 74.98, 75.88, 77.13, 66.24, 73.49, 73.77, 72.06, 68.01, 64.39, 76.83, 75.23, 59.89, 74.08, 73.29, 77.3, 73.98, 75.44, 74.1, 76.02, 68.93, 26.75, 75.92, 76.14, 68.31, 73.83, 72.61, 60.06, 71.19, 73.58, 74.58, 62.31, 75.68, 74.73, 57.47, 72.44, 64.02, 66.95, 70.38, 43.53, 61.44, 73.13, 53.3, 75.26, 75.19, 73.35, 76.57, 72.03, 63.4]}
gen:9{ accuracy:[62.63, 74.9, 75.35, 67.24, 48.27, 78.35, 75.02, 78.4, 75.81, 68.01, 61.81, 73.21, 63.45, 48.77, 65.22, 51.58, 43.22, 72.58, 63.65, 77.15, 75.73, 56.06, 77.26, 75.61, 77.08, 75.75, 72.87, 65.55, 77.96, 78.43, 75.94, 75.47, 74.98, 75.09, 63.39, 47.19, 71.48, 75.04, 40.56, 76.07, 78.58, 52.16, 69.86, 69.05, 50.49, 62.74, 73.2, 76.53, 64.49, 73.34, 76.94, 77.96, 74.84, 74.74, 72.46, 43.31, 57.43, 59.39, 69.88, 74.89, 45.74, 68.5, 52.76, 76.97, 76.46, 52.06, 75.97, 76.58, 76.91, 69.71, 76.89, 73.71, 76.93, 78.55, 74.88]}
