gen:0{ accuracy:[64.56, 47.87, 53.84, 51.06, 47.01, 61.38, 64.33, 39.29, 54.42, 57.9, 69.92, 34.1, 47.43, 43.75, 67.27, 39.14, 48.17, 67.04, 50.18, 31.98, 48.71, 61.13, 10.0, 50.94, 62.86, 65.35, 31.84, 55.26, 49.64, 67.74, 48.78, 57.34, 56.96, 42.26, 51.57, 68.02, 48.41, 64.62, 64.37, 55.53, 66.37, 65.19, 55.22, 63.92, 59.79, 57.22, 71.13, 58.14, 62.87, 44.4, 65.88, 52.38, 48.64, 23.53, 50.13, 56.35, 40.13, 37.03, 47.17, 30.09, 64.5, 28.2, 55.06, 10.0, 55.28, 53.44, 53.37, 28.94, 43.87, 44.14, 53.07, 62.8, 53.46, 61.66, 70.53]}
gen:1{ accuracy:[65.63, 67.64, 31.38, 37.31, 61.94, 57.22, 10.0, 59.33, 46.42, 35.54, 16.81, 37.68, 10.0, 62.93, 55.66, 24.78, 46.05, 62.14, 63.93, 50.9, 62.32, 10.0, 54.27, 59.11, 58.16, 64.26, 63.29, 60.56, 66.14, 69.23, 51.29, 70.89, 69.66, 48.58, 53.03, 65.47, 50.66, 69.89, 39.54, 62.35, 58.84, 51.83, 61.53, 65.81, 68.22, 62.96, 63.09, 51.52, 23.29, 42.65, 53.5, 46.97, 37.62, 58.97, 64.51, 24.34, 44.41, 55.92, 58.85, 30.79, 62.8, 36.2, 53.85, 54.73, 56.7, 50.87, 53.28, 45.55, 57.6, 10.0, 41.33, 55.49, 58.12, 42.0, 35.09]}
gen:2{ accuracy:[53.79, 65.66, 42.25, 59.95, 39.37, 48.32, 40.91, 50.95, 66.27, 66.63, 65.29, 69.4, 67.28, 68.07, 41.68, 71.37, 48.51, 32.2, 53.95, 52.46, 66.77, 65.57, 67.92, 46.32, 44.88, 71.33, 65.13, 58.11, 27.58, 50.13, 64.97, 59.28, 52.29, 49.95, 39.02, 68.57, 50.4, 50.84, 43.73, 31.54, 66.01, 68.71, 70.33, 53.43, 67.51, 72.6, 66.11, 63.42, 72.1, 65.68, 63.74, 54.12, 59.08, 50.76, 58.51, 43.83, 39.23, 57.99, 26.54, 40.91, 42.81, 68.03, 60.45, 66.71, 69.15, 62.46, 52.78, 61.06, 52.45, 25.49, 57.37, 65.17, 56.53, 67.63, 10.0]}
gen:3{ accuracy:[71.38, 44.99, 66.27, 70.06, 68.58, 41.05, 63.45, 70.74, 37.42, 43.68, 47.11, 52.86, 30.74, 18.14, 52.95, 49.9, 46.96, 70.94, 63.87, 68.07, 42.75, 48.27, 49.06, 57.14, 65.94, 59.31, 68.26, 28.41, 31.18, 72.09, 62.36, 46.84, 67.48, 60.84, 24.84, 43.1, 48.55, 39.69, 67.99, 18.32, 40.3, 17.78, 71.62, 42.26, 33.66, 16.85, 54.0, 18.94, 39.8, 65.7, 44.75, 54.55, 69.28, 47.17, 68.45, 66.62, 46.29, 24.55, 58.35, 44.75, 58.25, 57.35, 68.86, 37.98, 64.01, 31.61, 39.95, 56.86, 45.83, 67.73, 40.76, 51.33, 30.15, 59.06, 51.91]}
gen:4{ accuracy:[56.68, 42.98, 56.79, 60.4, 49.68, 70.11, 61.72, 69.22, 68.93, 72.62, 70.58, 51.48, 35.26, 50.77, 69.6, 67.29, 51.29, 70.57, 39.31, 65.99, 72.05, 69.1, 71.83, 34.28, 66.86, 51.49, 69.67, 43.52, 62.39, 69.75, 68.19, 56.27, 71.35, 51.55, 50.33, 61.12, 47.18, 69.88, 51.94, 61.56, 66.19, 71.42, 51.41, 64.64, 31.03, 51.75, 71.41, 59.97, 40.85, 50.38, 62.65, 71.46, 45.68, 68.14, 51.71, 31.49, 70.43, 51.89, 70.74, 49.02, 51.79, 69.44, 64.15, 71.26, 52.01, 68.14, 56.93, 52.2, 63.17, 35.59, 10.0, 64.98, 64.39, 73.35, 61.68]}
gen:5{ accuracy:[70.15, 68.43, 55.55, 54.23, 27.79, 72.69, 72.7, 16.48, 71.45, 58.78, 71.4, 72.95, 71.24, 71.36, 72.25, 69.6, 72.74, 73.14, 70.52, 74.31, 61.14, 67.81, 54.62, 59.54, 35.78, 39.6, 25.47, 50.67, 51.38, 72.29, 45.49, 49.94, 70.18, 46.58, 10.0, 45.79, 69.52, 19.1, 18.27, 66.71, 67.12, 71.32, 70.21, 62.99, 53.67, 64.08, 70.23, 23.7, 22.46, 60.47, 64.42, 64.86, 16.09, 56.11, 65.48, 58.97, 51.91, 50.78, 68.55, 68.9, 18.64, 73.41, 70.04, 73.65, 67.89, 41.6, 70.72, 43.55, 69.8, 49.36, 29.38, 27.51, 72.76, 71.86, 18.0]}
gen:6{ accuracy:[72.4, 30.96, 62.06, 72.37, 66.14, 73.79, 72.14, 18.49, 70.8, 71.02, 10.0, 74.67, 65.75, 73.66, 74.07, 70.94, 74.22, 30.8, 73.4, 66.82, 73.82, 72.58, 73.53, 49.52, 63.77, 73.14, 73.38, 73.98, 72.38, 18.26, 65.17, 71.87, 18.91, 70.42, 72.66, 72.86, 73.79, 73.42, 70.96, 25.84, 73.91, 72.78, 72.77, 53.33, 73.12, 23.27, 72.69, 52.75, 68.64, 64.71, 72.0, 72.7, 18.01, 71.89, 68.8, 59.75, 68.91, 66.24, 43.54, 41.5, 70.29, 10.0, 66.17, 40.84, 72.72, 73.47, 72.53, 28.22, 61.97, 64.84, 73.3, 72.68, 62.07, 61.12, 58.1]}
gen:7{ accuracy:[74.07, 74.41, 73.86, 64.0, 74.65, 73.79, 71.33, 63.25, 72.73, 61.13, 63.39, 68.41, 72.09, 73.67, 72.81, 72.26, 73.25, 73.92, 10.0, 72.57, 74.21, 73.94, 73.38, 66.28, 72.35, 73.11, 73.97, 72.22, 67.64, 57.08, 75.22, 67.58, 70.31, 62.49, 72.41, 61.42, 68.47, 72.92, 73.33, 73.47, 70.98, 71.29, 74.23, 71.15, 73.09, 56.63, 66.59, 74.04, 74.13, 71.04, 60.24, 67.27, 75.61, 66.55, 33.76, 57.05, 67.23, 72.63, 67.45, 56.17, 70.1, 74.96, 34.6, 73.45, 71.87, 74.27, 73.44, 71.97, 72.77, 72.99, 72.3, 71.72, 58.33, 58.77, 60.98]}
gen:8{ accuracy:[53.67, 73.84, 48.39, 67.81, 67.17, 75.19, 73.46, 75.11, 73.21, 75.34, 47.99, 74.87, 57.26, 18.93, 70.07, 19.6, 18.43, 74.1, 73.3, 69.73, 67.13, 73.81, 18.44, 49.26, 10.0, 50.94, 59.41, 73.91, 64.12, 74.07, 72.92, 75.09, 50.85, 67.29, 54.91, 18.94, 71.11, 73.68, 21.67, 67.41, 50.37, 72.51, 73.85, 73.88, 67.91, 46.81, 37.6, 73.93, 74.48, 74.58, 62.53, 70.53, 36.82, 72.87, 50.37, 62.11, 73.58, 17.42, 24.92, 69.37, 18.91, 70.75, 73.75, 75.88, 74.95, 73.46, 17.79, 75.07, 48.89, 68.43, 66.81, 73.43, 63.77, 63.2, 73.29]}
gen:9{ accuracy:[74.81, 76.16, 69.37, 73.02, 74.25, 51.1, 67.21, 69.43, 74.6, 71.22, 74.96, 73.64, 68.38, 50.51, 56.09, 50.39, 74.16, 63.4, 74.55, 74.95, 74.69, 73.83, 50.87, 67.18, 62.84, 74.08, 52.18, 51.55, 68.86, 71.31, 76.52, 74.65, 75.3, 75.59, 74.84, 59.89, 69.35, 74.97, 53.19, 70.7, 73.05, 75.05, 75.41, 67.51, 74.74, 68.87, 64.28, 76.48, 74.62, 57.04, 69.93, 51.29, 72.11, 76.17, 10.0, 66.57, 73.88, 60.24, 46.15, 74.12, 51.11, 67.91, 74.79, 50.97, 75.03, 74.2, 72.35, 74.9, 75.14, 73.95, 73.44, 44.88, 66.71, 73.93, 73.69]}
