gen:0{ accuracy:[58.21, 44.37, 66.67, 70.63, 46.25, 63.44, 51.95, 64.83, 65.13, 52.27, 59.23, 72.28, 68.1, 10.0, 60.69, 59.78, 46.93, 63.86, 44.59, 43.15, 65.06, 66.74, 54.55, 60.99, 72.59, 46.59, 66.06, 38.52, 59.11, 65.31, 50.55, 50.59, 42.36, 43.29, 38.38, 57.15, 53.59, 38.21, 66.05, 38.08, 44.56, 45.01, 46.0, 48.78, 65.36, 49.17, 48.82, 53.92, 40.46, 32.97, 54.92, 57.85, 60.66, 48.21, 59.96, 47.89, 42.52, 66.75, 42.32, 52.21, 55.62, 38.78, 46.53, 67.66, 54.65, 33.02, 45.71, 45.97, 32.4, 49.56, 48.91, 55.93, 34.56, 44.03, 64.24]}
gen:1{ accuracy:[67.31, 39.13, 65.33, 61.69, 61.85, 47.26, 71.28, 63.53, 37.66, 66.41, 45.25, 71.9, 67.64, 68.47, 69.08, 53.42, 63.04, 71.2, 65.76, 71.69, 46.71, 71.76, 28.96, 25.92, 49.5, 49.52, 33.32, 65.9, 18.56, 58.66, 51.13, 69.57, 65.09, 62.11, 43.9, 67.42, 69.47, 48.22, 39.8, 67.44, 16.33, 49.6, 69.56, 10.0, 59.61, 63.82, 10.0, 44.28, 31.6, 60.68, 68.24, 29.49, 69.54, 65.56, 65.25, 32.73, 62.26, 10.0, 67.22, 63.01, 54.9, 62.2, 59.62, 10.0, 54.11, 67.37, 32.74, 72.21, 57.96, 54.16, 65.25, 41.67, 36.89, 49.0, 57.7]}
gen:2{ accuracy:[52.09, 62.82, 61.21, 44.75, 53.29, 47.78, 51.54, 66.13, 59.96, 53.05, 65.69, 49.96, 60.08, 60.81, 57.89, 56.2, 67.06, 61.54, 50.02, 60.88, 50.94, 67.14, 61.57, 67.92, 62.08, 56.1, 34.21, 65.55, 70.93, 57.94, 58.51, 63.81, 56.97, 55.58, 65.03, 39.53, 48.93, 64.0, 71.77, 65.86, 68.82, 46.2, 53.17, 49.37, 60.02, 52.56, 65.84, 46.18, 38.88, 63.88, 56.74, 56.85, 55.33, 54.43, 59.62, 62.25, 38.15, 68.43, 48.98, 46.05, 67.22, 63.25, 50.41, 58.2, 59.07, 69.91, 63.31, 48.62, 70.93, 59.94, 57.56, 65.12, 56.34, 60.38, 40.21]}
gen:3{ accuracy:[52.9, 50.81, 71.26, 63.1, 65.83, 10.0, 43.76, 53.65, 59.62, 10.0, 58.04, 69.8, 46.09, 64.93, 42.17, 68.98, 58.77, 58.26, 70.7, 63.67, 61.95, 58.22, 65.29, 60.88, 56.72, 54.35, 48.54, 69.73, 70.68, 33.56, 56.43, 60.5, 37.82, 64.91, 51.88, 55.17, 45.51, 63.89, 57.08, 59.11, 46.12, 49.49, 70.17, 43.78, 40.71, 55.59, 31.6, 59.25, 60.78, 61.59, 65.03, 63.64, 51.8, 43.61, 66.19, 60.42, 38.87, 50.51, 64.83, 50.24, 38.66, 61.08, 36.02, 62.34, 45.17, 33.85, 53.78, 63.4, 59.43, 54.92, 45.65, 69.04, 59.59, 60.42, 41.12]}
gen:4{ accuracy:[65.46, 42.38, 34.54, 46.73, 17.14, 62.14, 63.53, 47.47, 45.47, 63.46, 55.03, 67.78, 67.55, 42.99, 46.48, 66.33, 70.02, 70.47, 41.68, 59.56, 69.95, 57.18, 70.48, 61.07, 16.77, 51.58, 60.47, 59.72, 46.74, 52.9, 42.07, 51.1, 59.84, 50.55, 70.68, 64.05, 58.03, 69.65, 63.26, 70.25, 47.75, 71.66, 69.11, 58.4, 56.54, 36.65, 71.49, 61.82, 59.97, 71.71, 66.86, 63.95, 41.02, 58.51, 26.94, 67.96, 58.03, 70.19, 63.35, 61.3, 61.55, 57.23, 15.39, 55.0, 57.92, 63.59, 71.04, 65.02, 32.14, 32.59, 44.35, 35.95, 58.3, 45.32, 10.0]}
gen:5{ accuracy:[71.15, 69.53, 26.28, 17.97, 26.45, 24.31, 10.2, 40.18, 26.65, 70.23, 38.86, 29.49, 69.76, 30.6, 18.16, 52.66, 56.35, 17.82, 73.8, 10.0, 36.31, 27.08, 54.1, 18.39, 64.9, 29.06, 38.55, 57.79, 30.44, 33.51, 31.01, 71.02, 41.77, 22.72, 67.2, 54.18, 17.15, 60.97, 51.3, 27.15, 69.18, 61.34, 27.27, 29.95, 21.28, 54.97, 39.38, 51.92, 34.23, 67.81, 10.0, 26.13, 67.15, 26.15, 21.5, 68.37, 20.69, 69.11, 68.41, 42.19, 69.94, 68.18, 70.48, 45.94, 34.12, 10.0, 45.23, 61.71, 32.98, 52.34, 17.1, 52.24, 31.17, 47.64, 25.17]}
gen:6{ accuracy:[34.5, 10.0, 10.0, 49.68, 67.54, 70.35, 20.57, 32.58, 74.04, 31.91, 70.33, 53.11, 74.31, 66.95, 46.99, 45.74, 73.94, 68.57, 25.81, 66.97, 66.73, 73.62, 10.0, 27.09, 62.19, 58.28, 49.3, 53.2, 55.16, 45.43, 52.08, 66.39, 66.7, 53.25, 32.59, 74.33, 69.82, 16.06, 59.13, 63.74, 36.32, 69.41, 70.8, 69.94, 10.0, 17.64, 26.52, 49.29, 48.92, 61.37, 25.76, 40.82, 67.16, 71.09, 25.77, 52.29, 38.72, 62.26, 30.3, 69.11, 63.76, 52.53, 26.96, 53.64, 64.52, 68.35, 38.58, 52.15, 65.84, 65.61, 17.11, 65.41, 33.16, 25.87, 65.15]}
gen:7{ accuracy:[67.69, 62.18, 74.11, 60.01, 10.0, 74.83, 73.95, 71.48, 73.88, 70.01, 68.29, 74.64, 72.99, 71.74, 72.68, 74.09, 67.91, 68.3, 69.94, 67.19, 74.71, 74.35, 66.85, 61.47, 55.22, 10.0, 64.09, 75.68, 51.77, 68.41, 71.51, 72.04, 68.42, 71.33, 68.23, 72.9, 68.52, 68.47, 67.04, 69.0, 68.38, 69.25, 68.75, 72.69, 68.4, 63.52, 69.74, 72.85, 53.38, 47.87, 65.15, 67.82, 68.67, 67.22, 72.24, 74.11, 69.38, 71.86, 67.51, 66.64, 68.22, 68.8, 69.5, 68.77, 69.56, 68.34, 69.44, 51.1, 67.92, 44.27, 62.85, 10.0, 70.53, 73.32, 71.45]}
gen:8{ accuracy:[68.23, 74.12, 74.89, 75.45, 73.34, 74.34, 73.64, 69.29, 74.95, 74.27, 73.34, 75.07, 46.88, 70.76, 75.22, 68.33, 73.89, 73.88, 73.46, 74.41, 70.43, 70.57, 73.69, 62.95, 67.6, 74.64, 73.87, 70.91, 73.78, 69.6, 73.82, 73.84, 70.48, 76.04, 52.08, 71.79, 71.53, 73.42, 70.57, 63.72, 36.51, 69.98, 73.83, 68.97, 74.15, 40.47, 49.24, 72.23, 73.69, 47.28, 67.15, 10.0, 69.68, 73.97, 71.04, 10.0, 70.15, 52.8, 70.78, 50.81, 59.55, 62.99, 70.08, 75.03, 60.72, 69.88, 74.23, 73.78, 74.95, 71.89, 59.18, 73.34, 58.14, 34.01, 73.82]}
gen:9{ accuracy:[70.4, 10.0, 25.66, 10.0, 56.26, 42.58, 68.13, 16.97, 57.51, 62.38, 73.42, 65.44, 54.28, 55.58, 43.96, 36.55, 74.84, 40.82, 18.22, 53.29, 10.0, 74.68, 54.21, 54.38, 10.0, 71.31, 64.93, 53.96, 47.92, 30.45, 55.29, 62.9, 62.09, 69.49, 66.78, 36.94, 10.0, 72.69, 63.76, 45.85, 53.15, 37.33, 63.29, 54.67, 71.82, 22.72, 33.96, 32.72, 54.35, 29.33, 26.0, 63.76, 45.88, 54.63, 66.77, 26.9, 60.27, 67.04, 68.59, 69.37, 10.0, 39.46, 25.93, 56.18, 60.43, 25.99, 72.63, 34.5, 54.67, 70.88, 67.32, 60.43, 49.93, 49.92, 72.12]}
