gen:35{ accuracy:[57.69, 69.45, 10.0, 68.16, 30.69, 59.78, 81.54, 64.36, 77.62, 56.59, 14.21, 69.59, 64.74, 63.6, 80.4, 61.5, 31.79, 52.41, 78.46, 80.2, 80.74, 19.04, 75.34, 47.35, 65.59, 69.25, 17.63, 70.2, 50.73, 80.89, 42.42, 16.29, 37.59, 72.74, 72.52, 78.95, 79.99, 67.22, 75.12, 77.12, 76.28, 79.76, 80.68, 22.9, 15.96, 44.66, 37.96, 65.21, 73.53, 76.35, 72.26, 54.69, 18.08, 47.54, 81.19, 41.99, 76.37, 75.4, 78.24, 54.85, 23.74, 56.94, 74.63, 78.03, 81.15, 77.85, 80.95, 16.2, 44.48, 10.0, 17.98, 64.1, 51.61, 65.44, 47.67]}
gen:36{ accuracy:[63.95, 73.98, 72.78, 54.45, 39.28, 51.82, 75.05, 76.75, 46.16, 80.02, 62.46, 56.22, 77.38, 76.66, 53.16, 73.28, 76.05, 59.33, 47.06, 78.62, 33.55, 81.07, 41.68, 79.83, 71.53, 40.03, 72.16, 62.02, 10.0, 79.53, 10.0, 10.0, 37.93, 70.95, 43.26, 74.91, 71.04, 78.01, 19.11, 33.04, 48.15, 78.28, 10.0, 80.25, 75.66, 48.87, 56.74, 26.45, 71.77, 59.47, 10.0, 10.0, 55.43, 64.61, 24.18, 75.98, 71.87, 70.11, 54.65, 75.0, 77.05, 39.69, 63.63, 76.59, 10.0, 62.72, 70.4, 45.36, 35.97, 47.43, 10.0, 10.0, 72.18, 51.64, 79.09]}
gen:37{ accuracy:[78.53, 79.26, 72.15, 56.52, 10.0, 64.18, 78.18, 48.85, 68.93, 17.92, 10.0, 65.03, 10.0, 80.56, 76.98, 60.44, 79.65, 73.04, 80.19, 34.76, 67.17, 70.04, 74.18, 81.42, 47.88, 34.36, 80.22, 78.56, 10.0, 47.35, 70.5, 35.22, 78.24, 10.0, 63.98, 22.85, 70.55, 60.49, 77.65, 78.11, 79.69, 10.0, 46.73, 70.66, 71.61, 80.7, 58.68, 71.15, 54.11, 10.0, 75.42, 23.94, 10.0, 75.31, 19.2, 77.95, 80.02, 10.0, 43.62, 78.02, 36.19, 77.66, 66.6, 31.78, 78.83, 79.05, 27.16, 24.91, 64.45, 24.6, 79.12, 78.72, 74.09, 39.2, 10.0]}
gen:38{ accuracy:[74.62, 78.63, 75.95, 80.41, 68.39, 76.07, 79.07, 40.22, 61.76, 79.56, 73.72, 80.32, 79.74, 54.15, 63.09, 67.15, 66.54, 57.07, 62.37, 80.15, 80.37, 62.42, 64.27, 10.0, 25.05, 80.17, 71.28, 72.67, 80.74, 65.95, 79.47, 42.07, 73.0, 33.7, 74.19, 69.56, 46.8, 77.02, 79.29, 76.55, 78.29, 48.43, 74.0, 77.41, 64.21, 76.57, 80.07, 18.35, 80.3, 76.09, 79.55, 55.45, 65.14, 51.04, 51.11, 42.89, 26.33, 61.51, 51.62, 68.21, 79.63, 75.17, 79.29, 63.2, 79.09, 18.45, 79.95, 80.54, 78.66, 76.49, 63.63, 65.7, 78.84, 31.48, 79.84]}
gen:39{ accuracy:[80.49, 80.67, 76.71, 46.95, 58.43, 10.0, 79.49, 56.55, 80.0, 73.41, 75.93, 62.41, 10.0, 80.76, 34.31, 61.97, 31.6, 78.56, 78.82, 62.18, 80.03, 81.08, 71.81, 79.74, 75.9, 67.37, 10.0, 45.0, 44.76, 65.7, 77.94, 71.5, 70.91, 79.03, 80.34, 79.4, 76.46, 75.85, 58.78, 35.49, 68.1, 75.83, 76.89, 80.0, 77.89, 80.82, 74.6, 72.13, 78.21, 14.51, 17.28, 80.13, 27.4, 79.07, 79.95, 55.56, 79.39, 81.02, 79.57, 76.39, 79.35, 48.41, 55.07, 70.37, 40.45, 80.35, 80.21, 79.47, 77.0, 46.6, 53.53, 10.0, 17.29, 81.07, 79.06]}
gen:40{ accuracy:[79.34, 10.0, 59.75, 77.39, 79.33, 40.27, 31.12, 40.7, 48.5, 43.49, 61.02, 47.28, 41.44, 80.41, 74.32, 10.0, 40.66, 76.65, 48.06, 80.92, 22.38, 35.15, 79.29, 78.69, 10.0, 75.66, 69.07, 78.38, 62.0, 24.48, 36.14, 53.75, 61.83, 50.82, 10.0, 77.99, 74.25, 75.32, 34.65, 81.05, 48.75, 80.3, 79.18, 25.78, 80.03, 79.61, 77.54, 68.47, 10.0, 65.02, 37.69, 75.36, 43.73, 53.21, 75.82, 70.75, 49.53, 80.12, 73.05, 18.99, 76.49, 56.89, 48.91, 81.11, 41.92, 80.1, 70.21, 80.77, 63.9, 25.25, 18.66, 74.19, 16.43, 74.91, 50.95]}
gen:41{ accuracy:[80.62, 44.97, 77.58, 70.04, 60.18, 27.34, 73.37, 10.0, 17.24, 66.58, 60.77, 68.78, 10.0, 10.0, 24.29, 57.79, 80.69, 10.0, 61.33, 76.7, 79.76, 79.85, 32.76, 10.0, 20.44, 10.0, 68.95, 80.9, 72.04, 79.99, 68.99, 80.14, 76.41, 38.08, 64.65, 79.71, 80.17, 50.95, 71.61, 81.25, 49.42, 10.0, 79.07, 80.15, 78.98, 77.15, 77.82, 47.16, 70.72, 77.41, 80.1, 80.58, 79.43, 74.68, 28.07, 76.11, 65.5, 18.15, 75.15, 40.6, 80.05, 63.29, 81.43, 79.95, 62.05, 80.08, 80.24, 10.0, 24.16, 67.48, 79.26, 76.06, 79.43, 79.09, 69.55]}
gen:42{ accuracy:[29.49, 75.77, 77.98, 71.4, 70.53, 79.5, 80.1, 40.72, 80.36, 80.55, 39.49, 79.44, 64.47, 66.96, 70.11, 79.96, 80.48, 51.0, 54.96, 63.3, 79.41, 80.63, 16.87, 76.42, 80.78, 45.19, 80.25, 79.67, 60.8, 81.39, 16.22, 10.0, 80.86, 52.04, 25.46, 73.52, 10.0, 79.36, 80.56, 18.24, 80.76, 79.94, 49.08, 76.83, 42.96, 75.0, 79.0, 33.29, 80.88, 80.61, 38.76, 80.25, 57.84, 81.11, 81.04, 80.31, 35.12, 79.43, 49.43, 61.27, 17.75, 52.79, 26.18, 79.47, 72.06, 17.89, 71.28, 81.34, 76.67, 58.56, 80.52, 41.48, 72.39, 59.07, 52.7]}
gen:43{ accuracy:[70.59, 80.25, 79.55, 75.36, 69.14, 58.12, 79.56, 58.74, 78.24, 35.02, 10.0, 80.16, 10.0, 69.6, 80.28, 70.87, 78.56, 10.0, 74.85, 76.69, 76.43, 80.55, 79.94, 68.14, 31.25, 66.67, 57.27, 76.83, 76.38, 24.26, 40.11, 10.0, 68.57, 17.72, 40.19, 27.57, 41.21, 76.19, 41.84, 37.04, 78.54, 10.0, 57.87, 10.0, 49.86, 79.77, 10.0, 10.0, 80.84, 75.58, 26.66, 56.61, 25.12, 26.08, 25.41, 35.53, 10.0, 80.98, 76.64, 80.58, 73.65, 46.79, 65.9, 56.39, 31.05, 77.5, 17.76, 26.81, 18.57, 77.58, 75.37, 80.73, 75.7, 68.88, 10.0]}
gen:44{ accuracy:[51.8, 64.33, 27.48, 78.17, 69.8, 71.49, 81.02, 63.01, 42.52, 18.27, 10.0, 64.73, 10.0, 77.56, 10.0, 62.82, 17.48, 10.0, 81.07, 79.62, 78.4, 78.71, 76.94, 78.69, 81.07, 80.92, 77.75, 70.48, 80.32, 34.12, 73.53, 71.76, 74.31, 60.28, 80.25, 53.79, 74.33, 24.99, 26.15, 41.47, 77.71, 79.98, 80.82, 63.68, 74.32, 80.05, 79.79, 80.82, 81.15, 81.57, 61.64, 63.98, 66.49, 60.24, 67.98, 81.31, 79.26, 78.46, 80.89, 81.42, 64.59, 21.86, 25.57, 79.99, 10.0, 10.0, 80.35, 79.46, 10.0, 80.62, 65.65, 68.88, 79.9, 25.59, 75.19]}
