gen:0{ accuracy:[50.08, 45.46, 53.98, 56.24, 47.61, 47.57, 59.77, 54.62, 47.94, 48.99, 37.73, 51.75, 53.56, 58.69, 45.73, 62.74, 46.81, 65.48, 45.21, 62.3, 53.45, 43.48, 67.32, 59.57, 42.27, 52.4, 54.26, 53.29, 43.71, 47.7, 57.59, 38.84, 47.26, 47.78, 52.24, 46.93, 54.47, 60.39, 60.76, 37.88, 49.99, 48.7, 41.67, 54.32, 44.43, 65.66, 68.92, 62.76, 29.84, 61.11, 69.65, 67.83, 31.69, 66.91, 42.56, 52.26, 65.38, 67.95, 54.44, 56.19, 52.01, 51.75, 61.45, 25.96, 56.22, 59.98, 68.08, 69.37, 45.37, 44.6, 57.97, 45.58, 68.95, 40.13, 56.58]}
gen:1{ accuracy:[13.4, 44.98, 68.42, 10.0, 10.0, 53.43, 36.99, 57.32, 66.53, 71.66, 32.7, 67.86, 68.18, 68.75, 66.05, 65.14, 24.86, 17.4, 63.88, 10.0, 42.5, 69.52, 32.37, 50.49, 71.87, 60.49, 69.17, 33.07, 37.43, 63.8, 62.44, 38.3, 64.98, 69.74, 68.1, 67.53, 51.27, 65.72, 65.81, 37.96, 38.9, 46.74, 41.15, 43.1, 40.74, 53.71, 68.62, 45.76, 62.17, 65.29, 68.18, 49.8, 37.22, 54.44, 69.45, 68.79, 63.68, 50.76, 66.04, 61.32, 23.18, 50.74, 67.75, 65.23, 45.84, 56.99, 45.98, 53.36, 63.83, 67.8, 10.0, 44.04, 40.26, 57.02, 57.97]}
gen:2{ accuracy:[58.26, 53.6, 71.5, 72.2, 72.75, 67.04, 35.1, 66.04, 60.36, 67.57, 57.19, 67.34, 64.41, 61.52, 66.75, 64.24, 67.65, 10.0, 67.46, 34.49, 52.09, 64.46, 59.45, 51.15, 72.53, 70.69, 71.82, 66.98, 39.11, 61.7, 66.24, 66.83, 61.29, 66.47, 55.8, 59.53, 66.28, 42.95, 67.64, 47.12, 29.43, 66.14, 33.71, 58.37, 56.64, 47.77, 72.82, 71.27, 72.2, 67.15, 33.31, 62.62, 49.27, 66.26, 67.59, 67.85, 10.0, 62.3, 65.05, 41.55, 58.35, 54.98, 33.29, 61.47, 66.82, 63.5, 29.14, 44.45, 72.43, 70.06, 71.21, 67.31, 63.71, 56.28, 63.28]}
gen:3{ accuracy:[68.82, 67.31, 71.82, 71.35, 66.13, 72.23, 41.58, 67.27, 66.9, 50.88, 66.1, 72.87, 71.46, 62.35, 67.29, 65.74, 47.02, 67.7, 54.82, 70.96, 51.8, 67.7, 67.91, 67.16, 71.8, 71.26, 67.16, 72.2, 22.04, 65.46, 66.06, 56.16, 69.0, 65.84, 62.54, 72.16, 67.13, 72.51, 60.49, 73.02, 56.4, 71.4, 70.85, 66.75, 72.16, 67.35, 73.17, 36.08, 46.23, 67.89, 24.69, 67.59, 64.74, 49.92, 65.07, 72.29, 73.42, 67.74, 67.74, 70.99, 49.12, 57.62, 45.12, 71.62, 72.35, 67.1, 70.78, 71.52, 67.08, 72.4, 67.76, 67.47, 69.37, 66.4, 45.24]}
gen:4{ accuracy:[71.47, 73.13, 71.19, 74.24, 72.9, 70.97, 62.13, 56.51, 72.18, 74.18, 65.64, 74.81, 72.28, 25.62, 72.35, 64.91, 72.04, 58.27, 70.5, 71.2, 70.1, 33.53, 46.82, 62.66, 65.22, 72.6, 72.44, 72.56, 71.75, 50.73, 74.66, 70.34, 72.52, 67.1, 57.76, 71.28, 70.8, 68.91, 72.13, 71.26, 70.0, 72.1, 71.89, 40.22, 48.6, 72.08, 69.84, 38.25, 64.38, 72.3, 72.44, 59.75, 24.59, 65.47, 72.57, 72.71, 65.6, 44.08, 72.95, 71.64, 72.62, 72.7, 63.49, 66.17, 71.08, 66.09, 70.04, 71.77, 63.0, 71.95, 72.6, 71.7, 72.46, 71.77, 68.97]}
gen:5{ accuracy:[73.32, 33.8, 73.64, 74.27, 74.97, 59.98, 65.18, 70.0, 55.37, 73.15, 49.08, 66.23, 64.98, 10.0, 68.74, 69.55, 68.68, 66.79, 65.77, 10.0, 68.06, 44.94, 75.03, 70.09, 66.58, 74.8, 52.39, 62.0, 58.41, 66.27, 25.18, 56.45, 39.94, 61.56, 68.85, 74.69, 74.14, 64.61, 74.73, 64.79, 73.98, 69.4, 65.48, 71.73, 26.52, 74.07, 75.06, 62.82, 73.65, 55.94, 62.81, 68.73, 70.51, 70.81, 62.51, 52.21, 70.48, 73.91, 73.7, 73.78, 64.87, 60.78, 74.15, 74.04, 74.62, 74.67, 18.45, 61.71, 74.66, 69.54, 75.48, 40.34, 62.12, 45.35, 70.11]}
gen:6{ accuracy:[74.07, 67.35, 74.16, 74.5, 43.2, 10.0, 74.19, 75.13, 57.81, 9.99, 76.13, 57.75, 73.34, 65.45, 70.99, 69.1, 38.43, 71.94, 24.78, 75.37, 74.23, 10.0, 53.58, 41.8, 72.16, 74.33, 62.9, 74.08, 74.08, 74.33, 75.87, 75.26, 74.45, 66.5, 75.18, 52.98, 74.14, 68.68, 70.01, 66.12, 75.51, 10.0, 73.62, 38.64, 74.71, 27.16, 51.22, 72.57, 56.21, 75.58, 33.61, 73.6, 68.34, 64.5, 75.28, 43.45, 72.27, 40.2, 72.45, 58.44, 67.18, 10.0, 50.65, 75.36, 74.73, 68.27, 73.74, 74.3, 64.25, 73.94, 48.11, 70.78, 73.79, 74.2, 60.6]}
gen:7{ accuracy:[10.0, 69.68, 73.71, 75.25, 75.07, 51.23, 73.67, 64.23, 75.99, 61.85, 75.44, 75.18, 42.75, 71.09, 74.65, 74.84, 66.12, 47.87, 68.09, 43.7, 61.9, 74.18, 74.73, 75.32, 75.93, 75.05, 74.75, 69.56, 51.8, 73.65, 65.74, 75.66, 72.45, 75.33, 70.45, 60.98, 67.22, 64.34, 75.11, 70.49, 43.2, 75.75, 70.32, 69.44, 74.84, 68.82, 75.31, 49.58, 75.11, 49.17, 51.28, 69.15, 71.86, 72.15, 75.08, 65.55, 75.24, 73.73, 64.61, 53.11, 60.38, 74.82, 52.87, 75.34, 74.36, 58.01, 75.53, 75.94, 75.3, 32.16, 75.34, 46.63, 75.03, 69.31, 73.98]}
gen:8{ accuracy:[63.45, 53.4, 40.31, 62.91, 68.72, 74.22, 52.4, 76.16, 49.76, 76.56, 66.54, 66.28, 73.38, 48.4, 74.72, 43.66, 69.62, 75.28, 44.58, 71.27, 66.52, 75.22, 49.32, 50.87, 33.4, 62.94, 51.98, 75.43, 75.55, 74.87, 71.44, 50.66, 50.68, 74.49, 74.85, 44.57, 51.02, 76.11, 70.62, 67.86, 69.53, 67.99, 75.24, 58.55, 49.37, 75.2, 59.96, 41.68, 49.12, 75.21, 75.55, 75.65, 65.9, 53.28, 74.74, 69.23, 66.46, 55.05, 75.59, 75.19, 70.14, 75.85, 74.16, 74.86, 51.15, 74.93, 51.08, 73.24, 74.79, 31.32, 70.16, 50.25, 74.78, 74.93, 69.62]}
gen:9{ accuracy:[53.74, 73.74, 52.05, 72.13, 74.52, 52.01, 72.11, 68.4, 76.44, 74.65, 50.67, 71.8, 76.38, 74.73, 75.39, 36.45, 70.37, 52.57, 75.43, 69.36, 75.0, 75.5, 74.29, 52.9, 42.37, 73.34, 75.4, 72.1, 71.39, 74.61, 74.83, 68.9, 51.97, 70.71, 71.79, 75.64, 75.55, 69.76, 53.42, 71.41, 71.22, 71.61, 75.64, 51.89, 50.66, 76.07, 52.98, 52.23, 74.82, 72.0, 71.6, 75.1, 75.47, 70.23, 50.11, 75.29, 72.08, 74.34, 73.99, 47.41, 71.94, 69.85, 71.92, 70.79, 74.88, 64.0, 75.18, 51.59, 73.09, 26.25, 65.26, 33.47, 71.89, 75.21, 74.94]}
