gen:18{ accuracy:[77.27, 76.75, 76.63, 76.23, 74.06, 77.36, 73.24, 75.75, 54.1, 74.62, 72.68, 74.25, 76.47, 74.11, 76.97, 74.5, 75.32, 76.25, 75.96, 75.5, 63.35, 76.09, 77.52, 76.0, 76.59, 77.38, 77.0, 77.3, 77.28, 75.61, 77.01, 73.45, 70.79, 77.79, 76.11, 76.09, 75.16, 71.56, 70.7, 39.23, 74.39, 77.16, 78.06, 76.82, 75.98, 77.59, 77.18, 75.48, 77.21, 74.65, 77.31, 76.9, 75.83, 74.8, 71.63, 77.74, 25.16, 64.63, 60.57, 67.88, 76.27, 76.1, 69.42, 77.32, 77.39, 77.94, 73.03, 71.81, 76.64, 78.06, 75.31, 76.58, 77.4, 77.89, 63.14]}
gen:19{ accuracy:[77.2, 75.13, 76.86, 77.9, 76.56, 76.91, 76.99, 75.78, 77.98, 77.11, 77.68, 77.79, 75.28, 55.46, 10.0, 73.44, 77.6, 74.93, 75.3, 60.41, 77.13, 32.76, 76.31, 73.24, 63.04, 61.12, 76.38, 76.66, 34.07, 74.51, 75.68, 67.64, 52.28, 47.56, 75.86, 10.0, 74.63, 78.76, 63.71, 69.12, 17.94, 75.8, 52.85, 75.0, 77.56, 70.37, 76.26, 75.98, 53.5, 76.41, 76.21, 57.21, 60.27, 75.59, 76.83, 23.43, 74.97, 24.54, 75.69, 76.95, 76.66, 77.02, 78.25, 39.28, 53.12, 76.8, 18.61, 59.61, 75.7, 77.27, 61.05, 76.19, 10.0, 74.43, 75.12]}
gen:20{ accuracy:[74.17, 68.03, 77.01, 77.54, 76.12, 77.38, 69.85, 77.73, 78.59, 72.5, 39.83, 76.36, 73.05, 73.79, 76.41, 73.95, 72.28, 77.68, 77.17, 77.08, 71.41, 76.3, 38.68, 56.79, 74.54, 51.7, 76.59, 73.15, 78.45, 76.34, 77.92, 66.59, 52.72, 77.83, 76.46, 75.18, 77.58, 56.01, 76.05, 68.85, 76.64, 78.7, 77.48, 73.38, 73.71, 50.43, 73.72, 77.54, 77.19, 74.04, 76.07, 77.78, 78.77, 69.21, 78.35, 75.68, 77.13, 75.94, 78.38, 77.43, 72.09, 77.44, 77.43, 75.04, 76.72, 70.19, 77.5, 75.38, 74.84, 76.06, 78.55, 76.27, 77.5, 76.33, 76.59]}
gen:21{ accuracy:[76.39, 77.95, 63.96, 72.92, 68.08, 77.41, 73.96, 51.82, 77.01, 75.57, 38.48, 76.76, 64.15, 76.23, 70.4, 68.71, 77.94, 57.6, 68.62, 78.13, 77.8, 77.54, 76.26, 76.58, 77.72, 51.06, 55.33, 77.26, 50.41, 50.99, 30.75, 69.43, 40.34, 77.68, 47.65, 71.39, 75.72, 78.73, 77.8, 77.79, 45.44, 78.24, 67.51, 49.27, 75.25, 76.37, 66.41, 10.0, 44.0, 77.0, 47.9, 54.86, 77.16, 69.4, 58.47, 77.71, 63.51, 76.19, 78.66, 61.81, 78.57, 73.37, 77.5, 77.91, 55.42, 76.07, 57.06, 40.87, 45.91, 70.55, 77.15, 76.73, 56.22, 73.11, 75.64]}
gen:22{ accuracy:[62.88, 70.11, 66.53, 72.18, 76.37, 76.38, 70.66, 47.33, 55.04, 78.85, 77.73, 75.63, 68.39, 77.88, 74.68, 77.35, 75.94, 68.98, 75.73, 65.61, 75.63, 75.73, 67.26, 68.07, 77.4, 77.05, 42.05, 77.66, 76.96, 75.03, 78.23, 76.18, 77.53, 78.72, 77.29, 76.23, 78.61, 77.36, 75.95, 48.01, 75.8, 33.91, 71.08, 77.56, 41.21, 64.9, 75.82, 76.64, 68.49, 57.96, 69.79, 77.86, 71.56, 76.58, 77.78, 77.93, 47.01, 41.96, 78.15, 78.04, 62.68, 70.04, 65.11, 75.97, 78.88, 63.43, 78.66, 66.34, 71.0, 79.22, 77.52, 78.39, 70.3, 78.33, 78.71]}
gen:23{ accuracy:[69.58, 34.81, 69.12, 77.0, 78.48, 76.7, 77.44, 78.33, 75.99, 73.93, 65.79, 73.15, 77.62, 65.56, 76.87, 71.57, 76.07, 72.02, 78.3, 78.32, 69.61, 75.55, 70.67, 65.05, 78.29, 65.95, 77.74, 76.14, 76.61, 78.92, 75.89, 79.12, 78.0, 65.78, 74.02, 77.24, 73.62, 76.4, 76.88, 72.67, 77.28, 40.29, 57.86, 52.89, 78.96, 75.52, 52.58, 73.5, 71.92, 40.8, 76.5, 78.02, 75.99, 78.37, 68.59, 75.83, 69.36, 60.44, 72.92, 76.69, 76.78, 73.21, 75.89, 78.38, 75.2, 72.88, 78.01, 52.18, 77.38, 73.45, 73.32, 71.5, 77.58, 72.47, 76.87]}
gen:24{ accuracy:[73.59, 66.21, 76.23, 78.53, 78.16, 75.78, 76.78, 78.1, 70.6, 73.01, 77.94, 73.16, 75.45, 75.76, 78.54, 76.79, 74.44, 77.91, 78.01, 78.5, 76.9, 77.88, 77.5, 75.08, 78.17, 72.21, 49.54, 74.67, 76.83, 78.36, 67.17, 71.92, 77.35, 68.8, 77.13, 75.45, 78.43, 76.09, 75.38, 78.08, 79.03, 78.38, 78.44, 74.94, 77.47, 68.36, 79.09, 78.77, 78.43, 70.42, 77.21, 77.96, 47.78, 78.67, 75.19, 73.03, 78.36, 75.69, 76.21, 75.22, 76.63, 76.68, 78.61, 78.58, 79.47, 73.48, 77.05, 73.44, 77.54, 77.75, 77.56, 78.4, 74.39, 66.96, 78.61]}
gen:25{ accuracy:[78.19, 78.55, 70.22, 77.08, 75.97, 78.49, 79.18, 79.6, 78.09, 74.94, 77.34, 78.36, 78.27, 77.42, 78.6, 52.76, 74.92, 78.79, 79.01, 78.57, 76.07, 39.73, 78.6, 78.87, 77.13, 78.96, 78.49, 78.45, 79.34, 77.18, 77.25, 66.68, 77.82, 78.95, 78.25, 50.15, 77.28, 74.95, 78.7, 79.12, 78.47, 75.19, 79.06, 79.09, 77.73, 77.9, 54.53, 78.38, 79.74, 77.96, 78.89, 76.56, 77.65, 73.45, 75.99, 78.63, 78.18, 78.06, 78.73, 50.17, 78.26, 78.17, 77.36, 77.77, 78.54, 78.36, 52.76, 78.91, 24.24, 78.24, 77.83, 77.39, 77.86, 77.03, 77.19]}
gen:26{ accuracy:[72.66, 77.43, 76.37, 79.16, 76.31, 78.53, 75.69, 77.46, 76.02, 75.22, 75.79, 78.75, 78.25, 71.73, 69.09, 78.12, 70.77, 78.5, 75.28, 78.74, 78.64, 73.27, 77.74, 77.07, 74.27, 78.15, 78.29, 77.15, 77.95, 75.31, 78.3, 73.08, 75.39, 78.19, 76.66, 75.34, 74.39, 78.76, 79.62, 75.87, 75.71, 77.85, 78.47, 78.45, 72.85, 75.32, 57.51, 78.38, 78.79, 78.58, 76.53, 76.73, 75.69, 76.77, 75.26, 76.12, 78.63, 77.5, 77.39, 78.44, 68.0, 78.3, 68.72, 79.42, 73.78, 79.21, 72.08, 49.42, 79.19, 79.56, 77.84, 76.78, 77.21, 74.89, 78.38]}
gen:27{ accuracy:[61.52, 72.98, 79.08, 79.33, 65.17, 78.33, 52.58, 18.36, 78.92, 73.96, 77.81, 79.41, 73.21, 78.19, 75.88, 78.0, 75.97, 79.12, 80.01, 77.64, 76.05, 74.91, 76.48, 75.39, 51.42, 76.2, 69.94, 69.34, 70.2, 64.98, 75.78, 77.95, 79.13, 46.87, 65.17, 64.29, 78.92, 76.07, 77.85, 76.65, 50.7, 75.69, 51.88, 79.13, 73.03, 73.98, 79.48, 77.22, 78.4, 62.97, 78.45, 67.86, 51.7, 52.36, 77.62, 74.05, 79.52, 72.68, 78.44, 74.89, 75.64, 78.65, 63.85, 69.6, 76.15, 70.42, 78.23, 78.37, 80.09, 79.17, 78.65, 40.28, 71.21, 75.64, 76.15]}
gen:28{ accuracy:[30.55, 71.0, 78.64, 79.68, 78.88, 53.79, 77.86, 79.84, 78.82, 79.42, 78.67, 78.33, 79.42, 78.27, 61.07, 77.18, 76.97, 68.62, 72.32, 78.14, 76.89, 79.06, 79.9, 62.35, 76.84, 79.28, 78.98, 77.58, 78.82, 75.99, 78.08, 74.4, 77.66, 77.43, 78.61, 75.86, 16.54, 26.79, 79.3, 78.02, 77.62, 73.45, 71.92, 69.52, 48.96, 79.48, 78.52, 79.63, 78.43, 62.9, 78.62, 79.41, 69.76, 78.45, 77.52, 79.1, 79.41, 79.53, 62.44, 75.15, 77.84, 77.61, 79.51, 75.7, 69.65, 78.55, 75.6, 37.37, 78.26, 75.02, 79.06, 78.28, 79.2, 77.47, 78.96]}
gen:29{ accuracy:[64.82, 77.76, 76.51, 78.82, 68.64, 58.64, 78.72, 63.24, 78.25, 78.89, 77.27, 78.97, 79.04, 79.44, 72.57, 78.19, 77.49, 78.89, 75.49, 78.87, 76.76, 77.2, 77.51, 79.06, 76.43, 77.69, 50.7, 70.94, 78.07, 79.25, 80.06, 77.82, 76.92, 78.8, 79.77, 62.76, 80.16, 78.41, 70.85, 74.68, 77.6, 77.7, 74.92, 78.98, 76.26, 73.93, 71.86, 79.51, 72.15, 78.66, 78.67, 68.04, 78.04, 78.4, 60.17, 77.88, 76.0, 76.94, 80.06, 73.48, 79.25, 35.68, 75.61, 77.53, 77.17, 76.87, 68.86, 76.97, 77.91, 79.13, 70.38, 75.7, 77.43, 78.09, 79.58]}
