gen:0{ accuracy:[41.86, 51.2, 41.29, 48.24, 57.76, 63.72, 51.24, 63.33, 63.9, 65.33, 48.5, 60.51, 44.76, 50.11, 52.24, 68.03, 49.25, 39.38, 46.71, 25.93, 25.78, 62.99, 60.95, 51.24, 64.85, 62.27, 53.05, 45.5, 23.37, 29.19, 64.13, 58.83, 43.6, 63.71, 58.24, 44.73, 37.7, 40.57, 40.76, 31.71, 57.33, 33.99, 67.6, 61.89, 24.81, 61.74, 65.8, 50.98, 53.01, 60.28, 43.27, 65.03, 65.02, 61.4, 67.24, 58.06, 50.02, 65.18, 62.81, 37.17, 57.25, 24.34, 61.24, 65.09, 48.31, 40.67, 69.51, 45.66, 62.99, 62.62, 44.92, 34.75, 64.51, 40.1, 64.6]}
gen:1{ accuracy:[25.01, 57.29, 59.9, 29.88, 41.87, 30.92, 35.21, 40.72, 44.43, 66.28, 59.45, 68.96, 17.74, 49.66, 60.22, 52.27, 46.84, 40.69, 37.81, 10.0, 64.38, 32.03, 51.37, 10.0, 31.45, 60.13, 10.0, 42.43, 30.8, 55.16, 43.55, 51.91, 64.08, 56.01, 58.65, 37.59, 45.16, 48.16, 57.11, 51.6, 37.26, 33.43, 65.13, 44.39, 52.58, 10.0, 51.59, 32.43, 37.91, 50.27, 33.37, 24.16, 25.55, 30.53, 50.99, 65.26, 50.73, 27.31, 35.23, 55.4, 36.99, 61.85, 26.25, 57.35, 63.97, 56.32, 49.33, 16.73, 17.27, 22.11, 48.97, 37.55, 55.76, 39.32, 44.74]}
gen:2{ accuracy:[63.24, 24.6, 54.45, 53.67, 51.5, 54.62, 45.09, 63.32, 48.02, 35.75, 35.56, 30.51, 33.75, 65.54, 66.18, 67.64, 66.79, 39.82, 61.78, 68.63, 66.59, 37.68, 43.57, 56.1, 58.13, 41.12, 43.91, 55.16, 29.85, 53.28, 49.66, 41.66, 50.19, 32.67, 61.44, 66.9, 39.54, 67.28, 64.49, 52.7, 51.4, 67.51, 67.03, 43.42, 34.33, 52.83, 55.65, 56.07, 55.92, 41.37, 51.57, 59.87, 47.0, 47.1, 29.91, 41.81, 45.06, 65.42, 69.78, 66.66, 68.5, 59.56, 61.35, 32.95, 56.17, 15.71, 63.39, 50.89, 68.33, 29.01, 44.43, 47.76, 62.35, 58.3, 53.39]}
gen:3{ accuracy:[17.01, 50.54, 45.04, 38.53, 58.05, 10.0, 10.0, 50.88, 53.98, 10.0, 46.49, 50.23, 18.29, 68.13, 16.63, 70.0, 24.66, 18.22, 10.0, 71.55, 30.78, 41.07, 16.79, 71.08, 65.45, 44.35, 44.78, 49.77, 10.0, 30.75, 50.94, 23.48, 62.59, 18.21, 58.4, 53.14, 46.73, 56.5, 10.0, 64.09, 44.21, 52.71, 53.48, 70.26, 41.61, 14.87, 54.08, 55.23, 54.01, 38.06, 49.6, 10.0, 47.94, 70.82, 63.8, 73.07, 62.0, 47.78, 49.9, 27.0, 69.54, 64.01, 51.08, 67.91, 43.21, 57.55, 24.81, 67.85, 50.45, 59.45, 60.47, 63.98, 10.0, 10.0, 55.32]}
gen:4{ accuracy:[60.96, 69.45, 71.74, 10.0, 59.87, 45.84, 61.23, 29.62, 45.13, 54.43, 63.3, 53.38, 67.91, 71.98, 67.44, 49.58, 43.33, 52.35, 40.51, 69.73, 61.2, 61.36, 31.78, 62.19, 49.57, 61.52, 60.43, 61.53, 56.31, 68.38, 67.39, 49.97, 63.87, 67.94, 40.31, 54.73, 66.53, 71.22, 55.66, 32.66, 62.5, 71.51, 59.87, 51.37, 55.15, 56.47, 61.15, 74.79, 45.19, 16.35, 62.47, 67.7, 62.68, 66.1, 39.3, 17.55, 30.66, 67.26, 61.04, 70.17, 49.64, 47.13, 69.6, 18.49, 64.28, 49.51, 69.9, 68.65, 73.0, 62.24, 57.25, 10.0, 39.11, 30.35, 47.5]}
gen:5{ accuracy:[72.37, 24.89, 10.0, 54.4, 46.84, 71.52, 70.77, 67.8, 10.0, 74.71, 70.38, 32.66, 10.0, 10.0, 42.2, 24.75, 63.14, 13.36, 74.28, 30.04, 30.26, 72.88, 72.03, 72.65, 51.88, 26.79, 73.76, 71.45, 39.4, 71.94, 63.91, 41.56, 10.0, 20.84, 71.45, 23.78, 45.82, 45.26, 10.0, 74.84, 18.63, 43.51, 51.22, 72.66, 63.63, 24.8, 26.03, 67.48, 42.22, 71.16, 72.61, 62.1, 73.12, 10.0, 10.0, 70.26, 53.14, 47.52, 50.13, 59.15, 71.56, 10.0, 74.25, 74.17, 73.08, 45.84, 69.56, 36.09, 10.0, 10.0, 27.28, 70.31, 70.86, 55.88, 75.67]}
gen:6{ accuracy:[44.77, 63.37, 73.32, 9.99, 39.39, 54.11, 10.0, 53.45, 67.32, 68.32, 74.77, 61.68, 53.55, 39.85, 60.97, 72.81, 18.43, 74.37, 10.0, 71.06, 10.0, 35.53, 73.33, 49.03, 72.6, 66.02, 70.63, 33.42, 48.33, 10.0, 55.83, 58.75, 69.86, 58.66, 72.66, 72.07, 30.75, 71.79, 53.25, 42.19, 35.05, 71.95, 66.63, 74.89, 33.68, 10.0, 70.04, 67.5, 69.09, 73.34, 10.0, 10.0, 73.43, 10.0, 70.58, 49.0, 67.53, 51.98, 10.0, 74.71, 49.98, 10.0, 74.49, 69.22, 70.97, 73.99, 68.53, 34.87, 53.66, 73.3, 10.0, 53.98, 51.36, 10.0, 69.28]}
gen:7{ accuracy:[68.1, 72.14, 63.25, 10.0, 41.9, 70.6, 43.05, 36.95, 72.32, 72.94, 38.23, 50.15, 40.69, 51.01, 56.2, 10.0, 68.38, 37.26, 51.79, 58.76, 10.0, 44.3, 35.69, 44.64, 47.13, 38.45, 36.11, 73.19, 16.45, 65.65, 67.68, 73.08, 31.77, 38.76, 57.79, 68.32, 54.88, 10.0, 63.33, 56.62, 66.45, 56.08, 39.58, 65.53, 67.23, 66.23, 49.26, 10.0, 65.78, 46.46, 25.65, 48.05, 26.04, 16.56, 44.58, 51.27, 65.68, 53.39, 59.53, 58.48, 10.0, 38.59, 36.09, 71.61, 54.96, 45.28, 62.25, 58.56, 60.27, 10.0, 50.52, 70.53, 38.4, 64.3, 70.8]}
gen:8{ accuracy:[73.96, 43.81, 71.29, 63.84, 70.5, 67.48, 71.07, 64.75, 51.57, 69.92, 64.67, 70.75, 70.69, 67.64, 55.57, 64.16, 31.47, 75.02, 70.72, 69.23, 72.36, 73.74, 72.67, 70.2, 34.83, 72.35, 57.75, 71.26, 10.01, 51.61, 66.35, 50.77, 69.72, 51.67, 70.53, 66.53, 69.36, 64.6, 72.2, 65.78, 72.16, 72.0, 70.5, 73.56, 73.93, 64.39, 59.72, 39.55, 72.67, 71.63, 10.0, 71.33, 50.76, 50.18, 63.61, 68.99, 64.85, 46.64, 52.34, 62.58, 70.46, 70.0, 51.08, 64.69, 10.0, 74.28, 74.32, 74.15, 23.42, 61.34, 73.91, 70.74, 70.88, 68.32, 54.92]}
gen:9{ accuracy:[73.65, 73.89, 49.7, 71.59, 72.93, 73.98, 71.95, 51.71, 72.87, 66.77, 69.15, 75.1, 58.27, 74.81, 58.91, 52.37, 74.02, 72.23, 73.86, 73.71, 67.54, 73.94, 67.95, 71.72, 73.67, 62.43, 64.9, 74.3, 73.09, 49.43, 51.54, 74.16, 51.61, 51.49, 72.72, 59.99, 73.29, 62.86, 10.0, 74.45, 73.51, 74.52, 61.01, 73.99, 72.33, 74.0, 69.24, 62.08, 63.57, 74.29, 73.05, 73.69, 63.6, 73.34, 65.65, 53.24, 72.95, 51.46, 65.46, 66.36, 37.79, 75.37, 72.79, 51.87, 74.9, 63.83, 73.54, 73.85, 72.0, 50.21, 72.27, 74.35, 73.63, 71.9, 75.29]}
