gen:21{ accuracy:[75.48, 73.11, 76.37, 75.23, 73.79, 74.56, 74.32, 74.64, 63.49, 73.0, 72.2, 77.31, 74.88, 76.08, 74.65, 76.21, 73.58, 73.73, 68.48, 75.04, 73.09, 73.36, 74.76, 75.57, 76.29, 75.44, 75.63, 75.19, 72.82, 72.02, 71.86, 31.39, 64.25, 74.88, 75.9, 74.0, 76.1, 78.37, 75.59, 75.66, 75.27, 76.66, 75.19, 68.09, 78.3, 75.89, 75.76, 74.8, 75.04, 75.22, 73.2, 75.73, 69.36, 71.97, 65.43, 58.26, 75.94, 77.97, 76.14, 69.91, 75.71, 75.97, 76.6, 66.87, 73.18, 72.61, 75.78, 75.25, 75.04, 74.98, 74.93, 76.21, 74.81, 73.12, 60.97]}
gen:22{ accuracy:[68.69, 65.2, 75.93, 34.88, 42.77, 78.02, 73.9, 74.1, 72.2, 77.85, 60.03, 77.21, 77.84, 69.29, 77.1, 74.0, 58.65, 74.79, 77.7, 76.76, 51.68, 74.42, 68.19, 51.07, 42.29, 52.01, 74.55, 78.11, 65.03, 77.81, 66.49, 52.58, 72.05, 73.52, 78.23, 77.54, 69.05, 78.12, 67.8, 45.89, 50.45, 53.89, 69.73, 76.66, 62.47, 74.9, 26.44, 63.89, 69.25, 52.78, 68.31, 77.74, 50.25, 30.29, 70.04, 78.31, 77.56, 78.06, 62.76, 55.49, 77.95, 78.11, 65.79, 77.51, 63.9, 73.25, 67.36, 49.3, 77.44, 65.24, 60.04, 69.3, 66.88, 50.57, 77.28]}
gen:23{ accuracy:[52.48, 69.12, 77.29, 67.85, 78.19, 76.99, 73.24, 77.13, 69.17, 31.13, 72.83, 77.83, 54.01, 61.81, 68.43, 77.75, 78.0, 57.89, 58.98, 47.71, 52.64, 73.0, 77.54, 78.51, 68.8, 69.0, 77.93, 71.06, 71.01, 73.76, 71.97, 77.56, 59.98, 72.74, 42.12, 77.28, 64.55, 72.02, 69.43, 17.14, 67.55, 72.33, 48.98, 45.3, 56.24, 77.39, 76.72, 78.06, 71.0, 69.33, 71.18, 55.17, 74.03, 72.32, 72.84, 71.59, 73.78, 55.44, 24.68, 53.08, 77.27, 39.96, 52.3, 52.01, 77.48, 78.09, 69.69, 77.25, 72.5, 59.56, 77.93, 72.01, 77.96, 76.64, 57.92]}
gen:24{ accuracy:[72.89, 77.92, 76.84, 75.89, 72.29, 77.63, 77.81, 77.73, 73.38, 72.39, 78.05, 71.73, 62.55, 73.14, 72.12, 66.71, 70.42, 70.18, 72.42, 67.63, 77.69, 73.39, 77.63, 77.81, 70.94, 77.09, 77.5, 76.59, 72.41, 77.57, 70.61, 73.12, 71.14, 57.94, 76.68, 67.88, 67.71, 59.11, 77.71, 71.66, 71.94, 77.06, 70.91, 73.33, 77.85, 77.85, 76.84, 72.66, 77.49, 77.5, 76.11, 58.46, 77.9, 71.0, 71.63, 71.95, 47.03, 71.91, 72.16, 67.95, 76.38, 51.84, 76.97, 72.11, 78.19, 76.55, 77.44, 76.97, 72.17, 70.63, 77.08, 77.64, 77.46, 71.31, 73.54]}
gen:25{ accuracy:[74.45, 72.38, 73.93, 48.22, 73.24, 74.35, 77.84, 77.99, 50.27, 73.47, 72.65, 63.82, 57.59, 74.1, 77.53, 75.5, 73.76, 36.32, 74.1, 77.72, 77.12, 77.59, 78.61, 56.72, 73.18, 73.93, 77.04, 78.09, 72.89, 76.42, 78.32, 49.86, 71.51, 70.47, 75.11, 66.67, 69.22, 77.7, 77.84, 78.26, 67.7, 77.18, 77.43, 78.05, 77.57, 66.08, 79.1, 71.9, 73.58, 73.1, 77.85, 77.56, 77.94, 26.31, 70.41, 70.73, 42.22, 76.96, 76.77, 77.68, 77.54, 67.34, 78.26, 77.42, 77.39, 75.01, 74.1, 58.0, 51.87, 69.64, 76.57, 76.47, 72.65, 77.89, 67.95]}
gen:26{ accuracy:[77.99, 10.0, 77.29, 76.18, 78.1, 78.23, 69.28, 76.23, 68.74, 77.8, 47.23, 78.03, 78.5, 77.42, 55.51, 69.55, 77.44, 78.25, 77.93, 73.36, 77.37, 10.0, 78.22, 69.16, 71.94, 75.17, 77.33, 68.82, 71.85, 78.59, 73.67, 54.92, 78.39, 66.14, 77.37, 77.93, 72.0, 77.5, 77.52, 78.07, 78.74, 48.56, 68.36, 10.0, 78.38, 25.75, 73.07, 76.9, 77.94, 51.52, 75.52, 78.53, 50.89, 77.44, 77.63, 64.65, 78.34, 40.69, 72.4, 36.78, 77.18, 76.74, 78.09, 52.0, 75.49, 70.24, 78.08, 71.49, 76.31, 75.45, 32.05, 76.97, 78.5, 77.21, 73.77]}
gen:27{ accuracy:[75.12, 77.35, 40.08, 78.0, 73.37, 74.11, 17.69, 77.62, 78.3, 66.72, 71.03, 72.24, 77.84, 44.94, 77.88, 77.6, 43.47, 76.93, 77.44, 78.28, 78.78, 75.27, 66.72, 77.92, 78.14, 49.72, 68.0, 44.57, 73.66, 75.29, 77.53, 52.08, 76.14, 72.38, 39.32, 78.23, 77.61, 78.09, 76.36, 75.93, 48.52, 67.41, 74.02, 69.3, 73.15, 77.19, 76.34, 74.94, 76.71, 34.22, 78.2, 73.41, 74.33, 52.05, 72.63, 77.66, 33.86, 75.16, 77.56, 77.03, 73.19, 76.96, 74.0, 78.08, 77.63, 77.98, 73.72, 78.07, 77.72, 60.17, 77.95, 25.8, 77.08, 68.77, 76.2]}
gen:28{ accuracy:[74.94, 48.01, 55.88, 75.14, 71.06, 53.72, 76.63, 77.24, 66.2, 61.37, 65.53, 67.95, 46.17, 74.19, 66.22, 42.64, 75.16, 59.29, 62.22, 58.64, 66.17, 64.0, 76.28, 54.23, 73.95, 48.97, 73.05, 77.77, 78.49, 78.72, 50.07, 58.01, 61.6, 75.89, 58.78, 68.28, 77.0, 77.0, 78.38, 68.4, 75.22, 73.15, 53.62, 69.12, 74.99, 57.82, 76.82, 69.42, 75.74, 77.08, 76.94, 65.48, 73.1, 64.11, 76.71, 77.77, 45.92, 77.06, 75.51, 71.36, 77.51, 76.64, 75.53, 78.56, 60.45, 78.05, 72.9, 76.35, 47.24, 70.01, 66.89, 55.15, 78.19, 76.67, 67.41]}
gen:29{ accuracy:[74.97, 72.99, 76.22, 77.93, 72.01, 74.41, 42.29, 77.13, 49.93, 36.91, 67.14, 76.23, 53.07, 75.39, 60.75, 76.99, 74.79, 73.51, 71.14, 73.67, 78.04, 75.8, 75.89, 78.54, 76.66, 76.81, 74.16, 46.68, 74.04, 76.84, 34.86, 69.98, 70.62, 50.65, 77.82, 72.38, 69.4, 77.66, 74.08, 43.37, 78.71, 74.53, 78.0, 78.33, 75.37, 77.9, 76.76, 76.08, 78.08, 36.62, 77.5, 76.87, 24.31, 77.85, 70.5, 53.1, 74.46, 78.19, 73.8, 74.74, 73.54, 73.6, 73.85, 77.38, 74.15, 78.23, 75.16, 77.66, 78.26, 77.5, 75.51, 49.09, 49.51, 78.7, 66.89]}
gen:30{ accuracy:[75.81, 78.1, 77.74, 78.4, 74.53, 66.59, 33.68, 76.79, 49.73, 78.62, 75.59, 69.91, 10.0, 74.38, 77.03, 65.69, 78.25, 77.9, 77.71, 75.14, 76.32, 67.2, 47.59, 64.78, 76.86, 78.76, 76.36, 73.82, 77.08, 59.67, 68.1, 77.18, 77.62, 69.61, 77.06, 63.85, 77.22, 76.62, 75.8, 78.44, 76.99, 77.59, 78.37, 62.95, 74.26, 77.91, 76.21, 78.07, 77.55, 63.21, 76.1, 42.19, 77.85, 78.43, 76.22, 67.37, 64.54, 75.69, 76.46, 76.66, 77.51, 76.39, 78.64, 71.38, 49.29, 67.05, 77.68, 76.67, 49.17, 68.71, 77.55, 67.62, 33.62, 78.92, 68.12]}
gen:31{ accuracy:[65.93, 17.34, 67.65, 71.94, 57.38, 75.7, 66.15, 76.47, 60.0, 74.81, 26.24, 77.61, 49.71, 65.47, 25.46, 77.7, 67.44, 41.66, 69.74, 76.36, 77.84, 67.7, 69.47, 75.22, 25.72, 58.2, 41.7, 65.24, 76.65, 78.43, 73.08, 77.13, 75.52, 75.8, 50.76, 65.41, 75.34, 74.24, 75.54, 73.28, 64.93, 75.17, 74.82, 75.01, 64.58, 78.03, 49.07, 68.15, 72.97, 65.28, 66.98, 33.63, 55.11, 75.3, 75.65, 50.06, 77.03, 54.09, 73.06, 66.27, 77.81, 46.23, 78.82, 75.16, 77.45, 69.77, 47.76, 58.85, 57.51, 72.88, 75.14, 63.31, 74.78, 51.63, 74.31]}
gen:32{ accuracy:[77.64, 78.49, 68.95, 78.56, 69.51, 77.01, 75.28, 78.01, 78.31, 77.55, 68.63, 77.77, 78.18, 67.8, 66.27, 67.16, 67.07, 78.3, 77.71, 76.85, 77.17, 78.15, 78.45, 77.47, 75.54, 65.74, 67.09, 69.6, 75.32, 69.01, 77.8, 77.83, 77.58, 77.89, 78.26, 77.65, 66.23, 76.09, 77.96, 78.47, 78.46, 77.33, 78.29, 75.56, 75.15, 77.72, 68.54, 77.27, 75.31, 78.71, 74.84, 77.82, 78.0, 68.37, 68.96, 77.49, 77.61, 65.85, 66.09, 77.38, 77.68, 69.62, 78.49, 78.0, 77.94, 77.65, 77.79, 78.29, 76.19, 67.9, 76.21, 70.32, 66.65, 76.18, 79.16]}
gen:33{ accuracy:[77.84, 78.58, 77.49, 77.4, 78.09, 76.47, 16.8, 78.94, 77.36, 78.01, 77.63, 78.32, 76.57, 10.0, 78.81, 57.59, 77.25, 77.06, 78.06, 77.41, 77.43, 77.84, 78.45, 77.69, 78.0, 78.39, 77.62, 76.97, 30.64, 78.53, 78.29, 78.76, 78.62, 77.47, 78.39, 36.31, 78.0, 60.11, 77.47, 77.39, 77.17, 76.95, 76.44, 78.02, 77.77, 77.87, 77.36, 76.93, 78.5, 77.62, 40.44, 77.52, 78.03, 75.47, 77.86, 77.4, 77.98, 25.47, 78.68, 33.16, 77.18, 76.91, 78.39, 76.06, 77.57, 78.63, 78.72, 78.36, 77.23, 76.89, 77.93, 78.23, 47.33, 77.7, 77.09]}
gen:34{ accuracy:[69.76, 69.22, 78.23, 78.56, 77.19, 78.24, 75.08, 77.52, 77.21, 52.77, 67.82, 72.68, 73.41, 69.42, 78.19, 78.18, 74.43, 49.86, 78.12, 73.89, 77.99, 78.92, 74.76, 77.54, 72.9, 74.6, 77.91, 77.6, 74.22, 74.58, 53.2, 78.37, 72.15, 71.91, 77.82, 78.49, 74.97, 52.24, 77.65, 75.54, 77.33, 73.32, 78.17, 77.67, 70.54, 74.59, 77.01, 78.33, 70.39, 72.59, 74.66, 73.3, 78.11, 70.44, 19.71, 70.52, 77.94, 77.92, 78.19, 77.56, 77.5, 50.86, 79.02, 78.17, 74.46, 76.23, 70.28, 75.39, 72.25, 74.33, 72.55, 77.8, 74.89, 77.5, 78.05]}
gen:35{ accuracy:[32.29, 21.02, 72.75, 50.02, 29.28, 75.33, 10.0, 27.25, 16.2, 50.16, 19.71, 19.46, 10.0, 25.68, 72.34, 62.62, 77.21, 52.53, 72.11, 77.56, 72.38, 71.86, 73.71, 23.58, 70.78, 24.2, 28.51, 72.04, 32.22, 27.03, 32.44, 48.03, 49.54, 76.55, 72.15, 75.85, 44.02, 76.65, 28.42, 45.46, 69.8, 77.39, 72.06, 78.62, 37.62, 69.31, 76.51, 42.48, 21.4, 72.19, 10.0, 78.11, 10.0, 21.85, 32.04, 76.5, 55.5, 78.41, 43.3, 36.04, 26.23, 15.81, 75.25, 78.21, 77.58, 23.31, 24.66, 49.56, 25.71, 78.39, 24.67, 69.24, 32.39, 27.09, 38.72]}
gen:36{ accuracy:[61.18, 65.32, 75.74, 76.22, 75.46, 74.99, 76.17, 78.07, 75.17, 76.28, 78.03, 77.17, 73.57, 63.52, 77.49, 74.55, 74.31, 76.21, 74.66, 77.7, 73.72, 77.03, 74.91, 75.93, 72.41, 77.91, 75.75, 77.01, 76.75, 78.01, 77.85, 78.61, 76.83, 77.04, 76.36, 68.93, 77.74, 77.35, 77.86, 63.89, 78.41, 76.22, 74.76, 77.4, 78.35, 76.97, 72.46, 76.97, 75.35, 77.53, 73.26, 65.42, 78.3, 74.03, 78.42, 73.55, 77.62, 77.01, 64.13, 77.78, 77.21, 76.64, 78.04, 77.41, 65.04, 64.67, 77.93, 65.95, 76.19, 76.49, 75.93, 75.67, 71.02, 75.99, 75.69]}
gen:37{ accuracy:[75.39, 77.67, 70.55, 68.95, 77.38, 75.08, 77.34, 74.34, 69.13, 74.43, 76.13, 76.73, 68.12, 47.19, 73.36, 70.01, 69.49, 73.84, 59.52, 75.54, 75.44, 74.78, 77.41, 78.53, 71.33, 74.35, 75.28, 75.41, 75.45, 76.56, 73.93, 75.46, 74.04, 75.59, 75.81, 68.97, 74.72, 46.36, 71.47, 70.96, 50.69, 70.0, 75.95, 75.78, 75.95, 73.14, 76.48, 75.41, 69.89, 76.02, 75.15, 74.9, 74.96, 72.5, 75.17, 75.15, 74.61, 69.98, 69.31, 70.7, 39.22, 50.39, 74.36, 73.38, 75.02, 77.86, 78.49, 76.09, 71.23, 75.1, 78.08, 75.0, 78.17, 77.8, 76.73]}
