gen:0{ accuracy:[46.26, 46.4, 43.57, 45.86, 49.48, 26.62, 67.97, 64.17, 62.12, 72.03, 58.89, 40.55, 64.52, 18.4, 36.94, 48.93, 38.7, 42.66, 49.49, 56.01, 50.51, 58.3, 30.65, 57.48, 45.05, 52.8, 36.22, 66.43, 57.32, 66.64, 59.35, 50.18, 52.84, 50.05, 54.11, 65.54, 49.19, 61.83, 39.44, 50.85, 55.23, 56.08, 53.25, 50.4, 58.58, 62.74, 65.48, 68.25, 45.29, 59.67, 56.34, 40.98, 48.76, 56.32, 66.44, 42.69, 55.82, 51.98, 66.51, 48.62, 57.55, 35.73, 50.61, 54.02, 66.54, 61.64, 62.59, 60.8, 41.77, 67.93, 38.96, 47.89, 47.35, 50.75, 60.72]}
gen:1{ accuracy:[32.13, 60.02, 16.25, 51.14, 62.62, 10.0, 44.67, 71.23, 57.07, 62.57, 16.94, 46.81, 62.56, 47.18, 46.67, 51.91, 57.15, 65.14, 48.66, 37.84, 32.17, 64.37, 65.58, 59.74, 65.69, 67.53, 61.6, 63.22, 54.52, 46.25, 17.39, 63.24, 53.04, 62.63, 16.7, 54.06, 40.95, 57.68, 44.08, 54.52, 63.49, 65.96, 63.11, 57.45, 56.15, 55.68, 51.96, 26.22, 66.78, 63.85, 43.59, 61.63, 71.56, 54.32, 65.44, 62.69, 48.72, 56.76, 24.1, 37.51, 55.82, 45.49, 62.02, 51.91, 37.04, 47.61, 66.01, 60.61, 67.46, 64.61, 67.31, 35.07, 47.36, 51.57, 68.15]}
gen:2{ accuracy:[64.18, 26.74, 59.88, 59.85, 25.75, 48.17, 51.99, 40.29, 10.0, 62.89, 67.97, 66.34, 64.77, 40.35, 66.32, 66.19, 60.96, 30.55, 65.95, 67.99, 74.01, 64.71, 64.11, 59.67, 52.23, 42.52, 10.0, 68.43, 41.65, 41.8, 33.61, 51.16, 39.36, 60.25, 61.5, 55.92, 66.27, 65.38, 22.35, 69.7, 60.44, 67.05, 45.73, 56.93, 61.08, 56.76, 42.93, 31.69, 63.35, 58.08, 47.1, 28.83, 62.11, 50.64, 66.36, 67.92, 52.87, 51.51, 64.04, 61.25, 60.79, 60.92, 60.59, 68.41, 71.01, 60.4, 67.24, 66.81, 52.62, 46.28, 67.82, 67.14, 62.07, 48.37, 65.88]}
gen:3{ accuracy:[24.16, 26.27, 57.61, 38.26, 59.73, 64.76, 66.01, 51.69, 50.83, 49.77, 43.18, 43.43, 66.61, 50.35, 57.46, 62.5, 64.57, 40.42, 10.0, 38.07, 46.73, 37.21, 59.63, 38.94, 53.93, 54.51, 53.54, 36.6, 29.83, 45.21, 44.7, 65.23, 56.17, 47.25, 66.15, 49.92, 64.76, 65.96, 62.56, 51.15, 55.74, 58.1, 65.87, 40.36, 53.31, 54.97, 63.39, 45.02, 37.61, 62.45, 65.96, 65.29, 71.6, 41.47, 46.0, 47.14, 64.78, 68.13, 66.5, 29.34, 38.54, 44.61, 54.27, 34.1, 25.79, 61.25, 56.93, 32.94, 40.5, 53.78, 55.86, 62.81, 53.72, 39.38, 62.34]}
gen:4{ accuracy:[46.69, 41.73, 61.93, 48.13, 56.38, 53.86, 10.0, 66.39, 63.93, 39.39, 47.19, 65.67, 40.82, 64.92, 10.0, 53.97, 41.99, 48.41, 65.48, 66.12, 35.2, 36.86, 54.04, 56.58, 58.06, 64.88, 64.58, 10.0, 10.0, 50.61, 58.38, 43.21, 29.12, 52.0, 27.76, 65.64, 49.8, 64.88, 43.43, 60.05, 61.64, 10.0, 64.87, 36.5, 17.87, 63.53, 63.03, 10.0, 18.9, 62.54, 10.0, 58.41, 49.21, 31.26, 51.08, 33.48, 63.35, 21.33, 10.0, 66.18, 46.77, 38.71, 64.56, 49.72, 56.36, 27.09, 50.27, 74.04, 47.77, 37.19, 73.76, 53.99, 48.18, 65.07, 65.98]}
gen:5{ accuracy:[60.33, 48.5, 37.07, 66.77, 70.34, 74.21, 50.63, 72.58, 67.98, 50.23, 47.33, 60.91, 51.87, 66.36, 66.34, 52.67, 16.25, 72.28, 73.29, 45.31, 51.25, 56.24, 66.79, 18.24, 54.27, 27.66, 51.8, 73.74, 62.83, 64.44, 66.13, 65.48, 68.84, 46.76, 68.5, 50.67, 69.12, 61.7, 58.89, 43.73, 51.84, 74.54, 63.86, 72.09, 48.36, 66.05, 55.77, 66.42, 66.12, 68.24, 67.8, 50.35, 62.09, 65.29, 71.17, 50.34, 30.93, 59.34, 49.27, 68.88, 63.67, 62.0, 60.37, 67.53, 64.29, 59.0, 69.11, 36.2, 74.38, 73.49, 26.14, 50.35, 72.33, 42.36, 65.84]}
gen:6{ accuracy:[69.12, 45.65, 71.81, 58.28, 71.44, 21.7, 55.31, 65.1, 71.35, 70.98, 66.89, 10.0, 63.89, 70.8, 70.22, 64.5, 66.27, 72.55, 72.74, 67.12, 49.43, 66.66, 65.52, 59.66, 64.65, 39.82, 60.47, 67.11, 67.42, 72.4, 68.28, 60.3, 67.1, 64.73, 66.27, 70.6, 72.96, 72.44, 61.87, 51.26, 63.42, 65.73, 65.98, 66.66, 10.0, 68.35, 52.94, 10.0, 48.53, 67.58, 63.27, 66.92, 63.54, 68.39, 65.18, 66.59, 64.69, 65.37, 68.48, 31.67, 67.05, 58.95, 24.48, 69.93, 72.01, 72.56, 64.69, 63.38, 61.88, 39.57, 58.92, 70.31, 67.37, 74.4, 66.16]}
gen:7{ accuracy:[52.01, 51.11, 44.47, 59.66, 53.15, 65.76, 17.36, 68.46, 65.57, 72.64, 71.96, 70.01, 66.65, 65.5, 53.03, 32.51, 69.63, 49.2, 38.94, 71.18, 73.57, 73.13, 67.51, 65.28, 66.89, 66.87, 59.02, 61.94, 70.3, 69.93, 72.82, 34.85, 51.5, 67.02, 65.74, 67.09, 66.11, 68.43, 70.46, 73.82, 58.24, 67.82, 70.16, 72.49, 69.6, 65.74, 65.55, 68.1, 71.12, 72.4, 72.01, 64.18, 63.72, 51.08, 69.29, 67.69, 62.97, 73.77, 71.85, 70.51, 55.09, 66.76, 71.84, 68.13, 64.02, 63.01, 68.57, 62.42, 66.56, 72.92, 66.34, 51.46, 69.5, 66.99, 65.46]}
gen:8{ accuracy:[65.39, 71.11, 59.31, 51.52, 60.59, 47.94, 61.38, 66.3, 65.38, 68.56, 53.86, 69.68, 51.53, 64.25, 10.0, 70.48, 66.04, 53.99, 44.29, 70.32, 51.76, 52.42, 69.96, 16.7, 56.29, 51.94, 62.23, 69.57, 69.41, 51.16, 73.68, 57.98, 72.86, 71.28, 65.45, 62.55, 71.64, 67.13, 50.9, 74.69, 70.25, 65.47, 74.32, 56.96, 70.11, 73.33, 73.38, 58.19, 62.34, 59.54, 65.49, 69.89, 48.02, 61.76, 57.86, 70.01, 60.66, 54.92, 16.68, 35.72, 60.7, 69.04, 70.3, 51.53, 10.0, 63.17, 51.65, 69.54, 70.89, 66.36, 64.48, 65.09, 50.53, 65.62, 68.08]}
gen:9{ accuracy:[65.55, 67.82, 67.01, 63.61, 64.26, 61.15, 68.9, 62.47, 69.29, 64.24, 73.08, 67.66, 56.33, 66.53, 51.73, 68.81, 51.29, 73.48, 64.28, 63.87, 65.92, 66.24, 60.87, 73.4, 58.81, 54.74, 60.49, 67.76, 66.64, 73.82, 59.18, 10.0, 69.1, 74.46, 67.1, 48.66, 62.09, 61.69, 56.5, 63.37, 69.36, 69.02, 66.04, 72.13, 59.56, 66.41, 67.71, 37.02, 51.54, 62.63, 58.18, 68.37, 64.14, 64.1, 70.39, 54.89, 69.03, 52.95, 72.28, 65.22, 40.81, 68.32, 70.23, 73.11, 64.16, 68.66, 74.5, 68.36, 73.39, 71.44, 44.89, 68.62, 66.93, 74.89, 67.38]}
