gen:0{ accuracy:[53.49, 37.48, 53.27, 38.61, 32.73, 46.3, 67.69, 36.18, 67.89, 66.86, 41.53, 45.99, 17.18, 55.85, 54.88, 47.65, 52.64, 65.78, 56.38, 36.26, 46.85, 50.88, 70.56, 49.51, 44.08, 43.07, 39.36, 45.48, 51.43, 51.29, 48.28, 55.86, 60.32, 49.02, 47.52, 59.27, 47.59, 47.78, 58.58, 66.68, 62.22, 58.81, 40.1, 49.82, 44.6, 49.59, 22.94, 65.42, 51.78, 47.72, 65.83, 55.5, 71.71, 66.84, 53.98, 53.13, 37.65, 50.43, 43.95, 42.48, 48.31, 66.25, 58.15, 49.86, 32.11, 57.13, 62.52, 53.36, 58.36, 51.32, 40.15, 51.9, 67.47, 54.43, 40.3]}
gen:1{ accuracy:[10.0, 46.51, 66.86, 10.0, 55.24, 38.01, 10.0, 47.87, 30.31, 10.0, 59.12, 69.71, 63.43, 67.63, 66.7, 69.97, 71.63, 40.08, 38.78, 70.83, 67.1, 43.18, 10.0, 46.44, 68.37, 44.43, 68.01, 27.74, 64.25, 69.96, 62.66, 10.0, 56.82, 40.1, 17.34, 64.13, 43.65, 48.62, 38.12, 30.59, 64.89, 60.97, 30.99, 39.13, 42.36, 67.75, 10.0, 51.02, 63.69, 66.13, 10.0, 29.78, 65.18, 64.33, 69.76, 54.65, 49.01, 67.95, 64.0, 64.23, 61.97, 41.89, 10.0, 54.32, 10.0, 50.04, 66.59, 65.89, 51.18, 22.19, 45.16, 69.92, 9.99, 68.64, 10.0]}
gen:2{ accuracy:[18.01, 59.49, 10.0, 17.67, 61.13, 10.0, 47.23, 64.92, 58.39, 65.26, 52.91, 66.88, 48.61, 68.91, 66.53, 53.55, 65.34, 69.59, 67.71, 65.22, 28.97, 10.0, 10.0, 68.98, 10.0, 66.33, 10.0, 34.37, 66.09, 62.79, 10.0, 40.68, 56.76, 66.19, 38.26, 70.07, 66.11, 59.27, 55.04, 10.0, 44.77, 71.91, 56.22, 10.0, 15.05, 10.0, 10.0, 10.0, 56.89, 10.0, 69.04, 72.09, 10.77, 10.0, 69.21, 45.89, 43.14, 70.47, 51.72, 50.78, 61.02, 16.33, 50.9, 70.18, 54.01, 10.0, 50.47, 38.03, 56.55, 69.0, 10.0, 10.0, 65.2, 10.99, 64.37]}
gen:3{ accuracy:[64.29, 70.39, 68.06, 57.66, 46.83, 58.94, 30.78, 59.23, 59.29, 15.93, 60.69, 67.36, 49.47, 56.96, 60.66, 65.98, 67.18, 57.65, 64.38, 70.35, 67.96, 69.31, 54.48, 67.89, 47.94, 56.67, 50.95, 67.16, 10.0, 37.92, 38.8, 52.16, 62.55, 66.01, 52.24, 43.34, 62.91, 66.89, 64.86, 70.38, 63.01, 68.22, 70.04, 60.34, 48.96, 70.02, 67.71, 61.73, 50.61, 71.1, 57.02, 47.11, 58.84, 64.12, 46.92, 65.44, 22.18, 50.51, 59.37, 65.91, 72.78, 67.84, 64.52, 68.23, 61.92, 68.61, 68.48, 44.04, 50.78, 51.17, 52.29, 71.39, 29.96, 71.93, 46.81]}
gen:4{ accuracy:[70.54, 71.13, 65.85, 67.44, 66.82, 43.77, 63.83, 25.88, 71.96, 66.66, 56.68, 71.25, 61.85, 48.69, 65.44, 70.63, 43.41, 65.89, 68.04, 69.75, 69.83, 66.16, 67.15, 70.14, 65.85, 71.11, 67.23, 69.62, 55.76, 15.87, 66.53, 69.82, 58.68, 65.46, 67.47, 63.56, 69.53, 67.89, 68.09, 70.54, 70.12, 67.45, 71.07, 71.44, 71.3, 66.02, 67.73, 64.21, 66.17, 64.81, 53.52, 33.36, 70.57, 68.34, 54.03, 59.56, 67.58, 60.7, 71.12, 59.17, 58.76, 70.12, 70.44, 69.78, 70.33, 70.0, 70.41, 67.34, 68.15, 70.0, 68.67, 64.75, 66.41, 49.41, 67.37]}
gen:5{ accuracy:[36.87, 68.26, 70.3, 69.73, 67.28, 73.02, 65.45, 59.72, 68.63, 10.0, 69.66, 70.37, 33.91, 72.21, 70.39, 66.28, 37.52, 50.18, 65.16, 71.55, 62.89, 68.65, 17.97, 37.38, 67.68, 33.87, 62.9, 68.6, 37.29, 64.96, 66.87, 68.17, 63.04, 15.1, 70.0, 36.94, 18.36, 34.34, 32.28, 50.07, 72.53, 66.64, 10.0, 68.61, 63.73, 69.82, 66.19, 68.2, 32.17, 62.71, 63.02, 67.73, 10.0, 70.93, 67.27, 65.18, 71.67, 66.98, 60.21, 63.57, 33.86, 66.42, 63.82, 55.9, 68.86, 69.9, 72.15, 66.95, 67.5, 70.42, 72.63, 60.69, 61.32, 63.02, 31.38]}
gen:6{ accuracy:[64.37, 70.99, 48.99, 64.55, 69.81, 70.83, 52.43, 69.92, 47.76, 63.46, 64.31, 71.47, 52.71, 66.34, 71.22, 64.46, 70.77, 51.64, 62.15, 63.39, 62.79, 62.32, 68.66, 71.16, 50.13, 72.21, 61.85, 52.68, 52.64, 68.99, 62.65, 63.08, 72.31, 63.77, 71.05, 51.83, 70.52, 62.21, 70.69, 52.72, 61.45, 70.23, 63.94, 64.32, 71.54, 64.08, 53.02, 62.61, 70.09, 63.45, 63.29, 62.77, 71.0, 70.74, 68.58, 63.47, 62.33, 63.39, 66.46, 71.56, 63.58, 62.98, 70.47, 62.38, 63.75, 65.93, 72.25, 62.85, 59.65, 52.66, 69.04, 71.79, 63.4, 62.79, 63.97]}
gen:7{ accuracy:[72.24, 63.55, 45.8, 64.6, 63.95, 71.76, 33.09, 70.6, 70.78, 59.88, 65.19, 71.47, 64.61, 55.53, 71.18, 53.03, 62.8, 64.69, 71.13, 65.37, 71.24, 57.47, 29.13, 71.0, 68.71, 71.55, 70.49, 63.13, 71.31, 70.22, 71.45, 71.64, 56.15, 71.05, 63.12, 60.15, 72.54, 53.37, 47.48, 70.8, 64.5, 62.93, 38.15, 72.77, 67.5, 55.44, 71.68, 70.61, 71.72, 66.97, 65.42, 57.82, 70.92, 71.37, 63.43, 56.2, 71.36, 70.09, 53.27, 71.39, 66.06, 66.58, 72.4, 71.01, 68.28, 71.93, 69.97, 71.7, 64.88, 70.39, 56.65, 65.23, 66.78, 62.7, 68.63]}
gen:8{ accuracy:[68.56, 70.92, 67.12, 63.07, 70.99, 65.58, 63.98, 67.77, 70.82, 70.63, 59.83, 65.22, 46.51, 60.5, 56.75, 68.72, 53.52, 69.7, 56.61, 37.83, 72.0, 40.15, 71.17, 54.24, 70.43, 63.78, 70.35, 71.25, 68.13, 47.15, 69.26, 62.29, 69.35, 71.71, 57.32, 64.64, 52.17, 71.54, 53.7, 68.54, 71.07, 53.65, 58.49, 67.92, 59.49, 67.21, 58.82, 54.9, 63.54, 69.9, 70.2, 70.16, 67.93, 67.67, 66.42, 67.49, 70.56, 66.56, 42.58, 67.42, 47.0, 65.68, 69.45, 69.96, 63.78, 70.47, 72.06, 52.33, 67.89, 68.35, 69.7, 71.8, 66.81, 71.08, 69.59]}
gen:9{ accuracy:[70.22, 51.36, 35.03, 10.0, 68.74, 62.13, 37.06, 71.3, 51.83, 71.76, 63.61, 66.98, 54.23, 50.32, 56.47, 69.6, 68.85, 70.65, 52.6, 68.98, 70.22, 69.25, 70.83, 68.37, 71.96, 72.42, 71.15, 51.9, 42.99, 65.4, 63.12, 69.83, 68.04, 69.71, 71.07, 58.35, 63.96, 51.59, 71.72, 66.45, 52.04, 70.69, 57.41, 69.42, 62.6, 71.03, 69.09, 69.01, 65.32, 51.81, 66.65, 41.74, 69.57, 71.81, 65.26, 70.02, 67.7, 66.03, 52.41, 52.78, 67.5, 70.65, 48.94, 51.25, 68.35, 66.5, 52.06, 52.63, 70.47, 50.77, 70.81, 14.01, 71.23, 71.91, 69.69]}
