gen:24{ accuracy:[68.8, 71.69, 70.21, 10.0, 71.05, 72.92, 67.09, 72.81, 62.45, 46.34, 64.81, 68.58, 64.01, 73.52, 71.41, 71.34, 70.51, 65.4, 70.49, 66.57, 69.67, 60.65, 74.69, 73.33, 70.63, 65.24, 62.54, 68.01, 71.05, 67.89, 48.61, 71.95, 71.9, 72.84, 69.57, 10.0, 64.08, 62.86, 73.1, 66.46, 70.42, 67.12, 71.09, 71.05, 70.23, 70.65, 40.48, 55.05, 69.5, 71.61, 73.6, 70.04, 45.08, 68.46, 42.17, 70.76, 38.54, 26.15, 70.61, 75.25, 69.66, 68.47, 62.69, 68.05, 70.31, 67.64, 77.73, 71.71, 70.57, 69.59, 74.97, 70.07, 71.35, 48.99, 10.0]}
gen:25{ accuracy:[71.33, 70.92, 75.63, 70.57, 68.18, 48.71, 64.28, 60.76, 71.41, 70.43, 10.0, 57.96, 47.32, 42.72, 67.44, 65.74, 71.19, 32.01, 71.25, 71.21, 70.29, 65.82, 68.01, 10.0, 57.65, 62.17, 67.52, 63.01, 63.0, 53.6, 72.77, 68.43, 68.74, 63.61, 71.35, 68.21, 73.57, 65.33, 71.76, 36.47, 42.93, 67.99, 67.78, 52.65, 67.04, 63.81, 66.12, 50.24, 71.32, 52.44, 57.14, 10.0, 73.02, 52.67, 73.71, 69.3, 62.78, 66.56, 65.31, 62.55, 43.21, 52.5, 52.51, 65.23, 65.16, 68.85, 67.44, 66.39, 76.28, 67.95, 69.75, 74.41, 67.08, 63.47, 72.3]}
gen:26{ accuracy:[54.45, 64.21, 10.0, 10.0, 68.54, 68.75, 50.42, 60.14, 10.0, 46.33, 68.12, 30.35, 41.7, 17.84, 63.98, 29.52, 10.0, 71.66, 70.72, 51.29, 71.81, 70.12, 43.18, 29.67, 58.4, 37.08, 69.78, 63.51, 66.7, 15.89, 37.82, 69.31, 43.94, 59.94, 58.21, 69.3, 41.03, 48.44, 52.78, 19.76, 54.85, 10.0, 60.71, 70.67, 58.89, 55.64, 69.9, 27.13, 58.26, 10.0, 62.79, 10.01, 67.47, 24.86, 71.16, 40.33, 57.55, 10.0, 71.14, 67.87, 68.99, 42.83, 70.2, 10.0, 10.0, 69.62, 51.4, 68.42, 10.0, 10.0, 22.06, 66.45, 26.1, 10.0, 44.87]}
gen:27{ accuracy:[30.35, 61.56, 59.54, 62.0, 66.12, 38.95, 54.94, 57.08, 64.17, 64.7, 64.2, 67.74, 50.04, 52.79, 58.31, 70.39, 49.43, 37.8, 67.17, 59.79, 48.61, 69.13, 17.51, 53.78, 64.06, 60.8, 69.25, 64.08, 55.33, 50.01, 68.26, 68.41, 60.81, 28.27, 29.9, 46.97, 68.65, 64.13, 38.51, 71.56, 66.21, 55.18, 69.47, 68.03, 70.05, 58.32, 62.42, 70.19, 66.35, 71.52, 52.48, 70.11, 64.85, 64.83, 68.29, 62.79, 63.33, 33.06, 66.42, 68.35, 58.6, 62.0, 67.61, 66.91, 68.75, 63.69, 68.0, 69.09, 69.48, 66.28, 64.66, 69.22, 51.51, 59.61, 65.3]}
gen:28{ accuracy:[55.25, 67.11, 72.05, 66.48, 64.24, 71.13, 69.98, 62.45, 68.57, 70.08, 58.73, 69.43, 51.01, 68.76, 35.11, 43.96, 46.24, 66.15, 70.31, 48.86, 59.92, 41.09, 47.0, 68.28, 49.99, 70.75, 57.46, 58.91, 47.27, 67.6, 68.37, 58.98, 46.52, 68.45, 68.38, 60.43, 66.42, 58.93, 53.84, 71.53, 66.96, 69.83, 63.43, 68.57, 69.88, 59.68, 70.93, 67.1, 69.13, 69.32, 40.69, 60.71, 68.58, 54.69, 44.5, 70.01, 50.13, 67.14, 70.06, 68.05, 60.9, 59.08, 60.17, 69.26, 56.54, 67.34, 62.99, 57.7, 69.95, 53.33, 57.61, 67.24, 69.87, 66.41, 37.36]}
gen:29{ accuracy:[62.14, 66.76, 53.58, 27.46, 29.84, 70.58, 24.26, 46.46, 61.74, 64.68, 63.81, 67.08, 70.68, 47.12, 69.89, 55.88, 53.15, 68.01, 67.06, 68.73, 31.34, 70.35, 36.26, 50.13, 37.78, 71.1, 26.95, 72.23, 28.04, 28.05, 70.33, 71.3, 57.28, 68.36, 40.77, 68.23, 71.33, 68.39, 68.66, 57.98, 69.36, 66.49, 27.7, 49.5, 62.04, 68.99, 10.0, 66.73, 51.35, 65.81, 62.22, 10.0, 70.18, 67.77, 24.68, 65.39, 69.81, 68.94, 37.5, 65.28, 64.45, 28.3, 70.56, 70.58, 68.29, 65.24, 25.7, 65.08, 48.4, 70.68, 10.0, 63.7, 67.27, 57.45, 67.55]}
gen:30{ accuracy:[60.88, 67.03, 67.01, 68.45, 69.61, 66.17, 67.95, 62.25, 60.85, 52.18, 51.41, 60.74, 64.78, 69.2, 66.55, 65.58, 35.86, 50.33, 70.79, 69.67, 68.18, 65.58, 57.44, 68.63, 62.04, 59.65, 69.32, 58.85, 68.66, 35.71, 71.73, 66.71, 58.61, 67.54, 72.73, 68.16, 69.76, 72.84, 44.79, 62.89, 46.92, 71.65, 67.83, 67.95, 67.96, 67.49, 52.11, 53.11, 69.64, 68.66, 69.12, 67.09, 72.81, 52.23, 63.56, 68.84, 43.9, 70.24, 70.68, 68.8, 68.14, 46.25, 45.38, 68.57, 68.57, 68.71, 45.55, 70.85, 70.34, 69.76, 60.66, 68.01, 66.03, 69.46, 69.62]}
gen:31{ accuracy:[70.51, 54.98, 50.49, 51.05, 42.84, 60.32, 72.47, 58.37, 69.11, 10.0, 54.53, 61.37, 71.25, 24.49, 53.31, 57.78, 52.23, 67.62, 72.76, 49.92, 62.4, 67.8, 61.57, 71.22, 27.5, 49.09, 47.54, 10.0, 22.11, 16.88, 50.64, 73.69, 50.69, 62.91, 52.05, 63.84, 68.45, 70.57, 51.93, 48.86, 49.24, 46.69, 46.5, 59.94, 55.24, 68.37, 71.32, 32.03, 47.08, 53.73, 10.0, 53.73, 67.72, 58.88, 28.94, 70.17, 24.91, 60.41, 70.46, 67.13, 51.04, 43.93, 71.7, 37.61, 70.26, 58.03, 40.48, 58.94, 39.88, 66.87, 64.88, 72.02, 67.43, 71.75, 71.57]}
gen:32{ accuracy:[49.03, 64.87, 60.85, 65.75, 52.1, 68.47, 59.47, 55.22, 59.48, 55.7, 66.63, 37.56, 53.22, 69.34, 69.97, 68.62, 35.56, 43.72, 70.56, 69.46, 52.16, 68.65, 62.92, 70.06, 58.55, 40.86, 58.73, 61.4, 61.69, 61.09, 62.58, 73.26, 59.01, 38.13, 59.8, 67.86, 72.2, 67.11, 73.3, 65.26, 69.63, 69.75, 73.63, 60.55, 58.43, 67.83, 41.3, 68.33, 74.93, 71.8, 64.82, 10.0, 56.42, 61.43, 72.29, 66.18, 68.45, 16.57, 69.32, 66.89, 67.41, 69.74, 70.95, 69.47, 56.61, 70.05, 73.18, 70.5, 67.8, 71.08, 59.03, 66.21, 53.52, 71.26, 71.28]}
gen:33{ accuracy:[54.58, 50.01, 71.03, 58.87, 41.39, 53.3, 55.76, 66.37, 53.42, 68.66, 48.36, 61.3, 71.8, 53.58, 52.35, 71.64, 71.97, 70.19, 44.56, 47.48, 71.58, 24.0, 70.75, 70.73, 65.08, 65.93, 65.42, 42.24, 26.05, 60.7, 66.69, 60.01, 51.38, 45.57, 69.32, 71.19, 66.5, 34.76, 53.42, 29.75, 62.57, 69.88, 66.88, 68.67, 62.64, 68.29, 68.42, 27.8, 57.47, 72.35, 50.76, 69.55, 51.42, 59.79, 68.66, 69.76, 67.35, 54.42, 61.33, 64.83, 55.28, 70.9, 65.72, 66.09, 50.05, 68.0, 49.9, 67.17, 65.78, 68.63, 70.34, 57.03, 48.72, 62.92, 55.92]}
