gen:29{ accuracy:[10.0, 62.6, 67.64, 41.74, 65.33, 70.44, 60.62, 28.82, 28.64, 23.55, 62.2, 56.14, 57.12, 35.74, 68.68, 66.86, 39.48, 24.48, 39.24, 66.13, 70.0, 26.45, 71.33, 54.7, 36.06, 65.73, 66.24, 59.82, 27.29, 33.99, 34.3, 69.4, 10.0, 50.62, 33.14, 57.42, 65.48, 60.73, 41.94, 51.13, 51.19, 56.76, 62.32, 63.11, 61.85, 58.46, 53.37, 32.39, 60.67, 59.45, 10.0, 10.0, 60.85, 35.31, 66.71, 64.58, 68.47, 37.96, 50.22, 61.71, 43.94, 54.3, 14.49, 66.92, 40.78, 66.04, 67.66, 69.9, 70.93, 71.31, 10.0, 67.55, 65.14, 10.44, 57.83]}
gen:30{ accuracy:[64.46, 66.92, 10.0, 50.48, 67.62, 64.75, 39.27, 64.73, 53.84, 46.22, 69.33, 65.56, 69.06, 44.73, 56.29, 47.36, 57.12, 66.31, 57.49, 67.03, 48.88, 67.15, 40.32, 67.69, 57.39, 67.86, 69.26, 65.84, 61.82, 40.67, 50.55, 48.43, 66.9, 49.65, 46.14, 50.07, 9.99, 62.11, 43.55, 53.23, 62.34, 66.64, 42.16, 52.39, 69.58, 69.54, 49.81, 55.8, 64.01, 63.23, 50.35, 10.0, 65.54, 27.63, 66.93, 49.34, 66.02, 50.07, 66.56, 62.27, 64.33, 68.87, 40.26, 63.9, 70.41, 50.8, 70.5, 70.69, 50.98, 50.28, 70.9, 68.32, 56.35, 48.56, 70.17]}
gen:31{ accuracy:[69.48, 49.22, 38.44, 38.46, 54.18, 40.54, 67.71, 58.74, 10.0, 67.79, 60.98, 68.55, 54.74, 66.2, 10.0, 58.36, 69.27, 51.55, 63.89, 39.09, 48.07, 60.72, 50.08, 64.59, 22.05, 57.0, 52.24, 44.84, 65.91, 51.09, 56.37, 66.8, 64.06, 69.29, 69.98, 22.89, 63.49, 69.47, 69.91, 64.97, 45.1, 71.32, 64.47, 66.47, 65.23, 15.96, 65.6, 47.38, 36.54, 54.08, 72.12, 64.43, 62.8, 10.0, 24.57, 49.35, 29.54, 68.2, 63.84, 59.13, 52.28, 41.6, 67.33, 32.51, 66.3, 67.93, 53.3, 48.55, 51.92, 17.61, 52.55, 62.96, 67.41, 66.2, 65.85]}
gen:32{ accuracy:[51.06, 52.95, 64.83, 50.95, 59.5, 58.81, 59.38, 50.01, 69.11, 67.46, 54.85, 55.57, 70.47, 43.84, 72.58, 61.46, 66.55, 71.18, 59.83, 65.06, 59.7, 62.8, 62.58, 57.91, 63.71, 58.8, 58.95, 67.52, 59.26, 52.48, 64.95, 61.66, 29.96, 64.06, 48.82, 32.18, 73.13, 61.51, 62.03, 68.11, 68.89, 59.27, 64.73, 67.82, 56.95, 40.76, 64.05, 68.22, 52.1, 72.92, 56.88, 60.37, 61.08, 56.57, 51.4, 60.59, 59.36, 67.54, 39.96, 53.89, 56.62, 58.48, 55.74, 67.97, 69.62, 46.41, 65.21, 51.46, 53.77, 54.91, 64.14, 61.86, 40.12, 63.03, 70.15]}
gen:33{ accuracy:[64.42, 66.99, 63.18, 71.58, 68.56, 56.18, 65.69, 65.01, 43.34, 56.68, 68.11, 67.91, 68.22, 63.02, 67.5, 50.42, 64.13, 65.0, 69.35, 49.99, 63.5, 48.2, 51.31, 69.7, 32.3, 59.15, 68.09, 62.82, 65.11, 64.01, 34.03, 55.71, 63.22, 60.29, 50.85, 10.0, 67.31, 43.7, 71.87, 64.66, 52.97, 50.65, 60.91, 63.43, 66.21, 53.75, 57.38, 69.2, 64.61, 68.6, 72.7, 73.9, 64.79, 72.58, 72.19, 71.37, 68.43, 56.91, 59.72, 55.34, 51.04, 67.09, 50.12, 67.99, 55.97, 66.79, 73.43, 66.83, 66.42, 47.75, 68.13, 69.09, 59.53, 43.22, 68.22]}
gen:34{ accuracy:[68.77, 68.36, 38.76, 52.12, 33.26, 56.24, 46.87, 24.8, 72.31, 51.1, 65.26, 64.95, 41.29, 16.56, 59.31, 65.88, 10.0, 72.34, 46.01, 72.14, 51.18, 60.14, 44.38, 69.48, 66.82, 31.36, 61.23, 51.88, 10.0, 64.23, 68.17, 50.53, 67.76, 24.18, 57.91, 64.19, 49.42, 52.9, 69.19, 65.17, 47.11, 42.08, 66.18, 63.57, 48.06, 29.98, 67.22, 24.95, 58.99, 48.62, 28.95, 51.42, 63.97, 50.66, 39.43, 59.79, 65.13, 56.16, 74.32, 10.0, 44.45, 10.0, 10.0, 17.17, 71.02, 72.15, 56.51, 10.0, 64.47, 51.68, 57.81, 32.66, 71.69, 73.44, 43.32]}
gen:35{ accuracy:[70.09, 52.48, 71.77, 52.13, 26.15, 65.97, 36.08, 69.61, 50.84, 62.72, 10.0, 30.33, 60.96, 10.0, 17.06, 24.91, 42.1, 60.09, 60.37, 38.98, 66.67, 43.9, 39.4, 24.04, 62.07, 65.3, 10.0, 70.72, 60.23, 27.24, 29.3, 69.69, 55.55, 58.99, 46.91, 66.05, 70.59, 64.42, 10.0, 24.12, 10.0, 51.68, 60.87, 51.26, 59.94, 66.75, 64.17, 51.36, 70.06, 67.93, 33.61, 44.6, 71.21, 66.2, 17.51, 10.0, 50.09, 40.65, 51.43, 24.3, 33.89, 54.09, 51.17, 48.63, 64.18, 48.6, 58.38, 59.53, 40.5, 52.54, 71.16, 51.37, 41.95, 10.0, 69.78]}
gen:36{ accuracy:[68.69, 62.32, 56.09, 67.5, 44.62, 40.09, 44.61, 64.89, 10.0, 66.63, 60.22, 61.88, 66.26, 59.75, 42.61, 55.25, 57.5, 66.61, 46.38, 57.37, 66.92, 59.44, 69.55, 51.19, 42.04, 69.3, 31.5, 35.26, 60.6, 61.5, 56.13, 55.79, 45.3, 27.05, 67.37, 58.69, 22.68, 56.46, 59.74, 55.35, 73.06, 60.55, 72.67, 59.83, 53.41, 53.26, 41.98, 54.45, 32.79, 35.72, 50.32, 34.35, 10.0, 37.95, 44.95, 64.57, 56.32, 69.16, 63.87, 49.28, 39.09, 45.83, 10.0, 42.62, 66.57, 66.98, 51.27, 53.56, 25.74, 38.8, 70.06, 66.44, 29.9, 25.04, 59.58]}
gen:37{ accuracy:[54.15, 32.13, 50.8, 68.57, 55.39, 65.49, 47.83, 62.28, 61.68, 45.41, 60.41, 72.19, 52.55, 29.69, 52.41, 71.01, 66.24, 49.62, 41.11, 49.0, 45.03, 27.75, 28.81, 50.84, 68.79, 44.29, 64.94, 43.05, 36.57, 64.46, 10.0, 65.67, 68.71, 38.88, 29.98, 49.82, 34.27, 39.34, 61.02, 63.15, 51.07, 41.15, 48.37, 42.39, 45.88, 60.27, 51.79, 50.91, 44.28, 66.59, 35.15, 25.82, 52.33, 42.23, 34.89, 66.67, 50.88, 61.76, 51.45, 52.57, 39.14, 51.18, 47.76, 46.59, 42.51, 38.02, 45.45, 60.05, 52.97, 68.13, 48.98, 51.58, 55.87, 25.87, 60.08]}
gen:38{ accuracy:[62.7, 52.26, 25.03, 18.4, 46.43, 63.74, 57.62, 58.12, 66.92, 68.24, 67.29, 33.43, 53.6, 50.62, 51.91, 51.81, 51.64, 72.22, 51.39, 39.26, 64.24, 51.52, 70.81, 49.37, 50.21, 62.33, 56.13, 51.02, 50.99, 67.58, 50.7, 48.5, 71.25, 65.93, 44.1, 54.52, 47.49, 52.49, 44.88, 65.79, 62.94, 73.5, 69.34, 45.77, 67.94, 66.26, 12.98, 64.71, 17.0, 55.43, 68.12, 41.96, 37.0, 62.16, 46.83, 66.98, 59.92, 32.03, 24.35, 73.06, 42.69, 51.32, 53.38, 64.85, 17.11, 12.62, 51.28, 55.42, 57.47, 44.7, 52.58, 50.93, 19.01, 51.48, 41.78]}
