gen:0{ accuracy:[53.0, 56.41, 56.54, 59.04, 66.33, 60.45, 51.84, 56.33, 47.59, 31.15, 44.44, 53.28, 66.4, 67.99, 67.33, 68.53, 39.73, 45.39, 52.59, 39.67, 53.53, 54.41, 50.19, 32.95, 37.45, 17.33, 37.58, 45.25, 51.09, 45.22, 30.24, 47.66, 51.78, 68.06, 66.77, 51.18, 65.46, 38.11, 39.78, 53.24, 61.49, 39.63, 55.23, 29.32, 65.57, 65.11, 45.24, 50.87, 47.57, 52.52, 49.92, 67.49, 43.92, 56.11, 46.59, 41.29, 58.17, 44.3, 31.42, 54.76, 32.01, 61.79, 64.69, 55.3, 47.66, 62.96, 31.27, 64.39, 28.57, 65.29, 50.54, 32.94, 62.37, 56.48, 53.31]}
gen:1{ accuracy:[69.38, 62.78, 61.22, 71.1, 66.7, 56.27, 23.38, 66.75, 45.5, 33.09, 67.46, 63.4, 48.62, 37.44, 59.62, 66.14, 63.19, 10.0, 61.42, 67.14, 36.77, 32.0, 49.14, 51.67, 26.08, 10.0, 10.0, 10.0, 24.13, 68.14, 16.41, 69.66, 70.9, 18.49, 68.44, 57.25, 43.76, 62.27, 10.0, 57.88, 58.58, 47.63, 54.15, 56.72, 46.92, 10.0, 61.22, 69.93, 62.39, 65.46, 10.0, 10.0, 67.09, 18.51, 64.03, 25.38, 10.0, 18.36, 67.48, 17.73, 62.57, 12.29, 49.38, 26.39, 44.93, 66.6, 53.82, 10.0, 26.33, 53.02, 30.67, 44.84, 10.0, 32.98, 51.4]}
gen:2{ accuracy:[69.7, 62.99, 49.47, 67.44, 66.69, 25.1, 65.08, 17.64, 46.29, 62.4, 66.39, 10.0, 58.57, 63.09, 23.88, 66.89, 64.09, 68.11, 67.81, 20.67, 61.24, 53.48, 67.45, 17.34, 44.25, 53.04, 67.35, 24.68, 66.61, 10.0, 53.07, 52.78, 49.15, 52.31, 52.53, 61.81, 30.37, 18.01, 57.14, 67.6, 56.25, 14.77, 52.35, 50.7, 16.82, 66.64, 61.36, 67.78, 16.03, 68.28, 67.74, 24.47, 65.1, 57.98, 57.94, 21.56, 62.8, 69.3, 65.59, 64.65, 66.79, 67.64, 24.95, 52.18, 24.9, 25.78, 64.05, 10.0, 10.0, 50.34, 37.55, 69.18, 59.98, 69.92, 51.11]}
gen:3{ accuracy:[10.0, 25.52, 23.46, 48.05, 51.24, 69.19, 10.0, 57.13, 38.6, 65.36, 56.17, 49.1, 32.5, 42.31, 51.69, 55.76, 27.91, 29.19, 69.01, 23.71, 67.68, 53.12, 15.81, 70.57, 69.3, 63.69, 44.96, 25.01, 31.01, 51.07, 17.88, 23.18, 44.72, 68.91, 42.17, 60.82, 44.06, 65.7, 34.93, 65.87, 15.49, 40.15, 35.57, 37.26, 53.54, 53.81, 65.12, 63.04, 56.24, 48.77, 36.08, 26.37, 56.83, 10.0, 44.05, 25.87, 40.13, 54.96, 60.75, 40.53, 10.0, 70.1, 38.25, 41.73, 64.16, 10.0, 24.41, 69.97, 66.08, 28.1, 53.69, 53.09, 31.02, 67.76, 61.69]}
gen:4{ accuracy:[48.84, 39.63, 52.81, 40.17, 49.33, 10.0, 67.08, 67.88, 18.0, 25.23, 55.48, 69.28, 24.56, 18.19, 56.07, 65.42, 67.94, 66.06, 10.0, 68.76, 53.49, 16.86, 69.69, 46.89, 69.48, 51.36, 10.0, 59.12, 63.29, 40.81, 15.67, 18.13, 55.95, 52.39, 67.13, 69.78, 68.09, 70.01, 56.96, 66.08, 18.62, 70.29, 31.55, 31.2, 38.46, 67.63, 37.5, 10.0, 52.96, 37.27, 49.7, 47.87, 32.75, 62.48, 59.26, 67.76, 33.23, 39.53, 67.66, 48.65, 67.03, 68.12, 68.33, 67.7, 42.93, 53.36, 25.75, 39.09, 53.64, 48.95, 43.82, 50.51, 16.62, 46.02, 44.13]}
gen:5{ accuracy:[51.08, 24.39, 54.33, 51.33, 46.53, 48.66, 66.9, 51.55, 48.96, 20.45, 19.42, 23.63, 24.52, 54.4, 21.79, 51.02, 59.16, 50.92, 69.09, 48.69, 48.76, 62.07, 49.56, 48.53, 60.39, 18.49, 23.63, 18.43, 67.62, 21.99, 51.18, 47.23, 15.92, 25.04, 24.92, 67.35, 22.64, 24.31, 72.36, 19.14, 70.46, 15.51, 15.84, 68.36, 48.62, 48.14, 71.12, 52.06, 23.29, 24.96, 23.74, 46.39, 50.2, 45.7, 63.59, 23.59, 45.76, 67.43, 19.75, 50.11, 60.89, 17.73, 44.66, 43.59, 25.03, 62.34, 50.99, 50.66, 65.24, 22.06, 47.08, 20.51, 73.47, 49.31, 48.86]}
gen:6{ accuracy:[48.74, 66.57, 20.09, 40.71, 18.17, 59.19, 70.76, 71.4, 69.45, 64.29, 69.77, 71.02, 15.24, 70.96, 17.76, 19.67, 53.67, 73.57, 63.27, 71.12, 53.43, 66.22, 59.38, 25.1, 61.52, 50.31, 48.52, 70.95, 33.42, 71.72, 49.43, 71.43, 10.0, 16.16, 48.12, 30.12, 60.47, 67.22, 18.18, 69.1, 19.0, 70.57, 69.12, 34.19, 63.84, 55.01, 39.31, 71.69, 32.52, 65.7, 68.42, 10.0, 71.41, 68.36, 23.46, 40.54, 15.03, 64.93, 14.12, 10.0, 48.98, 18.16, 29.42, 72.58, 70.84, 71.29, 45.09, 68.89, 10.0, 16.67, 71.8, 66.06, 68.76, 15.7, 65.01]}
gen:7{ accuracy:[69.56, 68.83, 65.44, 68.83, 64.66, 59.89, 70.75, 26.26, 30.47, 56.69, 69.18, 73.22, 42.9, 63.92, 64.18, 63.48, 64.73, 10.0, 64.86, 17.58, 66.17, 68.79, 10.0, 67.81, 18.69, 69.34, 31.7, 69.23, 10.0, 40.45, 10.0, 64.99, 62.72, 71.71, 66.4, 69.82, 15.45, 44.98, 40.29, 65.26, 64.9, 17.24, 69.38, 66.28, 59.87, 68.11, 70.41, 18.49, 68.38, 59.93, 70.46, 18.99, 70.33, 68.77, 70.41, 70.08, 44.47, 67.89, 70.09, 64.31, 69.29, 45.59, 60.47, 69.27, 68.48, 61.42, 69.37, 10.0, 16.81, 66.7, 70.88, 69.42, 69.44, 10.0, 58.9]}
gen:8{ accuracy:[39.57, 71.48, 76.28, 69.06, 66.51, 55.68, 68.71, 66.17, 69.07, 47.94, 31.23, 64.12, 59.61, 45.84, 69.96, 70.79, 70.15, 39.69, 66.39, 58.59, 18.67, 70.48, 51.04, 69.77, 33.59, 71.82, 67.83, 69.77, 10.0, 65.12, 68.5, 70.76, 51.17, 56.93, 67.54, 62.49, 68.22, 66.5, 27.38, 70.83, 69.92, 69.89, 68.78, 60.95, 68.45, 71.74, 67.04, 70.81, 54.03, 63.61, 55.2, 62.54, 71.68, 28.35, 59.23, 44.36, 54.98, 10.0, 65.02, 62.53, 43.38, 24.81, 68.37, 67.11, 54.17, 26.33, 10.0, 70.42, 71.56, 72.36, 62.39, 10.0, 67.07, 55.81, 68.51]}
gen:9{ accuracy:[50.65, 69.37, 71.55, 75.04, 70.93, 9.99, 25.52, 51.84, 37.16, 47.1, 10.0, 67.49, 39.19, 51.47, 70.81, 33.39, 71.79, 54.86, 46.27, 73.08, 67.25, 33.13, 28.18, 58.53, 56.22, 72.62, 67.56, 67.39, 55.21, 52.44, 52.23, 55.04, 60.9, 23.84, 35.64, 24.6, 27.12, 70.78, 60.0, 71.3, 69.78, 69.1, 66.42, 73.66, 26.25, 10.0, 72.1, 70.75, 58.86, 69.2, 50.87, 53.2, 52.38, 34.2, 71.43, 10.07, 33.78, 63.68, 54.52, 10.0, 45.57, 73.64, 64.51, 68.35, 19.1, 63.96, 10.0, 10.0, 59.05, 75.51, 66.78, 26.25, 72.28, 37.07, 52.9]}
