gen:0{ accuracy:[47.43, 70.57, 47.75, 57.49, 60.16, 61.89, 54.1, 30.15, 70.8, 68.58, 22.68, 45.76, 66.04, 54.55, 67.83, 58.62, 53.56, 63.71, 39.0, 59.85, 71.23, 62.54, 63.86, 26.24, 43.4, 33.96, 47.04, 68.74, 58.16, 40.97, 60.96, 46.93, 41.26, 46.24, 59.38, 50.9, 49.25, 33.72, 57.48, 58.09, 28.83, 57.32, 72.67, 55.27, 65.48, 48.98, 50.38, 48.79, 38.96, 51.32, 61.76, 46.82, 47.5, 45.24, 65.2, 53.51, 65.2, 59.71, 36.79, 38.93, 44.74, 64.37, 58.31, 28.82, 42.8, 42.99, 44.31, 43.53, 65.63, 55.31, 55.43, 58.37, 59.48, 49.57, 48.34]}
gen:1{ accuracy:[67.85, 71.97, 58.97, 64.55, 39.46, 10.0, 62.73, 31.76, 10.0, 10.0, 57.81, 51.01, 69.52, 68.98, 45.1, 62.72, 69.83, 10.0, 10.0, 68.57, 62.84, 23.79, 17.94, 69.0, 62.5, 33.39, 32.96, 10.0, 69.01, 41.7, 32.11, 10.0, 50.0, 51.44, 61.88, 68.45, 43.1, 62.03, 56.96, 10.0, 10.0, 63.85, 62.57, 17.15, 53.9, 65.17, 68.69, 49.53, 31.89, 10.0, 69.84, 49.74, 16.04, 16.69, 51.82, 44.08, 68.86, 69.37, 64.23, 69.73, 69.92, 17.6, 10.0, 47.98, 67.65, 10.0, 18.04, 65.99, 60.53, 64.01, 10.0, 10.0, 61.48, 54.04, 42.81]}
gen:2{ accuracy:[57.72, 69.23, 44.29, 38.11, 69.29, 69.97, 63.63, 55.4, 68.68, 57.31, 69.43, 57.91, 54.07, 27.25, 66.42, 66.68, 47.63, 47.7, 33.68, 45.96, 54.64, 53.48, 54.14, 53.89, 39.36, 63.09, 69.36, 70.38, 63.38, 41.66, 70.42, 52.74, 68.44, 47.33, 38.43, 47.03, 69.27, 68.73, 10.0, 68.38, 42.16, 38.03, 47.15, 29.45, 71.36, 54.08, 44.55, 65.51, 46.16, 69.85, 45.26, 69.33, 49.36, 54.22, 68.59, 68.16, 26.14, 28.45, 71.07, 66.15, 62.36, 66.31, 41.14, 68.66, 70.44, 69.61, 62.18, 69.63, 52.36, 42.79, 63.05, 68.49, 58.08, 68.99, 54.77]}
gen:3{ accuracy:[40.04, 49.91, 71.46, 71.17, 70.84, 51.3, 70.9, 58.41, 45.59, 71.28, 67.47, 69.69, 66.56, 52.59, 69.12, 70.84, 25.82, 69.4, 70.4, 71.25, 66.82, 66.78, 50.91, 70.11, 44.32, 64.16, 71.04, 74.56, 70.24, 51.77, 60.89, 68.94, 66.97, 65.38, 69.35, 70.26, 64.62, 74.15, 28.88, 69.82, 71.73, 66.4, 69.24, 72.98, 69.81, 64.79, 65.51, 67.63, 71.11, 41.13, 70.94, 61.36, 50.3, 66.83, 70.69, 67.92, 46.72, 66.79, 73.57, 70.63, 71.18, 69.85, 71.5, 67.81, 69.18, 71.91, 51.22, 70.19, 66.85, 46.55, 66.82, 65.57, 65.87, 70.57, 66.37]}
gen:4{ accuracy:[32.12, 50.3, 34.84, 52.21, 47.64, 70.61, 27.8, 69.01, 69.15, 53.27, 69.59, 65.83, 70.7, 52.71, 71.15, 65.14, 50.36, 45.81, 68.11, 71.01, 69.45, 74.04, 43.89, 66.51, 71.39, 61.68, 69.14, 58.55, 71.34, 64.43, 64.52, 65.48, 70.48, 23.36, 69.71, 52.94, 43.06, 63.53, 67.07, 66.46, 64.74, 49.62, 57.53, 70.92, 64.61, 74.31, 65.13, 52.94, 15.66, 69.18, 69.44, 69.92, 66.95, 40.08, 70.74, 69.2, 67.8, 71.64, 73.85, 36.63, 71.08, 56.15, 73.02, 52.72, 62.03, 67.61, 17.52, 74.77, 52.14, 61.25, 72.46, 52.58, 64.25, 70.06, 65.02]}
gen:5{ accuracy:[71.9, 61.05, 40.77, 49.97, 72.8, 54.5, 10.0, 46.77, 67.3, 59.32, 71.08, 66.8, 10.0, 47.35, 69.08, 65.28, 75.41, 38.0, 67.11, 75.7, 53.97, 69.85, 67.92, 52.19, 10.0, 67.83, 73.84, 49.57, 30.28, 62.58, 47.21, 72.2, 61.67, 64.19, 10.0, 66.96, 72.56, 10.0, 75.73, 10.0, 17.84, 71.25, 67.19, 67.75, 75.26, 66.99, 64.45, 68.17, 10.0, 65.53, 70.04, 73.49, 64.21, 71.62, 70.17, 65.93, 64.61, 71.37, 67.69, 63.57, 10.0, 32.95, 62.58, 18.36, 64.17, 59.81, 68.61, 73.95, 67.83, 44.12, 10.0, 50.72, 42.54, 30.91, 52.39]}
gen:6{ accuracy:[37.64, 17.95, 50.32, 55.88, 67.06, 69.97, 75.36, 18.93, 73.28, 68.57, 75.29, 74.95, 65.72, 18.06, 68.06, 74.01, 69.19, 75.66, 46.05, 39.87, 53.04, 70.14, 37.71, 10.0, 60.18, 41.01, 49.2, 10.0, 18.48, 59.75, 58.16, 62.71, 68.72, 74.34, 34.44, 40.02, 68.96, 75.88, 37.16, 69.62, 25.39, 42.14, 76.03, 68.19, 38.74, 26.42, 10.0, 40.98, 62.73, 55.5, 72.87, 63.17, 62.61, 62.5, 76.03, 63.27, 67.69, 71.36, 45.49, 65.94, 73.8, 55.74, 56.49, 67.02, 10.0, 67.43, 63.97, 47.89, 48.21, 38.14, 58.43, 10.0, 74.53, 56.76, 67.2]}
gen:7{ accuracy:[75.55, 31.22, 72.35, 53.81, 60.96, 69.92, 75.51, 10.0, 30.34, 60.27, 70.45, 74.27, 69.52, 10.0, 42.06, 41.59, 17.88, 43.11, 74.56, 71.29, 67.43, 48.03, 26.18, 71.96, 67.73, 73.75, 70.63, 50.11, 23.11, 10.0, 49.28, 69.13, 60.8, 65.53, 42.79, 28.69, 38.05, 50.12, 18.17, 71.8, 45.88, 74.68, 47.97, 66.29, 51.5, 76.29, 28.0, 28.4, 53.92, 76.17, 74.38, 67.43, 65.99, 47.1, 69.39, 10.0, 10.0, 60.09, 48.68, 54.46, 23.85, 48.76, 74.4, 75.97, 45.32, 68.52, 48.71, 53.95, 76.62, 56.36, 26.21, 51.25, 10.0, 10.0, 47.55]}
gen:8{ accuracy:[50.31, 53.44, 63.68, 38.44, 47.27, 69.83, 46.68, 10.0, 71.99, 69.23, 77.09, 76.04, 18.2, 52.7, 70.53, 10.0, 66.75, 46.31, 73.0, 75.97, 64.27, 49.09, 48.07, 39.95, 48.54, 35.61, 47.4, 50.86, 37.24, 64.19, 73.34, 49.0, 66.56, 24.55, 10.0, 10.0, 71.11, 66.57, 70.38, 56.36, 68.99, 71.18, 48.11, 65.58, 10.0, 45.0, 48.47, 49.43, 10.0, 76.34, 66.53, 67.61, 10.0, 37.24, 70.0, 31.01, 60.78, 57.18, 73.17, 46.11, 10.0, 66.74, 71.55, 74.11, 48.41, 47.95, 43.28, 69.3, 52.8, 21.66, 10.0, 65.75, 55.83, 60.43, 65.35]}
gen:9{ accuracy:[10.0, 45.29, 20.96, 64.0, 19.67, 75.29, 60.65, 66.7, 76.68, 75.11, 73.79, 54.29, 65.37, 24.2, 66.91, 62.08, 75.59, 67.82, 73.21, 76.03, 25.93, 70.03, 50.42, 45.3, 48.14, 61.79, 77.03, 73.25, 63.47, 65.78, 76.44, 65.66, 70.66, 29.45, 62.97, 62.13, 27.9, 18.83, 65.39, 70.15, 51.92, 70.94, 44.35, 50.56, 46.55, 62.39, 18.25, 76.14, 39.43, 76.42, 44.92, 68.63, 63.27, 68.39, 53.73, 25.78, 10.0, 71.87, 65.32, 63.92, 75.61, 67.82, 65.04, 41.51, 76.31, 38.06, 53.88, 23.64, 42.49, 20.09, 66.6, 75.15, 32.15, 65.9, 44.77]}
