gen:0{ accuracy:[40.13, 50.42, 17.44, 46.74, 63.61, 59.71, 69.2, 40.25, 67.15, 72.26, 40.09, 36.9, 44.97, 48.37, 43.85, 64.11, 67.6, 46.51, 46.64, 46.34, 17.91, 69.07, 47.18, 48.2, 39.83, 17.54, 51.66, 66.11, 67.3, 36.71, 70.23, 58.0, 58.02, 16.87, 65.46, 66.81, 58.22, 68.03, 66.07, 66.17, 57.21, 37.33, 49.72, 41.85, 53.22, 55.15, 58.71, 43.36, 66.51, 41.61, 51.54, 49.24, 43.27, 57.66, 43.65, 32.14, 37.12, 54.64, 40.91, 38.09, 32.63, 34.02, 62.52, 41.75, 60.35, 54.18, 38.73, 16.92, 64.62, 58.38, 49.13, 47.02, 64.42, 42.43, 54.48]}
gen:1{ accuracy:[68.63, 48.12, 10.0, 68.91, 66.0, 32.0, 71.3, 72.61, 53.53, 69.19, 67.86, 66.84, 70.02, 17.46, 17.62, 55.3, 71.35, 17.6, 68.62, 64.95, 69.68, 53.56, 67.54, 40.35, 10.0, 50.21, 63.16, 38.31, 46.71, 20.52, 66.73, 16.57, 43.65, 21.13, 67.74, 15.93, 14.63, 51.31, 71.44, 17.36, 45.72, 51.03, 54.56, 59.93, 35.0, 68.14, 22.72, 15.43, 70.07, 30.74, 43.88, 44.96, 47.6, 47.56, 50.64, 54.86, 66.39, 17.05, 11.21, 51.7, 17.52, 55.63, 33.62, 43.32, 55.35, 66.85, 48.83, 64.37, 36.75, 36.0, 42.1, 66.29, 69.66, 48.74, 69.42]}
gen:2{ accuracy:[38.41, 63.85, 54.1, 71.78, 20.87, 68.1, 16.32, 72.25, 67.14, 23.33, 72.25, 17.59, 57.96, 38.53, 70.26, 69.87, 42.45, 43.63, 68.83, 59.77, 71.53, 35.52, 61.24, 26.52, 69.35, 70.45, 64.61, 66.4, 47.94, 65.9, 71.6, 68.17, 10.0, 66.35, 24.54, 28.05, 71.46, 42.39, 47.41, 68.65, 67.92, 53.59, 66.3, 51.29, 33.87, 22.8, 71.15, 60.53, 55.8, 17.03, 51.47, 71.85, 31.81, 69.84, 42.17, 67.31, 58.52, 42.12, 71.8, 71.63, 24.54, 69.28, 70.1, 59.92, 68.93, 62.51, 69.04, 10.0, 71.22, 69.43, 72.35, 51.39, 56.06, 37.02, 24.79]}
gen:3{ accuracy:[70.81, 56.75, 59.34, 27.29, 68.09, 70.01, 46.31, 22.9, 58.24, 35.01, 26.59, 51.2, 72.08, 30.47, 63.25, 67.94, 10.0, 57.52, 45.86, 70.3, 58.23, 70.22, 10.0, 70.0, 62.92, 46.31, 10.0, 36.44, 70.56, 55.05, 67.73, 16.71, 25.89, 65.47, 71.52, 19.64, 71.72, 57.71, 71.39, 10.0, 71.17, 68.48, 51.83, 68.94, 52.45, 46.87, 48.64, 19.21, 70.75, 71.37, 10.0, 66.33, 71.74, 10.0, 69.29, 67.9, 58.67, 63.1, 71.23, 70.76, 66.91, 67.08, 48.4, 51.51, 48.15, 65.58, 68.11, 71.82, 41.38, 68.54, 41.7, 53.78, 71.48, 57.29, 70.94]}
gen:4{ accuracy:[71.98, 71.43, 70.85, 66.55, 64.93, 70.82, 66.9, 65.57, 70.03, 71.3, 56.49, 72.69, 65.5, 72.06, 57.76, 66.42, 66.34, 70.27, 69.9, 58.08, 70.15, 70.53, 69.14, 64.84, 57.21, 66.01, 72.19, 45.74, 59.31, 63.67, 58.81, 72.23, 71.3, 69.58, 33.33, 71.14, 67.73, 66.19, 54.79, 72.83, 63.5, 63.86, 71.5, 66.75, 70.51, 56.51, 64.35, 57.11, 71.13, 72.47, 68.75, 62.29, 43.95, 70.43, 53.83, 71.07, 25.34, 71.02, 57.19, 30.89, 48.88, 59.9, 30.64, 60.38, 71.75, 72.18, 33.81, 60.81, 57.61, 66.0, 59.53, 67.62, 73.61, 64.32, 48.4]}
gen:5{ accuracy:[10.0, 72.33, 72.41, 72.65, 66.87, 65.83, 74.11, 50.96, 10.0, 56.69, 61.09, 46.42, 62.44, 72.09, 41.05, 15.62, 67.69, 73.86, 57.95, 73.42, 48.5, 67.08, 73.39, 42.16, 45.52, 74.2, 67.99, 65.01, 63.14, 45.25, 10.0, 43.83, 73.27, 23.32, 69.09, 72.16, 34.06, 67.5, 71.69, 73.48, 70.24, 70.57, 39.82, 72.77, 72.94, 31.7, 41.91, 65.51, 64.92, 68.2, 48.52, 64.31, 71.06, 61.1, 72.52, 60.05, 72.59, 71.47, 42.72, 65.1, 74.37, 72.41, 33.35, 72.34, 71.76, 73.94, 47.23, 63.1, 44.81, 68.03, 38.66, 69.19, 10.0, 59.39, 20.6]}
gen:6{ accuracy:[75.11, 74.26, 54.03, 74.17, 67.64, 68.23, 63.25, 74.24, 74.74, 74.22, 73.46, 75.42, 73.44, 69.81, 66.71, 74.78, 72.39, 68.72, 69.84, 68.54, 73.75, 71.64, 71.06, 74.97, 73.34, 67.26, 73.65, 59.37, 40.68, 69.55, 75.05, 71.93, 73.52, 54.17, 25.82, 57.75, 49.13, 58.79, 73.1, 30.83, 73.76, 19.03, 72.73, 71.44, 41.18, 72.87, 47.89, 70.18, 68.92, 45.51, 73.58, 68.9, 71.2, 71.88, 61.9, 71.34, 74.31, 63.19, 74.63, 73.88, 73.7, 68.31, 70.05, 55.53, 72.26, 74.2, 73.61, 53.19, 67.46, 37.01, 65.77, 68.25, 24.87, 72.59, 73.81]}
gen:7{ accuracy:[60.49, 74.84, 25.4, 66.4, 10.0, 73.49, 57.75, 61.47, 54.28, 71.6, 74.2, 67.05, 21.28, 10.0, 63.53, 74.34, 48.53, 65.92, 55.91, 74.57, 10.0, 61.34, 10.0, 72.85, 74.69, 66.34, 19.12, 73.59, 73.56, 69.52, 10.0, 73.73, 53.73, 71.32, 57.09, 10.0, 10.0, 73.18, 48.06, 55.51, 72.46, 19.18, 65.58, 73.76, 18.27, 66.05, 60.66, 73.47, 65.0, 75.22, 24.84, 72.67, 73.74, 32.83, 74.64, 60.88, 75.65, 73.71, 46.03, 73.54, 47.3, 58.81, 28.36, 41.44, 72.34, 73.53, 71.62, 41.3, 67.61, 69.59, 18.43, 59.93, 74.89, 72.84, 66.43]}
gen:8{ accuracy:[71.65, 47.24, 72.47, 73.55, 74.14, 10.0, 69.65, 19.46, 58.24, 74.16, 72.02, 66.2, 61.51, 18.85, 73.88, 63.86, 68.79, 49.85, 59.19, 73.2, 74.23, 75.35, 71.48, 73.4, 65.6, 73.39, 61.53, 75.87, 73.04, 66.8, 58.47, 48.44, 45.87, 73.13, 69.53, 68.47, 53.02, 69.02, 68.9, 46.33, 26.55, 63.15, 73.84, 74.67, 63.41, 10.0, 71.2, 72.63, 64.62, 10.0, 70.82, 40.66, 48.27, 72.47, 10.0, 71.34, 63.59, 71.81, 57.94, 68.86, 50.15, 63.05, 73.38, 69.24, 66.32, 70.69, 40.27, 73.08, 73.46, 46.79, 73.95, 74.21, 10.0, 22.78, 72.07]}
gen:9{ accuracy:[69.78, 66.84, 67.11, 73.17, 72.14, 72.9, 75.23, 66.29, 68.15, 73.12, 74.57, 74.51, 74.07, 74.33, 74.17, 74.24, 76.87, 69.11, 74.59, 73.67, 74.6, 74.4, 72.78, 61.55, 71.6, 67.73, 65.76, 72.09, 73.62, 74.8, 73.85, 51.66, 73.33, 73.71, 68.57, 73.3, 67.0, 74.06, 56.65, 74.1, 75.63, 17.76, 75.29, 74.34, 46.57, 76.07, 52.44, 74.84, 72.38, 66.98, 74.19, 73.18, 75.08, 72.54, 67.49, 67.2, 74.61, 73.76, 75.95, 76.16, 75.26, 72.0, 74.12, 73.37, 74.75, 75.55, 75.1, 66.86, 52.11, 65.45, 73.86, 10.0, 73.94, 72.07, 73.85]}
