gen:0{ accuracy:[44.81, 58.66, 52.4, 67.24, 62.7, 50.7, 42.35, 55.69, 50.68, 43.88, 59.18, 49.78, 38.91, 66.95, 64.94, 61.43, 53.51, 42.08, 29.61, 57.64, 50.99, 62.56, 66.4, 47.56, 49.61, 43.26, 57.09, 59.68, 51.14, 47.76, 55.87, 67.45, 18.24, 41.37, 39.99, 50.6, 45.22, 45.98, 65.92, 54.72, 67.86, 67.54, 45.29, 40.28, 50.75, 41.16, 60.11, 65.03, 49.96, 45.26, 45.23, 56.32, 55.94, 63.21, 45.32, 10.0, 67.86, 54.98, 43.17, 38.3, 53.23, 66.89, 53.06, 24.63, 64.74, 36.16, 48.42, 59.66, 42.24, 52.18, 50.47, 59.0, 65.26, 51.79, 40.4]}
gen:1{ accuracy:[71.8, 10.0, 66.55, 69.55, 46.93, 39.33, 66.21, 66.4, 68.95, 45.89, 68.88, 48.25, 63.92, 59.35, 30.61, 64.92, 10.0, 59.54, 22.57, 40.49, 57.8, 64.51, 31.11, 62.58, 68.06, 18.5, 50.08, 52.34, 55.42, 35.01, 10.0, 54.28, 36.26, 53.06, 10.0, 24.02, 56.11, 71.47, 44.02, 54.29, 24.57, 65.6, 67.96, 10.0, 64.73, 38.21, 40.66, 42.56, 36.02, 37.25, 59.67, 62.9, 53.27, 50.91, 69.7, 46.01, 45.25, 51.16, 18.27, 39.28, 51.1, 49.23, 30.74, 59.17, 50.4, 63.97, 66.79, 59.36, 48.45, 32.13, 52.88, 57.6, 52.19, 51.68, 27.32]}
gen:2{ accuracy:[10.0, 69.45, 59.25, 36.95, 70.8, 49.16, 34.47, 63.14, 66.08, 56.54, 64.5, 71.48, 61.43, 66.28, 37.78, 64.1, 68.27, 67.96, 70.36, 64.88, 70.83, 23.81, 65.21, 59.13, 63.73, 58.09, 69.51, 70.46, 62.75, 62.27, 64.5, 61.41, 67.92, 10.0, 10.0, 19.74, 63.43, 10.0, 66.85, 70.05, 68.64, 65.49, 70.58, 40.91, 64.96, 60.53, 59.43, 62.43, 69.62, 18.15, 52.75, 59.37, 67.76, 68.19, 64.79, 70.65, 39.04, 17.12, 68.18, 63.95, 68.39, 64.33, 68.07, 10.0, 68.19, 52.07, 65.43, 33.66, 33.91, 59.07, 68.11, 45.07, 23.36, 57.37, 62.68]}
gen:3{ accuracy:[69.9, 69.51, 71.57, 70.71, 70.44, 68.17, 45.9, 71.36, 59.34, 70.64, 71.19, 63.51, 69.99, 69.59, 71.96, 63.3, 73.73, 69.32, 72.42, 71.59, 71.13, 70.01, 69.35, 70.44, 70.31, 73.18, 72.18, 71.12, 68.31, 71.83, 67.95, 67.21, 62.43, 69.24, 69.13, 71.97, 71.09, 62.92, 29.06, 69.58, 64.48, 69.93, 64.56, 70.81, 70.5, 69.27, 70.17, 69.25, 64.51, 55.95, 45.37, 44.49, 60.99, 70.04, 64.2, 33.35, 70.77, 71.94, 69.89, 63.07, 49.5, 68.98, 68.38, 67.76, 49.71, 70.58, 71.53, 30.86, 69.77, 70.93, 54.28, 69.5, 70.13, 68.72, 72.03]}
gen:4{ accuracy:[70.34, 69.55, 69.47, 53.66, 65.08, 69.54, 62.73, 72.31, 67.62, 68.87, 56.83, 74.56, 69.31, 71.82, 71.2, 60.83, 67.54, 74.91, 73.33, 74.49, 71.49, 68.3, 69.98, 66.36, 72.83, 60.23, 69.41, 71.09, 70.76, 61.81, 22.62, 69.52, 40.03, 74.26, 69.69, 58.74, 71.58, 61.09, 71.78, 74.26, 75.05, 67.44, 76.11, 66.69, 69.38, 70.8, 65.32, 70.37, 65.52, 70.78, 70.54, 60.88, 70.28, 32.68, 42.6, 70.95, 53.4, 68.88, 71.56, 71.02, 66.04, 63.82, 66.4, 70.61, 66.2, 70.02, 35.85, 70.75, 71.81, 33.96, 69.69, 23.66, 70.88, 64.37, 70.27]}
gen:5{ accuracy:[55.57, 71.78, 70.59, 73.74, 74.43, 75.8, 70.89, 70.18, 75.36, 72.15, 77.63, 75.37, 76.18, 75.98, 76.42, 74.36, 17.08, 76.22, 51.52, 75.46, 75.55, 73.86, 71.84, 69.89, 74.91, 62.07, 56.03, 70.55, 62.75, 63.73, 74.66, 63.79, 69.15, 63.58, 67.68, 52.22, 74.81, 75.2, 69.21, 32.67, 51.58, 68.86, 75.47, 73.85, 76.03, 51.92, 74.27, 59.48, 55.27, 75.27, 58.76, 56.78, 48.26, 26.42, 57.96, 64.0, 74.26, 48.75, 76.62, 56.58, 39.69, 10.0, 69.03, 68.0, 55.96, 75.77, 73.37, 73.55, 51.79, 66.24, 69.44, 55.33, 74.98, 64.94, 71.51]}
gen:6{ accuracy:[68.67, 62.33, 57.51, 72.67, 76.89, 73.11, 24.27, 27.04, 75.25, 70.4, 63.21, 76.84, 76.53, 62.72, 67.5, 76.67, 74.67, 75.75, 76.2, 17.16, 75.41, 77.33, 58.34, 77.16, 76.27, 75.44, 70.49, 76.6, 59.97, 75.97, 75.9, 72.58, 75.54, 66.71, 59.98, 76.41, 66.16, 69.77, 74.06, 69.29, 63.24, 10.0, 75.95, 77.39, 68.6, 75.99, 61.97, 75.85, 77.29, 68.0, 63.75, 74.77, 70.36, 22.58, 37.73, 69.76, 69.45, 10.0, 73.37, 72.84, 77.28, 64.11, 47.69, 77.34, 75.49, 35.9, 48.43, 72.35, 39.62, 77.49, 76.09, 64.73, 50.23, 66.3, 75.69]}
gen:7{ accuracy:[32.5, 74.28, 65.33, 76.38, 73.43, 76.47, 74.64, 76.79, 74.26, 47.53, 67.74, 76.96, 51.52, 75.58, 77.05, 66.14, 10.0, 75.52, 76.86, 66.14, 76.7, 76.79, 76.78, 66.98, 60.88, 50.88, 64.74, 73.52, 74.43, 74.6, 73.29, 72.86, 77.29, 74.02, 10.0, 48.68, 66.74, 75.99, 56.94, 10.0, 76.69, 65.73, 68.84, 10.0, 72.96, 70.85, 67.3, 66.32, 66.99, 71.27, 67.46, 75.27, 72.81, 57.15, 47.76, 76.58, 67.86, 60.86, 18.12, 73.58, 63.95, 66.11, 75.46, 66.54, 70.79, 74.64, 75.55, 69.41, 52.73, 77.94, 74.58, 70.99, 30.34, 75.05, 73.89]}
gen:8{ accuracy:[47.95, 77.56, 67.29, 64.31, 71.59, 65.22, 43.5, 43.89, 69.72, 76.84, 63.47, 74.58, 77.01, 76.6, 64.55, 72.87, 64.74, 78.07, 71.56, 66.85, 65.57, 76.82, 64.53, 52.53, 64.4, 71.59, 66.35, 35.57, 71.52, 66.06, 65.42, 63.99, 77.2, 64.07, 68.27, 65.83, 70.45, 75.19, 72.44, 60.22, 72.54, 71.31, 75.92, 62.18, 51.35, 76.27, 67.15, 58.61, 67.59, 63.89, 70.74, 54.79, 63.95, 63.95, 78.5, 58.82, 69.83, 60.91, 69.59, 56.7, 68.12, 74.75, 46.68, 55.29, 73.86, 75.66, 74.08, 69.21, 65.13, 72.18, 72.27, 51.76, 60.95, 73.02, 63.89]}
gen:9{ accuracy:[73.54, 76.75, 69.81, 50.16, 74.85, 70.21, 69.84, 46.66, 59.35, 75.47, 73.75, 64.71, 10.0, 76.27, 63.35, 71.14, 78.12, 72.65, 78.85, 60.84, 74.04, 76.21, 59.89, 72.9, 75.14, 45.76, 74.79, 10.0, 70.07, 46.69, 75.69, 58.55, 60.44, 63.78, 74.29, 72.55, 60.26, 59.28, 67.83, 75.88, 75.17, 73.43, 73.24, 72.72, 72.99, 76.64, 72.49, 63.47, 10.0, 18.81, 10.0, 75.15, 73.88, 59.11, 59.95, 54.15, 53.36, 76.57, 52.77, 59.15, 69.76, 65.92, 76.88, 68.39, 73.83, 59.75, 10.0, 44.51, 70.03, 66.84, 55.99, 74.33, 70.2, 71.41, 74.2]}
