gen:0{ accuracy:[44.66, 69.61, 37.85, 64.68, 66.18, 59.6, 60.61, 42.03, 50.3, 45.07, 68.74, 67.9, 39.73, 32.84, 62.98, 61.58, 53.86, 60.68, 55.88, 64.32, 67.82, 50.91, 46.93, 53.38, 49.2, 52.39, 69.79, 54.31, 40.55, 19.15, 38.11, 53.31, 46.07, 41.96, 64.1, 67.06, 55.63, 71.04, 57.89, 35.67, 56.64, 44.07, 53.49, 59.66, 55.74, 57.01, 27.93, 66.22, 43.87, 48.29, 59.98, 39.64, 71.35, 32.93, 45.96, 50.08, 36.94, 31.69, 39.97, 47.74, 42.65, 52.54, 56.43, 66.41, 32.43, 65.38, 73.73, 25.62, 68.81, 69.43, 61.36, 65.19, 25.29, 37.36, 41.57]}
gen:1{ accuracy:[56.09, 70.83, 71.37, 54.73, 69.51, 53.98, 71.66, 39.23, 58.29, 32.29, 17.47, 71.28, 55.64, 72.81, 69.24, 36.32, 65.65, 47.36, 50.0, 29.17, 69.85, 71.56, 71.41, 70.17, 70.17, 56.37, 70.8, 58.45, 42.12, 58.73, 56.71, 67.51, 48.14, 70.12, 49.37, 57.64, 66.88, 58.4, 66.9, 43.12, 57.26, 54.99, 16.83, 71.94, 70.99, 69.32, 53.9, 32.43, 68.59, 45.26, 25.2, 27.16, 70.19, 69.9, 18.65, 14.19, 48.31, 72.07, 59.98, 64.26, 28.67, 70.69, 64.83, 56.38, 54.09, 71.58, 70.75, 71.48, 38.7, 44.57, 69.88, 54.78, 57.55, 30.92, 34.14]}
gen:2{ accuracy:[72.53, 70.82, 71.0, 70.31, 71.65, 73.01, 71.39, 69.72, 66.81, 71.91, 62.53, 70.23, 65.9, 72.33, 73.34, 68.87, 71.83, 73.03, 33.61, 67.37, 73.39, 70.7, 66.17, 72.08, 71.15, 65.56, 72.52, 72.65, 47.75, 69.58, 67.24, 70.6, 69.6, 72.61, 62.63, 68.92, 68.49, 59.1, 72.04, 36.79, 57.22, 64.75, 52.54, 65.78, 67.87, 71.42, 67.39, 64.17, 71.69, 67.5, 59.94, 66.0, 72.18, 72.12, 27.77, 31.96, 67.5, 26.28, 68.88, 72.21, 64.62, 38.81, 70.51, 10.0, 71.74, 71.92, 64.62, 71.83, 70.41, 71.37, 70.25, 38.81, 44.57, 69.9, 66.83]}
gen:3{ accuracy:[70.27, 71.31, 71.9, 65.4, 70.91, 68.66, 70.46, 71.75, 72.09, 70.55, 72.48, 72.16, 76.06, 59.33, 74.02, 64.54, 55.05, 40.42, 71.45, 71.6, 72.6, 40.0, 44.08, 43.17, 52.57, 64.02, 46.03, 65.16, 10.0, 62.06, 72.35, 57.98, 70.96, 45.66, 69.96, 68.57, 50.31, 35.72, 59.92, 66.08, 70.98, 51.99, 69.6, 44.56, 64.95, 55.19, 72.31, 65.3, 52.51, 49.55, 73.87, 45.7, 42.21, 70.64, 15.84, 10.0, 72.49, 70.3, 72.83, 23.52, 70.05, 75.93, 32.05, 66.5, 72.95, 43.67, 72.35, 67.19, 72.89, 66.13, 70.02, 71.65, 23.91, 60.81, 72.69]}
gen:4{ accuracy:[49.63, 34.8, 70.42, 54.69, 70.7, 59.77, 74.15, 76.31, 66.55, 25.31, 64.43, 10.0, 40.59, 48.47, 72.41, 46.58, 73.78, 56.03, 76.25, 75.95, 50.86, 72.93, 10.0, 43.28, 68.54, 73.26, 67.14, 10.0, 71.73, 61.25, 59.33, 72.1, 69.93, 26.76, 40.45, 73.27, 78.73, 70.09, 68.99, 41.63, 18.36, 70.25, 64.07, 57.15, 63.16, 43.04, 60.34, 60.25, 72.2, 37.85, 71.16, 72.54, 74.75, 55.84, 65.03, 38.45, 68.4, 53.3, 71.16, 45.68, 72.96, 69.7, 47.07, 76.21, 58.57, 61.02, 39.88, 76.72, 71.09, 26.07, 70.94, 62.59, 69.04, 76.97, 67.14]}
gen:5{ accuracy:[72.32, 76.36, 17.46, 46.35, 55.26, 77.12, 43.29, 70.45, 38.5, 40.35, 32.89, 68.81, 76.91, 62.44, 32.22, 10.0, 64.7, 71.16, 73.53, 59.99, 71.41, 40.0, 72.95, 65.39, 10.0, 32.38, 75.52, 77.54, 53.56, 49.41, 61.68, 50.18, 69.37, 75.76, 16.27, 49.32, 51.77, 68.34, 76.48, 47.33, 65.13, 45.93, 55.37, 67.19, 71.56, 76.95, 72.37, 41.0, 72.97, 71.31, 68.89, 35.19, 48.64, 10.0, 18.02, 69.0, 71.84, 54.68, 65.23, 69.74, 49.64, 70.66, 65.96, 35.83, 10.0, 76.06, 10.0, 71.34, 18.22, 57.58, 66.29, 71.13, 10.0, 61.4, 75.87]}
gen:6{ accuracy:[77.37, 77.11, 72.09, 75.46, 76.97, 75.67, 75.44, 45.61, 77.35, 64.67, 76.97, 76.33, 75.7, 76.42, 75.84, 77.34, 74.22, 77.32, 75.19, 77.7, 76.7, 71.25, 76.91, 18.73, 52.65, 75.52, 76.13, 77.16, 68.24, 44.76, 38.72, 52.34, 74.08, 73.2, 22.09, 10.0, 68.51, 71.66, 31.62, 77.27, 40.49, 73.43, 77.48, 63.22, 72.96, 63.66, 64.33, 55.15, 63.03, 68.84, 71.1, 69.01, 60.92, 25.73, 75.42, 70.71, 35.13, 49.42, 10.0, 26.39, 46.59, 77.44, 77.41, 77.3, 73.16, 61.54, 77.67, 76.59, 69.67, 74.92, 76.49, 76.67, 62.35, 71.84, 55.43]}
gen:7{ accuracy:[40.21, 76.81, 75.17, 76.74, 25.65, 32.75, 76.73, 76.71, 75.62, 61.66, 77.63, 53.89, 10.0, 63.8, 77.25, 78.81, 77.67, 18.21, 77.67, 77.75, 76.35, 76.59, 10.0, 72.47, 76.96, 76.45, 63.67, 44.46, 76.62, 31.44, 75.56, 77.49, 73.78, 75.78, 42.63, 68.64, 74.58, 59.93, 73.14, 76.49, 71.57, 76.33, 77.51, 76.6, 42.46, 77.21, 63.38, 76.19, 10.0, 10.0, 73.32, 76.79, 74.71, 75.11, 71.2, 69.15, 10.0, 69.86, 74.78, 78.85, 77.37, 18.13, 76.88, 65.47, 77.25, 75.61, 17.23, 58.0, 76.64, 77.19, 10.0, 27.06, 75.69, 10.0, 75.53]}
gen:8{ accuracy:[63.69, 74.24, 69.53, 77.93, 76.72, 74.31, 74.63, 72.9, 18.26, 75.39, 22.22, 52.83, 28.77, 78.48, 50.93, 77.41, 69.34, 76.02, 75.99, 54.22, 73.34, 78.19, 66.74, 71.62, 76.17, 77.83, 78.5, 49.05, 77.15, 45.14, 16.7, 68.83, 49.93, 76.59, 10.0, 65.34, 62.41, 34.67, 77.04, 74.08, 72.93, 77.33, 34.9, 78.08, 42.38, 76.74, 73.3, 75.54, 77.19, 75.4, 51.84, 52.3, 75.34, 75.95, 17.21, 46.09, 46.14, 10.0, 71.26, 73.77, 18.02, 10.0, 50.07, 74.31, 43.15, 76.68, 51.12, 72.96, 76.01, 78.86, 62.36, 74.42, 68.42, 73.77, 75.24]}
gen:9{ accuracy:[69.1, 47.56, 38.33, 59.65, 76.49, 52.85, 33.01, 41.41, 36.7, 78.0, 65.97, 76.44, 60.57, 77.2, 67.44, 65.14, 40.11, 78.15, 52.0, 36.97, 78.53, 69.12, 67.99, 46.93, 78.67, 67.39, 59.93, 68.01, 63.79, 42.35, 47.91, 78.25, 67.21, 72.67, 49.41, 65.89, 52.2, 53.12, 44.12, 43.37, 47.44, 55.58, 68.93, 77.24, 31.51, 65.57, 77.62, 66.57, 51.64, 45.36, 73.67, 64.11, 62.89, 64.26, 37.02, 73.26, 77.15, 74.83, 61.18, 32.86, 65.02, 76.56, 73.09, 64.85, 78.13, 48.07, 37.85, 61.49, 78.18, 69.0, 36.51, 70.57, 57.98, 54.17, 47.69]}
