gen:19{ accuracy:[62.06, 71.1, 47.72, 10.0, 70.62, 40.86, 76.78, 50.89, 52.64, 63.0, 72.95, 77.44, 77.69, 66.07, 51.23, 32.62, 78.08, 71.4, 47.87, 78.48, 79.2, 42.71, 64.68, 77.43, 47.11, 39.56, 79.68, 69.34, 65.51, 34.8, 38.65, 45.2, 38.67, 77.52, 65.22, 38.96, 27.81, 38.21, 78.74, 55.91, 77.88, 78.7, 32.17, 78.28, 10.0, 70.46, 21.28, 26.86, 24.63, 65.24, 49.15, 49.95, 57.61, 68.18, 78.8, 58.27, 16.72, 78.42, 38.17, 78.58, 66.52, 74.7, 15.27, 66.12, 67.83, 73.34, 58.64, 30.58, 17.73, 70.47, 78.79, 24.7, 52.64, 76.72, 44.05]}
gen:20{ accuracy:[77.54, 75.79, 52.99, 68.91, 56.14, 73.8, 48.03, 24.67, 78.51, 79.01, 64.72, 21.64, 63.22, 63.01, 50.49, 28.91, 66.61, 76.53, 76.0, 71.66, 44.36, 78.73, 75.35, 44.68, 59.41, 51.31, 64.14, 79.35, 43.52, 68.98, 62.1, 75.18, 78.28, 59.57, 73.11, 52.36, 70.9, 29.87, 69.47, 14.8, 78.53, 78.31, 67.62, 78.35, 55.3, 49.37, 52.5, 57.42, 74.26, 40.18, 63.39, 68.19, 77.34, 10.0, 24.55, 54.63, 74.61, 71.73, 63.64, 67.89, 51.44, 78.56, 69.21, 78.65, 51.07, 49.82, 54.23, 26.33, 25.27, 65.13, 77.23, 63.26, 56.41, 69.2, 79.07]}
gen:21{ accuracy:[69.09, 74.95, 59.72, 48.97, 77.33, 47.05, 65.79, 76.72, 78.05, 61.7, 65.43, 77.57, 44.64, 43.65, 78.61, 69.04, 69.17, 64.82, 57.22, 57.41, 78.3, 54.97, 10.0, 63.56, 65.87, 77.55, 25.56, 68.05, 64.88, 71.03, 48.25, 69.44, 51.65, 55.18, 45.41, 47.12, 77.71, 56.82, 72.98, 67.78, 75.65, 44.45, 44.36, 42.36, 17.4, 61.13, 50.17, 10.0, 75.99, 61.71, 68.15, 49.17, 70.89, 40.55, 78.58, 50.8, 40.94, 54.22, 29.46, 45.67, 10.0, 71.17, 17.22, 38.11, 51.68, 65.66, 73.55, 54.76, 32.0, 78.02, 47.21, 61.35, 78.0, 10.0, 56.06]}
gen:22{ accuracy:[75.17, 72.41, 57.92, 53.03, 68.14, 77.7, 37.19, 49.98, 10.0, 71.51, 10.0, 67.87, 77.88, 66.75, 67.29, 78.2, 77.3, 77.7, 66.54, 78.36, 78.7, 65.37, 64.54, 76.98, 69.95, 28.89, 10.0, 65.19, 10.0, 67.43, 78.96, 10.0, 78.69, 52.21, 10.0, 77.38, 18.39, 77.33, 78.02, 67.73, 10.0, 10.0, 66.84, 74.03, 79.43, 66.61, 67.46, 38.09, 36.13, 66.86, 73.51, 63.32, 71.32, 78.8, 77.77, 75.46, 69.46, 50.37, 17.07, 76.96, 62.36, 61.12, 72.32, 77.02, 77.79, 79.03, 10.0, 54.12, 11.96, 77.56, 71.98, 65.06, 77.16, 74.34, 77.49]}
gen:23{ accuracy:[39.37, 78.38, 34.2, 53.6, 72.86, 49.47, 74.46, 39.44, 57.94, 78.18, 78.76, 75.32, 79.54, 64.07, 78.12, 78.11, 66.91, 78.04, 25.69, 79.06, 74.99, 59.1, 72.85, 61.54, 48.97, 69.56, 78.78, 76.82, 76.05, 28.32, 69.06, 17.3, 79.02, 51.75, 64.03, 38.96, 58.44, 79.53, 57.03, 72.17, 51.79, 75.17, 43.24, 78.29, 78.5, 73.93, 46.17, 73.42, 65.6, 76.49, 77.22, 63.82, 48.48, 72.96, 78.72, 74.95, 78.19, 50.39, 66.4, 77.94, 78.71, 70.4, 77.96, 78.56, 77.27, 77.6, 65.02, 56.79, 43.59, 76.57, 54.67, 64.92, 76.44, 27.85, 41.17]}
gen:24{ accuracy:[74.02, 72.61, 48.27, 31.33, 54.72, 78.83, 66.47, 51.38, 30.52, 45.2, 55.13, 78.97, 50.95, 47.07, 29.12, 78.52, 52.18, 10.0, 16.96, 78.92, 78.72, 10.0, 63.41, 59.41, 78.97, 20.74, 41.39, 78.22, 77.54, 78.56, 33.76, 74.8, 51.1, 51.07, 51.64, 47.28, 50.87, 61.74, 70.52, 14.36, 50.51, 50.97, 78.86, 41.07, 51.77, 52.56, 28.68, 71.01, 47.2, 52.19, 78.26, 60.33, 50.63, 46.62, 71.69, 70.18, 31.23, 29.97, 49.73, 10.0, 50.78, 30.06, 78.09, 42.59, 57.33, 50.54, 77.08, 69.96, 47.56, 78.58, 78.11, 78.39, 50.67, 65.81, 73.82]}
gen:25{ accuracy:[36.6, 75.1, 68.51, 78.57, 35.45, 65.64, 68.19, 72.72, 78.75, 78.61, 79.01, 48.31, 40.35, 68.14, 68.35, 10.0, 10.0, 78.87, 39.62, 77.74, 78.58, 35.86, 43.63, 78.9, 67.68, 77.6, 44.02, 58.05, 10.03, 52.84, 50.62, 66.46, 79.36, 34.83, 33.17, 68.21, 48.33, 78.46, 73.72, 10.0, 50.51, 70.43, 72.13, 78.15, 10.0, 70.68, 43.2, 78.57, 48.37, 32.32, 70.72, 43.02, 18.38, 34.39, 79.0, 37.76, 39.76, 70.91, 47.68, 78.63, 77.76, 39.7, 10.0, 68.31, 78.05, 71.62, 68.59, 51.43, 75.9, 18.24, 78.82, 40.56, 45.68, 38.5, 26.24]}
gen:26{ accuracy:[26.7, 50.84, 75.74, 63.98, 17.48, 78.16, 10.0, 74.33, 78.25, 75.49, 38.87, 75.49, 47.95, 71.77, 78.95, 52.54, 50.31, 75.36, 10.0, 72.17, 78.44, 66.81, 67.67, 69.27, 68.8, 37.18, 78.06, 73.11, 29.86, 71.51, 60.44, 52.08, 52.96, 34.61, 10.0, 73.78, 78.3, 51.57, 47.52, 72.11, 77.87, 10.0, 78.93, 77.51, 10.0, 66.72, 52.19, 76.97, 30.0, 49.79, 68.5, 18.1, 77.37, 78.93, 29.23, 31.4, 74.55, 70.37, 10.0, 55.98, 54.51, 78.28, 66.33, 10.0, 49.28, 79.07, 78.54, 70.32, 67.48, 74.47, 66.84, 62.16, 75.35, 71.5, 62.96]}
gen:27{ accuracy:[58.59, 73.35, 41.3, 79.7, 10.0, 78.69, 18.29, 78.92, 58.54, 73.85, 79.26, 53.05, 78.44, 80.57, 78.48, 69.72, 44.04, 77.71, 54.25, 10.0, 10.0, 25.65, 26.43, 51.24, 22.53, 77.1, 78.31, 34.9, 27.77, 44.61, 56.56, 18.41, 72.83, 77.87, 74.84, 78.94, 78.0, 52.08, 25.38, 58.67, 25.96, 77.94, 78.32, 58.36, 72.41, 42.7, 57.74, 48.48, 42.99, 78.77, 33.85, 64.42, 78.21, 51.17, 41.07, 45.83, 76.16, 77.93, 78.95, 58.16, 58.05, 45.61, 41.62, 54.69, 54.54, 78.56, 18.28, 79.22, 79.7, 39.23, 38.61, 50.85, 18.99, 78.76, 51.45]}
gen:28{ accuracy:[39.0, 27.59, 24.3, 79.09, 67.85, 73.61, 16.94, 50.58, 69.46, 16.59, 78.2, 47.03, 36.5, 70.46, 61.61, 78.63, 77.08, 46.42, 71.07, 62.02, 77.92, 65.72, 58.36, 64.82, 78.42, 74.49, 64.28, 54.52, 14.97, 10.0, 65.76, 73.06, 78.6, 58.38, 78.7, 77.89, 41.11, 69.11, 77.7, 10.0, 76.49, 78.13, 57.47, 34.62, 62.59, 77.75, 49.83, 79.14, 39.41, 80.46, 10.0, 77.67, 78.12, 78.62, 57.5, 67.3, 79.5, 78.47, 77.49, 73.73, 71.47, 41.63, 65.1, 58.15, 79.17, 78.52, 51.64, 78.53, 78.61, 56.86, 73.06, 61.84, 23.55, 63.17, 74.49]}
