gen:0{ accuracy:[37.46, 49.1, 64.78, 52.51, 55.17, 56.09, 52.51, 24.8, 32.33, 55.66, 63.05, 40.06, 59.01, 56.33, 46.88, 45.49, 30.14, 38.52, 37.06, 62.3, 38.74, 49.36, 36.97, 68.18, 40.88, 57.29, 71.32, 71.84, 67.11, 36.77, 45.35, 55.48, 56.1, 57.98, 53.84, 56.03, 53.92, 51.07, 62.98, 65.37, 29.37, 49.32, 48.5, 42.04, 49.06, 30.94, 32.29, 49.34, 69.24, 53.73, 66.76, 64.64, 56.51, 28.02, 66.33, 45.26, 41.42, 35.97, 30.7, 57.38, 41.77, 29.79, 41.84, 31.62, 49.72, 23.57, 57.83, 32.18, 27.68, 50.6, 37.16, 42.22, 65.03, 66.04, 51.59]}
gen:1{ accuracy:[68.34, 10.2, 65.62, 61.6, 14.97, 66.67, 25.88, 66.95, 32.56, 10.0, 45.1, 46.78, 44.28, 47.38, 59.45, 40.87, 66.06, 47.0, 66.91, 23.7, 38.08, 49.23, 59.99, 66.39, 40.25, 65.61, 20.46, 60.41, 50.26, 41.41, 66.83, 57.91, 48.53, 69.99, 41.47, 46.58, 66.49, 66.66, 10.01, 17.85, 65.22, 59.94, 47.6, 10.21, 16.01, 60.4, 32.44, 66.08, 47.6, 51.59, 36.19, 66.23, 35.93, 57.75, 46.0, 49.76, 55.17, 44.42, 60.12, 45.57, 64.02, 60.33, 44.15, 65.07, 46.8, 35.18, 47.03, 62.16, 31.48, 54.26, 48.52, 31.78, 34.86, 66.2, 33.6]}
gen:2{ accuracy:[66.17, 57.6, 54.89, 66.48, 58.54, 65.52, 66.05, 65.95, 49.36, 67.03, 66.43, 65.38, 65.43, 49.95, 50.07, 66.66, 67.91, 65.85, 65.85, 60.48, 60.97, 65.65, 66.62, 63.89, 51.49, 67.43, 65.75, 65.58, 65.85, 65.89, 60.35, 65.03, 65.3, 66.46, 42.26, 64.7, 66.0, 43.04, 66.23, 66.03, 65.99, 59.99, 61.46, 66.42, 66.3, 50.53, 61.82, 65.74, 61.56, 59.84, 66.42, 67.21, 59.79, 65.82, 66.38, 64.44, 35.66, 53.03, 65.68, 31.18, 66.85, 64.86, 59.86, 65.6, 66.53, 66.02, 65.73, 65.05, 67.26, 65.4, 60.99, 62.12, 66.81, 65.37, 68.32]}
gen:3{ accuracy:[58.06, 66.49, 66.96, 64.76, 64.05, 52.29, 24.92, 60.0, 23.23, 67.23, 60.78, 59.76, 47.85, 67.69, 62.4, 60.19, 54.18, 14.32, 66.77, 58.76, 66.42, 65.97, 66.73, 66.48, 62.91, 63.4, 66.41, 66.12, 60.35, 46.69, 61.24, 66.65, 31.93, 66.41, 67.05, 65.6, 36.76, 35.24, 66.2, 66.71, 66.02, 58.88, 66.57, 67.04, 42.79, 66.99, 66.6, 43.61, 66.12, 10.0, 53.91, 23.56, 60.76, 10.0, 36.59, 67.02, 66.97, 66.15, 58.08, 61.95, 60.54, 65.54, 67.71, 10.0, 65.84, 66.19, 10.0, 66.58, 66.38, 55.01, 66.35, 66.9, 58.25, 34.86, 45.79]}
gen:4{ accuracy:[45.34, 38.65, 46.08, 58.41, 10.0, 23.3, 43.0, 48.18, 54.27, 67.17, 67.13, 24.52, 67.38, 52.37, 28.72, 64.57, 67.29, 46.08, 63.91, 42.15, 65.6, 64.89, 65.07, 49.37, 46.92, 64.6, 67.49, 29.83, 64.94, 52.54, 58.59, 61.66, 64.36, 61.78, 68.08, 22.67, 64.84, 35.26, 60.04, 66.42, 63.47, 67.3, 60.14, 35.44, 62.8, 44.85, 40.0, 20.52, 53.7, 62.93, 40.11, 67.77, 51.65, 64.08, 66.6, 51.01, 63.57, 10.0, 68.28, 66.71, 61.58, 62.76, 16.5, 65.6, 67.39, 51.76, 67.16, 63.04, 67.35, 63.84, 65.73, 65.76, 64.3, 10.0, 63.99]}
gen:5{ accuracy:[68.06, 66.95, 68.01, 66.88, 67.4, 68.37, 66.6, 67.66, 54.87, 68.08, 66.37, 67.94, 66.9, 16.72, 67.67, 67.62, 67.02, 60.41, 68.74, 67.76, 67.18, 66.84, 67.89, 67.35, 68.13, 68.19, 36.58, 67.34, 67.91, 49.96, 68.09, 67.64, 65.85, 66.84, 57.34, 16.33, 67.14, 67.21, 66.44, 67.9, 67.79, 67.62, 68.14, 67.07, 67.63, 67.4, 66.81, 65.36, 68.3, 67.43, 60.29, 67.71, 29.57, 67.24, 66.74, 55.52, 66.67, 15.73, 67.0, 67.86, 68.25, 65.05, 68.51, 67.66, 68.12, 66.13, 66.67, 67.68, 68.06, 66.71, 65.71, 67.41, 67.75, 68.37, 56.08]}
gen:6{ accuracy:[50.02, 68.43, 52.7, 51.32, 61.39, 67.29, 51.42, 49.83, 35.69, 52.5, 52.14, 47.81, 56.76, 60.94, 62.64, 67.71, 64.05, 66.0, 66.94, 48.79, 63.81, 67.04, 67.55, 60.96, 51.72, 53.62, 62.94, 36.45, 59.96, 64.23, 52.38, 60.34, 45.54, 51.95, 35.27, 58.47, 68.63, 68.14, 60.66, 32.88, 61.78, 41.7, 55.23, 60.13, 59.32, 67.55, 66.69, 10.0, 66.97, 59.42, 51.12, 59.17, 61.33, 66.91, 66.09, 68.68, 60.46, 67.05, 67.76, 62.2, 51.31, 51.62, 60.71, 56.28, 67.5, 60.5, 35.06, 69.2, 61.21, 50.07, 67.73, 67.24, 52.61, 60.26, 35.65]}
gen:7{ accuracy:[67.22, 67.97, 68.24, 16.88, 27.68, 68.42, 66.9, 68.16, 52.21, 65.4, 67.18, 68.26, 54.85, 68.13, 68.49, 20.95, 68.64, 68.57, 63.36, 67.93, 59.46, 67.68, 64.27, 67.85, 67.8, 51.78, 58.14, 68.47, 50.8, 68.02, 61.71, 66.7, 68.29, 67.0, 53.1, 68.44, 69.1, 66.7, 67.91, 52.12, 68.02, 68.25, 22.85, 58.77, 67.95, 67.88, 67.63, 58.04, 60.37, 68.09, 67.59, 68.16, 49.96, 61.81, 67.43, 67.49, 65.99, 67.45, 67.84, 50.38, 67.58, 68.51, 52.31, 68.16, 57.95, 68.44, 66.84, 68.01, 68.66, 58.58, 68.24, 68.05, 64.37, 67.98, 59.02]}
gen:8{ accuracy:[69.7, 65.22, 51.64, 68.5, 64.77, 64.47, 63.71, 68.53, 66.92, 64.31, 68.46, 67.97, 17.11, 66.88, 68.38, 50.96, 30.19, 62.08, 67.71, 70.04, 67.86, 68.53, 68.48, 66.71, 13.48, 67.47, 29.28, 66.54, 68.48, 51.37, 67.84, 51.6, 30.5, 67.56, 51.38, 52.61, 62.58, 67.3, 31.66, 51.43, 68.88, 43.84, 67.44, 64.07, 67.83, 66.79, 67.96, 51.49, 66.97, 50.16, 16.57, 67.29, 64.5, 67.44, 65.76, 68.32, 68.3, 50.73, 67.08, 68.5, 66.24, 68.69, 67.46, 69.47, 68.15, 69.02, 68.53, 69.32, 67.88, 50.89, 50.48, 65.88, 67.53, 68.18, 66.89]}
gen:9{ accuracy:[51.83, 47.02, 68.73, 68.08, 37.58, 66.99, 67.63, 68.14, 69.04, 52.8, 38.77, 51.8, 61.01, 68.04, 53.2, 61.49, 55.85, 47.31, 69.97, 60.84, 58.46, 69.96, 63.02, 62.27, 69.93, 48.9, 70.69, 67.93, 68.11, 62.58, 48.05, 61.13, 52.44, 68.77, 59.41, 48.92, 70.56, 67.13, 51.59, 63.88, 52.49, 60.58, 60.39, 68.05, 68.09, 67.23, 50.15, 48.91, 68.59, 55.36, 48.2, 61.13, 70.23, 69.2, 67.63, 69.55, 52.55, 68.34, 68.98, 69.5, 68.22, 44.46, 67.49, 60.87, 52.49, 69.0, 68.26, 68.24, 68.91, 45.26, 67.34, 61.53, 49.45, 61.27, 49.8]}
