gen:0{ accuracy:[47.46, 67.89, 22.87, 43.12, 10.0, 40.67, 42.48, 10.0, 57.6, 31.1, 10.0, 30.69, 28.09, 25.23, 24.85, 10.0, 39.02, 10.0, 10.0, 36.88, 58.24, 10.0, 27.35, 18.41, 61.46, 35.06, 43.62, 67.86, 25.14, 10.0, 66.87, 40.18, 51.39, 45.11, 10.0, 26.07, 65.56, 68.59, 10.0, 10.0, 54.98, 31.7, 65.86, 39.54, 16.06, 10.0, 10.0, 68.52, 53.63, 55.01, 63.64, 37.99, 10.0, 10.0, 59.86, 10.0, 74.03, 38.95, 52.72, 10.0, 70.64, 10.0, 10.0, 10.0, 10.0, 56.88, 51.19, 65.28, 10.0, 51.29, 31.9, 10.0, 17.44, 41.12, 10.0, 66.13, 64.19, 17.65, 67.35, 20.56]}
gen:1{ accuracy:[75.22, 30.11, 21.92, 39.4, 68.95, 70.34, 65.74, 56.79, 47.65, 64.05, 10.0, 50.19, 29.78, 58.52, 52.09, 63.98, 67.5, 68.11, 58.12, 62.54, 67.3, 60.38, 10.0, 71.71, 26.38, 66.81, 53.06, 63.07, 30.14, 63.24, 65.53, 38.43, 17.69, 24.32, 64.0, 43.19, 64.32, 61.35, 52.15, 46.75, 17.52, 34.54, 40.67, 42.9, 72.83, 64.54, 15.09, 55.97, 33.42, 10.0, 43.34, 43.46, 62.04, 21.78, 48.03, 67.37, 47.96, 51.98, 52.45, 60.09, 18.22, 39.12, 65.46, 73.21, 26.24, 23.05, 17.09, 35.8, 59.25, 62.21, 37.38, 66.93, 65.77, 44.27, 48.57, 62.62, 39.78, 67.09, 67.76, 63.09]}
gen:2{ accuracy:[17.35, 25.46, 61.16, 40.82, 61.75, 48.99, 50.43, 62.96, 56.57, 50.33, 47.04, 48.35, 62.26, 55.19, 34.95, 48.05, 50.51, 71.65, 46.51, 61.24, 69.32, 71.45, 58.32, 10.0, 69.22, 47.56, 73.0, 16.77, 65.2, 45.57, 36.82, 48.77, 49.42, 59.28, 48.92, 48.88, 50.45, 10.0, 52.18, 41.1, 60.56, 67.3, 57.48, 33.9, 40.49, 53.8, 10.0, 46.17, 49.82, 49.01, 46.6, 44.21, 63.9, 52.3, 37.8, 64.47, 49.16, 71.23, 61.27, 51.36, 52.48, 66.5, 55.97, 31.9, 51.65, 72.79, 10.0, 63.55, 57.69, 25.99, 53.21, 44.32, 66.15, 62.4, 49.16, 51.84, 46.92, 26.17, 60.39, 59.91]}
gen:3{ accuracy:[68.24, 24.33, 71.18, 68.62, 55.82, 61.71, 25.73, 58.64, 38.77, 47.4, 10.0, 70.77, 69.96, 10.0, 49.54, 61.11, 73.27, 71.84, 70.88, 40.18, 36.93, 68.55, 69.57, 69.49, 53.65, 64.77, 41.77, 66.38, 29.57, 68.39, 52.71, 40.99, 30.94, 70.94, 53.44, 50.35, 72.75, 70.74, 68.64, 39.7, 34.5, 69.93, 19.48, 71.92, 50.02, 57.88, 62.99, 25.7, 63.87, 65.99, 52.86, 71.66, 17.91, 64.98, 33.76, 48.01, 72.89, 73.57, 32.02, 68.85, 69.63, 10.0, 40.74, 70.9, 68.68, 38.96, 62.8, 37.47, 56.13, 58.52, 50.8, 58.41, 23.07, 69.17, 50.73, 60.11, 72.7, 65.81, 72.58, 49.54]}
gen:4{ accuracy:[40.2, 64.45, 48.07, 69.4, 64.5, 66.19, 48.87, 10.0, 60.28, 52.86, 72.03, 67.86, 66.73, 74.0, 70.65, 62.97, 72.83, 51.97, 70.58, 34.35, 62.56, 65.8, 65.63, 68.14, 63.96, 52.34, 15.64, 45.83, 41.19, 55.32, 71.57, 67.3, 74.54, 50.69, 43.11, 52.4, 53.24, 45.91, 67.22, 66.1, 71.37, 60.17, 70.68, 68.73, 73.0, 48.67, 52.41, 56.08, 55.92, 67.69, 71.61, 70.36, 67.41, 56.67, 38.6, 71.62, 73.49, 73.62, 30.83, 58.48, 54.09, 71.43, 16.61, 36.13, 73.4, 68.98, 59.06, 52.64, 68.37, 55.4, 70.54, 67.77, 74.29, 51.61, 48.83, 70.81, 52.7, 73.02, 51.81, 39.9]}
gen:5{ accuracy:[52.97, 73.54, 73.77, 71.75, 72.01, 70.87, 28.54, 51.37, 73.52, 73.88, 73.88, 72.79, 72.67, 72.59, 73.71, 40.12, 73.43, 74.14, 73.72, 51.62, 53.13, 73.36, 70.78, 46.33, 61.09, 51.78, 72.39, 16.33, 39.66, 72.96, 70.77, 72.63, 72.54, 72.23, 73.11, 73.27, 35.99, 40.31, 72.81, 73.46, 51.42, 72.79, 73.04, 73.15, 73.65, 34.29, 51.91, 48.66, 75.02, 73.1, 70.65, 74.04, 72.5, 72.71, 73.22, 73.04, 64.4, 52.63, 73.21, 72.08, 51.14, 72.27, 72.89, 71.61, 51.35, 73.1, 43.61, 65.13, 72.94, 74.0, 72.78, 72.74, 72.78, 72.85, 73.85, 73.22, 49.67, 73.21, 73.58, 73.13]}
gen:6{ accuracy:[73.89, 71.73, 58.24, 73.2, 57.84, 72.12, 62.5, 72.63, 23.23, 70.54, 74.22, 71.76, 58.67, 73.13, 30.1, 68.21, 75.02, 73.4, 72.01, 73.59, 73.84, 73.22, 48.9, 73.75, 74.5, 30.22, 63.64, 63.17, 70.83, 74.6, 75.18, 72.53, 66.78, 73.1, 73.94, 39.48, 74.33, 73.59, 73.33, 73.9, 73.64, 73.33, 65.55, 72.94, 69.1, 71.08, 73.48, 75.27, 70.67, 74.18, 64.3, 71.54, 55.6, 73.29, 73.57, 73.21, 75.23, 73.51, 71.03, 73.56, 71.29, 66.3, 63.27, 74.83, 61.06, 72.06, 72.72, 72.17, 70.88, 71.64, 72.48, 72.03, 55.43, 73.24, 73.5, 73.15, 69.22, 73.68, 55.73, 29.77]}
gen:7{ accuracy:[71.0, 61.8, 69.92, 54.54, 73.45, 67.15, 71.67, 50.22, 49.9, 61.48, 71.12, 67.88, 49.3, 73.69, 72.8, 72.4, 49.95, 74.58, 73.28, 61.11, 50.65, 51.51, 72.75, 64.17, 73.53, 50.19, 32.49, 33.35, 74.09, 69.46, 50.25, 60.1, 74.94, 44.31, 72.99, 72.28, 74.57, 74.7, 74.13, 74.04, 66.01, 72.17, 69.4, 59.04, 71.79, 52.62, 10.0, 74.6, 71.5, 73.35, 50.75, 52.53, 74.28, 47.61, 52.6, 63.82, 71.63, 74.66, 74.75, 73.67, 64.93, 73.58, 67.04, 62.07, 73.35, 10.0, 48.31, 75.17, 72.16, 66.38, 50.56, 73.72, 75.01, 36.2, 73.23, 60.59, 69.75, 73.93, 73.11, 73.28]}
gen:8{ accuracy:[72.51, 74.34, 69.02, 53.64, 53.09, 75.16, 54.83, 69.16, 69.97, 70.89, 71.36, 74.71, 60.55, 66.51, 42.42, 50.32, 48.11, 73.75, 74.78, 75.04, 72.67, 74.54, 69.7, 35.7, 52.85, 25.18, 74.25, 64.85, 72.08, 38.53, 69.55, 73.15, 63.94, 75.1, 63.99, 60.64, 55.66, 74.7, 74.45, 75.05, 74.57, 74.11, 56.92, 39.22, 52.97, 44.82, 72.2, 73.33, 72.84, 46.15, 74.06, 71.88, 69.11, 63.67, 45.92, 75.29, 52.4, 71.66, 72.25, 73.94, 74.73, 72.51, 76.06, 50.39, 53.31, 71.83, 63.61, 74.07, 71.87, 63.47, 72.69, 55.92, 58.44, 71.18, 71.7, 62.84, 73.99, 68.55, 72.82, 74.34]}
gen:9{ accuracy:[59.15, 55.88, 74.47, 74.06, 74.07, 51.59, 71.65, 50.19, 71.64, 68.64, 75.47, 75.13, 75.4, 73.16, 66.73, 68.71, 74.33, 75.31, 73.74, 74.79, 71.1, 67.36, 71.66, 75.1, 73.71, 74.23, 71.47, 68.48, 72.51, 74.2, 68.9, 74.7, 74.52, 57.47, 73.72, 74.66, 72.59, 73.54, 26.02, 74.4, 69.06, 74.64, 72.47, 56.64, 65.93, 75.38, 64.69, 74.75, 72.52, 74.85, 74.03, 74.79, 74.24, 58.82, 68.43, 71.92, 73.88, 68.04, 74.12, 66.52, 64.57, 69.28, 74.77, 75.05, 68.13, 74.86, 74.66, 71.61, 69.83, 74.19, 66.22, 74.92, 75.11, 75.09, 66.88, 74.01, 74.27, 64.09, 73.49, 75.3]}
