fully training ~ num epochs: 150 num augs: 1 feature multiplier: 2
                         fully training using augs: [

    Connections: <src.CoDeepNEAT.CDNGenomes.DAGenome object at 0x7fff7b6b74a8>
                 Nodes:["'Translate_Pixels'\n[('x_lo', '-4'), ('x_hi', '4'), ('y_lo', '-4'), ('y_hi', '4')]"]                                                                  Traversal_Dict: {0: [1, 2], 2: [1]}]
                                               epoch 1 average loss: 2.5689418283070555 accuracy: 67.94 i =  1
                            epoch 2 average loss: 1.6332246531444994 accuracy: 74.89 i =  1
                            epoch 3 average loss: 1.2805257370926812 accuracy: 78.25 i =  1
                            epoch 4 average loss: 1.0405777193291086 accuracy: 79.95 i =  1
                            epoch 5 average loss: 0.8606015539199839 accuracy: 81.17 i =  1
                            epoch 6 average loss: 0.7327410447650926 accuracy: 82.1 i =  1
                             epoch 7 average loss: 0.6283972735269885 accuracy: 82.42 i =  1
                            epoch 8 average loss: 0.548354177331497 accuracy: 83.04 i =  1
                             epoch 9 average loss: 0.4912738564606665 accuracy: 83.01 i =  1
                            epoch 10 average loss: 0.4396346747951532 accuracy: 82.97 i =  1
                           epoch 11 average loss: 0.4046820352156855 accuracy: 83.49 i =  1
                           epoch 12 average loss: 0.3685929528348119 accuracy: 83.75 i =  1
                           epoch 13 average loss: 0.350417079520859 accuracy: 82.67 i =  1
                            epoch 14 average loss: 0.3284439989073481 accuracy: 83.95 i =  1
                           epoch 15 average loss: 0.30885255020040253 accuracy: 84.04 i =  1
                          epoch 16 average loss: 0.29939033887164235 accuracy: 83.7 i =  1
                           epoch 17 average loss: 0.2850371544725153 accuracy: 83.19 i =  1
                           epoch 18 average loss: 0.27778813514319484 accuracy: 83.45 i =  1
                          epoch 19 average loss: 0.26163807785121795 accuracy: 83.63 i =  1
                          epoch 20 average loss: 0.25374185784258396 accuracy: 83.58 i =  1
                          epoch 21 average loss: 0.2511398686804402 accuracy: 83.67 i =  1
                           epoch 22 average loss: 0.23956510811929665 accuracy: 83.91 i =  1
                          epoch 23 average loss: 0.24042178011200036 accuracy: 84.93 i =  1
                          epoch 24 average loss: 0.22801466005712404 accuracy: 84.16 i =  1
                          epoch 25 average loss: 0.2206092196899477 accuracy: 84.11 i =  1
                           epoch 26 average loss: 0.22015961413194216 accuracy: 83.82 i =  1
                          epoch 27 average loss: 0.21026312184929086 accuracy: 84.02 i =  1
                          epoch 28 average loss: 0.2068396502254333 accuracy: 84.07 i =  1
                           epoch 29 average loss: 0.207561967329202 accuracy: 84.5 i =  1
                             epoch 30 average loss: 0.20715977974169233 accuracy: 83.75 i =  1
                          epoch 31 average loss: 0.19307449028830828 accuracy: 84.55 i =  1
                          epoch 32 average loss: 0.19455037836018813 accuracy: 83.99 i =  1
                          epoch 33 average loss: 0.1977322326159813 accuracy: 84.33 i =  1
                           epoch 34 average loss: 0.190859501143958 accuracy: 84.35 i =  1
                            epoch 35 average loss: 0.18477113678498092 accuracy: 84.22 i =  1
                          epoch 36 average loss: 0.18859934804438783 accuracy: 83.76 i =  1
                          epoch 37 average loss: 0.1763362464484271 accuracy: 84.2 i =  1
                            epoch 38 average loss: 0.1834181063354168 accuracy: 84.3 i =  1
                            epoch 39 average loss: 0.18788746340383947 accuracy: 84.34 i =  1
                          epoch 40 average loss: 0.1711522785710617 accuracy: 84.4 i =  1
                            epoch 41 average loss: 0.1800143085181637 accuracy: 84.54 i =  1
                           epoch 42 average loss: 0.17570377243790064 accuracy: 84.35 i =  1
                          epoch 43 average loss: 0.18312663919794422 accuracy: 84.55 i =  1
                          epoch 44 average loss: 0.17359242900709948 accuracy: 84.37 i =  1
                          epoch 45 average loss: 0.1685695777266798 accuracy: 84.34 i =  1
                           epoch 46 average loss: 0.16878616309959665 accuracy: 84.43 i =  1
                          epoch 47 average loss: 0.17509358341444317 accuracy: 84.37 i =  1
                          epoch 48 average loss: 0.17273526287681773 accuracy: 84.66 i =  1
                          epoch 49 average loss: 0.1630098312597116 accuracy: 84.62 i =  1
                           epoch 50 average loss: 0.16207812203716834 accuracy: 83.84 i =  1
                          epoch 51 average loss: 0.1683116421418291 accuracy: 84.68 i =  1
                           epoch 52 average loss: 0.16137796182962905 accuracy: 83.68 i =  1
