gen:0{ accuracy:[42.92, 51.45, 68.91, 46.84, 66.04, 40.82, 64.52, 47.47, 59.33, 63.24, 66.13, 69.42, 40.34, 66.82, 56.95, 58.53, 40.55, 67.76, 73.61, 10.0, 65.23, 71.46, 50.0, 55.08, 40.46, 48.76, 65.18, 39.18, 54.88, 53.56, 49.21, 23.6, 54.89, 62.93, 66.92, 58.18, 33.15, 45.88, 67.19, 41.81, 69.66, 68.12, 70.93, 67.75, 55.81, 39.17, 70.13, 62.73, 56.98, 70.33, 59.85, 59.37, 62.6, 38.76, 66.79, 32.67, 62.11, 48.29, 53.72, 56.48, 55.59, 20.47, 58.79, 50.17, 67.3, 68.47, 45.05, 55.17, 70.9, 68.53, 58.6, 69.92, 66.55, 53.2, 60.68]}
gen:1{ accuracy:[58.02, 69.94, 65.33, 67.84, 67.72, 55.11, 41.43, 68.3, 59.04, 68.71, 40.03, 64.79, 57.46, 57.24, 46.38, 38.43, 57.55, 68.97, 23.77, 62.85, 64.8, 41.36, 53.01, 31.78, 33.72, 47.98, 68.13, 40.57, 45.55, 69.53, 50.33, 60.85, 30.3, 52.59, 69.47, 63.94, 67.36, 69.83, 61.81, 38.07, 68.77, 57.01, 63.13, 71.76, 47.97, 56.66, 39.07, 43.36, 26.41, 65.87, 56.89, 62.83, 66.16, 24.01, 67.07, 25.64, 68.54, 40.61, 41.58, 46.41, 37.94, 54.14, 10.0, 59.79, 54.09, 25.78, 64.73, 64.8, 71.07, 40.0, 54.05, 54.24, 60.29, 54.87, 53.69]}
gen:2{ accuracy:[35.21, 69.01, 54.02, 70.76, 57.93, 31.49, 56.1, 65.01, 50.07, 71.55, 37.25, 52.84, 62.53, 47.23, 57.59, 53.85, 69.52, 53.28, 54.3, 49.09, 67.69, 38.66, 70.57, 74.16, 64.3, 70.0, 67.48, 45.24, 65.68, 60.13, 48.37, 25.97, 71.93, 46.09, 44.99, 58.16, 58.27, 30.94, 47.65, 55.59, 60.51, 61.13, 62.92, 37.12, 55.57, 41.56, 29.08, 50.82, 29.35, 63.08, 63.14, 70.32, 53.49, 55.09, 64.23, 63.07, 45.72, 34.53, 23.23, 63.06, 70.63, 44.38, 34.39, 68.24, 60.76, 35.16, 16.63, 72.19, 64.21, 44.42, 48.4, 65.76, 61.06, 68.87, 40.9]}
gen:3{ accuracy:[62.67, 70.99, 65.48, 46.69, 25.93, 66.58, 32.32, 67.98, 58.26, 70.79, 67.06, 72.63, 10.0, 10.0, 35.79, 51.78, 51.76, 48.8, 62.73, 51.0, 67.23, 53.56, 72.56, 70.94, 39.18, 52.93, 46.27, 50.01, 58.43, 57.26, 10.0, 72.99, 31.29, 53.33, 68.26, 10.0, 72.15, 32.93, 43.63, 44.21, 17.88, 69.41, 50.85, 18.88, 67.99, 63.73, 65.39, 45.47, 49.37, 57.97, 67.12, 63.86, 48.1, 43.98, 10.0, 58.5, 49.16, 62.37, 10.0, 61.76, 46.79, 33.01, 38.42, 21.13, 20.67, 65.15, 70.39, 68.98, 41.94, 36.09, 36.23, 18.29, 67.55, 37.65, 74.97]}
gen:4{ accuracy:[39.3, 25.94, 10.0, 33.97, 32.36, 71.64, 33.56, 42.18, 62.3, 62.2, 16.4, 67.52, 35.36, 68.81, 60.76, 51.92, 41.5, 67.75, 29.54, 10.0, 44.36, 52.08, 16.12, 32.25, 50.71, 58.69, 31.56, 74.59, 40.84, 40.01, 62.08, 37.94, 63.31, 23.51, 25.88, 68.54, 46.0, 67.39, 45.21, 57.0, 43.43, 16.05, 45.67, 40.52, 10.0, 18.71, 36.32, 34.46, 48.1, 52.18, 16.33, 29.32, 69.36, 16.84, 10.0, 46.53, 66.84, 57.72, 10.0, 10.0, 12.94, 66.24, 55.84, 10.0, 25.41, 71.04, 37.89, 47.7, 38.47, 57.22, 71.07, 56.02, 16.07, 27.32, 45.52]}
gen:5{ accuracy:[47.53, 46.23, 47.65, 44.5, 68.15, 58.33, 21.83, 56.92, 64.18, 50.59, 67.04, 65.5, 60.11, 64.16, 16.85, 10.0, 71.55, 44.71, 66.92, 54.92, 10.0, 64.77, 58.68, 70.08, 43.64, 70.04, 72.03, 51.48, 68.44, 24.24, 19.22, 62.19, 69.34, 71.66, 64.69, 66.29, 10.0, 67.16, 51.18, 10.0, 38.11, 67.27, 37.64, 10.0, 63.4, 34.26, 33.07, 32.91, 46.64, 74.47, 54.75, 53.99, 72.17, 69.75, 56.47, 44.55, 66.78, 64.34, 33.32, 68.34, 22.44, 56.97, 46.19, 33.49, 69.4, 63.57, 67.49, 67.58, 24.06, 55.57, 37.1, 52.8, 52.93, 24.03, 62.63]}
gen:6{ accuracy:[71.46, 59.18, 25.41, 32.59, 71.3, 72.31, 71.57, 70.49, 62.71, 49.05, 65.03, 68.13, 75.08, 69.63, 67.66, 55.65, 64.86, 67.39, 71.06, 68.06, 53.47, 71.53, 52.72, 45.15, 71.0, 56.54, 46.47, 66.79, 54.52, 68.15, 51.74, 69.04, 51.37, 63.6, 47.52, 10.0, 48.64, 54.17, 69.87, 73.09, 71.16, 66.96, 60.43, 67.85, 51.67, 65.52, 21.86, 66.9, 62.78, 71.28, 64.99, 10.0, 58.43, 50.09, 66.69, 65.2, 62.68, 57.38, 67.79, 62.76, 56.94, 72.08, 46.46, 66.54, 72.36, 56.29, 69.7, 66.97, 66.41, 50.69, 64.71, 46.01, 67.84, 59.64, 66.91]}
gen:7{ accuracy:[66.82, 68.32, 48.05, 64.63, 42.1, 45.0, 55.08, 49.32, 53.83, 65.04, 43.85, 66.28, 61.57, 20.01, 32.57, 48.39, 65.43, 67.54, 59.16, 34.0, 67.01, 58.08, 43.38, 56.89, 54.04, 39.83, 63.87, 47.42, 19.88, 55.25, 64.94, 59.49, 73.55, 64.28, 61.99, 44.91, 46.6, 44.63, 63.54, 53.04, 61.66, 74.39, 74.53, 60.29, 69.89, 64.87, 53.95, 67.44, 50.12, 48.9, 67.41, 63.1, 67.1, 27.9, 66.91, 28.42, 52.97, 66.17, 47.4, 74.93, 57.5, 72.27, 64.79, 66.76, 68.41, 63.2, 59.87, 53.06, 54.08, 68.05, 51.65, 25.12, 61.48, 42.26, 63.12]}
gen:8{ accuracy:[49.01, 47.63, 34.56, 73.28, 51.73, 47.28, 62.67, 61.27, 43.18, 23.37, 57.67, 40.77, 66.4, 10.0, 25.17, 63.15, 69.04, 74.34, 72.14, 73.42, 68.15, 51.55, 47.78, 72.32, 67.74, 47.17, 16.5, 10.0, 71.32, 10.0, 10.0, 69.61, 49.87, 35.23, 62.64, 54.01, 59.34, 72.09, 28.01, 70.96, 63.2, 62.84, 63.57, 66.51, 61.46, 52.55, 67.98, 72.26, 67.31, 69.85, 66.61, 68.92, 10.0, 66.68, 65.94, 37.18, 47.58, 47.1, 41.78, 62.19, 46.99, 69.81, 70.18, 59.87, 66.86, 69.04, 19.52, 71.75, 65.59, 75.28, 68.76, 38.37, 71.13, 67.23, 68.9]}
gen:9{ accuracy:[65.03, 62.77, 64.57, 60.01, 64.14, 72.47, 73.33, 72.12, 64.73, 71.68, 63.13, 34.2, 62.5, 73.41, 72.05, 75.55, 67.18, 64.74, 63.72, 47.3, 71.85, 65.9, 58.32, 62.03, 66.49, 61.04, 70.04, 60.21, 66.65, 74.46, 71.3, 57.39, 71.92, 51.5, 66.49, 64.93, 68.0, 60.0, 58.07, 51.31, 70.05, 69.83, 73.41, 61.55, 66.22, 70.1, 72.27, 61.54, 66.33, 69.72, 69.17, 67.98, 71.84, 71.39, 63.67, 61.76, 72.61, 54.53, 72.05, 76.52, 74.6, 61.78, 72.32, 54.67, 75.12, 64.03, 67.48, 73.33, 60.3, 72.15, 50.63, 55.67, 65.93, 73.38, 71.28]}
