gen:0{ accuracy:[51.36, 67.0, 57.37, 42.06, 53.88, 69.32, 36.64, 44.06, 47.64, 43.9, 45.54, 60.97, 71.3, 44.48, 47.22, 59.3, 51.64, 55.14, 55.72, 23.08, 66.48, 32.02, 65.67, 10.0, 43.75, 48.82, 42.0, 59.25, 56.93, 58.81, 58.69, 28.04, 58.66, 32.48, 37.23, 69.39, 62.37, 67.01, 58.61, 40.68, 40.21, 51.71, 55.73, 58.95, 23.12, 58.95, 40.16, 38.57, 51.87, 70.18, 37.86, 62.81, 48.45, 30.36, 59.49, 54.37, 31.44, 45.02, 67.72, 26.92, 45.22, 63.58, 34.88, 59.95, 63.1, 44.93, 54.83, 63.51, 37.27, 18.21, 63.83, 56.42, 57.83, 10.0, 59.77]}
gen:1{ accuracy:[47.45, 33.32, 62.51, 65.12, 44.28, 48.76, 36.42, 46.96, 57.79, 44.47, 61.28, 71.34, 32.95, 59.36, 60.42, 50.68, 53.6, 63.23, 17.27, 10.0, 43.74, 58.5, 55.7, 29.63, 10.0, 37.67, 47.4, 29.89, 21.31, 66.12, 46.93, 71.11, 55.14, 68.25, 33.53, 54.52, 56.34, 68.99, 20.91, 18.56, 42.5, 33.25, 61.92, 68.83, 64.85, 53.32, 63.54, 62.53, 40.76, 71.12, 71.47, 69.5, 59.13, 52.74, 71.16, 52.55, 10.0, 42.83, 10.0, 55.55, 66.08, 40.75, 65.32, 62.5, 41.63, 69.71, 23.79, 38.51, 55.4, 10.0, 39.32, 39.01, 23.21, 47.56, 43.41]}
gen:2{ accuracy:[66.01, 65.58, 32.28, 65.96, 59.62, 59.11, 60.06, 62.33, 46.66, 66.37, 70.6, 18.48, 30.54, 68.3, 69.08, 47.2, 58.55, 66.74, 61.9, 61.98, 66.91, 60.24, 68.29, 57.59, 62.45, 64.42, 58.66, 67.48, 69.73, 34.1, 68.0, 58.05, 69.53, 68.22, 63.99, 39.48, 62.74, 54.32, 63.83, 49.34, 48.64, 63.11, 68.94, 68.52, 42.9, 66.19, 58.9, 63.96, 62.37, 10.0, 58.15, 40.69, 52.53, 66.71, 60.25, 66.68, 59.07, 57.7, 16.22, 10.0, 63.76, 50.98, 48.09, 63.23, 65.35, 70.48, 62.61, 68.09, 56.94, 60.59, 47.27, 58.38, 69.25, 18.55, 39.57]}
gen:3{ accuracy:[43.95, 68.57, 62.82, 69.96, 65.22, 52.82, 66.38, 64.41, 36.42, 33.24, 60.02, 63.97, 55.92, 42.13, 10.0, 55.47, 66.44, 25.88, 41.57, 52.03, 49.3, 66.71, 67.32, 51.51, 51.96, 68.1, 68.19, 51.41, 59.76, 67.6, 58.48, 67.72, 63.22, 63.76, 63.16, 53.17, 51.8, 47.99, 63.16, 62.75, 53.07, 68.35, 43.13, 43.62, 51.26, 15.29, 28.0, 69.03, 65.89, 67.79, 66.62, 55.98, 67.38, 62.96, 61.86, 49.82, 45.71, 47.46, 53.17, 54.81, 67.09, 67.98, 67.17, 53.37, 48.26, 67.94, 41.97, 68.84, 16.62, 35.33, 42.3, 32.75, 60.22, 24.27, 58.15]}
gen:4{ accuracy:[43.27, 64.39, 38.27, 65.82, 62.87, 50.28, 64.48, 57.55, 66.23, 25.6, 66.27, 63.64, 65.37, 52.7, 66.22, 66.2, 45.84, 66.89, 10.0, 65.99, 62.59, 52.73, 66.96, 67.09, 65.02, 64.32, 59.56, 61.96, 44.95, 67.82, 62.65, 55.35, 65.59, 16.91, 63.25, 63.51, 62.43, 66.23, 14.64, 65.3, 10.0, 20.63, 56.96, 45.57, 67.22, 60.66, 43.46, 63.38, 61.97, 66.68, 43.6, 60.88, 47.46, 54.61, 62.71, 50.15, 49.26, 36.37, 53.35, 28.75, 55.63, 10.0, 54.06, 64.06, 38.46, 10.0, 10.0, 72.85, 20.12, 48.25, 68.04, 57.62, 10.0, 65.5, 10.0]}
gen:5{ accuracy:[66.19, 61.33, 62.62, 65.65, 68.77, 60.48, 65.94, 57.21, 65.36, 21.24, 66.54, 62.42, 20.57, 41.18, 29.7, 68.7, 68.75, 58.38, 65.59, 58.55, 34.87, 66.55, 68.6, 50.43, 49.36, 10.0, 66.16, 67.18, 63.94, 48.58, 64.37, 48.25, 59.42, 49.9, 24.04, 68.27, 66.23, 32.32, 60.83, 64.33, 68.0, 68.81, 58.98, 64.87, 65.92, 65.91, 68.09, 42.59, 69.24, 67.05, 64.44, 68.43, 68.44, 64.05, 67.15, 36.57, 65.59, 65.89, 57.42, 70.6, 16.65, 59.9, 53.71, 57.51, 67.63, 63.01, 68.09, 68.41, 46.75, 65.04, 57.74, 32.48, 32.84, 51.83, 63.76]}
gen:6{ accuracy:[67.92, 52.22, 68.21, 67.31, 54.84, 63.84, 56.25, 60.67, 68.22, 52.13, 66.16, 63.73, 51.87, 47.08, 63.84, 49.18, 66.22, 24.63, 54.74, 66.98, 67.21, 10.0, 68.04, 66.1, 66.83, 63.15, 17.09, 67.76, 28.52, 59.27, 65.99, 68.98, 60.08, 67.68, 64.11, 67.74, 66.84, 67.71, 67.75, 10.0, 67.13, 61.66, 67.38, 10.0, 62.61, 65.08, 69.6, 67.49, 61.66, 10.0, 68.58, 67.87, 42.81, 64.01, 66.33, 69.7, 48.62, 65.72, 68.74, 63.65, 67.37, 10.0, 65.87, 10.0, 52.37, 36.64, 65.57, 69.27, 52.39, 49.61, 10.02, 62.49, 68.42, 62.1, 52.05]}
gen:7{ accuracy:[51.68, 36.2, 68.8, 68.58, 65.64, 55.2, 66.69, 34.03, 46.05, 10.0, 69.5, 68.04, 48.68, 66.22, 16.44, 67.7, 51.23, 58.96, 51.95, 47.33, 67.85, 70.98, 65.75, 67.21, 38.06, 55.67, 51.18, 69.01, 66.22, 70.04, 35.06, 67.19, 64.94, 67.78, 51.47, 58.49, 71.09, 71.22, 42.93, 67.82, 56.49, 44.6, 67.48, 38.96, 68.64, 58.24, 10.0, 67.71, 65.21, 52.44, 41.89, 29.42, 56.22, 67.77, 48.66, 67.01, 53.95, 54.63, 58.77, 49.99, 69.19, 51.47, 16.87, 57.0, 10.0, 68.47, 21.21, 68.17, 43.62, 56.49, 44.55, 67.81, 10.0, 68.97, 40.74]}
gen:8{ accuracy:[61.87, 63.39, 47.97, 61.83, 67.33, 15.49, 25.55, 47.3, 67.33, 65.33, 30.08, 66.8, 10.0, 62.32, 38.78, 68.25, 42.2, 63.78, 48.7, 66.33, 68.95, 62.53, 53.55, 54.66, 33.23, 61.8, 54.75, 63.26, 37.49, 57.67, 64.02, 52.39, 65.3, 48.91, 68.6, 58.9, 29.84, 67.07, 65.26, 52.23, 53.37, 9.78, 58.43, 67.26, 66.0, 42.32, 66.83, 60.93, 66.25, 52.23, 64.49, 69.3, 63.09, 70.83, 67.89, 45.2, 10.0, 59.33, 42.87, 47.74, 46.23, 63.61, 66.98, 56.4, 68.22, 68.04, 71.13, 64.42, 68.85, 66.87, 62.16, 63.35, 53.98, 62.71, 48.35]}
gen:9{ accuracy:[52.59, 70.45, 65.62, 44.38, 67.42, 42.95, 66.3, 43.99, 67.38, 70.67, 52.52, 51.2, 68.37, 68.27, 10.0, 69.23, 68.03, 63.05, 38.69, 67.6, 67.08, 56.94, 68.48, 66.83, 10.0, 69.77, 38.49, 67.56, 67.21, 36.01, 67.52, 36.73, 68.48, 54.12, 26.85, 66.71, 49.39, 26.35, 67.15, 66.34, 65.84, 31.73, 68.57, 48.41, 66.24, 70.26, 70.49, 50.74, 62.33, 68.38, 67.7, 47.03, 62.61, 25.3, 68.85, 66.31, 68.47, 66.79, 29.94, 67.15, 60.89, 32.1, 61.04, 68.11, 67.75, 67.43, 61.1, 65.86, 10.0, 67.99, 66.76, 65.03, 52.08, 65.15, 70.94]}
