gen:0{ accuracy:[55.93, 52.8, 55.22, 54.0, 43.53, 60.43, 54.53, 59.56, 47.43, 53.95, 31.35, 52.96, 46.81, 56.58, 60.93, 43.86, 42.84, 61.86, 30.68, 66.16, 49.25, 45.55, 46.12, 56.77, 44.61, 53.79, 51.28, 60.59, 36.54, 45.86, 61.31, 38.82, 44.26, 67.35, 61.61, 61.76, 54.9, 54.49, 39.01, 61.41, 49.52, 46.74, 59.96, 66.6, 58.96, 50.0, 60.91, 71.78, 58.42, 24.04, 63.83, 62.19, 59.13, 51.26, 60.01, 54.71, 60.71, 58.91, 38.91, 50.02, 65.4, 38.6, 63.01, 60.06, 51.57, 50.87, 48.66, 35.33, 56.07, 56.8, 50.92, 67.52, 40.34, 45.48, 15.41]}
gen:1{ accuracy:[10.0, 10.0, 10.0, 36.65, 55.61, 68.83, 56.11, 59.54, 71.82, 18.02, 10.0, 58.48, 33.33, 10.0, 69.1, 68.68, 34.62, 28.42, 60.31, 21.14, 10.0, 53.07, 55.03, 16.66, 25.14, 68.85, 64.71, 57.52, 30.57, 69.66, 59.68, 47.2, 10.0, 64.65, 17.81, 17.98, 10.0, 10.0, 51.11, 43.69, 10.0, 62.76, 23.02, 51.7, 10.0, 58.15, 51.65, 60.59, 46.81, 65.89, 33.46, 42.06, 68.79, 10.0, 52.39, 40.07, 41.6, 43.53, 43.95, 35.01, 57.66, 45.23, 51.24, 25.7, 53.29, 17.79, 70.09, 17.93, 16.85, 62.9, 58.18, 23.22, 66.93, 52.21, 66.15]}
gen:2{ accuracy:[10.0, 21.2, 59.74, 67.85, 26.94, 16.58, 69.11, 66.01, 50.69, 45.8, 42.25, 14.4, 54.43, 24.11, 10.0, 67.9, 10.0, 19.31, 50.1, 64.33, 53.65, 10.0, 56.16, 10.0, 62.02, 25.49, 55.57, 42.25, 63.74, 10.0, 66.02, 68.79, 63.83, 16.47, 64.99, 69.17, 42.21, 67.62, 51.57, 10.0, 52.98, 66.31, 61.58, 23.47, 70.24, 32.1, 30.33, 10.0, 48.9, 59.83, 58.55, 48.76, 43.81, 58.69, 52.68, 71.28, 10.0, 43.87, 14.73, 69.87, 41.15, 45.29, 61.61, 32.84, 38.06, 65.71, 51.66, 62.93, 61.82, 17.91, 10.0, 65.93, 51.27, 54.06, 69.06]}
gen:3{ accuracy:[24.41, 70.69, 25.79, 33.81, 62.32, 45.1, 10.0, 68.31, 10.0, 10.0, 10.0, 53.55, 59.9, 52.33, 10.0, 10.0, 65.39, 62.47, 53.88, 65.95, 68.54, 17.14, 10.0, 60.39, 10.0, 67.18, 10.0, 60.05, 10.0, 23.29, 67.72, 16.77, 29.21, 10.0, 52.09, 62.77, 10.0, 25.53, 65.71, 51.82, 24.13, 65.67, 48.4, 63.91, 66.21, 65.87, 66.77, 39.27, 10.0, 46.57, 10.0, 66.03, 10.0, 10.0, 29.96, 51.59, 29.37, 65.63, 10.0, 21.04, 35.43, 43.79, 66.4, 69.78, 26.21, 49.58, 16.51, 68.4, 38.68, 17.47, 16.66, 63.82, 16.55, 66.87, 10.0]}
gen:4{ accuracy:[10.0, 29.77, 51.62, 30.34, 68.75, 39.09, 30.19, 49.48, 59.73, 16.29, 47.26, 62.7, 25.64, 70.09, 59.45, 50.83, 35.51, 10.0, 67.04, 61.54, 40.38, 66.76, 10.0, 17.97, 51.79, 66.14, 68.72, 45.17, 69.02, 65.73, 60.78, 64.51, 40.74, 65.08, 67.71, 66.59, 68.98, 56.77, 70.37, 62.03, 34.57, 46.13, 45.25, 24.25, 38.45, 56.24, 58.46, 65.73, 51.78, 25.17, 58.55, 51.57, 65.63, 60.4, 70.84, 59.36, 10.0, 59.88, 46.54, 65.93, 47.3, 41.96, 68.21, 55.42, 68.68, 57.22, 57.56, 10.0, 50.84, 10.0, 61.26, 65.71, 57.3, 10.0, 10.0]}
gen:5{ accuracy:[65.41, 62.02, 54.73, 66.58, 61.78, 55.87, 51.82, 61.25, 65.22, 59.0, 45.67, 55.96, 55.39, 51.94, 64.06, 66.74, 63.86, 56.18, 55.66, 51.62, 69.43, 61.12, 68.08, 60.61, 68.28, 10.0, 66.51, 57.91, 65.68, 69.63, 52.62, 46.69, 65.38, 60.59, 60.81, 67.24, 44.34, 54.26, 60.4, 50.33, 49.18, 60.68, 51.43, 50.41, 70.55, 61.37, 41.11, 51.65, 67.79, 65.81, 58.02, 68.72, 48.24, 67.39, 69.81, 67.74, 53.11, 65.29, 61.06, 53.03, 68.2, 58.87, 52.84, 65.37, 51.93, 60.97, 64.18, 53.11, 49.19, 62.5, 63.15, 66.57, 60.31, 60.49, 50.07]}
gen:6{ accuracy:[65.6, 61.91, 71.55, 68.35, 67.01, 49.42, 60.37, 49.46, 10.0, 63.6, 49.71, 68.19, 59.51, 50.26, 63.57, 25.06, 10.0, 53.62, 60.54, 23.89, 67.94, 55.77, 39.53, 60.11, 55.16, 61.74, 68.51, 32.29, 63.02, 67.39, 38.02, 59.94, 63.3, 54.73, 70.58, 68.32, 10.0, 61.17, 67.38, 49.1, 68.34, 68.01, 70.14, 48.23, 59.82, 68.35, 49.99, 70.45, 60.55, 69.36, 64.46, 14.98, 36.55, 62.16, 69.11, 69.7, 31.84, 56.05, 32.51, 66.42, 66.72, 60.33, 67.19, 62.13, 58.39, 59.17, 66.18, 66.28, 70.4, 61.15, 64.36, 70.29, 37.8, 53.31, 51.13]}
gen:7{ accuracy:[50.21, 52.13, 66.41, 64.18, 62.91, 40.94, 64.19, 64.19, 55.88, 50.73, 72.17, 15.94, 67.7, 63.88, 52.46, 44.85, 69.63, 67.87, 64.21, 67.96, 65.38, 65.85, 69.89, 68.3, 53.39, 61.44, 61.75, 69.52, 64.67, 70.81, 56.64, 55.72, 70.0, 66.24, 65.46, 68.13, 70.19, 36.35, 37.64, 67.64, 59.64, 68.01, 10.0, 66.03, 64.01, 36.28, 37.4, 62.97, 66.83, 67.22, 67.25, 9.94, 49.19, 53.95, 62.87, 70.3, 63.78, 68.04, 38.03, 36.8, 66.54, 64.24, 68.75, 64.35, 10.0, 64.6, 69.58, 56.73, 58.24, 63.97, 63.39, 65.12, 66.83, 44.67, 67.52]}
gen:8{ accuracy:[63.59, 61.68, 55.87, 64.1, 69.0, 52.37, 71.09, 64.91, 70.33, 58.76, 63.44, 63.22, 63.88, 49.78, 70.21, 69.34, 62.83, 63.35, 70.71, 65.89, 70.29, 71.12, 72.01, 59.49, 72.36, 70.71, 37.35, 62.1, 64.37, 37.18, 65.55, 10.0, 72.3, 62.23, 69.43, 71.16, 70.37, 68.56, 69.86, 71.94, 40.94, 70.19, 58.23, 63.32, 36.9, 57.17, 70.21, 69.33, 69.28, 60.31, 71.68, 70.92, 70.55, 63.6, 65.06, 70.26, 62.96, 70.44, 66.8, 65.06, 38.45, 67.61, 68.43, 70.58, 64.1, 69.6, 25.11, 64.52, 58.63, 69.98, 62.71, 68.84, 33.25, 58.3, 67.35]}
gen:9{ accuracy:[64.84, 69.43, 49.0, 70.8, 66.76, 42.74, 68.09, 66.08, 64.96, 50.3, 65.56, 69.19, 65.63, 67.81, 67.36, 63.91, 64.48, 65.5, 65.39, 60.25, 66.29, 68.47, 62.89, 10.01, 69.57, 10.01, 65.3, 29.43, 67.08, 67.38, 65.52, 70.1, 66.53, 53.34, 67.46, 64.51, 66.09, 67.85, 63.58, 68.55, 51.29, 70.83, 68.37, 66.93, 68.46, 67.81, 68.71, 66.66, 52.48, 28.36, 66.82, 62.04, 67.35, 52.41, 69.26, 64.99, 48.99, 66.02, 56.86, 69.01, 70.69, 65.73, 62.98, 56.5, 9.99, 64.84, 27.72, 70.11, 66.05, 68.93, 67.02, 58.87, 64.63, 52.99, 67.2]}
gen:10{ accuracy:[67.89, 71.09, 68.95, 68.67, 67.68, 64.4, 67.0, 66.81, 71.47, 57.96, 69.95, 68.59, 70.12, 69.42, 52.02, 62.0, 68.01, 59.49, 70.58, 56.72, 70.77, 71.15, 71.08, 67.24, 67.21, 70.27, 68.31, 70.08, 69.95, 70.42, 74.21, 67.54, 70.72, 57.81, 63.61, 69.87, 69.55, 63.97, 62.27, 70.54, 67.66, 69.39, 68.05, 50.42, 64.18, 64.33, 62.9, 63.13, 71.71, 66.53, 52.74, 62.16, 64.76, 52.27, 52.86, 67.1, 67.58, 54.55, 71.56, 49.75, 64.21, 65.66, 62.72, 70.21, 64.34, 67.08, 67.22, 35.02, 70.1, 70.55, 67.81, 52.69, 44.97, 67.62, 68.14]}
gen:11{ accuracy:[65.23, 60.49, 49.89, 53.32, 63.64, 72.55, 68.86, 62.21, 10.0, 45.81, 71.41, 64.38, 40.13, 72.04, 48.76, 65.36, 53.44, 46.67, 69.41, 70.99, 71.68, 66.4, 52.99, 51.55, 50.75, 66.87, 71.74, 72.89, 50.59, 63.26, 70.74, 51.5, 71.18, 52.7, 69.15, 59.22, 66.66, 62.76, 69.16, 53.09, 71.22, 68.85, 71.05, 71.46, 64.98, 39.9, 69.27, 65.97, 57.37, 52.3, 38.9, 62.87, 64.71, 54.95, 69.65, 66.95, 56.97, 42.64, 61.69, 52.69, 42.21, 59.82, 70.08, 65.86, 54.11, 71.18, 43.96, 39.03, 73.43, 40.22, 52.28, 59.0, 58.35, 67.92, 59.32]}
gen:12{ accuracy:[73.54, 72.0, 48.68, 72.37, 65.77, 64.32, 63.96, 64.31, 73.38, 71.25, 73.19, 51.23, 67.1, 73.22, 66.94, 66.92, 63.83, 52.31, 71.44, 71.69, 71.82, 71.78, 71.62, 69.63, 70.86, 70.86, 67.62, 64.93, 72.04, 72.6, 56.62, 70.13, 72.5, 70.28, 63.69, 70.09, 72.6, 64.98, 71.19, 68.21, 69.41, 69.87, 73.19, 52.02, 33.34, 71.83, 66.15, 69.98, 72.36, 73.29, 73.05, 68.5, 52.49, 52.83, 71.98, 73.56, 70.5, 73.82, 71.66, 69.83, 68.69, 59.1, 68.6, 72.9, 66.13, 63.29, 71.11, 71.46, 69.37, 67.56, 74.6, 72.52, 72.38, 68.39, 70.8]}
gen:13{ accuracy:[57.37, 50.87, 46.06, 71.88, 72.95, 73.23, 51.68, 70.68, 74.02, 67.4, 73.23, 71.47, 71.24, 65.13, 34.33, 66.93, 71.25, 72.97, 72.48, 72.46, 64.65, 55.52, 44.89, 68.42, 52.89, 10.0, 69.49, 71.87, 69.05, 68.04, 52.2, 66.43, 62.82, 62.68, 68.02, 72.09, 72.36, 71.82, 64.46, 72.28, 69.78, 63.65, 68.16, 70.57, 72.68, 71.58, 39.28, 72.34, 68.94, 73.85, 51.25, 72.09, 61.77, 71.75, 53.03, 37.47, 74.13, 71.54, 69.05, 52.08, 71.75, 59.84, 71.58, 52.36, 40.4, 73.85, 70.9, 34.18, 18.53, 68.62, 61.79, 71.98, 69.03, 52.68, 72.71]}
