gen:0{ accuracy:[62.48, 31.29, 64.99, 60.56, 54.56, 61.52, 46.89, 55.53, 48.76, 64.35, 56.54, 63.41, 52.21, 43.58, 61.95, 66.89, 27.82, 50.4, 10.0, 45.55, 43.96, 47.77, 36.31, 59.8, 60.38, 29.87, 62.62, 47.73, 49.23, 17.93, 46.13, 63.96, 65.47, 26.79, 54.24, 39.4, 48.55, 60.34, 63.98, 66.42, 56.22, 64.49, 49.74, 37.29, 63.43, 35.99, 63.94, 51.07, 55.61, 42.93, 52.95, 64.32, 65.91, 43.49, 40.84, 47.12, 54.66, 47.14, 56.56, 64.99, 34.21, 42.29, 42.83, 53.88, 68.39, 59.9, 41.1, 60.01, 42.77, 48.69, 36.72, 48.87, 41.35, 40.91, 64.46]}
gen:1{ accuracy:[48.54, 49.49, 60.5, 68.78, 48.29, 44.54, 63.31, 69.45, 55.6, 72.23, 45.16, 69.02, 64.08, 51.3, 48.09, 71.83, 68.88, 57.78, 48.62, 16.3, 46.36, 71.44, 53.83, 54.18, 70.98, 68.75, 47.45, 62.91, 10.0, 50.33, 37.76, 71.96, 66.51, 29.41, 10.0, 55.4, 10.0, 70.65, 48.17, 71.52, 61.9, 38.21, 66.89, 41.38, 10.0, 14.79, 69.16, 68.75, 66.74, 10.0, 60.98, 57.65, 70.56, 49.57, 44.44, 46.76, 68.35, 41.15, 38.05, 16.78, 57.85, 65.94, 68.98, 49.13, 49.87, 64.89, 43.85, 55.84, 69.9, 42.6, 73.36, 42.81, 10.0, 58.39, 71.75]}
gen:2{ accuracy:[65.92, 63.26, 38.83, 44.5, 64.91, 67.76, 53.59, 36.56, 66.02, 72.52, 38.64, 66.53, 58.16, 41.22, 53.6, 64.26, 55.19, 17.68, 44.94, 61.93, 43.26, 17.99, 60.82, 60.22, 44.28, 29.46, 66.33, 66.51, 18.06, 67.84, 61.9, 67.16, 66.36, 47.74, 63.57, 62.65, 52.77, 64.9, 53.17, 66.66, 65.9, 56.59, 43.19, 60.74, 68.11, 39.13, 67.96, 46.83, 65.56, 64.32, 70.52, 31.99, 68.17, 67.99, 22.88, 54.66, 68.49, 65.87, 46.87, 60.88, 56.82, 59.87, 68.19, 58.59, 37.42, 41.27, 62.61, 17.79, 48.15, 50.13, 52.5, 61.47, 56.61, 66.53, 53.07]}
gen:3{ accuracy:[64.09, 10.0, 61.5, 34.09, 69.78, 57.8, 32.65, 65.57, 60.28, 39.84, 68.17, 72.54, 64.47, 70.26, 70.22, 49.04, 70.87, 16.77, 67.34, 61.79, 65.38, 26.05, 66.14, 47.25, 70.24, 18.52, 66.67, 14.76, 52.13, 65.36, 54.74, 54.92, 30.99, 71.33, 63.2, 55.87, 67.77, 67.13, 59.62, 33.08, 49.27, 69.25, 16.47, 51.08, 44.55, 55.44, 47.65, 70.07, 66.64, 55.84, 37.9, 68.98, 66.77, 39.94, 55.71, 60.11, 64.63, 51.8, 67.58, 70.16, 67.32, 16.85, 68.12, 69.36, 71.9, 43.03, 65.92, 51.31, 49.21, 70.4, 25.64, 22.72, 51.16, 47.91, 66.72]}
gen:4{ accuracy:[54.31, 72.8, 71.84, 73.18, 72.31, 72.3, 73.05, 68.07, 40.72, 69.3, 61.2, 72.96, 59.97, 72.65, 60.53, 49.65, 71.17, 71.53, 62.31, 72.77, 57.08, 70.91, 71.12, 41.44, 71.87, 73.5, 71.12, 71.86, 68.45, 65.75, 10.0, 69.1, 51.39, 69.3, 10.0, 72.42, 69.82, 55.4, 58.42, 71.36, 17.46, 61.53, 41.16, 51.47, 72.41, 38.25, 72.3, 71.83, 72.09, 72.28, 68.1, 62.85, 30.51, 71.85, 63.65, 72.31, 69.24, 63.09, 69.95, 50.05, 41.74, 71.46, 70.79, 72.64, 70.46, 70.63, 71.36, 72.19, 73.43, 72.44, 72.78, 59.86, 60.58, 71.01, 40.87]}
gen:5{ accuracy:[73.65, 72.86, 72.36, 71.37, 73.17, 71.38, 69.85, 71.11, 58.61, 71.19, 73.06, 71.43, 72.36, 70.52, 73.22, 73.18, 10.0, 73.56, 73.23, 54.21, 73.61, 64.59, 72.46, 66.01, 72.87, 71.91, 72.19, 72.65, 72.92, 70.38, 65.78, 70.55, 73.48, 71.54, 71.21, 71.52, 74.42, 65.14, 10.0, 73.94, 72.84, 73.41, 35.67, 71.54, 72.86, 73.74, 71.37, 71.5, 54.85, 40.99, 69.13, 70.12, 59.34, 70.79, 73.17, 56.75, 74.49, 71.98, 62.37, 73.4, 10.0, 70.95, 73.22, 61.23, 61.07, 71.78, 73.54, 61.43, 71.41, 71.47, 69.42, 39.91, 45.84, 47.0, 60.08]}
gen:6{ accuracy:[53.64, 71.88, 73.74, 66.25, 73.39, 73.79, 71.7, 70.25, 73.93, 72.54, 72.33, 74.22, 65.3, 73.17, 73.59, 71.36, 66.77, 73.85, 73.49, 74.26, 72.18, 73.02, 70.62, 73.11, 74.3, 71.94, 70.65, 73.05, 69.75, 72.13, 72.0, 71.69, 66.11, 71.04, 52.32, 73.45, 74.03, 72.63, 73.35, 74.87, 75.05, 70.76, 74.05, 72.99, 72.44, 72.58, 54.79, 58.69, 69.08, 74.04, 69.52, 72.3, 72.17, 73.77, 68.57, 74.46, 71.19, 43.42, 54.54, 72.13, 73.12, 68.65, 73.33, 73.95, 69.51, 72.68, 73.09, 71.29, 73.58, 31.11, 26.98, 61.9, 66.26, 73.36, 52.26]}
gen:7{ accuracy:[74.78, 72.68, 45.92, 67.15, 60.83, 70.77, 74.4, 71.41, 73.64, 10.0, 71.48, 74.35, 73.78, 74.42, 74.66, 72.2, 70.97, 73.91, 24.5, 74.46, 73.78, 74.34, 51.68, 73.45, 67.14, 59.4, 72.0, 47.64, 71.8, 73.57, 70.05, 74.6, 71.57, 73.65, 72.34, 75.34, 64.6, 73.88, 74.37, 73.15, 67.42, 73.4, 72.3, 50.49, 70.56, 73.0, 74.61, 63.64, 70.9, 61.29, 73.5, 57.45, 73.55, 33.65, 67.24, 74.47, 72.78, 73.35, 44.88, 70.63, 72.69, 47.49, 71.56, 47.72, 74.28, 73.58, 69.56, 58.26, 10.0, 68.93, 67.99, 51.21, 66.89, 72.25, 71.67]}
gen:8{ accuracy:[70.21, 56.75, 47.75, 64.63, 69.46, 46.54, 64.13, 66.36, 25.38, 70.92, 62.65, 72.43, 10.0, 73.06, 68.88, 25.91, 66.75, 10.0, 66.09, 47.6, 69.73, 18.47, 48.66, 47.71, 48.68, 48.06, 31.28, 72.59, 71.55, 10.0, 18.34, 64.32, 24.91, 70.94, 10.0, 48.29, 69.44, 72.55, 10.0, 10.0, 70.59, 73.42, 48.2, 61.27, 70.85, 67.75, 68.05, 47.2, 68.02, 68.45, 37.48, 67.15, 48.07, 72.04, 10.0, 49.0, 18.11, 47.96, 69.62, 23.8, 69.98, 67.84, 67.77, 72.8, 71.05, 46.96, 67.99, 64.35, 72.4, 71.48, 46.89, 69.35, 48.66, 70.7, 48.38]}
gen:9{ accuracy:[71.23, 72.15, 29.83, 34.56, 31.99, 69.71, 48.52, 70.04, 73.76, 73.12, 73.78, 69.47, 63.83, 74.41, 73.86, 69.0, 68.65, 72.99, 69.83, 72.68, 72.52, 74.47, 63.53, 71.46, 70.59, 31.07, 61.4, 70.19, 72.92, 70.14, 64.23, 71.26, 73.7, 40.54, 48.69, 66.0, 74.16, 72.26, 63.84, 46.26, 73.18, 70.5, 68.98, 64.62, 24.75, 10.0, 70.65, 51.71, 70.74, 56.08, 71.7, 68.92, 72.92, 73.37, 29.77, 42.51, 64.36, 73.7, 71.56, 74.22, 72.87, 10.0, 65.93, 67.14, 48.91, 74.19, 69.57, 66.9, 31.89, 71.28, 65.52, 70.95, 48.3, 70.48, 71.84]}
