gen:0{ accuracy:[40.12, 60.32, 56.35, 24.17, 46.51, 10.0, 43.09, 57.26, 67.84, 65.53, 51.5, 54.14, 50.49, 51.94, 68.45, 35.58, 52.96, 57.3, 63.1, 51.78, 51.71, 57.54, 31.23, 64.35, 60.24, 67.87, 64.11, 53.97, 32.22, 47.89, 43.36, 59.03, 47.7, 64.88, 59.62, 70.86, 52.65, 63.64, 51.9, 40.8, 56.41, 65.52, 55.03, 58.47, 50.85, 21.94, 44.79, 33.74, 44.84, 52.1, 59.26, 35.71, 66.19, 59.92, 43.09, 57.63, 36.91, 56.24, 53.12, 38.06, 47.09, 43.57, 31.62, 63.03, 58.07, 42.48, 51.57, 53.61, 57.54, 54.36, 47.14, 16.22, 62.04, 52.06, 53.6]}
gen:1{ accuracy:[45.41, 63.05, 63.35, 76.57, 69.74, 66.34, 51.27, 66.91, 63.19, 60.73, 46.89, 10.0, 51.74, 70.72, 56.79, 70.9, 63.31, 58.48, 68.85, 51.84, 58.7, 62.55, 70.42, 66.17, 55.44, 59.27, 70.72, 69.56, 62.68, 48.02, 31.39, 63.12, 23.91, 70.58, 71.05, 68.97, 36.33, 31.87, 18.4, 69.51, 27.83, 56.08, 70.98, 69.24, 69.7, 62.33, 51.58, 57.55, 55.88, 69.63, 48.02, 38.97, 50.69, 69.48, 55.52, 71.15, 69.73, 70.0, 48.88, 61.35, 66.45, 69.15, 38.58, 58.68, 57.3, 68.82, 70.3, 61.87, 70.79, 44.18, 69.47, 38.99, 69.21, 75.05, 59.15]}
gen:2{ accuracy:[43.85, 38.08, 74.59, 76.23, 64.85, 75.46, 60.16, 75.37, 68.46, 69.35, 71.76, 50.8, 76.38, 58.43, 65.38, 76.86, 54.91, 70.98, 75.67, 76.51, 64.73, 69.57, 62.23, 69.36, 59.97, 74.66, 64.97, 65.55, 54.66, 75.73, 66.44, 72.99, 58.86, 56.66, 25.71, 67.92, 67.65, 57.25, 65.69, 64.14, 45.11, 66.47, 16.45, 69.08, 67.28, 71.53, 66.24, 70.32, 20.23, 64.56, 39.6, 17.88, 49.19, 47.56, 62.56, 70.56, 49.15, 43.72, 31.11, 68.84, 72.66, 66.46, 64.81, 76.28, 15.53, 70.62, 71.73, 65.35, 63.81, 43.72, 10.0, 74.85, 66.64, 75.97, 23.59]}
gen:3{ accuracy:[30.45, 76.17, 75.26, 76.71, 75.51, 70.1, 73.01, 73.68, 10.0, 18.17, 10.0, 67.7, 39.34, 67.3, 42.16, 33.94, 40.69, 25.62, 75.52, 41.02, 75.6, 76.78, 47.35, 75.91, 75.61, 66.65, 47.15, 26.15, 15.75, 74.27, 17.06, 55.89, 24.26, 75.84, 50.5, 73.84, 75.36, 72.6, 24.49, 53.02, 17.22, 46.47, 63.6, 32.07, 17.42, 69.36, 49.24, 29.05, 77.2, 77.25, 75.29, 74.99, 71.48, 50.69, 18.68, 73.09, 76.75, 60.24, 15.84, 18.7, 52.26, 76.31, 68.34, 55.21, 59.24, 15.9, 10.0, 73.96, 58.29, 26.36, 75.98, 66.44, 38.96, 75.86, 75.56]}
gen:4{ accuracy:[10.0, 75.42, 51.87, 77.39, 10.0, 26.0, 45.61, 75.7, 67.45, 70.06, 67.84, 74.81, 64.25, 76.7, 75.56, 69.38, 71.3, 56.23, 32.18, 69.94, 35.72, 75.38, 51.81, 70.08, 51.67, 51.11, 31.82, 65.92, 52.18, 71.02, 66.36, 68.47, 75.2, 63.63, 31.32, 47.26, 69.43, 70.85, 76.35, 66.85, 25.71, 10.0, 34.69, 76.25, 52.82, 38.14, 65.7, 10.0, 51.28, 69.08, 31.4, 44.0, 16.54, 38.49, 20.54, 25.67, 72.76, 47.96, 75.5, 75.06, 63.77, 37.79, 48.9, 10.0, 39.97, 28.92, 44.53, 27.97, 51.52, 28.16, 35.29, 24.22, 75.49, 70.45, 70.7]}
gen:5{ accuracy:[10.0, 76.25, 48.57, 10.0, 74.78, 62.1, 39.05, 74.0, 76.55, 75.6, 76.84, 66.1, 68.5, 76.74, 77.45, 53.07, 78.18, 74.09, 74.63, 76.11, 75.55, 64.87, 10.0, 63.06, 69.27, 10.0, 75.18, 10.0, 45.89, 19.12, 61.42, 74.51, 66.31, 73.96, 76.47, 69.45, 74.57, 10.0, 46.93, 10.0, 52.42, 69.27, 64.16, 57.28, 17.01, 71.4, 74.96, 10.0, 18.44, 10.0, 58.91, 63.48, 77.4, 42.95, 66.5, 77.25, 72.22, 75.65, 75.31, 63.53, 74.02, 10.0, 75.03, 69.9, 64.8, 77.35, 15.86, 40.64, 75.87, 33.85, 34.8, 62.95, 61.68, 64.25, 76.0]}
gen:6{ accuracy:[68.36, 77.37, 76.53, 76.88, 66.98, 76.3, 72.17, 75.27, 68.51, 69.76, 68.61, 77.08, 76.12, 77.06, 76.06, 75.59, 77.44, 62.54, 57.42, 67.37, 76.59, 76.26, 76.74, 75.66, 76.08, 74.73, 48.29, 69.38, 72.51, 69.02, 75.26, 74.01, 56.41, 18.71, 76.69, 54.57, 75.71, 70.66, 76.58, 68.62, 75.87, 77.46, 69.91, 72.52, 77.31, 33.55, 77.02, 54.25, 75.72, 47.35, 70.09, 72.35, 57.36, 76.48, 68.26, 63.02, 26.78, 77.29, 77.57, 69.93, 68.84, 50.14, 72.21, 77.56, 54.93, 74.92, 77.55, 75.21, 74.45, 64.55, 60.09, 74.29, 69.79, 65.7, 75.46]}
gen:7{ accuracy:[78.6, 73.88, 75.2, 75.12, 67.14, 75.34, 71.87, 72.73, 69.49, 76.54, 77.73, 47.1, 76.05, 67.71, 75.3, 40.95, 70.37, 75.51, 66.46, 75.5, 78.05, 77.57, 68.3, 75.68, 40.08, 63.99, 71.78, 72.44, 72.96, 59.88, 43.88, 77.69, 10.0, 28.0, 60.86, 50.9, 75.88, 48.48, 72.01, 44.31, 10.0, 63.39, 25.77, 74.62, 64.41, 77.39, 74.61, 76.24, 55.99, 67.04, 31.18, 63.53, 53.33, 65.67, 76.28, 74.82, 62.31, 74.4, 61.61, 74.88, 47.4, 58.84, 35.58, 75.05, 34.7, 77.74, 76.9, 77.06, 60.99, 76.01, 17.98, 72.49, 34.1, 69.46, 75.03]}
gen:8{ accuracy:[52.27, 42.61, 61.0, 59.87, 51.33, 70.58, 39.51, 68.06, 65.85, 57.08, 39.92, 62.07, 71.23, 61.45, 38.91, 38.16, 50.17, 10.0, 63.85, 50.34, 64.03, 54.92, 35.6, 55.52, 68.57, 67.34, 41.93, 59.07, 70.9, 10.0, 29.0, 64.51, 63.68, 35.84, 69.09, 73.32, 69.49, 75.91, 54.64, 48.53, 57.14, 58.23, 36.13, 54.24, 59.25, 24.26, 55.86, 72.53, 71.16, 72.55, 69.73, 64.54, 45.77, 63.43, 19.78, 74.54, 40.99, 61.24, 44.95, 55.57, 59.35, 10.0, 70.15, 51.83, 51.9, 32.22, 50.54, 68.98, 68.36, 72.48, 63.74, 69.05, 35.89, 72.66, 39.95]}
gen:9{ accuracy:[10.0, 53.42, 67.26, 54.14, 76.12, 76.69, 10.0, 68.5, 70.42, 54.33, 67.9, 74.36, 75.83, 27.32, 77.47, 60.98, 67.69, 68.67, 18.16, 41.91, 68.6, 24.84, 60.04, 22.0, 47.82, 50.85, 75.99, 25.44, 24.77, 38.55, 62.55, 18.78, 73.9, 60.13, 50.12, 74.59, 65.79, 53.27, 75.2, 37.53, 65.78, 66.25, 32.83, 65.39, 39.01, 66.69, 40.29, 66.18, 58.81, 62.9, 50.58, 71.39, 17.6, 55.82, 67.18, 47.28, 23.58, 73.63, 25.31, 63.49, 77.89, 55.95, 58.66, 68.5, 66.36, 55.07, 33.75, 33.72, 66.24, 10.0, 75.18, 61.95, 51.69, 47.54, 55.08]}
