gen:0{ accuracy:[64.55, 54.7, 43.96, 61.43, 47.87, 43.11, 64.55, 51.75, 61.29, 47.87, 66.86, 57.63, 61.67, 54.79, 67.37, 16.82, 64.19, 64.42, 44.08, 67.23, 65.21, 65.74, 41.26, 55.2, 68.62, 66.22, 50.45, 24.37, 57.4, 58.49, 44.49, 64.14, 54.87, 58.04, 71.31, 65.79, 45.53, 49.18, 41.52, 62.71, 44.73, 43.95, 54.13, 54.42, 31.46, 44.24, 34.91, 62.99, 66.13, 46.28, 30.14, 56.21, 49.27, 44.75, 58.61, 66.08, 51.63, 53.47, 68.9, 50.79, 66.32, 69.69, 68.71, 59.54, 48.94, 48.61, 39.53, 32.19, 45.93, 40.46, 52.54, 46.96, 46.43, 59.66, 68.74]}
gen:1{ accuracy:[70.48, 61.61, 67.77, 67.49, 72.09, 30.41, 67.86, 70.15, 49.34, 57.21, 49.2, 70.99, 10.0, 68.51, 71.95, 69.74, 29.25, 15.96, 64.46, 53.05, 63.64, 51.2, 67.82, 29.22, 67.96, 60.84, 10.0, 10.0, 39.05, 22.95, 65.63, 66.73, 63.01, 48.83, 47.55, 52.73, 69.65, 62.44, 55.22, 24.34, 26.09, 52.44, 68.28, 68.98, 23.99, 71.12, 58.42, 64.17, 23.94, 59.07, 59.77, 65.94, 67.85, 63.92, 67.37, 62.0, 68.59, 49.55, 10.0, 39.93, 67.86, 38.3, 10.0, 54.89, 10.0, 40.53, 66.98, 54.82, 54.33, 67.33, 49.55, 61.14, 10.0, 67.04, 47.3]}
gen:2{ accuracy:[37.65, 69.04, 52.01, 68.18, 63.93, 52.27, 70.34, 67.53, 72.74, 70.17, 56.7, 53.88, 24.79, 57.38, 65.13, 10.0, 61.14, 58.43, 48.19, 66.39, 71.32, 63.99, 52.86, 68.04, 71.05, 54.75, 65.44, 53.55, 69.25, 64.05, 58.35, 45.87, 58.54, 63.29, 66.79, 67.95, 63.3, 50.24, 63.32, 59.85, 53.19, 57.65, 58.59, 64.24, 47.35, 42.59, 70.61, 65.4, 29.71, 61.7, 62.94, 25.68, 67.38, 63.05, 44.66, 42.99, 64.75, 47.94, 64.57, 54.78, 50.57, 62.41, 47.96, 63.89, 67.77, 50.27, 48.62, 31.14, 66.48, 67.37, 71.6, 55.38, 31.14, 59.3, 70.69]}
gen:3{ accuracy:[44.82, 41.4, 47.33, 17.41, 44.61, 10.0, 45.39, 45.5, 70.54, 70.01, 54.22, 70.37, 62.97, 31.72, 64.67, 26.32, 62.11, 45.47, 26.09, 67.47, 62.05, 53.51, 66.71, 10.0, 70.9, 10.0, 38.56, 30.69, 66.71, 68.61, 69.42, 68.91, 63.96, 49.98, 67.94, 65.02, 62.4, 55.67, 53.66, 65.04, 70.39, 59.4, 69.21, 42.84, 66.33, 45.65, 45.91, 49.8, 44.42, 68.84, 68.87, 49.52, 69.72, 51.58, 66.71, 34.67, 70.65, 26.49, 64.85, 55.58, 51.02, 17.99, 40.4, 68.27, 56.65, 47.85, 47.11, 55.97, 64.37, 16.99, 33.96, 58.49, 23.62, 25.23, 70.2]}
gen:4{ accuracy:[68.37, 69.0, 70.22, 68.73, 67.74, 68.23, 69.19, 69.52, 69.86, 62.12, 70.47, 68.73, 45.07, 58.52, 69.56, 69.92, 57.82, 67.91, 68.04, 68.18, 69.47, 68.03, 69.66, 53.06, 53.98, 64.84, 38.44, 69.33, 43.17, 70.3, 70.23, 56.44, 69.43, 44.53, 61.13, 63.61, 73.35, 68.89, 71.14, 69.09, 68.17, 69.1, 69.96, 69.7, 50.2, 48.23, 68.91, 69.79, 67.85, 68.48, 67.14, 61.5, 69.25, 64.36, 61.88, 69.47, 40.86, 37.24, 69.71, 68.99, 46.12, 58.12, 68.75, 56.62, 70.42, 54.54, 69.69, 69.21, 69.01, 68.57, 68.36, 67.77, 48.38, 69.4, 29.38]}
gen:5{ accuracy:[67.32, 71.05, 61.66, 51.64, 59.76, 51.91, 10.0, 58.95, 67.39, 52.64, 41.47, 48.34, 37.92, 67.44, 62.02, 56.21, 40.68, 18.89, 29.72, 52.73, 56.51, 40.22, 60.31, 72.53, 10.0, 67.14, 61.66, 62.39, 49.6, 34.18, 69.39, 62.96, 51.49, 62.74, 52.96, 70.27, 61.92, 44.73, 28.39, 10.0, 61.21, 55.98, 22.42, 17.78, 70.69, 39.72, 69.47, 40.01, 60.6, 56.2, 59.21, 22.92, 68.95, 58.93, 67.03, 49.44, 65.19, 55.97, 62.32, 34.09, 69.38, 66.06, 10.0, 20.35, 63.17, 32.74, 53.32, 18.22, 60.3, 29.97, 51.57, 19.44, 26.36, 10.0, 68.64]}
gen:6{ accuracy:[57.92, 70.2, 32.02, 10.0, 38.85, 40.7, 51.51, 47.5, 33.03, 10.0, 61.84, 10.0, 50.14, 52.6, 10.0, 67.3, 26.18, 64.94, 69.67, 67.62, 67.09, 10.0, 66.9, 33.3, 25.39, 55.19, 55.32, 10.0, 56.49, 31.64, 68.93, 66.99, 10.0, 10.0, 30.1, 40.68, 52.35, 58.02, 49.13, 10.0, 61.87, 63.0, 42.91, 39.52, 17.72, 37.96, 10.0, 10.0, 61.45, 10.0, 10.0, 56.51, 51.13, 10.0, 60.78, 35.56, 48.56, 58.71, 52.28, 52.56, 60.85, 28.31, 17.68, 71.75, 53.51, 44.92, 55.77, 60.71, 17.92, 49.1, 68.87, 51.02, 10.0, 25.6, 67.65]}
gen:7{ accuracy:[67.31, 50.46, 16.53, 61.95, 35.66, 46.95, 64.2, 51.38, 63.53, 68.41, 41.03, 68.09, 67.72, 55.62, 71.17, 51.84, 61.69, 27.66, 47.95, 58.79, 64.03, 69.08, 51.53, 24.79, 57.4, 62.76, 69.25, 62.52, 67.68, 45.17, 68.88, 67.5, 52.37, 52.61, 35.63, 66.21, 73.43, 22.4, 57.28, 66.85, 60.31, 44.56, 63.48, 61.63, 47.43, 70.44, 68.77, 66.57, 40.61, 18.12, 59.91, 52.87, 68.6, 66.7, 71.69, 53.8, 69.05, 70.63, 51.28, 62.36, 61.48, 40.98, 69.57, 60.84, 62.96, 70.86, 46.23, 68.92, 68.04, 66.63, 64.94, 71.08, 52.62, 63.84, 54.1]}
gen:8{ accuracy:[40.74, 44.53, 14.4, 72.93, 61.26, 71.51, 68.77, 51.1, 25.83, 58.55, 63.2, 62.4, 59.76, 69.56, 60.7, 57.41, 71.46, 35.32, 50.92, 50.53, 71.24, 50.17, 65.01, 44.4, 10.0, 31.29, 59.33, 50.36, 70.46, 50.69, 21.14, 58.09, 63.16, 64.87, 69.22, 55.61, 39.95, 38.39, 66.97, 63.21, 64.67, 64.6, 61.79, 31.85, 33.05, 63.69, 52.46, 70.53, 62.59, 17.89, 58.07, 37.55, 63.22, 72.01, 63.18, 62.92, 66.36, 70.99, 71.12, 64.4, 55.39, 67.23, 49.98, 47.71, 69.02, 50.14, 47.25, 29.04, 41.68, 68.27, 63.19, 10.0, 58.48, 10.0, 64.03]}
gen:9{ accuracy:[46.54, 71.5, 71.21, 69.85, 71.28, 71.64, 51.73, 51.62, 66.99, 64.35, 72.09, 51.34, 71.57, 50.9, 53.77, 43.02, 58.05, 71.22, 51.01, 68.15, 71.08, 71.57, 52.21, 44.98, 71.51, 36.86, 54.85, 71.84, 42.3, 71.92, 60.28, 63.87, 54.25, 72.23, 62.8, 42.39, 70.02, 45.76, 28.87, 62.8, 71.83, 68.97, 10.0, 72.13, 63.17, 15.94, 70.89, 68.21, 70.43, 71.68, 71.6, 67.35, 67.21, 55.71, 68.06, 71.43, 59.94, 52.78, 30.26, 69.7, 36.04, 41.95, 52.74, 48.16, 48.83, 70.33, 45.97, 52.04, 32.3, 70.97, 51.63, 70.78, 43.33, 72.1, 40.3]}
