gen:0{ accuracy:[52.27, 67.36, 38.67, 66.67, 49.27, 51.1, 64.13, 50.48, 55.9, 65.21, 63.07, 38.31, 53.55, 41.29, 48.47, 43.68, 51.53, 62.08, 61.63, 64.51, 59.61, 52.22, 69.81, 68.68, 53.38, 63.06, 54.28, 31.15, 51.97, 70.21, 58.16, 58.58, 51.23, 56.82, 48.85, 47.12, 53.39, 47.5, 49.52, 52.39, 53.61, 39.51, 38.63, 59.69, 47.69, 38.73, 45.35, 51.3, 61.05, 51.09, 56.99, 44.33, 69.12, 52.55, 63.91, 54.95, 62.07, 48.3, 66.42, 64.44, 68.69, 35.9, 67.52, 53.14, 49.16, 39.09, 65.5, 39.52, 31.9, 66.86, 57.8, 65.1, 48.81, 17.1, 57.26]}
gen:1{ accuracy:[67.59, 68.6, 67.99, 49.43, 69.2, 46.63, 42.33, 61.43, 43.64, 45.52, 68.26, 45.99, 66.75, 67.21, 43.9, 58.25, 44.73, 67.44, 34.97, 68.22, 69.46, 62.22, 68.93, 60.44, 68.85, 68.45, 65.23, 26.73, 62.05, 53.58, 52.37, 52.51, 66.94, 67.83, 24.38, 67.03, 60.53, 64.37, 63.55, 52.49, 33.47, 68.46, 47.17, 47.87, 68.86, 68.76, 58.59, 68.88, 48.7, 41.73, 67.24, 68.33, 48.03, 51.49, 31.65, 46.5, 70.77, 67.95, 67.15, 26.8, 65.49, 66.83, 62.11, 68.64, 52.44, 67.67, 67.84, 69.0, 66.94, 68.89, 26.13, 28.67, 67.07, 33.34, 36.67]}
gen:2{ accuracy:[22.94, 21.96, 67.75, 71.5, 14.64, 44.79, 47.82, 71.03, 68.71, 10.0, 17.23, 48.0, 47.81, 52.25, 45.41, 67.72, 53.42, 63.65, 59.27, 62.29, 62.48, 64.14, 63.31, 67.3, 70.03, 39.16, 52.37, 52.84, 49.95, 71.49, 51.75, 27.99, 47.27, 10.0, 64.08, 30.7, 30.93, 46.95, 50.57, 65.66, 71.88, 71.3, 40.28, 61.54, 18.81, 66.17, 55.62, 57.15, 61.97, 32.05, 63.95, 66.04, 62.64, 71.75, 10.0, 47.17, 25.09, 10.0, 40.01, 64.52, 49.95, 63.34, 60.72, 51.0, 64.22, 25.4, 36.89, 59.56, 43.79, 65.61, 66.66, 46.81, 30.69, 46.16, 29.83]}
gen:3{ accuracy:[57.85, 35.63, 67.03, 60.67, 71.1, 61.85, 18.0, 27.42, 65.32, 70.82, 41.9, 65.12, 45.21, 56.54, 10.0, 45.53, 34.06, 61.64, 29.01, 29.16, 37.65, 72.09, 55.4, 70.52, 10.0, 51.26, 71.77, 62.73, 66.65, 67.34, 16.53, 71.7, 37.94, 10.0, 53.5, 66.98, 61.09, 21.22, 41.7, 64.31, 61.22, 17.96, 71.34, 10.0, 57.98, 56.44, 56.9, 64.81, 70.49, 70.65, 61.66, 25.41, 10.0, 71.66, 48.07, 43.33, 62.89, 65.78, 70.63, 32.86, 17.11, 43.11, 58.96, 40.11, 63.97, 71.21, 17.32, 67.53, 57.57, 41.98, 70.9, 69.95, 37.91, 69.98, 70.75]}
gen:4{ accuracy:[10.0, 51.14, 47.78, 67.14, 62.38, 71.69, 66.23, 67.55, 10.0, 69.64, 31.99, 59.19, 70.41, 52.67, 55.06, 50.66, 70.73, 24.97, 50.43, 17.97, 18.49, 69.98, 30.3, 45.71, 40.44, 38.03, 36.37, 39.8, 51.01, 51.58, 10.0, 69.72, 25.91, 63.84, 49.64, 25.06, 69.94, 18.17, 10.0, 55.29, 70.77, 10.0, 10.0, 70.93, 63.18, 70.68, 31.81, 71.68, 69.95, 10.0, 57.9, 61.27, 59.69, 53.89, 71.74, 63.35, 51.85, 54.16, 19.65, 55.35, 50.41, 32.78, 10.0, 70.65, 10.0, 62.12, 63.19, 65.37, 61.23, 63.21, 64.73, 66.4, 46.23, 54.04, 46.22]}
gen:5{ accuracy:[70.85, 71.46, 71.17, 71.14, 68.2, 10.0, 49.55, 67.2, 71.3, 53.01, 70.65, 70.21, 69.64, 70.79, 70.51, 71.82, 69.92, 32.4, 66.43, 71.03, 71.19, 70.41, 57.72, 50.27, 71.47, 40.87, 70.88, 24.79, 68.47, 47.42, 71.39, 71.31, 70.9, 71.45, 68.83, 72.16, 69.05, 70.39, 65.18, 71.87, 71.69, 70.49, 71.67, 71.62, 70.11, 66.04, 71.14, 70.86, 72.17, 44.44, 51.71, 69.85, 71.81, 69.39, 70.4, 70.89, 70.79, 71.42, 68.86, 61.76, 60.07, 70.8, 71.39, 57.76, 71.74, 67.6, 70.01, 68.33, 53.64, 70.8, 71.56, 48.38, 49.76, 67.17, 70.14]}
gen:6{ accuracy:[71.73, 71.05, 71.32, 65.16, 71.83, 71.27, 69.86, 71.01, 71.35, 71.54, 47.63, 72.36, 70.85, 65.22, 70.16, 69.78, 71.55, 70.52, 71.74, 70.92, 70.45, 71.4, 70.83, 72.31, 71.14, 70.4, 70.66, 71.76, 70.73, 68.42, 70.84, 64.03, 70.81, 71.54, 64.53, 71.44, 70.93, 69.96, 71.16, 71.2, 72.35, 70.42, 69.02, 71.95, 72.06, 64.1, 71.59, 71.18, 70.53, 70.36, 62.77, 70.4, 71.7, 71.34, 71.38, 71.17, 63.37, 71.34, 70.93, 70.05, 71.19, 64.07, 10.0, 71.98, 63.95, 71.47, 71.47, 71.04, 71.4, 71.71, 71.81, 66.64, 66.67, 70.22, 70.44]}
gen:7{ accuracy:[41.0, 65.2, 42.15, 65.28, 40.18, 53.85, 18.71, 29.3, 71.5, 52.65, 52.72, 71.36, 71.19, 45.2, 10.0, 33.65, 43.95, 38.63, 57.77, 53.16, 27.55, 71.13, 32.81, 66.42, 50.18, 65.02, 30.02, 46.11, 33.04, 47.62, 70.05, 57.45, 39.64, 70.82, 67.15, 54.63, 40.66, 30.13, 38.73, 45.07, 32.09, 33.21, 53.95, 70.83, 62.39, 59.11, 63.82, 38.58, 52.97, 44.14, 41.04, 38.46, 71.93, 56.96, 52.83, 71.35, 72.09, 28.54, 35.4, 35.33, 53.52, 44.04, 45.48, 41.72, 71.26, 49.07, 59.6, 51.57, 52.26, 42.77, 40.02, 40.61, 52.74, 20.74, 70.77]}
gen:8{ accuracy:[71.43, 70.47, 49.18, 49.37, 34.28, 15.45, 29.99, 40.47, 67.54, 69.99, 58.34, 36.39, 71.99, 60.12, 70.51, 18.66, 63.95, 10.14, 72.44, 70.94, 43.15, 44.09, 27.06, 69.74, 71.64, 31.07, 31.95, 47.74, 26.43, 51.56, 34.72, 70.34, 40.53, 33.94, 55.74, 71.17, 71.53, 67.61, 50.81, 44.25, 70.83, 71.83, 36.86, 34.51, 70.87, 10.0, 63.99, 40.57, 51.39, 32.64, 34.22, 46.34, 54.13, 41.45, 69.97, 37.95, 71.86, 58.88, 71.33, 48.52, 48.67, 44.96, 70.64, 71.31, 46.03, 38.49, 71.66, 44.11, 71.13, 50.27, 51.01, 43.98, 25.53, 25.58, 63.93]}
gen:9{ accuracy:[52.91, 56.49, 21.71, 24.94, 44.7, 25.5, 43.59, 49.0, 20.53, 17.61, 68.12, 22.32, 51.38, 66.74, 27.28, 71.04, 46.64, 18.39, 62.35, 23.85, 26.56, 35.61, 66.77, 67.0, 17.25, 22.78, 38.85, 60.24, 52.26, 22.84, 10.0, 10.0, 40.9, 26.35, 54.9, 54.56, 41.79, 70.99, 66.76, 51.83, 26.83, 27.84, 62.4, 35.83, 44.28, 10.0, 52.26, 67.26, 67.39, 39.58, 45.29, 67.96, 32.77, 61.15, 65.99, 38.59, 30.14, 67.41, 17.64, 72.25, 67.43, 24.38, 33.88, 27.86, 52.9, 57.44, 10.0, 62.14, 67.72, 25.86, 45.81, 21.12, 68.01, 39.27, 24.51]}
