gen:0{ accuracy:[50.53, 51.99, 42.63, 52.27, 45.73, 43.83, 50.01, 71.06, 51.66, 41.43, 60.35, 64.23, 45.3, 50.09, 44.2, 65.22, 53.89, 61.18, 38.71, 43.14, 38.78, 47.38, 52.73, 61.0, 53.52, 45.0, 66.54, 50.12, 52.6, 40.13, 54.42, 29.74, 10.0, 50.33, 57.06, 60.98, 66.98, 51.83, 65.82, 16.67, 48.55, 67.09, 56.87, 67.38, 66.05, 41.88, 64.46, 42.61, 29.9, 63.87, 61.22, 68.32, 66.36, 31.18, 60.99, 67.15, 66.62, 49.9, 40.35, 37.09, 49.97, 71.75, 57.8, 59.61, 51.76, 65.71, 46.55, 42.8, 53.13, 42.7, 61.54, 59.65, 28.87, 63.66, 36.73]}
gen:1{ accuracy:[66.62, 69.09, 66.64, 65.86, 67.09, 69.11, 63.47, 56.66, 71.33, 65.74, 59.85, 61.64, 56.46, 17.51, 44.99, 43.66, 56.06, 54.57, 63.35, 54.99, 10.0, 10.0, 63.32, 53.42, 61.39, 57.91, 52.49, 63.42, 64.94, 37.26, 23.72, 69.71, 57.0, 49.11, 39.54, 54.02, 63.52, 42.77, 52.8, 67.18, 65.57, 43.92, 51.39, 50.67, 56.97, 49.64, 16.7, 41.09, 66.72, 66.71, 67.44, 61.77, 54.25, 54.61, 69.0, 65.74, 50.29, 33.8, 45.41, 48.07, 48.67, 49.04, 31.79, 69.18, 46.15, 65.39, 65.17, 42.73, 17.27, 61.52, 66.28, 40.35, 57.88, 62.5, 66.69]}
gen:2{ accuracy:[49.06, 56.61, 60.44, 42.21, 62.13, 15.32, 18.21, 33.87, 63.24, 67.24, 47.05, 54.83, 56.51, 26.43, 68.41, 68.53, 69.02, 27.13, 67.26, 67.83, 59.24, 46.03, 38.46, 38.17, 47.36, 52.27, 70.23, 33.22, 67.41, 65.13, 16.64, 50.58, 42.46, 34.79, 68.56, 68.26, 62.78, 48.36, 67.4, 63.28, 54.25, 50.71, 43.96, 54.15, 30.38, 51.75, 49.8, 63.79, 41.99, 70.69, 25.86, 54.19, 21.49, 59.08, 53.99, 62.23, 51.14, 68.41, 42.93, 40.97, 16.06, 49.09, 72.66, 67.01, 63.03, 64.84, 54.21, 53.78, 51.37, 31.78, 65.52, 38.37, 49.52, 69.17, 43.58]}
gen:3{ accuracy:[40.72, 63.88, 48.32, 58.11, 54.07, 26.38, 24.35, 38.05, 57.38, 47.01, 50.77, 70.71, 69.85, 65.27, 65.91, 71.44, 18.64, 62.76, 59.29, 40.73, 72.25, 66.0, 63.69, 49.03, 56.53, 48.89, 39.99, 63.88, 54.16, 67.62, 63.28, 70.14, 36.17, 10.0, 61.89, 46.18, 67.6, 70.77, 69.11, 46.62, 60.47, 58.92, 66.75, 68.65, 37.3, 26.65, 68.06, 49.67, 51.25, 16.77, 52.79, 69.49, 56.83, 67.78, 45.04, 68.89, 62.38, 50.3, 57.12, 69.41, 66.91, 67.83, 52.9, 66.19, 63.99, 43.91, 53.33, 55.11, 52.08, 46.95, 76.3, 64.05, 40.47, 58.94, 66.04]}
gen:4{ accuracy:[67.52, 71.4, 64.15, 64.38, 53.01, 22.59, 53.47, 69.36, 66.54, 63.58, 45.82, 70.02, 67.2, 66.05, 69.33, 63.9, 16.11, 69.1, 44.89, 58.58, 10.0, 39.67, 39.85, 56.77, 65.35, 59.22, 63.31, 70.83, 63.99, 67.05, 64.65, 46.44, 41.32, 53.14, 58.12, 67.43, 67.45, 47.02, 32.7, 70.49, 68.57, 62.27, 68.95, 65.62, 67.3, 65.83, 64.59, 69.1, 10.0, 52.29, 71.0, 73.22, 63.21, 66.24, 66.44, 70.53, 10.0, 36.82, 66.83, 70.32, 66.99, 66.92, 61.12, 69.74, 64.75, 51.6, 59.48, 52.21, 68.13, 51.58, 67.36, 66.1, 52.18, 61.25, 52.43]}
gen:5{ accuracy:[66.6, 49.2, 33.0, 66.13, 41.46, 59.03, 66.43, 60.33, 36.53, 51.51, 71.77, 72.75, 63.44, 39.13, 65.27, 62.77, 48.78, 55.3, 62.66, 54.03, 68.71, 59.79, 41.41, 66.08, 51.21, 67.65, 51.89, 55.06, 65.27, 66.44, 56.62, 62.43, 60.34, 70.15, 60.8, 71.51, 66.26, 66.83, 66.32, 60.8, 69.21, 65.37, 70.94, 65.98, 50.6, 68.91, 38.45, 66.54, 27.98, 43.17, 71.79, 66.86, 65.85, 69.48, 47.09, 69.77, 52.66, 34.97, 66.45, 42.34, 66.49, 43.52, 18.3, 66.47, 71.56, 58.6, 37.51, 47.73, 52.19, 59.06, 66.11, 66.98, 66.81, 65.89, 59.72]}
gen:6{ accuracy:[65.94, 61.96, 71.71, 66.64, 65.51, 10.07, 56.27, 40.05, 69.78, 62.02, 68.64, 70.29, 59.3, 47.34, 71.06, 68.33, 69.54, 70.14, 65.68, 62.41, 70.46, 65.6, 65.56, 62.53, 46.12, 65.02, 73.11, 71.99, 69.7, 66.58, 66.29, 66.68, 67.15, 24.67, 69.49, 58.82, 70.29, 72.86, 72.09, 62.25, 72.37, 48.99, 66.33, 59.23, 61.73, 62.96, 46.94, 59.35, 58.63, 46.41, 35.54, 67.72, 52.95, 62.98, 69.83, 35.46, 69.12, 56.52, 48.33, 62.52, 58.85, 66.49, 60.34, 66.84, 70.98, 74.16, 35.8, 69.52, 40.97, 64.74, 72.24, 64.15, 63.77, 66.94, 58.51]}
gen:7{ accuracy:[10.0, 68.46, 70.02, 63.86, 51.98, 43.71, 72.34, 67.42, 68.19, 44.59, 59.54, 65.2, 50.43, 61.58, 45.08, 40.15, 61.68, 53.47, 10.0, 68.23, 70.75, 71.07, 68.83, 61.79, 70.73, 46.71, 68.86, 17.75, 60.67, 68.73, 69.37, 31.86, 69.41, 64.23, 50.17, 68.16, 57.32, 68.16, 56.53, 66.39, 18.02, 30.02, 69.99, 51.81, 49.12, 69.16, 67.23, 52.6, 73.62, 66.8, 63.25, 68.5, 71.26, 73.21, 65.95, 62.35, 32.96, 49.47, 69.4, 65.66, 51.52, 10.0, 18.35, 62.39, 49.92, 69.69, 54.92, 65.35, 40.6, 64.17, 67.72, 73.15, 41.46, 32.47, 63.84]}
gen:8{ accuracy:[52.25, 70.1, 57.32, 69.42, 72.29, 74.64, 46.64, 69.32, 10.0, 24.07, 64.81, 67.37, 52.34, 45.19, 68.57, 65.74, 66.91, 43.83, 32.89, 17.41, 71.78, 26.23, 60.36, 24.73, 63.75, 29.47, 61.38, 10.0, 10.0, 45.4, 52.07, 61.36, 69.57, 38.56, 10.0, 63.03, 51.85, 66.88, 54.24, 61.62, 63.11, 69.61, 45.77, 43.55, 61.42, 67.24, 68.51, 64.9, 68.61, 41.02, 62.24, 37.12, 23.75, 43.29, 33.96, 38.25, 54.47, 52.07, 58.89, 58.71, 10.0, 69.26, 38.67, 52.65, 41.8, 64.11, 43.9, 60.45, 64.24, 38.2, 54.41, 52.35, 40.34, 63.04, 69.08]}
gen:9{ accuracy:[10.0, 64.95, 65.13, 63.49, 62.68, 62.75, 67.69, 63.57, 50.15, 66.27, 59.78, 62.81, 69.72, 69.91, 64.23, 48.61, 62.21, 70.79, 63.85, 70.43, 52.65, 38.99, 68.7, 52.78, 49.5, 63.93, 70.79, 64.66, 63.48, 51.41, 71.39, 68.33, 54.09, 51.43, 63.6, 54.9, 17.22, 66.48, 66.28, 71.81, 10.0, 68.69, 53.84, 67.86, 67.9, 65.34, 72.09, 62.82, 69.54, 63.61, 59.41, 60.15, 69.82, 41.92, 70.49, 49.64, 51.83, 68.0, 67.3, 52.74, 67.39, 71.43, 51.97, 65.79, 66.44, 55.76, 64.87, 62.23, 63.4, 52.12, 60.19, 64.58, 72.53, 10.0, 70.39]}
