gen:0{ accuracy:[63.81, 50.95, 59.41, 44.28, 63.02, 60.81, 37.33, 56.67, 65.73, 48.81, 31.77, 50.84, 42.91, 69.16, 41.72, 63.86, 49.03, 50.04, 63.48, 37.2, 50.44, 37.55, 64.81, 60.37, 47.7, 35.14, 33.79, 64.87, 52.66, 65.41, 53.38, 69.39, 52.39, 57.44, 64.4, 31.65, 60.05, 57.86, 44.98, 60.23, 58.76, 17.43, 57.06, 33.43, 63.16, 60.81, 40.71, 67.32, 59.35, 62.08, 63.65, 66.73, 65.93, 45.99, 31.34, 42.5, 68.52, 51.9, 66.77, 39.83, 50.72, 54.36, 46.6, 55.24, 62.48, 63.7, 50.75, 62.17, 65.72, 55.12, 40.98, 61.94, 54.31, 58.52, 47.07]}
gen:1{ accuracy:[50.95, 45.82, 67.52, 67.34, 58.52, 24.78, 64.04, 71.1, 60.34, 68.14, 24.72, 49.23, 56.28, 47.08, 57.46, 69.16, 33.52, 57.22, 65.78, 62.1, 67.36, 58.47, 51.37, 66.03, 59.41, 38.4, 55.06, 52.02, 46.16, 61.91, 36.93, 47.11, 58.07, 68.41, 32.67, 52.04, 38.88, 57.63, 52.63, 51.45, 64.15, 52.52, 27.23, 51.11, 72.47, 44.28, 53.79, 67.22, 47.86, 70.89, 60.41, 38.2, 68.79, 59.17, 60.07, 47.24, 67.04, 38.54, 36.26, 66.18, 34.89, 13.74, 69.25, 56.12, 69.05, 55.26, 50.73, 33.83, 36.18, 57.89, 46.62, 64.29, 54.56, 66.29, 64.77]}
gen:2{ accuracy:[37.89, 39.96, 68.77, 63.87, 57.97, 34.75, 38.08, 31.84, 52.93, 63.98, 64.25, 40.12, 37.42, 63.76, 50.15, 67.87, 10.0, 64.98, 38.54, 10.0, 32.76, 68.16, 10.0, 48.11, 53.77, 55.18, 66.14, 70.19, 66.7, 64.65, 47.81, 52.57, 47.17, 59.79, 66.77, 65.99, 61.05, 37.4, 65.73, 67.39, 59.23, 66.25, 67.59, 60.03, 42.82, 66.73, 64.2, 60.43, 54.69, 48.96, 61.94, 53.85, 27.48, 47.46, 50.54, 45.87, 65.58, 60.22, 43.61, 65.04, 17.69, 32.74, 65.49, 66.18, 39.63, 53.14, 31.73, 49.03, 47.49, 66.77, 52.99, 56.11, 38.13, 32.27, 58.14]}
gen:3{ accuracy:[67.87, 36.83, 67.1, 43.98, 64.82, 49.96, 65.78, 64.77, 48.0, 27.54, 65.36, 40.16, 48.71, 54.72, 60.51, 67.22, 63.05, 33.13, 62.28, 33.0, 64.62, 62.85, 64.02, 60.01, 58.48, 54.62, 59.46, 47.68, 63.66, 60.0, 47.89, 48.27, 44.93, 61.93, 57.9, 10.0, 21.25, 67.53, 65.96, 63.92, 60.41, 19.14, 58.94, 57.56, 70.35, 59.37, 54.0, 49.17, 62.22, 54.72, 65.81, 38.17, 53.75, 29.33, 48.16, 58.84, 61.01, 59.85, 43.71, 10.0, 66.74, 64.17, 53.8, 45.73, 62.9, 16.19, 65.11, 67.31, 64.77, 60.33, 57.25, 64.06, 36.14, 59.95, 57.26]}
gen:4{ accuracy:[58.45, 66.23, 51.65, 34.0, 65.57, 66.97, 47.6, 54.91, 66.16, 52.88, 36.86, 47.86, 44.51, 67.18, 45.15, 63.84, 61.34, 59.99, 65.93, 66.64, 58.32, 51.84, 65.84, 30.37, 65.81, 64.95, 10.0, 32.13, 30.18, 41.24, 66.2, 64.23, 66.01, 46.3, 63.28, 53.08, 69.62, 57.75, 60.77, 57.23, 47.03, 66.81, 62.62, 53.46, 60.83, 51.44, 18.76, 57.78, 53.68, 68.99, 55.49, 43.21, 42.55, 66.2, 65.73, 49.98, 70.55, 66.98, 51.73, 68.33, 50.27, 10.0, 48.04, 59.51, 63.9, 54.93, 10.0, 49.78, 63.71, 55.04, 37.48, 64.57, 54.74, 47.95, 46.44]}
gen:5{ accuracy:[56.87, 22.33, 50.43, 67.49, 49.23, 65.4, 60.84, 43.64, 52.4, 66.33, 67.58, 61.87, 50.28, 40.85, 55.45, 49.47, 53.04, 60.01, 70.26, 45.69, 51.16, 42.39, 61.42, 58.12, 67.87, 48.94, 32.87, 50.46, 59.3, 22.46, 36.83, 69.26, 47.69, 41.78, 59.89, 48.52, 38.05, 68.18, 24.44, 70.53, 70.72, 66.54, 49.6, 49.64, 50.49, 49.3, 66.2, 60.96, 35.64, 65.13, 59.71, 63.17, 68.17, 48.12, 62.89, 67.88, 16.92, 73.9, 31.12, 61.89, 63.15, 64.41, 48.7, 64.65, 64.9, 68.13, 63.89, 51.38, 61.08, 33.71, 66.96, 25.24, 59.23, 63.34, 63.28]}
gen:6{ accuracy:[51.33, 27.96, 56.92, 63.22, 26.67, 68.02, 64.16, 69.31, 62.41, 39.39, 45.55, 52.11, 70.22, 51.33, 47.3, 57.03, 55.44, 63.84, 51.66, 51.84, 64.4, 69.63, 68.75, 63.67, 63.56, 63.56, 58.63, 29.11, 51.17, 52.87, 66.64, 71.56, 51.45, 69.34, 63.9, 65.96, 59.03, 67.23, 65.62, 63.25, 43.11, 66.59, 65.73, 56.8, 31.75, 67.77, 55.06, 70.69, 58.82, 39.71, 69.43, 34.52, 51.74, 62.63, 56.0, 48.62, 60.88, 51.13, 73.33, 64.9, 58.52, 64.17, 62.13, 42.9, 62.16, 39.35, 25.25, 50.13, 49.42, 63.69, 64.39, 66.46, 48.77, 61.48, 69.94]}
gen:7{ accuracy:[34.42, 66.21, 52.77, 64.11, 46.92, 69.03, 68.1, 10.0, 44.11, 62.22, 39.22, 25.07, 30.05, 57.55, 65.7, 67.54, 61.43, 66.78, 66.4, 72.61, 74.42, 70.07, 64.31, 34.54, 46.83, 63.61, 54.61, 68.49, 50.07, 57.23, 38.4, 70.28, 71.91, 59.56, 50.44, 48.9, 65.62, 68.96, 64.07, 53.11, 42.95, 57.48, 71.43, 73.86, 54.24, 71.69, 68.35, 22.1, 71.72, 17.31, 73.47, 47.81, 63.98, 61.89, 56.45, 56.21, 57.09, 46.22, 52.45, 69.54, 61.68, 63.86, 57.69, 71.2, 48.32, 57.74, 34.1, 54.28, 51.32, 68.46, 46.25, 70.32, 45.37, 58.38, 60.81]}
gen:8{ accuracy:[38.45, 71.34, 67.48, 57.9, 70.23, 71.38, 46.27, 69.91, 34.37, 17.73, 56.99, 61.63, 66.29, 63.47, 64.93, 47.49, 53.62, 71.75, 28.15, 50.77, 67.05, 71.3, 69.85, 65.76, 67.59, 50.48, 57.84, 67.39, 55.42, 68.48, 71.26, 59.85, 59.94, 62.36, 51.0, 61.07, 17.15, 66.59, 70.35, 70.73, 60.01, 23.89, 68.73, 59.82, 67.35, 42.45, 70.44, 44.89, 67.11, 65.98, 51.35, 58.02, 56.78, 68.26, 50.61, 66.52, 69.83, 37.34, 10.0, 34.67, 64.67, 69.12, 69.52, 47.25, 69.0, 63.0, 18.03, 16.15, 67.03, 64.79, 63.77, 72.87, 69.04, 60.6, 54.28]}
gen:9{ accuracy:[70.37, 48.58, 64.94, 73.5, 61.91, 68.31, 56.81, 68.44, 67.66, 58.12, 44.29, 36.85, 58.82, 41.59, 67.12, 63.69, 52.36, 73.14, 50.35, 71.02, 68.09, 66.88, 69.23, 72.79, 57.47, 63.04, 73.29, 60.38, 61.48, 73.96, 66.28, 53.71, 64.11, 59.63, 69.19, 64.56, 46.98, 63.31, 65.87, 49.6, 74.6, 64.01, 70.95, 55.56, 65.66, 72.8, 31.0, 60.4, 69.09, 63.25, 69.42, 61.68, 71.35, 65.63, 68.04, 46.31, 70.69, 73.87, 71.98, 70.62, 66.52, 72.06, 51.06, 52.85, 66.83, 70.45, 62.91, 36.11, 61.96, 53.34, 59.87, 66.48, 69.14, 59.75, 70.31]}
