1: 74.6, loss: 4.3185584706167255
 2: 79.81, loss: 2.6859823202812105
3: 83.5, loss: 2.123042505506364
4: 84.96, loss: 1.756981095473226
 5: 85.47, loss: 1.517699489768275
 6: 86.2, loss: 1.3235251381611701
 7: 86.85, loss: 1.1768707402346228
8: 87.84, loss: 1.0565011701838765
9: 87.54, loss: 0.9730595115491126
10: 87.17, loss: 0.8940297204729232
 11: 88.03, loss: 0.8269229191862209
 12: 88.12, loss: 0.7760185420360516
 13: 88.1, loss: 0.7315511359343074
14: 88.22, loss: 0.6955421932575874
 15: 88.65, loss: 0.6515777261209854
 16: 88.21, loss: 0.6210726019896557
 17: 88.73, loss: 0.5899578912968291
 18: 88.71, loss: 0.5601024239129659
 19: 89.04, loss: 0.5404343668481146
 20: 88.46, loss: 0.5163245267078529
 21: 88.48, loss: 0.5017499353273959
 22: 89.13, loss: 0.4762167199139177
 23: 88.82, loss: 0.4628090880496401
 24: 89.29, loss: 0.45024966002083006
25: 88.89, loss: 0.4344257509548136
 26: 89.58, loss: 0.4196888965181291
 27: 89.58, loss: 0.40407892883243696
28: 89.33, loss: 0.400224783652189
29: 89.33, loss: 0.3901823683380699
 30: 89.3, loss: 0.3779314238716408
31: 89.7, loss: 0.36349235662997303
 32: 89.43, loss: 0.3599273202494836
 33: 89.56, loss: 0.3505632280683319
 34: 89.18, loss: 0.33656017264773386
35: 89.51, loss: 0.3381117751938738
 36: 89.82, loss: 0.31454660824086234
37: 89.67, loss: 0.32096409869693915
38: 89.87, loss: 0.31634378261034224
39: 89.67, loss: 0.303773830216688
40: 89.81, loss: 0.30374491018709393
41: 89.64, loss: 0.297217680739952
42: 89.99, loss: 0.288833636137038
43: 89.44, loss: 0.28128379657292185
44: 89.48, loss: 0.2781713300369079
 45: 90.06, loss: 0.2687639045587499
 46: 89.79, loss: 0.2690155106368886
 47: 89.53, loss: 0.26146811130486436
48: 90.08, loss: 0.2587348265232335
 49: 89.87, loss: 0.2528309024937174
 50: 89.86, loss: 0.24935341112210718
51: 90.1, loss: 0.24619908419541453
 52: 89.97, loss: 0.2480727839027263
 53: 90.08, loss: 0.2395215416744485
 54: 89.87, loss: 0.2397977036689903
 55: 90.02, loss: 0.23599474352430289
56: 89.91, loss: 0.23666321605005125
1: 74.26, loss: 4.352939015161366
 2: 80.08, loss: 2.718677510983202
 3: 82.86, loss: 2.1253114125754555
4: 84.65, loss: 1.7676593299273033
5: 85.55, loss: 1.5160540115665382
6: 87.07, loss: 1.3407042034914796
7: 86.77, loss: 1.1862153584440447
8: 87.43, loss: 1.0834297420034869
9: 87.28, loss: 0.9879773842950713
10: 87.87, loss: 0.9136720524192161
 11: 88.1, loss: 0.854467963015186
 12: 87.96, loss: 0.7830399161588673
 13: 88.47, loss: 0.7516327917947888
 14: 88.5, loss: 0.691259365338026
 15: 88.12, loss: 0.664043084693245
16: 88.7, loss: 0.6276375662282624
17: 88.87, loss: 0.5995062877985716
 18: 89.06, loss: 0.5848142252125981
 19: 88.86, loss: 0.5430297516954159
 20: 89.04, loss: 0.5278803536837752
 21: 89.47, loss: 0.511568701102204
22: 89.48, loss: 0.4945381122632918
 23: 89.63, loss: 0.4690381438255539
 24: 88.44, loss: 0.45275933322199785
25: 89.39, loss: 0.44278659429234213
26: 89.16, loss: 0.42930206949804717
27: 89.43, loss: 0.4126645525853017
 28: 89.71, loss: 0.4091167188942356
 29: 90.01, loss: 0.3948568963611477
 30: 89.19, loss: 0.3824268035380773
 31: 89.85, loss: 0.37610149565278034
32: 89.88, loss: 0.3598623576021912
 33: 89.83, loss: 0.3585311761137847
 34: 89.76, loss: 0.34967507378087304
updating lr from 0.001 to 0.0008333333333333334
35: 90.0, loss: 0.2952773560806823
36: 89.76, loss: 0.2875770600548398
 updating lr from 0.0008333333333333334 to 0.000694444444444444537: 90.23, loss: 0.2527492713474128
 38: 90.28, loss: 0.23581452359577756
39: 90.64, loss: 0.23323516196615413
40: 90.41, loss: 0.22431065829019997
41: 90.59, loss: 0.21825455129146576
42: 90.66, loss: 0.210328663390478
43: 90.14, loss: 0.213001657868813
44: 89.93, loss: 0.20197669598399143
45: 90.64, loss: 0.20411924656275446
46: 90.4, loss: 0.1984257391116149
47: 90.25, loss: 0.1992886596229333
 updating lr from 0.0006944444444444445 to 0.000578703703703703848: 90.62, loss: 0.16956918824955383
49: 90.54, loss: 0.16650938335209894
updating lr from 0.0005787037037037038 to 0.00048225308641975317 50: 91.11, loss: 0.14444002124186361
51: 90.94, loss: 0.13749196363682173
52: 90.78, loss: 0.1384153071404572
 53: 91.22, loss: 0.13437424096900125
54: 91.33, loss: 0.1336532130350911
 55: 90.98, loss: 0.12961255043516084
56: 91.13, loss: 0.12630252858740726
57: 91.23, loss: 0.12567612151025045
58: 91.14, loss: 0.1275948563712278
 59: 91.7, loss: 0.12280018163532515
 60: 91.18, loss: 0.12064911384569546
61: 91.06, loss: 0.11477801044890121
62: 91.02, loss: 0.11871337971713265
63: 91.11, loss: 0.11348731477152217
64: 91.12, loss: 0.11788918153310096
updating lr from 0.00048225308641975317 to 0.00040187757201646165: 91.38, loss: 0.10237277136035215
66: 91.13, loss: 0.10016863303743159
