gen:0{ accuracy:[54.12, 29.51, 61.81, 44.5, 57.42, 62.65, 48.08, 64.58, 66.99, 56.8, 54.88, 70.94, 57.53, 66.24, 44.48, 50.64, 39.26, 48.84, 65.69, 67.45, 61.87, 49.51, 62.58, 48.19, 56.37, 60.09, 54.74, 59.82, 41.07, 65.74, 45.92, 45.68, 53.9, 53.62, 51.22, 65.33, 65.91, 64.96, 39.35, 45.03, 54.11, 69.92, 45.98, 58.21, 65.4, 39.66, 51.26, 45.39, 68.92, 56.5, 50.28, 65.23, 66.44, 47.91, 69.06, 44.83, 58.4, 61.93, 46.04, 54.79, 33.28, 45.51, 53.8, 63.73, 43.81, 68.09, 63.5, 46.05, 48.43, 44.53, 44.33, 60.42, 44.12, 57.53, 61.24]}
gen:1{ accuracy:[62.63, 67.93, 68.21, 53.21, 10.0, 10.0, 68.85, 54.83, 61.77, 42.93, 37.26, 58.48, 20.21, 41.71, 44.6, 60.99, 51.94, 41.08, 69.45, 53.2, 66.29, 54.82, 69.22, 65.43, 54.21, 62.51, 69.87, 39.5, 45.96, 66.37, 38.26, 69.78, 35.85, 45.54, 42.42, 70.24, 51.5, 43.52, 30.9, 40.01, 50.9, 65.2, 22.71, 65.23, 60.39, 52.13, 54.28, 66.13, 65.99, 53.55, 18.56, 67.26, 40.94, 48.54, 41.53, 53.13, 48.27, 30.24, 41.79, 55.25, 48.47, 57.97, 56.74, 59.9, 52.15, 59.99, 10.0, 68.46, 10.0, 48.43, 75.5, 26.46, 10.0, 27.22, 35.3]}
gen:2{ accuracy:[31.55, 10.0, 16.6, 67.36, 59.25, 73.07, 35.44, 46.11, 69.64, 69.54, 67.41, 62.76, 30.72, 16.74, 70.27, 40.16, 75.91, 65.52, 68.78, 51.41, 75.32, 54.74, 65.99, 67.96, 54.41, 70.33, 74.36, 73.51, 68.02, 55.41, 50.66, 69.16, 69.56, 49.47, 48.27, 69.02, 34.58, 46.1, 70.09, 67.94, 63.06, 68.29, 71.04, 61.35, 50.95, 67.02, 67.38, 56.16, 51.76, 73.07, 65.85, 46.45, 69.5, 74.26, 59.61, 68.39, 52.12, 45.02, 42.36, 72.27, 62.03, 65.55, 69.9, 63.13, 73.97, 64.33, 40.5, 59.71, 59.43, 64.51, 14.18, 74.68, 69.83, 51.73, 68.63]}
gen:3{ accuracy:[74.8, 74.34, 10.0, 45.55, 46.95, 74.88, 74.53, 76.0, 69.44, 64.14, 73.51, 74.78, 10.0, 70.74, 62.78, 57.75, 38.66, 73.98, 61.83, 73.86, 62.68, 73.33, 75.17, 10.0, 74.36, 25.95, 39.61, 75.06, 73.75, 74.5, 73.66, 47.11, 74.04, 66.42, 70.1, 60.2, 75.39, 61.43, 55.0, 55.9, 72.27, 64.42, 61.76, 75.17, 66.66, 73.97, 55.54, 32.6, 69.93, 74.72, 73.9, 75.41, 67.14, 70.79, 72.35, 61.28, 38.59, 10.0, 75.49, 55.32, 21.85, 52.66, 10.0, 74.37, 70.49, 74.68, 70.37, 73.11, 70.75, 39.37, 59.84, 10.0, 74.03, 10.0, 74.53]}
gen:4{ accuracy:[51.81, 43.1, 70.06, 48.45, 68.91, 73.88, 59.36, 57.03, 10.0, 36.22, 71.13, 72.82, 71.09, 74.52, 74.07, 63.97, 63.41, 66.8, 74.9, 64.82, 56.93, 66.64, 67.6, 60.78, 23.21, 71.53, 73.7, 74.4, 62.25, 62.8, 65.08, 49.85, 64.44, 44.18, 74.79, 74.53, 62.78, 75.71, 66.54, 51.58, 58.01, 75.58, 69.41, 74.22, 50.99, 47.45, 59.13, 10.0, 64.36, 73.26, 16.46, 69.82, 51.41, 17.81, 58.37, 63.51, 67.47, 10.0, 74.27, 55.06, 50.73, 62.84, 51.1, 66.22, 63.98, 61.53, 64.26, 62.67, 69.1, 52.31, 69.1, 74.7, 66.9, 62.21, 68.03]}
gen:5{ accuracy:[68.39, 73.48, 65.74, 74.56, 74.78, 61.59, 75.46, 75.3, 60.91, 73.48, 75.79, 75.76, 36.5, 73.96, 74.35, 73.26, 50.41, 73.78, 59.68, 69.84, 75.38, 56.76, 38.92, 57.41, 74.77, 74.84, 73.64, 74.81, 75.78, 75.84, 75.02, 75.39, 51.71, 75.83, 54.03, 71.82, 44.26, 74.91, 67.29, 73.39, 68.89, 74.43, 67.35, 75.84, 66.47, 67.74, 53.79, 75.52, 62.69, 74.32, 76.73, 58.24, 10.0, 76.01, 75.03, 75.46, 48.04, 71.98, 17.37, 53.21, 63.08, 33.05, 73.87, 75.31, 42.36, 62.04, 69.21, 63.67, 48.97, 51.2, 52.41, 74.08, 76.23, 70.39, 75.55]}
gen:6{ accuracy:[68.58, 75.05, 18.71, 75.38, 65.92, 68.27, 44.25, 75.58, 74.74, 76.01, 75.22, 74.45, 72.61, 75.03, 74.06, 77.05, 76.16, 70.96, 75.27, 74.97, 75.29, 67.16, 75.72, 48.62, 32.29, 75.63, 75.96, 76.62, 55.87, 70.17, 75.17, 64.26, 74.34, 75.2, 48.92, 75.6, 74.5, 75.92, 76.03, 73.14, 33.35, 63.61, 75.43, 47.55, 74.41, 67.48, 41.38, 74.96, 75.62, 33.07, 75.07, 37.32, 67.83, 75.48, 76.67, 49.38, 75.98, 75.17, 71.63, 75.45, 75.93, 67.04, 47.01, 76.51, 62.69, 49.1, 74.86, 59.98, 10.0, 75.21, 76.68, 58.9, 29.06, 67.13, 75.77]}
gen:7{ accuracy:[44.95, 75.65, 70.81, 49.55, 54.22, 75.87, 64.62, 75.82, 49.56, 10.0, 76.14, 73.89, 59.76, 63.6, 75.31, 53.61, 65.51, 75.74, 73.55, 68.29, 69.09, 75.95, 77.16, 76.06, 17.65, 68.35, 50.89, 45.44, 75.85, 24.45, 70.48, 57.03, 75.75, 48.72, 71.69, 18.41, 75.82, 75.35, 74.81, 75.16, 49.98, 47.29, 75.44, 75.3, 74.96, 75.53, 25.19, 10.0, 61.76, 76.24, 75.56, 69.01, 51.08, 68.31, 76.52, 10.0, 76.27, 50.13, 76.26, 10.0, 75.33, 67.35, 67.18, 67.6, 17.13, 75.3, 68.97, 50.07, 49.36, 74.42, 70.57, 10.0, 75.11, 44.46, 71.14]}
gen:8{ accuracy:[44.77, 69.85, 54.05, 35.57, 76.56, 72.13, 46.97, 68.57, 70.58, 61.41, 76.04, 18.59, 75.69, 76.6, 76.31, 76.55, 17.2, 74.07, 44.99, 72.08, 45.75, 67.2, 50.26, 67.15, 71.64, 31.0, 45.71, 75.27, 75.64, 18.77, 75.66, 72.67, 75.55, 57.74, 76.27, 24.46, 67.61, 75.8, 76.08, 72.92, 68.64, 75.34, 62.65, 75.71, 75.05, 66.66, 26.93, 57.0, 44.5, 68.05, 75.19, 75.4, 24.89, 71.64, 76.7, 19.02, 75.77, 77.03, 30.85, 76.15, 75.45, 18.43, 72.28, 72.1, 53.92, 76.07, 58.06, 39.64, 66.4, 51.96, 72.55, 10.0, 76.08, 75.47, 68.03]}
gen:9{ accuracy:[62.47, 60.2, 58.4, 64.44, 63.29, 57.59, 75.83, 77.17, 56.84, 77.68, 76.67, 77.69, 78.72, 52.24, 78.07, 46.02, 48.34, 78.39, 38.53, 78.2, 60.13, 76.5, 18.41, 10.0, 69.76, 64.19, 69.36, 50.64, 45.23, 66.21, 77.75, 73.37, 77.64, 76.76, 32.89, 77.82, 51.64, 45.11, 40.18, 77.94, 54.9, 77.47, 45.73, 69.71, 71.71, 75.83, 10.0, 68.22, 63.38, 71.42, 76.49, 71.38, 68.89, 78.08, 54.56, 77.17, 79.39, 57.02, 77.77, 28.85, 10.0, 68.64, 78.46, 78.06, 78.6, 40.54, 76.29, 49.26, 68.82, 76.1, 31.59, 78.16, 58.99, 75.37, 10.0]}
gen:10{ accuracy:[73.61, 69.24, 62.59, 79.04, 78.88, 50.65, 78.39, 65.91, 78.2, 65.69, 66.12, 77.78, 50.41, 78.27, 78.12, 59.72, 77.38, 77.6, 77.22, 78.45, 78.7, 79.14, 40.71, 78.36, 62.44, 78.09, 76.72, 41.22, 78.92, 77.84, 78.84, 78.42, 76.42, 62.23, 71.24, 78.11, 45.52, 63.78, 77.31, 39.03, 64.41, 77.4, 73.26, 78.63, 58.57, 78.39, 65.77, 77.89, 59.53, 78.54, 18.87, 73.15, 78.1, 76.05, 73.59, 70.16, 47.14, 68.77, 73.22, 68.24, 77.96, 78.36, 76.38, 78.68, 60.25, 65.93, 22.33, 78.29, 77.95, 16.25, 79.18, 70.48, 72.01, 62.4, 78.55]}
gen:11{ accuracy:[46.32, 70.45, 72.07, 67.78, 78.7, 80.0, 79.15, 62.84, 79.71, 80.0, 67.75, 78.46, 67.42, 70.3, 25.61, 48.79, 64.82, 67.73, 62.51, 50.51, 58.75, 60.84, 78.03, 40.69, 78.79, 64.84, 53.6, 61.18, 50.64, 79.32, 72.04, 78.13, 58.14, 58.71, 71.06, 65.77, 57.96, 10.0, 78.48, 47.19, 71.53, 71.63, 67.28, 78.55, 65.47, 63.11, 53.39, 77.37, 49.17, 71.36, 74.33, 39.4, 67.93, 74.3, 64.98, 60.69, 54.75, 78.42, 64.22, 61.27, 58.91, 50.38, 38.98, 65.9, 59.52, 78.92, 78.12, 69.98, 79.18, 79.5, 59.96, 79.76, 72.08, 62.75, 75.03]}
gen:12{ accuracy:[70.38, 78.59, 66.62, 37.63, 56.85, 66.35, 58.26, 34.04, 80.29, 64.32, 31.77, 49.15, 71.53, 57.48, 36.08, 50.87, 71.41, 73.68, 34.12, 44.01, 62.08, 66.29, 38.54, 52.57, 71.99, 37.43, 62.87, 50.79, 75.25, 64.32, 66.93, 76.27, 37.07, 20.87, 70.65, 64.63, 33.25, 58.55, 79.28, 66.31, 33.37, 78.33, 77.82, 31.68, 76.27, 56.72, 46.26, 74.15, 65.08, 33.18, 60.57, 69.98, 59.84, 58.88, 68.09, 65.86, 72.16, 73.69, 39.01, 51.17, 78.0, 58.17, 78.0, 79.44, 49.79, 51.33, 51.12, 78.4, 41.64, 72.74, 56.46, 75.85, 78.72, 78.52, 77.7]}
gen:13{ accuracy:[67.76, 64.64, 73.87, 10.0, 74.17, 46.81, 66.61, 42.97, 46.25, 72.04, 74.08, 21.86, 39.97, 10.0, 37.43, 60.49, 14.1, 62.63, 61.01, 64.13, 63.97, 64.25, 74.61, 74.29, 28.49, 67.08, 67.23, 58.71, 56.25, 73.0, 53.96, 47.69, 19.98, 30.82, 28.43, 47.89, 76.21, 58.64, 62.52, 10.0, 64.28, 51.91, 69.48, 67.53, 68.88, 67.66, 63.76, 78.29, 55.75, 67.45, 58.98, 78.42, 52.26, 73.61, 44.06, 71.06, 27.11, 62.01, 10.0, 18.79, 10.0, 79.19, 67.08, 40.84, 10.0, 66.35, 75.46, 55.79, 47.45, 64.76, 78.66, 50.52, 51.81, 62.4, 46.88]}
gen:14{ accuracy:[10.0, 64.08, 61.18, 78.91, 49.7, 71.24, 73.51, 70.0, 63.7, 63.13, 70.18, 66.24, 49.53, 61.89, 67.99, 73.35, 63.68, 61.63, 38.32, 61.55, 10.0, 68.56, 64.65, 73.59, 40.45, 43.01, 48.85, 70.98, 77.79, 65.42, 69.51, 61.3, 10.0, 61.44, 77.06, 67.14, 73.47, 55.21, 63.34, 57.79, 63.6, 66.2, 76.13, 77.64, 51.73, 31.03, 55.97, 63.3, 37.62, 71.6, 65.11, 78.76, 63.03, 65.0, 69.13, 64.03, 30.73, 10.0, 54.97, 26.68, 72.71, 72.06, 70.44, 73.45, 73.61, 79.68, 48.64, 74.75, 58.33, 61.32, 39.52, 36.7, 78.25, 68.41, 46.58]}
gen:15{ accuracy:[69.89, 77.79, 10.0, 10.0, 18.43, 52.62, 54.3, 41.26, 53.76, 27.53, 46.68, 10.0, 66.52, 78.74, 51.89, 10.0, 40.21, 58.62, 64.15, 67.16, 69.89, 64.43, 39.47, 72.11, 78.11, 52.15, 64.8, 10.0, 68.24, 44.32, 63.95, 77.75, 57.25, 30.44, 34.51, 55.9, 15.52, 61.37, 26.17, 23.8, 59.12, 27.13, 61.44, 63.14, 10.0, 63.17, 69.87, 54.04, 54.83, 53.56, 62.06, 68.93, 10.0, 78.94, 48.43, 10.0, 17.87, 72.37, 61.63, 64.86, 73.63, 61.74, 40.94, 10.0, 69.55, 50.38, 31.04, 16.0, 70.93, 69.11, 18.21, 61.38, 62.56, 10.0, 57.67]}
