gen:0{ accuracy:[54.19, 62.0, 58.91, 56.17, 55.7, 55.15, 35.86, 57.78, 64.99, 42.95, 48.89, 67.33, 52.82, 39.85, 38.19, 28.45, 71.45, 59.91, 66.6, 31.89, 64.18, 52.63, 33.26, 42.39, 58.93, 32.45, 36.28, 64.1, 37.14, 66.65, 54.3, 61.92, 44.82, 10.01, 40.78, 38.86, 65.5, 23.53, 64.03, 44.43, 51.24, 49.05, 61.8, 37.78, 55.12, 64.85, 45.74, 56.55, 54.08, 44.12, 72.57, 43.38, 46.34, 51.57, 36.78, 38.93, 61.86, 43.39, 59.05, 55.03, 30.9, 65.24, 52.08, 45.66, 37.08, 10.0, 66.47, 45.51, 40.95, 65.41, 44.74, 69.4, 56.38, 37.58, 54.1]}
gen:1{ accuracy:[26.04, 16.14, 64.83, 44.6, 67.25, 67.23, 46.75, 61.36, 65.71, 51.3, 64.75, 32.42, 66.76, 69.16, 46.91, 33.01, 34.73, 69.89, 26.23, 10.0, 59.58, 66.59, 49.15, 47.73, 70.05, 42.15, 43.96, 34.86, 42.5, 60.24, 52.03, 52.62, 54.5, 21.29, 64.27, 21.87, 64.07, 53.35, 68.43, 62.0, 43.48, 20.69, 58.1, 33.35, 68.07, 10.0, 36.02, 51.21, 61.2, 35.5, 51.45, 10.0, 35.42, 66.36, 18.1, 50.6, 54.37, 58.99, 65.73, 59.8, 27.01, 25.01, 34.31, 62.86, 56.85, 39.86, 15.96, 49.98, 62.35, 19.05, 30.74, 10.0, 52.0, 29.85, 60.22]}
gen:2{ accuracy:[53.67, 64.41, 45.83, 33.92, 51.33, 58.65, 59.69, 10.0, 47.96, 66.06, 38.84, 66.3, 60.48, 69.13, 55.79, 60.66, 45.07, 44.9, 64.77, 55.52, 28.24, 60.97, 66.59, 42.31, 58.1, 40.59, 57.75, 54.7, 71.34, 61.35, 16.78, 54.12, 29.69, 56.82, 43.88, 63.78, 43.16, 66.66, 47.97, 45.87, 62.52, 28.8, 68.46, 67.66, 37.86, 64.97, 47.16, 65.89, 57.98, 55.3, 60.58, 58.88, 38.94, 65.04, 48.81, 63.25, 63.76, 35.29, 54.35, 65.49, 57.74, 51.43, 57.88, 50.39, 39.31, 44.26, 40.82, 66.96, 65.53, 49.72, 44.02, 56.15, 52.23, 63.5, 10.0]}
gen:3{ accuracy:[68.26, 63.53, 71.15, 55.22, 58.16, 51.41, 53.87, 17.46, 42.7, 55.29, 67.86, 55.78, 46.74, 65.82, 64.53, 34.41, 71.28, 52.79, 60.89, 67.06, 46.72, 58.02, 71.2, 52.7, 45.32, 59.93, 66.5, 47.35, 62.92, 40.68, 56.65, 31.06, 70.02, 59.79, 54.37, 49.07, 46.46, 33.38, 57.14, 44.79, 29.92, 53.31, 64.31, 62.61, 65.11, 67.43, 70.34, 44.5, 66.74, 63.2, 63.09, 65.59, 41.68, 66.47, 25.2, 54.64, 49.48, 43.84, 55.96, 65.73, 72.53, 68.42, 50.57, 37.99, 54.52, 68.75, 63.33, 53.05, 64.62, 58.68, 39.56, 34.91, 65.74, 58.63, 67.48]}
gen:4{ accuracy:[67.95, 47.29, 67.96, 15.67, 69.09, 54.46, 66.13, 52.19, 52.38, 64.96, 43.43, 64.72, 50.95, 55.86, 41.57, 64.82, 48.32, 32.65, 54.43, 72.24, 53.43, 66.52, 63.32, 67.78, 44.63, 73.83, 59.7, 43.03, 65.61, 56.21, 67.68, 52.86, 60.66, 10.0, 48.32, 42.29, 47.34, 71.67, 71.07, 45.03, 60.66, 72.2, 58.43, 46.23, 67.15, 55.58, 63.91, 67.92, 65.51, 54.74, 56.0, 23.89, 68.25, 72.62, 38.57, 67.22, 32.62, 66.96, 43.8, 54.19, 52.84, 70.5, 64.95, 53.77, 67.61, 68.75, 68.08, 72.81, 68.0, 60.95, 72.14, 36.0, 52.25, 61.93, 63.88]}
gen:5{ accuracy:[42.33, 73.43, 73.55, 38.44, 51.2, 72.07, 65.55, 72.41, 64.92, 72.27, 45.59, 41.86, 65.24, 63.83, 41.22, 29.36, 58.36, 70.21, 56.53, 73.8, 63.31, 54.98, 50.44, 64.66, 50.7, 55.88, 59.79, 25.72, 40.41, 63.86, 58.24, 57.74, 64.53, 26.17, 45.5, 75.46, 40.74, 43.66, 51.18, 58.63, 56.31, 52.56, 62.9, 65.61, 49.21, 48.97, 74.15, 64.43, 48.09, 48.19, 48.54, 71.76, 63.7, 37.72, 17.16, 60.44, 49.9, 40.95, 52.89, 28.63, 44.69, 31.44, 25.4, 71.76, 39.52, 60.13, 51.11, 51.45, 70.08, 35.25, 53.73, 51.17, 61.6, 23.31, 70.21]}
gen:6{ accuracy:[66.5, 74.33, 66.76, 74.86, 73.96, 10.0, 74.47, 72.1, 52.54, 73.4, 73.67, 66.94, 41.4, 74.61, 67.04, 73.16, 73.07, 26.18, 67.44, 73.67, 67.83, 62.86, 72.69, 61.38, 17.89, 51.89, 66.22, 47.97, 68.51, 17.1, 65.12, 50.26, 33.05, 60.91, 18.52, 66.03, 73.4, 70.62, 72.97, 52.8, 45.0, 71.13, 73.33, 67.59, 51.27, 73.6, 50.37, 71.04, 40.33, 71.68, 55.3, 64.18, 47.76, 68.63, 71.19, 75.19, 43.46, 58.68, 72.89, 32.72, 66.27, 60.6, 70.32, 58.76, 74.37, 70.85, 15.55, 71.18, 42.51, 73.04, 71.88, 74.78, 66.73, 63.5, 59.06]}
gen:7{ accuracy:[71.0, 71.75, 60.7, 73.55, 46.77, 68.26, 73.9, 76.16, 73.26, 73.36, 74.81, 70.67, 63.27, 39.22, 74.69, 73.71, 70.09, 72.78, 77.01, 74.29, 71.19, 72.11, 71.22, 70.57, 51.47, 74.22, 75.28, 75.41, 66.45, 71.32, 66.91, 73.64, 51.1, 74.14, 70.29, 10.0, 74.23, 74.29, 10.0, 71.3, 67.18, 55.7, 22.73, 59.87, 35.96, 64.31, 70.6, 16.82, 73.38, 42.75, 74.74, 63.44, 64.7, 74.04, 57.49, 47.0, 64.73, 70.26, 62.92, 45.24, 72.3, 72.51, 72.82, 72.36, 24.72, 71.05, 46.36, 70.97, 68.67, 65.61, 43.24, 18.81, 74.48, 72.09, 57.1]}
gen:8{ accuracy:[63.87, 76.65, 76.06, 64.91, 73.85, 53.76, 70.74, 70.34, 72.25, 58.9, 70.4, 61.56, 59.11, 73.86, 51.64, 70.66, 53.14, 40.64, 60.59, 68.59, 74.56, 72.71, 73.25, 60.84, 73.12, 64.46, 59.51, 75.94, 69.24, 71.48, 73.97, 52.07, 76.61, 52.2, 68.58, 75.08, 37.12, 17.4, 51.27, 59.45, 41.28, 64.05, 62.0, 47.56, 73.08, 60.71, 42.08, 76.79, 76.8, 66.15, 63.66, 67.7, 65.2, 76.06, 41.84, 64.9, 64.47, 63.95, 73.55, 53.24, 30.42, 63.08, 67.61, 63.46, 67.44, 64.2, 73.89, 71.26, 64.58, 18.45, 70.65, 71.81, 60.47, 68.97, 66.37]}
gen:9{ accuracy:[56.21, 75.33, 75.22, 10.0, 75.51, 75.7, 68.13, 71.54, 10.0, 23.53, 64.65, 75.93, 74.73, 42.49, 64.76, 69.71, 69.7, 76.36, 63.93, 74.5, 63.98, 65.57, 48.62, 58.2, 69.4, 46.94, 50.13, 21.17, 68.6, 62.39, 76.07, 72.08, 64.67, 62.99, 10.0, 74.25, 75.38, 10.0, 71.49, 74.24, 65.18, 67.78, 10.0, 75.28, 53.96, 70.03, 58.45, 66.54, 75.38, 75.76, 71.2, 63.73, 26.03, 26.21, 52.82, 76.57, 71.05, 68.27, 75.37, 63.57, 51.05, 73.79, 76.85, 67.94, 58.42, 70.02, 74.61, 41.13, 72.01, 10.0, 64.29, 48.23, 64.56, 74.79, 76.32]}
