gen:0{ accuracy:[39.31, 45.62, 50.33, 58.6, 60.3, 55.68, 38.96, 51.65, 57.38, 51.29, 52.83, 56.79, 50.06, 54.34, 58.58, 56.98, 46.31, 64.51, 23.04, 66.49, 37.06, 33.01, 56.98, 41.34, 55.0, 58.08, 36.42, 34.41, 56.46, 37.74, 52.28, 50.3, 48.41, 27.16, 65.44, 44.29, 55.83, 65.35, 33.14, 44.87, 62.16, 44.25, 54.81, 63.19, 40.99, 57.4, 52.19, 40.95, 34.74, 56.92, 61.05, 39.66, 45.99, 42.3, 50.44, 47.75, 32.13, 44.99, 51.83, 10.0, 56.84, 32.17, 43.78, 45.57, 59.6, 16.98, 64.91, 31.02, 45.29, 59.36, 53.38, 57.88, 33.2, 63.47, 47.13]}
gen:1{ accuracy:[69.63, 64.26, 67.4, 70.3, 65.66, 66.28, 59.95, 67.24, 38.47, 51.41, 58.5, 69.37, 65.37, 54.45, 50.84, 48.2, 40.78, 56.07, 51.12, 37.99, 45.88, 64.4, 68.05, 18.88, 47.4, 41.11, 67.16, 65.52, 53.91, 44.14, 55.74, 48.96, 66.92, 63.06, 58.24, 63.87, 31.96, 50.11, 38.27, 31.59, 61.82, 56.25, 45.85, 42.41, 64.31, 24.9, 53.36, 53.43, 48.65, 69.54, 65.72, 35.82, 69.6, 46.7, 57.12, 24.57, 45.23, 60.09, 66.98, 24.23, 46.33, 49.81, 53.37, 55.54, 62.25, 30.41, 66.21, 40.89, 47.31, 51.58, 19.41, 61.89, 46.69, 70.19, 49.9]}
gen:2{ accuracy:[59.45, 67.81, 33.18, 65.6, 47.86, 69.52, 69.14, 64.35, 67.47, 65.31, 67.56, 71.94, 68.65, 68.1, 69.01, 67.69, 69.75, 66.86, 69.02, 49.88, 69.17, 57.15, 53.75, 64.21, 49.58, 70.94, 65.39, 47.98, 65.5, 69.27, 66.73, 69.43, 68.34, 71.45, 67.95, 70.07, 43.09, 68.56, 68.86, 68.55, 56.38, 68.9, 67.96, 25.24, 67.8, 35.42, 66.84, 10.0, 48.78, 70.47, 71.06, 68.75, 68.49, 66.46, 68.1, 69.99, 68.86, 66.23, 68.66, 53.24, 67.2, 66.88, 70.11, 68.98, 68.82, 68.08, 71.11, 59.55, 58.14, 66.08, 70.35, 39.07, 69.84, 70.97, 67.84]}
gen:3{ accuracy:[59.86, 72.59, 68.08, 17.3, 67.65, 70.64, 72.13, 72.63, 43.02, 71.21, 67.71, 70.84, 38.25, 71.81, 71.87, 71.72, 65.28, 72.23, 68.24, 68.02, 72.24, 72.22, 71.23, 10.0, 62.38, 66.73, 68.52, 70.29, 69.44, 71.94, 73.01, 75.81, 70.57, 68.38, 67.46, 67.7, 71.41, 71.79, 62.05, 68.5, 69.47, 72.03, 60.28, 18.7, 71.85, 70.11, 58.68, 43.41, 67.7, 68.86, 72.04, 71.95, 71.93, 71.22, 71.29, 67.12, 53.11, 71.26, 70.88, 68.82, 72.76, 69.42, 71.64, 70.86, 71.49, 63.07, 71.11, 71.91, 59.49, 24.28, 62.4, 71.45, 71.78, 71.32, 71.74]}
gen:4{ accuracy:[71.74, 47.08, 61.35, 72.44, 67.43, 72.88, 70.26, 61.98, 48.1, 72.4, 64.68, 69.8, 72.41, 62.69, 70.68, 71.6, 71.33, 64.6, 70.33, 45.6, 72.77, 71.77, 60.15, 37.0, 62.09, 71.72, 64.18, 28.72, 71.28, 76.37, 70.2, 65.77, 64.63, 63.27, 71.48, 58.11, 63.84, 72.39, 71.45, 69.46, 71.24, 60.67, 71.95, 69.81, 69.84, 68.04, 25.6, 72.43, 69.18, 38.28, 72.97, 72.11, 10.0, 72.06, 66.6, 72.14, 70.45, 66.61, 71.11, 71.67, 55.74, 71.87, 38.39, 71.39, 72.25, 70.89, 72.78, 33.76, 69.74, 72.09, 63.46, 71.83, 72.57, 69.68, 38.13]}
gen:5{ accuracy:[77.31, 69.44, 67.67, 72.77, 75.94, 75.93, 73.33, 73.78, 71.7, 77.35, 60.54, 70.42, 71.73, 67.21, 73.15, 63.96, 72.96, 72.94, 62.69, 75.02, 73.06, 72.72, 76.16, 67.57, 67.9, 73.4, 75.23, 76.28, 72.85, 67.66, 72.58, 64.79, 64.24, 75.51, 67.61, 71.75, 72.5, 60.15, 75.94, 73.2, 69.71, 75.14, 63.98, 73.29, 72.51, 59.27, 68.21, 72.1, 75.22, 63.06, 69.92, 63.57, 72.31, 75.08, 64.5, 74.8, 70.65, 68.11, 73.58, 64.86, 75.61, 73.07, 62.78, 76.59, 64.02, 73.3, 72.97, 64.14, 67.81, 71.2, 64.75, 75.54, 73.24, 68.64, 72.68]}
gen:6{ accuracy:[69.45, 10.0, 49.13, 74.67, 70.44, 71.59, 68.42, 64.53, 74.14, 61.11, 63.76, 66.28, 66.2, 71.95, 76.32, 69.19, 76.61, 63.19, 52.25, 76.53, 77.52, 68.28, 68.25, 75.74, 65.88, 65.65, 67.16, 68.79, 68.53, 68.11, 73.84, 61.49, 58.43, 65.71, 67.97, 75.59, 76.74, 65.0, 77.46, 66.9, 73.6, 68.03, 77.25, 76.12, 69.29, 75.39, 56.05, 74.3, 72.69, 67.49, 71.1, 75.2, 75.88, 70.08, 45.32, 70.93, 57.92, 76.42, 63.9, 75.76, 68.13, 61.39, 69.95, 75.76, 75.71, 57.27, 75.48, 75.12, 68.2, 73.48, 63.15, 68.37, 65.26, 73.58, 67.43]}
gen:7{ accuracy:[67.37, 78.07, 77.65, 71.7, 77.92, 71.73, 67.3, 77.34, 76.3, 55.36, 71.85, 76.33, 78.01, 77.8, 69.93, 76.88, 17.84, 49.62, 75.49, 77.54, 76.95, 76.79, 76.32, 75.63, 77.76, 75.25, 53.53, 63.38, 77.07, 66.97, 74.49, 59.6, 69.96, 75.49, 53.24, 52.66, 73.08, 58.76, 75.18, 70.11, 69.72, 75.98, 61.57, 75.89, 66.27, 64.43, 77.08, 53.39, 76.77, 77.46, 73.95, 68.59, 75.97, 68.54, 64.61, 63.24, 70.07, 76.11, 73.06, 52.51, 73.41, 75.72, 71.94, 76.3, 42.87, 77.27, 77.18, 77.36, 76.98, 76.06, 75.59, 75.56, 77.0, 68.27, 67.45]}
gen:8{ accuracy:[67.63, 39.97, 65.62, 62.36, 70.47, 77.36, 64.57, 66.79, 74.11, 75.06, 74.45, 42.95, 53.31, 64.1, 40.38, 71.81, 76.6, 77.43, 52.81, 77.08, 55.53, 77.49, 68.73, 68.86, 73.19, 74.4, 69.91, 73.68, 70.57, 66.65, 48.54, 75.85, 70.47, 74.82, 62.71, 76.98, 67.0, 65.91, 76.52, 77.91, 77.19, 77.7, 51.84, 77.52, 75.82, 75.3, 36.73, 73.71, 65.75, 52.9, 73.75, 63.9, 61.36, 39.52, 65.48, 70.65, 66.59, 67.7, 69.18, 66.37, 77.84, 76.14, 76.6, 76.13, 73.84, 77.05, 70.93, 76.59, 10.0, 52.67, 64.08, 73.7, 68.62, 64.66, 74.21]}
gen:9{ accuracy:[61.57, 76.62, 75.65, 75.38, 70.24, 77.55, 77.58, 77.11, 52.12, 10.0, 76.99, 77.14, 73.69, 77.51, 77.38, 70.66, 70.73, 77.12, 78.18, 63.98, 77.34, 68.16, 72.94, 73.26, 73.17, 72.79, 77.54, 75.93, 73.67, 77.23, 74.02, 65.68, 60.16, 77.25, 77.08, 77.67, 73.41, 77.64, 77.32, 64.38, 77.46, 77.15, 69.43, 61.31, 66.07, 75.3, 72.13, 77.21, 75.99, 68.24, 77.58, 74.46, 76.91, 17.66, 76.8, 77.18, 77.4, 77.52, 76.38, 76.49, 46.36, 77.48, 75.87, 69.93, 77.5, 72.0, 67.77, 76.31, 75.62, 77.31, 77.58, 68.22, 77.87, 77.78, 63.56]}
