gen:0{ accuracy:[64.09, 10.0, 45.58, 64.89, 64.22, 57.91, 57.53, 51.36, 50.08, 62.83, 31.58, 10.0, 68.6, 37.05, 55.78, 71.44, 10.0, 52.23, 67.92, 60.22, 57.39, 41.79, 68.99, 60.49, 59.8, 66.03, 66.98, 56.47, 44.3, 51.63, 67.12, 57.74, 58.76, 53.45, 50.02, 65.98, 53.58, 66.15, 51.1, 38.46, 48.35, 61.47, 47.89, 48.95, 64.64, 40.2, 60.44, 54.05, 64.06, 67.26, 69.7, 40.17, 36.92, 68.14, 68.33, 56.99, 59.73, 67.35, 49.25, 40.8, 54.68, 39.61, 48.14, 49.55, 42.18, 51.54, 47.46, 31.74, 63.86, 32.07, 53.13, 47.33, 45.82, 44.5, 50.43]}
gen:1{ accuracy:[68.64, 69.23, 69.33, 69.07, 61.2, 67.61, 66.57, 66.12, 54.64, 64.83, 70.87, 32.5, 71.56, 14.0, 52.47, 69.46, 69.01, 68.77, 67.75, 61.72, 67.86, 68.24, 69.35, 33.78, 65.11, 64.7, 59.85, 71.38, 64.8, 47.86, 10.0, 46.52, 18.84, 47.71, 71.26, 71.21, 67.03, 66.71, 68.44, 67.77, 72.77, 49.17, 66.42, 62.03, 44.7, 45.33, 30.93, 71.18, 48.23, 69.35, 70.1, 68.14, 69.89, 56.49, 10.0, 70.49, 30.78, 21.49, 69.86, 62.29, 66.24, 68.74, 53.65, 66.43, 41.38, 24.87, 68.04, 63.84, 54.28, 31.61, 35.42, 69.48, 66.72, 17.04, 58.03]}
gen:2{ accuracy:[52.52, 66.05, 54.6, 17.98, 63.32, 68.17, 70.87, 67.07, 72.61, 21.57, 60.32, 64.47, 73.27, 59.3, 66.7, 72.61, 71.39, 67.68, 67.4, 74.07, 69.96, 71.78, 66.48, 68.65, 71.92, 17.97, 46.89, 71.16, 32.77, 64.77, 66.41, 66.96, 50.49, 69.84, 73.89, 57.94, 38.78, 67.86, 58.43, 69.95, 24.82, 72.48, 31.06, 67.18, 17.83, 70.42, 31.44, 16.84, 54.26, 10.0, 71.74, 66.75, 66.52, 63.89, 63.41, 61.54, 74.09, 65.97, 10.0, 72.44, 72.16, 15.19, 51.5, 64.64, 28.79, 57.75, 16.39, 69.67, 47.52, 60.28, 70.8, 68.52, 64.24, 59.35, 63.41]}
gen:3{ accuracy:[72.06, 16.83, 73.41, 43.71, 49.94, 65.3, 74.09, 51.21, 65.77, 50.9, 27.55, 69.78, 61.49, 69.68, 67.31, 73.58, 17.91, 67.67, 63.87, 73.92, 57.51, 70.41, 30.25, 71.75, 67.88, 42.86, 74.07, 51.91, 50.14, 71.18, 11.78, 72.93, 10.0, 51.67, 65.53, 10.0, 71.97, 27.34, 63.65, 66.21, 49.39, 61.89, 26.23, 70.46, 50.25, 73.71, 63.65, 53.86, 49.7, 50.35, 73.08, 71.17, 29.21, 60.23, 54.28, 62.57, 66.99, 65.96, 29.44, 56.17, 51.13, 18.62, 65.61, 65.95, 72.84, 48.0, 63.93, 43.13, 71.36, 62.21, 49.31, 68.5, 42.08, 47.94, 28.85]}
gen:4{ accuracy:[75.2, 73.99, 67.46, 73.64, 73.72, 41.82, 73.1, 73.63, 63.49, 73.62, 74.29, 66.38, 73.21, 69.87, 69.0, 65.8, 72.63, 62.41, 73.91, 74.43, 71.23, 73.83, 66.68, 73.37, 75.08, 67.36, 72.43, 32.85, 62.98, 56.4, 70.88, 74.54, 52.48, 63.99, 67.61, 69.66, 43.34, 67.27, 64.43, 50.8, 73.27, 53.25, 71.74, 74.69, 73.75, 73.54, 68.52, 66.94, 69.23, 57.36, 67.53, 63.18, 46.45, 48.49, 73.24, 73.04, 45.21, 69.08, 52.62, 67.67, 59.83, 71.97, 66.44, 75.08, 63.82, 75.45, 73.8, 67.11, 58.07, 67.45, 71.74, 60.1, 67.5, 47.52, 74.23]}
gen:5{ accuracy:[75.22, 64.2, 66.35, 54.32, 72.73, 66.43, 67.21, 73.35, 38.49, 71.52, 73.48, 72.77, 62.31, 75.41, 64.13, 76.37, 70.15, 74.84, 64.42, 67.09, 75.22, 72.34, 69.12, 70.7, 64.47, 66.62, 67.93, 72.76, 59.89, 66.02, 72.8, 70.38, 71.96, 72.0, 75.23, 59.27, 65.95, 62.03, 66.58, 76.75, 72.26, 70.33, 71.17, 68.27, 73.48, 63.34, 58.66, 71.48, 67.88, 69.22, 72.59, 67.49, 74.63, 71.88, 70.33, 63.1, 67.91, 41.37, 64.14, 74.13, 67.62, 67.04, 74.61, 61.51, 74.5, 69.38, 74.01, 58.88, 64.89, 68.6, 76.02, 70.87, 57.92, 63.49, 72.43]}
gen:6{ accuracy:[53.87, 75.73, 74.95, 76.01, 75.23, 74.05, 67.35, 75.4, 76.14, 69.94, 75.49, 76.77, 69.28, 72.12, 75.96, 75.44, 76.62, 62.15, 75.02, 76.65, 76.28, 76.03, 68.53, 73.95, 65.33, 41.65, 68.79, 74.4, 73.82, 63.03, 56.53, 78.08, 73.32, 68.16, 75.78, 70.76, 74.89, 76.32, 54.48, 76.36, 72.53, 59.27, 71.98, 48.66, 61.67, 73.93, 75.18, 77.21, 75.08, 74.42, 57.16, 70.34, 68.89, 75.61, 76.0, 76.07, 67.73, 75.47, 75.57, 60.8, 66.07, 48.42, 75.11, 50.39, 76.46, 75.72, 75.79, 61.94, 74.94, 66.45, 74.73, 48.6, 74.34, 62.28, 76.53]}
gen:7{ accuracy:[72.69, 76.83, 71.71, 78.45, 75.18, 76.33, 75.54, 75.89, 77.04, 76.93, 76.88, 76.81, 54.5, 75.89, 77.0, 77.26, 76.95, 77.02, 67.23, 76.96, 76.69, 47.13, 61.33, 50.07, 10.0, 75.78, 64.46, 52.67, 76.0, 53.92, 74.06, 60.42, 56.73, 76.7, 51.08, 76.25, 75.45, 74.66, 67.44, 58.36, 70.32, 77.81, 22.95, 74.37, 50.34, 76.84, 73.89, 77.66, 76.41, 72.46, 74.44, 75.01, 77.45, 77.06, 64.92, 74.39, 51.81, 76.28, 74.83, 64.31, 43.78, 77.36, 74.23, 54.47, 76.56, 32.49, 69.24, 66.91, 73.74, 75.35, 48.4, 52.27, 72.81, 72.66, 54.19]}
gen:8{ accuracy:[76.13, 77.46, 62.82, 76.28, 68.7, 50.85, 76.01, 76.35, 63.35, 67.38, 76.02, 74.61, 76.27, 76.89, 31.92, 71.55, 66.13, 63.96, 78.04, 76.76, 75.1, 76.79, 60.58, 34.66, 76.43, 75.92, 73.72, 73.79, 10.0, 76.7, 10.0, 67.29, 76.92, 75.37, 59.65, 67.35, 75.48, 66.53, 19.0, 76.13, 76.21, 75.86, 74.39, 45.2, 50.77, 77.15, 74.16, 62.2, 70.86, 61.73, 68.0, 61.67, 76.5, 25.92, 68.87, 74.24, 68.39, 75.79, 51.29, 33.97, 76.45, 75.93, 76.01, 75.89, 74.6, 75.14, 77.23, 52.38, 69.94, 73.96, 75.31, 60.07, 75.11, 33.59, 74.19]}
gen:9{ accuracy:[66.63, 75.01, 69.08, 56.17, 65.91, 23.57, 63.72, 69.07, 66.82, 58.27, 67.38, 10.0, 68.47, 74.23, 55.78, 67.09, 67.14, 60.14, 67.08, 66.28, 68.47, 76.48, 64.94, 75.17, 73.39, 10.0, 65.81, 68.22, 66.66, 62.72, 77.23, 71.92, 25.0, 72.21, 65.19, 66.75, 65.21, 71.97, 72.44, 67.96, 10.0, 72.65, 57.94, 10.0, 69.09, 71.55, 48.3, 75.05, 73.46, 66.0, 68.38, 10.0, 58.83, 69.3, 72.65, 68.48, 62.76, 61.66, 68.23, 67.71, 69.96, 65.38, 72.14, 65.31, 65.36, 68.78, 63.32, 52.48, 50.72, 76.71, 71.99, 76.52, 65.17, 10.0, 68.78]}
